LA_Code,District,Total_Schools,Emails_Collected,Remaining_To_Scrape,Coverage_Pct
888,Lancashire,627,118,509,18.8
886,Kent,595,83,512,13.9
881,Essex,558,84,474,15.1
850,Hampshire,531,123,408,23.2
330,Birmingham,444,55,389,12.4
926,Norfolk,423,43,380,10.2
919,Hertfordshire,531,160,371,30.1
860,Staffordshire,409,47,362,11.5
936,Surrey,400,52,348,13.0
830,Derbyshire,419,77,342,18.4
925,Lincolnshire,361,32,329,8.9
878,Devon,371,47,324,12.7
935,Suffolk,323,22,301,6.8
891,Nottinghamshire,341,44,297,12.9
815,North Yorkshire,355,60,295,16.9
931,Oxfordshire,307,19,288,6.2
383,Leeds,280,12,268,4.3
908,Cornwall,280,16,264,5.7
855,Leicestershire,287,30,257,10.5
873,Cambridgeshire,270,27,243,10.0
916,Gloucestershire,300,58,242,19.3
933,Somerset,269,31,238,11.5
938,West Sussex,285,70,215,24.6
937,Warwickshire,252,43,209,17.1
825,Buckinghamshire,235,32,203,13.6
885,Worcestershire,244,43,201,17.6
840,County Durham,262,62,200,23.7
380,Bradford,211,28,183,13.3
941,West Northamptonshire,186,4,182,2.2
865,Wiltshire,235,54,181,23.0
845,East Sussex,187,27,160,14.4
382,Kirklees,181,21,160,11.6
373,Sheffield,180,25,155,13.9
838,Dorset,158,5,153,3.2
811,East Riding of Yorkshire,149,2,147,1.3
893,Shropshire,151,7,144,4.6
801,"Bristol, City of",155,12,143,7.7
942,Cumberland,172,31,141,18.0
929,Northumberland,168,28,140,16.7
940,North Northamptonshire,144,5,139,3.5
341,Liverpool,170,33,137,19.4
895,Cheshire East,155,24,131,15.5
384,Wakefield,143,15,128,10.5
352,Manchester,188,62,126,33.0
372,Rotherham,124,1,123,0.8
371,Doncaster,128,7,121,5.5
896,Cheshire West and Chester,161,43,118,26.7
344,Wirral,125,9,116,7.2
350,Bolton,128,14,114,10.9
331,Coventry,118,5,113,4.2
823,Central Bedfordshire,130,18,112,13.8
803,South Gloucestershire,116,5,111,4.3
359,Wigan,127,16,111,12.6
333,Sandwell,124,16,108,12.9
943,Westmorland and Furness,147,39,108,26.5
356,Stockport,115,8,107,7.0
336,Wolverhampton,111,5,106,4.5
353,Oldham,108,4,104,3.7
335,Walsall,122,21,101,17.2
826,Milton Keynes,115,15,100,13.0
394,Sunderland,116,16,100,13.8
892,Nottingham,106,7,99,6.6
839,"Bournemouth, Christchurch and Poole",98,0,98,0.0
831,Derby,106,8,98,7.5
