urn,school_name,website,scrape_time,status,all_emails,phone_numbers,address,staff_names,governor_names,source,retry_needed,retry_count
100381,Jack Tizard School,https://www.jacktizard.lbhf.sch.uk,2026-02-14T17:51:36.261614,no_emails,[],[],,[],[],old,0,0
100382,Cambridge School,https://www.cambridge.lbhf.sch.uk,2026-02-14T17:51:59.545887,no_emails,[],[],,[],[],old,0,0
100384,Margaret McMillan Nursery School,https://www.margaretmcmillan.islington.sch.uk,2026-02-14T17:52:22.257316,success,"[""admin@margaretmcmillan.islington.sch.uk""]",[],Error: The requested address /contact-us was not found on this server.,"[{""name"": ""Karen Smith""}]","[{""name"": ""Values\nFinancial Information""}]",old,0,0
100385,Kate Greenaway Nursery School and Children's Centre,https://www.kategreenaway.org,2026-02-14T17:52:45.806778,no_emails,[],[],"Address: York Way Court, Copenhagen Street, N1 0UH, London",[],[],old,0,0
100386,North Islington Nursery School,https://www.northislingtonnursery.co.uk,2026-02-14T17:53:10.224635,no_emails,[],[],,[],[],old,0,0
100388,New River College Primary,https://www.newrivercollege.co.uk/nrc-primary/welcome-primary,2026-02-14T17:53:33.738625,success,"[""primary@nrc.islington.sch.uk"", ""secondary@nrc.islington.sch.uk"", ""medical@nrc.islington.sch.uk"", ""outreach@nrc.islington.sch.uk"", ""Richard.Brown@nrc.islington.sch.uk""]",[],"For the addresses and location maps of our school sites, see below.
For SEN queries, contact our SENDCOs:
Karen Galvin (Primary)
Matt Rogers (Secondary)",[],[],old,0,0
100391,New River College Secondary,https://www.newrivercollege.co.uk/nrc-secondary/welcome-secondary,2026-02-14T17:54:06.511614,success,"[""primary@nrc.islington.sch.uk"", ""secondary@nrc.islington.sch.uk"", ""medical@nrc.islington.sch.uk"", ""outreach@nrc.islington.sch.uk"", ""Richard.Brown@nrc.islington.sch.uk""]",[],"For the addresses and location maps of our school sites, see below.
For SEN queries, contact our SENDCOs:
Karen Galvin (Primary)
Matt Rogers (Secondary)",[],[],old,0,0
100397,Ambler Primary School and Children's Centre,https://www.ambler.islington.sch.uk,2026-02-14T17:54:35.491394,success,"[""office@ambler.islington.sch.uk"", ""childrenscentre@ambler.islington.sch.uk"", ""pduncanaldred@gmail.com""]",[],"Blackstock Road
Islington
London
N4 2DR",[],"[{""name"": ""Related Links""}]",old,0,0
100402,Drayton Park Primary School,https://www.draytonpark.islington.sch.uk,2026-02-14T17:54:59.699774,success,"[""admin@draytonpark.islington.sch.uk"", ""antoine.vitalis@draytonpark.islington.sch.uk"", ""emma.dutton@draytonpark.islington.sch.uk"", ""pta.draytonpark@gmail.com""]",[],"Address: Drayton Park Primary School, Arvon Road, Highbury, London, N5 1PJ",[],"[{""name"": ""Search Website\nTranslate Text\nHome\nAbout Us\nParents\nChildren\nCommunity\nGovernors\nHome Community""}]",old,0,0
100403,Duncombe Primary School,https://www.duncombeprimary.co.uk,2026-02-14T17:55:23.824243,success,"[""success@duncombeprimary.co.uk""]",[],"Address
Duncombe Primary School
Sussex Way, London  N19 4JA","[{""name"": ""Key Contacts\n\n\n\nExecutive Head\n\n\tMs Braithwaite""}, {""name"": ""Braithwaite\n\n\nHead"", ""role"": ""Ms""}]",[],old,0,0
100405,Gillespie Primary School,https://www.gillespie.islington.sch.uk,2026-02-14T17:55:53.501804,success,"[""office@gillespie.islington.sch.uk"", ""governors@gillespie.Islington.sch.uk""]","[""04862030270966"", ""039772221947"", ""03381668170"", ""01610453162""]","Gillespie Road, Highbury, London, N5 1LH",[],"[{""name"": ""Mark Owen"", ""role"": ""Mr""}, {""name"": ""Welcome\nOur Values\nOur Staff\nAdmissions\nOfsted\nSchool Performance\nJob Opportunities\nGovernance\nThe""}]",old,0,0
100406,Grafton Primary School,https://www.graftonschool.co.uk,2026-02-14T17:56:47.716651,success,"[""graftonschool@grafton.islington.sch.uk""]",[],"Eburne Road,
Holloway,
London,
N7 6AR.",[],[],old,0,0
100407,Hanover Primary School,https://www.hanover.islington.sch.uk,2026-02-14T17:57:38.070704,success,"[""admin@hanover.islington.sch.uk"", ""inclusion@hanover.islington.sch.uk""]",[],"Noel Road, Islington
London
N1 8BD",[],[],old,0,0
100408,Hargrave Park Primary School,https://www.hargravepark.com,2026-02-14T17:58:01.844801,success,"[""office@hargravepark.islington.sch.uk""]",[],"51 Bredgar Road
London
N19 5BS","[{""name"": ""Senior Leadership Team\nExecutive Head Teacher\tLisa Horton""}, {""name"": ""Charlie Baverstock\nSchool Business Manager\tLacka Rathore\nMiddle Leadership Team\nAssistant""}, {""name"": ""Carla Jones\nAssistant""}, {""name"": ""School\tCharlie Baverstock\nSchool Business Manager\tLacka Rathore\nMiddle Leadership Team""}, {""name"": ""Carla Jones""}]","[{""name"": ""Closed\n\nKey Contacts""}, {""name"": ""Horton\nSchool Business Manager"", ""role"": ""Mrs""}, {""name"": ""Rathore"", ""role"": ""Mr""}]",old,0,0
100411,Laycock Primary School,https://www.laycock.islington.sch.uk,2026-02-14T17:59:11.443738,success,"[""afterschoolclub@laycock.islington.sch.uk"", ""office@laycock.islington.sch.uk""]",[],"Laycock Street
Islington
London
N1 1SW",[],[],old,0,0
100415,Moreland Primary School,http://www.moreland-islington.co.uk,2026-02-14T17:59:36.592479,no_emails,[],[],,[],[],old,0,0
100418,Pakeman Primary School,https://www.pakemanprimary.co.uk,2026-02-14T18:00:01.020806,success,"[""admin@pakeman.islington.sch.uk""]",[],"Hornsey Road
London N7 6DU",[],"[{""name"": ""Search\nSearch\nSearch""}, {""name"": ""Pay Committee""}, {""name"": ""Nahom Russom""}, {""name"": ""Governors\n\n \nLaura Popazzi\n\nVice""}, {""name"": ""Local Authority Governor\n\n \nMarcia Harris\n\nStaff""}]",old,0,0
100422,Robert Blair School and Children's Centre,http://www.robertblairschool.com,2026-02-14T18:00:50.277256,success,"[""admin@robertblair.islington.sch.uk""]",[],Robert Blair Primary School . Brewery Road . Islington . London . N7 9QJ,[],"[{""name"": ""Lisa Horton\tExecutive""}, {""name"": ""Centre\nCommunity\nNews\nTerm Dates\nContact Us""}, {""name"": ""Robert Blair""}, {""name"": ""Lisa Horton\tExecutive Headteacher\t\nPaul Convery""}, {""name"": ""Gov\nSara Liney\tObserver\t\nAndy Harrop\tVice""}, {""name"": ""Governor\nEmine Vitia\tCurriculum\tParent Governor\nFolami Ashade\tStaff""}]",old,0,0
100425,Thornhill Primary School,https://www.thornhill.islington.sch.uk,2026-02-14T18:01:23.577478,success,"[""thornhill@thornhill.islington.sch.uk"", ""extended@thornhill.islington.sch.uk""]",[],"Thornhill Road,
Islington,
London,
N1 1HX",[],[],old,0,0
100426,Vittoria Primary School,https://www.vittoria.islington.sch.uk,2026-02-14T18:01:47.540045,success,"[""office@vittoria.islington.sch.uk""]",[],"Treaty Street, London N1 0WF",[],"[{""name"": ""Dates\nNews Blog\nNewsletters\nCalendar\nSchool Gallery\nContact Us""}, {""name"": ""Tina Southall""}, {""name"": ""Matthew Akinnayajo\nDeputy""}, {""name"": ""Elli Hullock\nDeputy""}, {""name"": ""Matthew Akinnayajo""}, {""name"": ""Elli Hullock""}]",old,0,0
100428,Winton Primary School,https://www.lqps.co.uk/245/our-school,2026-02-14T18:02:18.830267,no_emails,[],[],"Myddelton Street, London EC1R 1YJ",[],[],old,0,0
100429,Yerbury Primary School,https://www.yerbury.islington.sch.uk,2026-02-14T18:02:44.221788,success,"[""admin@yerbury.islington.sch.uk"", ""chair@yerbury.islington.sch.uk""]",[],"Foxham Road
London N19 4RR",[],"[{""name"": ""Welcome\nOur Ethos And Vision\nOur Staff\nAdmissions\nSchool Performance\nOfsted Report And Awards\nFor Inspectors\nPolicies\nPupil Premium\nSports Premium\nSchool Development Plan\nAttendance\nDress Code\nOur Governing Body\nFull Governing Body Meetings\nCommittees\nLink""}, {""name"": ""Qs\nContact\nRelated Pages\nOur Governing Body\nFull Governing Body Meetings\nCommittees\nLink""}, {""name"": ""Full Governing Body Meetings""}]",old,0,0
100430,Tufnell Park Primary School,https://www.tufnellpark.islington.sch.uk,2026-02-14T18:03:34.406000,no_emails,[],[],"31 Carleton Road
London N7 0HJ",[],[],old,0,0
100431,Highbury Quadrant Primary School,http://www.highburyquadrantprimary.co.uk,2026-02-14T18:04:09.995511,no_emails,[],[],,[],[],old,0,0
100432,Ashmount Primary School,https://www.ashmountprimaryschool.co.uk,2026-02-14T18:04:10.061636,no_emails,[],[],,[],[],old,0,0
100434,Prior Weston Primary School and Children's Centre,https://www.priorweston.islington.sch.uk,2026-02-14T18:04:11.221491,no_emails,[],[],,[],[],old,0,0
100437,Sacred Heart Catholic Primary School,http://www.sacredheart.islington.sch.uk,2026-02-14T18:04:11.412457,no_emails,[],[],,[],[],old,0,0
100438,St John Evangelist Catholic Primary School,https://www.stjohnevangelist.islington.sch.uk,2026-02-14T18:04:11.764443,no_emails,[],[],,[],[],old,0,0
100439,St John's Upper Holloway CofE Primary School,https://www.stjohnsupperholloway.co.uk,2026-02-14T18:04:11.887073,no_emails,[],[],,[],[],old,0,0
100440,St John's Highbury Vale CofE Primary School,https://www.stjhv.islington.sch.uk,2026-02-14T18:04:12.306287,no_emails,[],[],,[],[],old,0,0
