URN,School_Name,Website,All_Emails,Has_Pupil_Premium,Has_Governors,Has_SEND,Ofsted_Mention,Postcode,Town,Region,Scrape_Date
100000,The Aldgate School,https://www.thealdgateschool.org,office@thealdgateschool.org,0,0,0,,EC3A 5DE,London,London,2026-02-14T06:16:50.164240
100005,Thomas Coram Centre,http://www.thomascoram.camden.sch.uk/,,0,0,0,,WC1N 2NY,London,London,2026-02-14T06:16:57.214771
100006,Heath School,http://heath.h3federation.org.uk/,office@h3federation.org.uk,0,0,1,,NW3 2NY,London,London,2026-02-14T06:17:02.698300
100007,Camden Primary Pupil Referral Unit,http://www.robsonhouse.org.uk/main/,,0,0,0,,NW1 3EX,London,London,2026-02-14T06:17:08.428045
100008,Argyle Primary School,http://www.argyle.camden.sch.uk/,,0,0,0,,WC1H 9EG,London,London,2026-02-14T06:17:15.631761
100009,West Hampstead Primary School,http://www.westhampstead.camden.sch.uk/,admin@westhampstead.camden.sch.uk,0,0,1,good,NW6 1QL,London,London,2026-02-14T06:17:22.394610
100010,Brecknock Primary School,http://www.brecknock.camden.sch.uk/,admin@brecknock.camden.sch.uk,1,1,1,,NW1 9AL,London,London,2026-02-14T06:17:31.624837
100011,Brookfield Primary School,http://www.brookfield.camden.sch.uk/,admin@brookfield.camden.sch.uk,0,0,0,,N19 5DH,London,London,2026-02-14T06:17:38.568215
100013,Edith Neville Primary School,http://www.edithneville.camden.sch.uk/,,0,0,0,,NW1 1HQ,London,London,2026-02-14T06:17:44.534625
100014,Fleet Primary School,http://www.fleet.camden.sch.uk/,admin@fleet.camden.sch.uk,0,0,0,,NW3 2QT,London,London,2026-02-14T06:17:50.813989
100015,Hawley Primary School,http://www.hawley.camden.sch.uk/,admin@hawley.camden.sch.uk,0,0,0,outstanding,NW1 8RP,London,London,2026-02-14T06:18:01.639381
100018,Netley Primary School & Centre for Autism,https://www.netley.camden.sch.uk/,"admin@netley.camden.sch.uk, admin@netley.camden.sch.uk",0,0,1,,NW1 3EX,London,London,2026-02-14T06:18:12.577247
100019,New End Primary School,http://www.newend.camden.sch.uk/,admin@newend.camden.sch.uk,0,0,0,,NW3 1HU,London,London,2026-02-14T06:18:19.179994
100020,Primrose Hill School,https://www.primrosehill.camden.sch.uk,,0,0,0,,NW1 8JL,London,London,2026-02-14T06:18:27.214899
100021,Rhyl Community Primary School,https://www.rhylprim.camden.sch.uk/,,0,0,1,,NW5 3HB,London,London,2026-02-14T06:18:32.967787
