district_code,district_name,total_schools,emails_collected,remaining_to_scrape,coverage_pct,status,district_file
886,Kent,595,96,499,16.1,pending,districts/886_kent.csv
888,Lancashire,627,145,482,23.1,pending,districts/888_lancashire.csv
881,Essex,558,84,474,15.1,pending,districts/881_essex.csv
850,Hampshire,531,123,408,23.2,pending,districts/850_hampshire.csv
330,Birmingham,444,55,389,12.4,pending,districts/330_birmingham.csv
926,Norfolk,423,43,380,10.2,pending,districts/926_norfolk.csv
919,Hertfordshire,531,160,371,30.1,pending,districts/919_hertfordshire.csv
860,Staffordshire,409,47,362,11.5,pending,districts/860_staffordshire.csv
936,Surrey,400,52,348,13.0,pending,districts/936_surrey.csv
830,Derbyshire,419,77,342,18.4,pending,districts/830_derbyshire.csv
925,Lincolnshire,361,32,329,8.9,pending,districts/925_lincolnshire.csv
878,Devon,371,47,324,12.7,pending,districts/878_devon.csv
935,Suffolk,323,22,301,6.8,pending,districts/935_suffolk.csv
891,Nottinghamshire,341,44,297,12.9,pending,districts/891_nottinghamshire.csv
815,North Yorkshire,355,60,295,16.9,pending,districts/815_north-yorkshire.csv
931,Oxfordshire,307,19,288,6.2,pending,districts/931_oxfordshire.csv
383,Leeds,280,12,268,4.3,pending,districts/383_leeds.csv
908,Cornwall,280,16,264,5.7,pending,districts/908_cornwall.csv
855,Leicestershire,287,30,257,10.5,pending,districts/855_leicestershire.csv
873,Cambridgeshire,270,27,243,10.0,pending,districts/873_cambridgeshire.csv
916,Gloucestershire,300,58,242,19.3,pending,districts/916_gloucestershire.csv
933,Somerset,269,31,238,11.5,pending,districts/933_somerset.csv
938,West Sussex,285,70,215,24.6,pending,districts/938_west-sussex.csv
937,Warwickshire,252,43,209,17.1,pending,districts/937_warwickshire.csv
825,Buckinghamshire,235,32,203,13.6,pending,districts/825_buckinghamshire.csv
885,Worcestershire,244,43,201,17.6,pending,districts/885_worcestershire.csv
840,County Durham,262,62,200,23.7,pending,districts/840_county-durham.csv
380,Bradford,211,28,183,13.3,pending,districts/380_bradford.csv
941,West Northamptonshire,186,4,182,2.2,pending,districts/941_west-northamptonshire.csv
865,Wiltshire,235,54,181,23.0,pending,districts/865_wiltshire.csv
845,East Sussex,187,27,160,14.4,pending,districts/845_east-sussex.csv
382,Kirklees,181,21,160,11.6,pending,districts/382_kirklees.csv
373,Sheffield,180,25,155,13.9,pending,districts/373_sheffield.csv
