urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
139837,202,Camden,Abacus Belsize Primary School,http://www.abacus-cfbt.org,London,N1C 4PF,London,no
100008,202,Camden,Argyle Primary School,http://www.argyle.camden.sch.uk/,London,WC1H 9EG,London,no
100007,202,Camden,Camden Primary Pupil Referral Unit,http://www.robsonhouse.org.uk/main/,London,NW1 3EX,London,no
100060,202,Camden,Children's Hospital School at Gt Ormond Street and UCH,https://www.goshschool.org/,London,WC1N 3JH,London,no
100029,202,Camden,Christ Church School,http://www.cchurchnw1.camden.sch.uk,London,NW1 4BD,London,no
130342,202,Camden,Christopher Hatton Primary School,http://www.chrishatton.camden.sch.uk/,London,EC1R 4PQ,London,no
100013,202,Camden,Edith Neville Primary School,http://www.edithneville.camden.sch.uk/,London,NW1 1HQ,London,no
100030,202,Camden,Emmanuel Church of England Primary School,http://www.emmanuel.camden.sch.uk/,London,NW6 1TF,London,no
100026,202,Camden,Fitzjohn's Primary School,http://www.fitzjohns.camden.sch.uk/,London,NW3 6NP,London,no
100091,202,Camden,Frank Barnes School for Deaf Children,https://www.fbarnes.camden.sch.uk,London,N1C 4BT,London,no
100025,202,Camden,Gospel Oak Primary School,www.gospeloak.camden.sch.uk,London,NW3 2JB,London,no
100031,202,Camden,Hampstead Parochial Church of England Primary School,http://www.hampsteadprim.camden.sch.uk/,London,NW3 6TX,London,no
140686,202,Camden,Kings Cross Academy,kingscrossacademy.org.uk,London,N1C 4BT,London,no
132245,202,Camden,Kingsgate Primary School,www.kingsgateprimaryschool.org.uk,London,NW6 4LB,London,no
100055,202,Camden,Maria Fidelis Catholic School FCJ,http://www.mariafidelis.camden.sch.uk/,London,NW1 1LY,London,no
100094,202,Camden,Royal Free Hospital Children's School,http://www.royalfree.camden.sch.uk/,London,NW3 2QG,London,no
136807,202,Camden,St Luke's Church of England School,www.stlukesschool.org.uk,London,NW3 7SU,London,no
141164,202,Camden,The ArtsXchange,https://www.beckmeadtrust.org/artsxchange,London,EC1V 1JX,London,no
100054,202,Camden,The Camden School for Girls,http://www.camdengirls.camden.sch.uk,London,NW5 2DB,London,no
137181,202,Camden,The UCL Academy,http://www.uclacademy.co.uk,Camden,NW3 3AQ,London,no
100005,202,Camden,Thomas Coram Centre,http://www.thomascoram.camden.sch.uk/,London,WC1N 2NY,London,no
100053,202,Camden,Acland Burghley School,http://www.aclandburghley.camden.sch.uk/,London,NW5 1UJ,London,yes
100010,202,Camden,Brecknock Primary School,http://www.brecknock.camden.sch.uk/,London,NW1 9AL,London,yes
100011,202,Camden,Brookfield Primary School,http://www.brookfield.camden.sch.uk/,London,N19 5DH,London,yes
