urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
143601,203,Greenwich,Alderwood Primary School,http://www.alderwood.compassps.uk,London,SE9 2JH,London,no
138245,203,Greenwich,Ark Greenwich Free School,http://www.arkgreenwichfreeschool.org/,London,SE18 4LH,London,no
150068,203,Greenwich,Bannockburn Primary School,www.bannockburnprimaryschool.com/,London,SE18 1HE,London,no
100181,203,Greenwich,Bishop John Robinson Church of England Primary School,https://www.bishopjohnrobinsonprimary.co.uk/,London,SE28 8LW,London,no
149684,203,Greenwich,Boxgrove Primary School,https://www.boxgrove.compassps.uk,Greenwich,SE2 9JP,London,no
143210,203,Greenwich,Brooklands Primary School,http://www.brooklandsschool.org.uk/,London,SE3 9AB,London,no
100155,203,Greenwich,Cardwell Primary School,https://www.cardwellschool.co.uk,London,SE18 5LP,London,no
138547,203,Greenwich,Charlton Park Academy,www.charltonparkacademy.com,London,SE7 8HX,London,no
132800,203,Greenwich,Conway Primary School,www.conwayprimaryschool.co.uk/,London,SE18 1QY,London,no
143599,203,Greenwich,Deansfield Primary School,https://www.deansfield.compassps.uk/,London,SE9 1XP,London,no
131109,203,Greenwich,Discovery Primary School,www.discovery.greenwich.sch.uk/,London,SE28 0JN,London,no
132827,203,Greenwich,Eglinton Primary School,www.eglinton-royalgreenwich.co.uk,London,SE18 3PY,London,no
143592,203,Greenwich,Foxfield Primary School,www.foxfield.org.uk/,London,SE18 7EX,London,no
100126,203,Greenwich,Gallions Mount Primary School,www.gallionsmount.greenwich.sch.uk,London,SE18 1JR,London,no
100127,203,Greenwich,Gordon Primary School,https://www.gordonprimary.co.uk,London,SE9 1QG,London,no
145210,203,Greenwich,Greenacres Primary School and Language Impairment Unit,www.greenacres.org.uk/,London,SE9 3JN,London,no
100129,203,Greenwich,Haimo Primary School,http://www.haimoprimaryschool.co.uk,London,SE9 6DY,London,no
143597,203,Greenwich,Halstow Primary School,www.halstow.compassps.uk,London,SE10 0LD,London,no
138449,203,Greenwich,Harris Academy Greenwich,http://www.harrisgreenwich.org.uk/,London,SE9 5EQ,London,no
148614,203,Greenwich,Hawksmoor School,www.hawksmoor.org.uk,London,SE28 8AS,London,no
143598,203,Greenwich,Horn Park Primary School,www.hornpark.compassps.uk,London,SE12 9BT,London,no
131246,203,Greenwich,James Wolfe Primary School and Centre for the Deaf,http://www.jameswolfe.greenwich.sch.uk,London,SE10 8RZ,London,no
149683,203,Greenwich,Kidbrooke Park Primary School,https://kidbrookepark.compassps.uk,London,SE3 8JG,London,no
100204,203,Greenwich,King's Oak School,https://www.kingsoakschool.co.uk,London,SE9 5LX,London,no
145895,203,Greenwich,Leigh Academy Blackheath,https://leighacademyblackheath.org.uk/,London,SE3 8SY,London,no
145315,203,Greenwich,Leigh Academy Halley,www.thehalleyacademy.org.uk,London,SE3 8EP,London,no
141309,203,Greenwich,Leigh Stationers' Academy,www.scwa.org.uk,London,SE9 2PT,London,no
143211,203,Greenwich,Millennium Primary School,http://millenniumprimary.org.uk/,London,SE10 0BG,London,no
100163,203,Greenwich,Mulgrave Primary School,https://www.mulgraveprimary.org.uk,London,SE18 5DL,London,no
145215,203,Greenwich,Nightingale Primary School,http://www.nightingaleprimary.org.uk/,London,SE18 7JJ,London,no
143593,203,Greenwich,Rockliffe Manor Primary School,www.rockliffemanor.co.uk,London,SE18 2NP,London,no
143927,203,Greenwich,Royal Greenwich Trust School,http://www.rgtrustschool.net,London,SE7 8LJ,London,no
138966,203,Greenwich,Shooters Hill Sixth Form College,http://www.shc.ac.uk,London,SE18 4LD,London,no
143596,203,Greenwich,South Rise Primary School,http://www.southrise.compassps.uk,London,SE18 7PX,London,no
144091,203,Greenwich,St Mary's Catholic Primary School,www.stmaryrc.org.uk/,London,SE9 1UF,London,no
147439,203,Greenwich,The John Roan School,http://www.thejohnroanschool.org.uk,London,SE3 7QR,London,no
100142,203,Greenwich,Thorntree Primary School,https://www.thorntree.greenwich.sch.uk/,London,SE7 8AE,London,no
143209,203,Greenwich,Timbercroft Primary School,http://www.timbercroft.greenwich.sch.uk/,London,SE18 2SG,London,no
133401,203,Greenwich,Waterside School,http://www.watersideschool.co.uk/,London,SE18 7NB,London,no
143595,203,Greenwich,Willow Dene School,www.willowdene.compassps.uk,Plumstead,SE18 2JD,London,no
151311,203,Greenwich,Windrush Charlton Primary School,,London,SE7 8FE,London,no
