urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
100282,204,Hackney,All Saints Catholic High School,https://www.allsaintschs.co.uk,London,N16 5AF,London,no
150604,204,Hackney,Cardinal Pole Catholic School,http://www.cardinalpole.co.uk,London,E9 6LG,London,no
143756,204,Hackney,"City of London Academy, Shoreditch Park",www.shoreditch.cola.org.uk,London,N1 5JU,London,no
137442,204,Hackney,Clapton Girls' Academy,www.clapton.hackney.sch.uk,London,E5 0RB,London,no
130303,204,Hackney,Gayhurst Community School,http://www.gayhurst.hackney.sch.uk/,London,E8 3EN,London,no
100252,204,Hackney,Grasmere Primary School,https://www.grasmere.hackney.sch.uk,London,N16 9PD,London,no
142112,204,Hackney,Hackney New Primary School,http://hackneynewprimaryschool.org,London,N1 5FR,London,no
149901,204,Hackney,Haggerston School,http://www.haggerston.hackney.sch.uk/,London,E2 8LS,London,no
141750,204,Hackney,Halley House School,www.halleyhouseschool.org.uk,London,E8 2DJ,London,no
100312,204,Hackney,Ickburgh School,www.ickburgh.org.uk,London,E9 5RB,London,no
100253,204,Hackney,Jubilee Primary School,http://www.jubilee.hackney.sch.uk/,London,N16 6NR,London,no
145730,204,Hackney,Lubavitch Boys' Primary School,https://lubavitchjuniorboys.co.uk/,London,E5 9AE,London,no
145610,204,Hackney,Lubavitch Girls Primary School,www.lubavitchgirlsprimaryschool.org,London,N16 5RP,London,no
145609,204,Hackney,Lubavitch House School (Senior Girls),www.lubavitchseniorgirls.com,London,N16 5RP,London,no
142255,204,Hackney,Mossbourne Parkside Academy,http://www.mpa.mossbourne.org/,London,E8 1AS,London,no
140426,204,Hackney,Mossbourne Riverside Academy,www.mra.mossbourne.org,London,E15 2GW,London,no
140210,204,Hackney,Mossbourne Victoria Park Academy,www.mvpa.mossbourne.org,London,E9 7HD,London,no
134635,204,Hackney,New Regent's College,www.newregentscollege.co.uk,London,N1 7RD,London,no
100254,204,Hackney,Nightingale Primary School,https://www.nightingale.hackney.sch.uk/,London,E5 8NA,London,no
141576,204,Hackney,Northwold Primary School,www.northwoldschool.com,London,E5 8RN,London,no
100244,204,Hackney,Oldhill Community School,http://www.oldhill.hackney.sch.uk/,London,N16 6LR,London,no
130302,204,Hackney,Rushmore Primary School,www.rushmore.hackney.sch.uk/,London,E5 0LE,London,no
100275,204,Hackney,Simon Marks Jewish Primary School,https://www.simonmarks.hackney.sch.uk/,London,N16 6PD,London,no
100251,204,Hackney,Sir Thomas Abney School,www.sirthomasabney.hackney.sch.uk/,London,N16 5ED,London,no
136137,204,Hackney,Skinners' Academy,http://www.skinnersacademy.org.uk,London,N4 1SY,London,no
121792,204,Hackney,Springfield Community Primary School,www.springfield.hackney.sch.uk,London,N16 6DH,London,no
132137,204,Hackney,St John and St James CofE Primary School,https://www.johnjames.hackney.sch.uk/,London,E9 6DX,London,no
100271,204,Hackney,"St Mary's Church of England Primary School, Stoke Newington",www.st-marys.hackney.sch.uk/,London,N16 0JT,London,no
100267,204,Hackney,St Matthias Church of England Primary School,,London,N16 8DD,London,no
150550,204,Hackney,St Monica's Catholic Primary School,www.stmonicasprimaryhackney.co.uk/,London,N1 6QN,London,no
100274,204,Hackney,St Scholastica's Catholic Primary School,https://www.st-scholasticas.com,London,E5 8BS,London,no
133669,204,Hackney,St. Dominic's Catholic Primary School,www.stdominics.hackney.sch.uk/,London,E9 5SR,London,no
100279,204,Hackney,Stoke Newington School and Sixth Form,http://www.sns.hackney.sch.uk/,London,N16 9EX,London,no
143103,204,Hackney,The Boxing Academy AP Free School,www.theboxingacademy.co.uk,London,E5 8PH,London,no
131609,204,Hackney,The Bridge Academy,http://www.bridgeacademy.hackney.sch.uk/,London,E2 8BA,London,no
131062,204,Hackney,The Excelsior Academy,www.excelsiorcst.org,London,E8 2EY,London,no
100311,204,Hackney,The Garden School,http://www.the-garden.org.uk/,London,N16 8BZ,London,no
139814,204,Hackney,"The Olive School, Hackney",www.olivehackney.com,London,E9 6EJ,London,no
100284,204,Hackney,The Urswick School - A Church of England Secondary School,https://www.theurswickschool.co.uk,London,E9 6NR,London,no
147653,204,Hackney,Waterside Academy,https://www.watersidecst.org,London,E8 4DL,London,no
100212,204,Hackney,Wentworth Nursery School and Children's Centre,https://www.wentworth.hackney.sch.uk,London,E9 5BY,London,no
130932,204,Hackney,William Patten Primary School,http://www.williampatten.hackney.sch.uk/,London,N16 0NX,London,no
100260,204,Hackney,Benthal Primary School,https://www.benthal.hackney.sch.uk/,London,N16 7AU,London,yes
100218,204,Hackney,Berger Primary School,https://www.berger.hackney.sch.uk,London,E9 6HB,London,yes
131706,204,Hackney,Betty Layward Primary School,www.bettylayward.hackney.sch.uk/,London,N16 9EX,London,yes
100213,204,Hackney,Comet Nursery School and Children's Centre,https://www.cometnurseryandcc.co.uk/website,London,N1 5RF,London,yes
100223,204,Hackney,Daubeney Primary School,https://www.daubeney.hackney.sch.uk,London,E5 0EG,London,yes
100225,204,Hackney,Gainsborough Primary School,https://www.gainsborough.hackney.sch.uk,London,E9 5ND,London,yes
100258,204,Hackney,Grazebrook Primary School,https://www.grazebrook.hackney.sch.uk/,London,N16 0QP,London,yes
100256,204,Hackney,Harrington Hill Primary School,https://www.harringtonhill.hackney.sch.uk/,London,E5 9JG,London,yes
100257,204,Hackney,Holmleigh Primary School,https://www.holmleigh.hackney.sch.uk/,London,N16 5PU,London,yes
100263,204,Hackney,Holy Trinity Church of England Primary School,https://www.holytrinity.hackney.sch.uk,London,E8 3DY,London,yes
131141,204,Hackney,Hoxton Garden Primary,www.hoxtongarden.hackney.sch.uk/,London,N1 5JD,London,yes
100250,204,Hackney,Kingsmead Primary School,http://www.kingsmead.hackney.sch.uk/,London,E9 5PP,London,yes
100229,204,Hackney,Lauriston School,https://www.lauriston.hackney.sch.uk,London,E9 7JS,London,yes
100230,204,Hackney,London Fields Primary School,https://www.londonfields.hackney.sch.uk,London,E8 3RL,London,yes
100261,204,Hackney,Mandeville Primary School,https://www.mandeville.hackney.sch.uk,London,E5 0BT,London,yes
100231,204,Hackney,Millfields Community School,http://www.millfields.hackney.sch.uk/,London,E5 0SH,London,yes
100232,204,Hackney,Morningside Primary School,https://www.morningside.hackney.sch.uk,London,E9 6LL,London,yes
134693,204,Hackney,Mossbourne Community Academy,http://www.mca.mossbourne.org/,London,E5 8JY,London,yes
100234,204,Hackney,Orchard Primary School,www.orchard.hackney.sch.uk/,London,E9 7BB,London,yes
100264,204,Hackney,Our Lady and St Joseph Catholic Primary School,http://www.olsjschool.net/,London,N1 4JB,London,yes
100259,204,Hackney,Parkwood Primary School,https://www.parkwood.hackney.sch.uk/,LONDON,N4 2HQ,London,yes
100239,204,Hackney,Princess May Primary School,https://www.princessmay.hackney.sch.uk/,London,N16 8DF,London,yes
100235,204,Hackney,Queensbridge Primary School,https://www.queensbridge.hackney.sch.uk,London,E8 4ET,London,yes
100240,204,Hackney,Sebright School,http://www.sebright.hackney.sch.uk,London,E2 8QH,London,yes
100241,204,Hackney,Shacklewell Primary School,https://www.shacklewell.hackney.sch.uk/,London,E8 2EA,London,yes
100245,204,Hackney,Shoreditch Park Primary School,https://www.shoreditchpark.hackney.sch.uk,London,N1 5JN,London,yes
100242,204,Hackney,Southwold Primary School,www.southwold.hackney.sch.uk/,Hackney,E5 9NL,London,yes
100270,204,Hackney,St John of Jerusalem Church of England Primary School,https://www.st-johnjerusalem.hackney.sch.uk/,London,E9 7JF,London,yes
100266,204,Hackney,St John the Baptist Voluntary Aided Church of England Primary School,https://www.st-john.hackney.sch.uk,London,N1 6JG,London,yes
100269,204,Hackney,St. Paul's With St. Michael's CofE Primary School,https://www.spsm.hackney.sch.uk/,Hackney,E8 4PB,London,yes
100307,204,Hackney,Stormont House School,http://www.stormonthouse.hackney.sch.uk/,London,E5 8NP,London,yes
135835,204,Hackney,"The City Academy, Hackney",https://www.thecityacademyhackney.org,London,E9 6EA,London,yes
100243,204,Hackney,Thomas Fairchild Community School,http://www.thomasfairchild.hackney.sch.uk/,London,N1 7HA,London,yes
