urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
100321,205,Hammersmith and Fulham,Addison Primary School,https://www.addisonprimary.org/,London,W14 0DT,London,no
138680,205,Hammersmith and Fulham,Ark Bentworth Primary Academy,www.arkbentworth.org,London,W12 7AJ,London,no
131752,205,Hammersmith and Fulham,Ark Burlington Danes Academy,http://burlingtondanes.org/,London,W12 0HR,London,no
137331,205,Hammersmith and Fulham,Ark Conway Primary Academy,www.arkconway.org,London,W12 0QT,London,no
139820,205,Hammersmith and Fulham,Ark White City Primary Academy,www.arkwhitecity.org,London,W12 7PT,London,no
100322,205,Hammersmith and Fulham,Avonmore Primary School,https://www.avonmoreprimary.co.uk,London,W14 8SH,London,no
100382,205,Hammersmith and Fulham,Cambridge School,https://www.cambridge.lbhf.sch.uk,London,W12 0SP,London,no
140811,205,Hammersmith and Fulham,Earl's Court Free School Primary,www.wlfs-earlscourt.org,London,W6 0LB,London,no
100328,205,Hammersmith and Fulham,Flora Gardens Primary School,https://www.floragardens.lbhf.sch.uk,London,W6 7PZ,London,no
139364,205,Hammersmith and Fulham,Fulham Cross Academy,www.fulhamcrossacademy.co.uk/,London,SW6 6SN,London,no
139365,205,Hammersmith and Fulham,Fulham Cross Girls' School and Language College,http://www.fulhamcross.net/,London,SW6 6BP,London,no
143213,205,Hammersmith and Fulham,Fulham Primary School,https://www.fulhamprimaryschool.org.uk/,London,SW6 1JU,London,no
100354,205,Hammersmith and Fulham,Good Shepherd RC Primary School,https://www.goodshepherdrc.lbhf.sch.uk/,London,W12 9BY,London,no
141902,205,Hammersmith and Fulham,Greenside Primary School,www.greensideschool.org/,London,W12 9PT,London,no
136172,205,Hammersmith and Fulham,Hammersmith Academy,http://hammersmithacademy.org,London,W12 9JD,London,no
100345,205,Hammersmith and Fulham,Holy Cross RC School,http://www.holycrossfulham.org.uk/,London,SW6 4BL,London,no
100381,205,Hammersmith and Fulham,Jack Tizard School,https://www.jacktizard.lbhf.sch.uk,London,W12 7PA,London,no
138607,205,Hammersmith and Fulham,Lady Margaret School,http://www.ladymargaret.lbhf.sch.uk,London,SW6 4UN,London,no
141685,205,Hammersmith and Fulham,Langford Primary School,www.langfordprimary.org.uk,London,SW6 2LG,London,no
134009,205,Hammersmith and Fulham,Larmenier & Sacred Heart Catholic Primary School,www.larshrc.lbhf.sch.uk,London,W6 7BL,London,no
