urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
131690,206,Islington,Arts and Media School Islington,www.artsandmedia.islington.sch.uk,London,N4 3LS,London,no
100432,206,Islington,Ashmount Primary School,https://www.ashmountprimaryschool.co.uk/,London,N8 9EG,London,no
100453,206,Islington,Beacon High,http://www.beaconhigh.org,London,N7 0JG,London,no
131773,206,Islington,Canonbury Primary School,www.canonburyprimaryschool.co.uk/,London,N1 2UT,London,no
100458,206,Islington,Central Foundation Boys' School,http://www.centralfoundationboys.co.uk,London,EC2A 4SH,London,no
100450,206,Islington,Christ The King Catholic Primary School,https://www.ctks.co.uk/,London,N4 3QW,London,no
144962,206,Islington,City of London Academy Highbury Grove,www.highburygrove.cola.org.uk,London,N5 2EQ,London,no
135587,206,Islington,City of London Academy Islington,www.colai.org.uk,London,N1 8PQ,London,no
143659,206,Islington,"City of London Academy, Highgate Hill",http://www.highgatehill.cola.org.uk/,London,N19 3EU,London,no
143020,206,Islington,"City of London Primary Academy, Islington",www.colpai.org.uk,London,EC1Y 0AE,London,no
100457,206,Islington,Elizabeth Garrett Anderson School,http://www.egaschool.co.uk/,London,N1 9QG,London,no
100455,206,Islington,Highbury Fields School,http://www.highburyfields.islington.sch.uk/,London,N5 1AR,London,no
100431,206,Islington,Highbury Quadrant Primary School,http://www.highburyquadrantprimary.co.uk,London,N5 2DP,London,no
131842,206,Islington,Hugh Myddelton Primary School,www.lqps.co.uk/hughmyddelton,London,EC1R 1YJ,London,no
145731,206,Islington,Hungerford School,www.thebridgetrust.academy,London,N7 9LF,London,no
100385,206,Islington,Kate Greenaway Nursery School and Children's Centre,https://www.kategreenaway.org,London,N1 0UH,London,no
100415,206,Islington,Moreland Primary School,http://www.moreland-islington.co.uk,London,EC1V 8BB,London,no
134274,206,Islington,New River College Medical,https://www.newrivercollege.co.uk/nrc-medical/welcome-medical,London,N1 0TJ,London,no
131325,206,Islington,Newington Green Primary School,www.newingtongreen.co.uk/,London,N16 8NP,London,no
100386,206,Islington,North Islington Nursery School,https://www.northislingtonnursery.co.uk,London,N4 3RB,London,no
150522,206,Islington,Pooles Park Primary School,,London,N4 3NW,London,no
100434,206,Islington,Prior Weston Primary School and Children's Centre,https://www.priorweston.islington.sch.uk,London,EC1Y 8JA,London,no
100467,206,Islington,Richard Cloudesley School,https://www.cloudesley.islington.sch.uk,London,N1 8RE,London,no
131740,206,Islington,Rotherfield Primary School,www.rotherfieldprimary.co.uk,London,N1 3EE,London,no
100437,206,Islington,Sacred Heart Catholic Primary School,http://www.sacredheart.islington.sch.uk/,London,N7 8JN,London,no
100469,206,Islington,Samuel Rhodes MLD School,https://www.samuelrhodes.islington.sch.uk,London,N5 2EG,London,no
100459,206,Islington,St Aloysius RC College,https://www.sta.islington.sch.uk,London,N6 5LY,London,no
100448,206,Islington,St Andrew's (Barnsbury) Church of England Primary School,https://www.standrews.islington.sch.uk,London,N1 0LB,London,no
100449,206,Islington,St Joan of Arc RC Primary School,https://www.st-joanofarc.islington.sch.uk/,London,N5 2UX,London,no
100438,206,Islington,St John Evangelist Catholic Primary School,www.stjohnevangelist.islington.sch.uk,London,N1 8BL,London,no
100440,206,Islington,St John's Highbury Vale CofE Primary School,https://www.stjhv.islington.sch.uk,London,N5 1DL,London,no
100439,206,Islington,St John's Upper Holloway CofE Primary School,https://www.stjohnsupperholloway.co.uk/,London,N19 5RR,London,no
100442,206,Islington,St Jude and St Paul's CofE Primary School,www.stjudestpauls.co.uk,London,N1 4AZ,London,no
100443,206,Islington,St Luke's CofE Primary School,https://www.st-lukesislington.co.uk,London,EC1V 3SJ,London,no
100444,206,Islington,St Mark's CofE Primary School,https://www.st-marks.islington.sch.uk/,London,N19 4JF,London,no
134314,206,Islington,St Mary Magdalene Academy,www.smmacademy.org,London,N7 8PG,London,no
100446,206,Islington,St Mary's CofE Primary School,https://www.stmarys.islington.sch.uk,London,N1 2EP,London,no
100447,206,Islington,St Peter and St Paul Catholic Primary School,https://www.stpetersandstpauls.islington.sch.uk/,London,EC1V 0EU,London,no
141605,206,Islington,The Bridge Integrated Learning Space,www.thebridgetrust.academy,London,N1 0HY,London,no
143702,206,Islington,The Bridge Satellite Provision,www.thebridgetrust.academy,London,N19 3DL,London,no
143217,206,Islington,The Bridge School,www.thebridgetrust.academy,London,N7 9LD,London,no
139418,206,Islington,The Courtyard Islington,www.thecourtyardislington.org,London,N7 8LT,London,no
146031,206,Islington,The London Screen Academy,www.lsa.ac.uk,London,N5 2AG,London,no
137393,206,Islington,The New North Academy,www.newnorthacademy.com/,London,N1 8SJ,London,no
141130,206,Islington,The Pears Family School,www.thefamilyschoollondon.org,London,N1 9JH,London,no
100430,206,Islington,Tufnell Park Primary School,https://www.tufnellpark.islington.sch.uk/,London,N7 0HJ,London,no
140495,206,Islington,Whitehall Park School,www.whitehallparkschool.co.uk/,London,N6 5EP,London,no
137566,206,Islington,William Tyndale Primary School,www.williamtyndale-islington.co.uk/,London,N1 2GG,London,no
100428,206,Islington,Winton Primary School,https://www.lqps.co.uk/245/our-school,London,N1 9AZ,London,no
