urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
100503,207,Kensington and Chelsea,All Saints Catholic College,http://www.allsaintscc.org.uk,London,W10 6EL,London,no
139645,207,Kensington and Chelsea,Ark Brunel Primary Academy,www.arkbrunelprimary.org,London,W10 5AT,London,no
100477,207,Kensington and Chelsea,Ashburnham Community School,http://ashburnhamcommunityschool.org.uk/,London,SW10 0DT,London,no
100487,207,Kensington and Chelsea,Avondale Park Primary School,http://www.avondalepark.rbkc.sch.uk,London,W11 4EE,London,no
100478,207,Kensington and Chelsea,Barlby Primary School,http://www.barlby.rbkc.sch.uk,London,W10 6DW,London,no
100549,207,Kensington and Chelsea,Chelsea Community Hospital School,https://www.cchs.org.uk,London,SW10 9NH,London,no
100474,207,Kensington and Chelsea,Chelsea Open Air Nursery School,http://www.coans.rbkc.sch.uk,London,SW3 5JE,London,no
100489,207,Kensington and Chelsea,Christ Church CofE Primary School,http://www.ccht.rbkc.sch.uk,London,SW3 4AA,London,no
100482,207,Kensington and Chelsea,Fox Primary School,http://www.fox.rbkc.sch.uk,London,W8 7PP,London,no
100472,207,Kensington and Chelsea,Golborne & Maxilla Nursery School,http://www.golborne.rbkc.sch.uk,London,W10 5TN,London,no
149632,207,Kensington and Chelsea,Holland Park School,https://www.hollandparkschool.co.uk/,London,W8 7AF,London,no
100490,207,Kensington and Chelsea,Holy Trinity CofE Primary School,http://www.ccht.rbkc.sch.uk,London,SW1X 9DE,London,no
140212,207,Kensington and Chelsea,Kensington Aldridge Academy,http://www.kaa.org.uk,London,W10 6EX,London,no
140213,207,Kensington and Chelsea,Kensington Primary Academy,www.wlfs-kpa.org/,London,W14 8PU,London,no
100491,207,Kensington and Chelsea,Oratory Roman Catholic Primary School,http://www.oratory.rbkc.sch.uk,London,SW3 6QH,London,no
148562,207,Kensington and Chelsea,Ormiston Kensington Queensmill Academy,https://okqma.co.uk/,London,W10 6BH,London,no
140807,207,Kensington and Chelsea,Ormiston Latimer Academy,http://www.oatlondonacademies.co.uk/academies/latimer/,London,W10 6TT,London,no
100504,207,Kensington and Chelsea,Our Lady of Victories RC Primary School,http://www.olov.rbkc.sch.uk,London,SW7 5AQ,London,no
141957,207,Kensington and Chelsea,Parkwood Hall Co-Operative Academy,www.parkwoodhall.co.uk,Swanley,BR8 8DR,London,no
100499,207,Kensington and Chelsea,Saint Mary's Catholic Primary School,http://www.st-marys.rbkc.sch.uk,London,W10 5AW,London,no
100500,207,Kensington and Chelsea,Servite RC Primary School,https://www.serviteprimaryschool.co.uk/,London,SW10 9NA,London,no
100473,207,Kensington and Chelsea,St Anne's & Avondale Park Nursery School,http://www.apsafederation.com,London,W11 4EE,London,no
100505,207,Kensington and Chelsea,St Charles Catholic Primary School,http://www.st-charles.rbkc.sch.uk,London,W10 6EB,London,no
100498,207,Kensington and Chelsea,St Cuthbert with St Matthias CofE Primary School,http://www.scwsm.rbkc.sch.uk,London,SW5 9UE,London,no
148438,207,Kensington and Chelsea,St Joseph's Catholic Primary School,www.stjosephs.rbkc.sch.uk/,London,SW3 2QT,London,no
100497,207,Kensington and Chelsea,St Mary Abbots CofE Primary School,http://www.sma.rbkc.sch.uk,London,W8 4SP,London,no
151008,207,Kensington and Chelsea,St. Thomas More Language College,http://www.stmlc.co.uk/,London,SW3 2QS,London,no
141931,207,Kensington and Chelsea,The Cardinal Vaughan Memorial RC School,http://www.cvms.co.uk/,London,W14 8BZ,London,no
100479,207,Kensington and Chelsea,Bevington Primary School,http://www.bevington.rbkc.sch.uk,London,W10 5TW,London,yes
100480,207,Kensington and Chelsea,Bousfield Primary School,https://www.bousfieldprimaryschool.co.uk/,London,SW5 0DJ,London,yes
135531,207,Kensington and Chelsea,Chelsea Academy,http://chelsea-academy.org/,London,SW10 0AB,London,yes
100481,207,Kensington and Chelsea,Colville Primary School,http://www.colville.rbkc.sch.uk,London,W11 2DF,London,yes
100483,207,Kensington and Chelsea,Marlborough Primary School,http://www.marlborough.rbkc.sch.uk,London,SW3 3AP,London,yes
100485,207,Kensington and Chelsea,Oxford Gardens Primary School,http://www.oxfordgardens.rbkc.sch.uk,London,W10 6NF,London,yes
100486,207,Kensington and Chelsea,Park Walk Primary School,http://www.parkwalk.rbkc.sch.uk,London,SW10 0AY,London,yes
100494,207,Kensington and Chelsea,Saint Francis of Assisi Catholic Primary School,http://www.stfrancisofassisi.org.uk,London,W11 4BJ,London,yes
100493,207,Kensington and Chelsea,St Barnabas and St Philip's CofE Primary School,http://www.sbsp.rbkc.sch.uk,London,W8 6EJ,London,yes
100495,207,Kensington and Chelsea,St Clement and St James CofE Primary School,https://www.stfed.rbkc.sch.uk,London,W11 4PG,London,yes
100492,207,Kensington and Chelsea,St Thomas' CofE Primary School,https://www.stfed.rbkc.sch.uk,London,W10 5EF,London,yes
100488,207,Kensington and Chelsea,Thomas Jones Primary School,http://www.thomasjonesschool.org,London,W11 1RQ,London,yes
