urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
135389,208,Lambeth,Ark Evelyn Grace Academy,http://evelyngraceacademy.org/,London,SE24 0QN,London,no
100556,208,Lambeth,Ashmole Primary School,https://www.ashmoleprimaryschool.org.uk,London,SW8 1NT,London,no
131247,208,Lambeth,Bonneville Primary School,www.bonneville-primary.lambeth.sch.uk,London,SW4 9LB,London,no
145614,208,Lambeth,"Christ Church, Streatham Church of England Primary School",,London,SW2 3NF,London,no
137954,208,Lambeth,City Heights E-ACT Academy,https://cityheightsacademy.e-act.org.uk/,London,SW2 3PW,London,no
100560,208,Lambeth,Clapham Manor Primary School,https://www.claphammanor.lambeth.sch.uk,London,SW4 0BZ,London,no
137295,208,Lambeth,Corpus Christi Catholic Primary School,www.corpuschristischool.co.uk,London,SW2 5BL,London,no
137093,208,Lambeth,Dunraven School,http://www.dunraven.org.uk/,LONDON,SW16 2QB,London,no
100551,208,Lambeth,Effra Nursery School and Children's Centre,https://effra.lambeth.sch.uk/,London,SW2 1PL,London,no
100597,208,Lambeth,Elm Wood School,https://elmwoodprimary.co.uk,London,SE27 9RR,London,no
100552,208,Lambeth,Ethelred Nursery School and Children's Centre,https://www.ethelrednursery.org.uk,London,SE11 6BG,London,no
149450,208,Lambeth,Evolve Academy,https://evolveacademy.org.uk/,London,SE11 4AX,London,no
100595,208,Lambeth,Fenstanton Primary School,https://www.fenstantonprimary.co.uk/,London,SW2 3PW,London,no
100601,208,Lambeth,Glenbrook Primary School,https://www.glenbrookprimary.co.uk,London,SW4 8LD,London,no
100564,208,Lambeth,Granton Primary School,https://www.grantonprimary.org.uk/,London,SW16 5AN,London,no
147543,208,Lambeth,Harris Academy Clapham,www.harrisclapham.org.uk,London,SW4 8LD,London,no
148555,208,Lambeth,Harris Clapham Sixth Form,https://www.harrisclaphamsixthform.org.uk/,London,SW4 8DX,London,no
100566,208,Lambeth,Heathbrook Primary School,https://www.heathbrook.org/,London,SW8 3EH,London,no
100567,208,Lambeth,Henry Cavendish Primary School,http://www.henrycavendish.co.uk,London,SW12 0JA,London,no
131874,208,Lambeth,Henry Fawcett Primary School,www.henryfawcett.org.uk/,London,SE11 5BZ,London,no
149331,208,Lambeth,Heron Academy,,London,SE24 0HZ,London,no
131340,208,Lambeth,Hill Mead Primary School,www.hillmead.org,London,SW9 8UE,London,no
100554,208,Lambeth,Holmewood Nursery School,,London,SW2 2RW,London,no
100622,208,Lambeth,Holy Trinity Church of England Primary School,https://www.holytrinityceprimary.org.uk,London,SW2 2RL,London,no
135614,208,Lambeth,Iqra Primary School,www.iqra.lambeth.sch.uk/,London,SW4 9PA,London,no
100572,208,Lambeth,Jessop Primary School,https://www.jessop.lambeth.sch.uk/,London,SE24 0BJ,London,no
133662,208,Lambeth,Jubilee Primary School,www.jubilee.lambeth.sch.uk,London,SW2 2JE,London,no
140564,208,Lambeth,King's College London Maths School,www.kingsmathsschool.com,London,SE11 6NJ,London,no
