urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
130856,209,Lewisham,Abbey Manor College,www.abbeymanorcollege.com,London,SE12 8JP,London,no
100748,209,Lewisham,Addey and Stanhope School,http://www.as.lewisham.sch.uk,London,SE14 6TJ,London,no
100716,209,Lewisham,Ashmead Primary School,www.ashmeadprimary.wordpress.com/,London,SE8 4DX,London,no
150605,209,Lewisham,Bonus Pastor Catholic College,http://www.bonuspastor.co.uk/,Bromley,BR1 5PZ,London,no
100760,209,Lewisham,Brent Knoll School,https://www.brentknollschool.co.uk,London,SE23 2QU,London,no
100687,209,Lewisham,Brindishe Green School,https://www.brindisheschools.org,London,SE13 6EH,London,no
100717,209,Lewisham,Brindishe Lee School,https://www.brindisheschools.org/,London,SE12 8NA,London,no
100693,209,Lewisham,Brindishe Manor School,https://www.brindishemanor.lewisham.sch.uk,London,SE13 5LS,London,no
100668,209,Lewisham,Chelwood Nursery School,https://www.chelwood.lewisham.sch.uk,London,SE4 2QQ,London,no
146221,209,Lewisham,Childeric Primary School,www.childericprimary.co.uk,London,SE14 6DG,London,no
150691,209,Lewisham,Conisborough College,www.conisboroughcollege.co.uk,London,SE6 2SE,London,no
100676,209,Lewisham,Cooper's Lane Primary School,https://www.cooperslane.lewisham.sch.uk/,London,SE12 0LF,London,no
100677,209,Lewisham,Dalmain Primary School,http://www.dalmain.lewisham.sch.uk/,London,SE23 1AS,London,no
100678,209,Lewisham,Deptford Park Primary School,http://www.deptfordpark.lewisham.sch.uk,London,SE8 5RJ,London,no
136423,209,Lewisham,Drumbeat School and ASD Service,http://www.drumbeatasd.org/,London,BR1 5LE,London,no
100680,209,Lewisham,Edmund Waller Primary School,https://www.edmundwaller.lewisham.sch.uk/,London,SE14 5LY,London,no
100681,209,Lewisham,Elfrida Primary School,https://www.lewisham.gov.uk/,London,SE6 3EN,London,no
100711,209,Lewisham,Eliot Bank Primary School,https://www.eliotbank.lewisham.sch.uk/,London,SE26 4BU,London,no
100710,209,Lewisham,Fairlawn Primary School,https://www.fairlawn.lewisham.sch.uk,London,SE23 3SB,London,no
100745,209,Lewisham,Forest Hill School,http://www.foresthillschool.co.uk/,London,SE23 2XN,London,no
100684,209,Lewisham,Gordonbrock Primary School,http://www.gordonbrock.lewisham.sch.uk/,Brockley,SE4 1HQ,London,no
100765,209,Lewisham,Greenvale School,www.greenvaleschool.co.uk,London,SE6 1UF,London,no
135073,209,Lewisham,Haberdashers' Hatcham College,www.habshatcham.org.uk,London,SE14 5SF,London,no
139672,209,Lewisham,Haberdashers' Hatcham Free School,www.habshatchamfree.org.uk,London,SE14 5SF,London,no
147355,209,Lewisham,Haberdashers' Hatcham Primary,www.habshatchamprimary.org.uk,London,SE14 5RD,London,no
135070,209,Lewisham,Haberdashers' Knights Academy,https://www.habsknights.org.uk/,Bromley,BR1 5EB,London,no
147363,209,Lewisham,Haberdashers' Knights Primary,www.habsknightsprimary.org.uk,Bromley,BR1 5LW,London,no
100686,209,Lewisham,Haseltine Primary School,www.haseltineprimary.co.uk/,London,SE26 5AD,London,no
100688,209,Lewisham,Holbeach Primary School,https://www.holbeach.lewisham.sch.uk/,London,SE6 4TP,London,no
100739,209,Lewisham,Holy Cross Catholic Primary School,https://www.holycross.lewisham.sch.uk/,London,SE6 2LD,London,no
100714,209,Lewisham,Horniman Primary School,https://www.hornimanprimary.com,London,SE23 3BP,London,no
100709,209,Lewisham,John Ball Primary School,https://www.johnball.lewisham.sch.uk,London,SE3 0TP,London,no
100689,209,Lewisham,John Stainer Community Primary School,https://www.johnstainer.lewisham.sch.uk/,London,SE4 2DY,London,no
100690,209,Lewisham,Kelvin Grove Primary School,https://www.kelvingrove.lewisham.sch.uk/,London,SE26 6BB,London,no
100691,209,Lewisham,Kender Primary School,http://www.kender.lewisham.sch.uk/,London,SE14 5JA,London,no
100692,209,Lewisham,Launcelot Primary School and Nursery,https://www.launcelot.lewisham.sch.uk/,Bromley,BR1 5EA,London,no
100695,209,Lewisham,Lucas Vale Primary School,http://www.lucasvale.lewisham.sch.uk,London,SE8 4QB,London,no
100696,209,Lewisham,Marvels Lane Primary School,https://www.marvelslane.lewisham.sch.uk,London,SE12 9RA,London,no
100713,209,Lewisham,Myatt Garden Primary School,http://www.myattgarden.lewisham.sch.uk/,London,SE4 1DF,London,no
150552,209,Lewisham,Our Lady and St Philip Neri Catholic Primary School,www.olspn.lewisham.sch.uk,London,SE26 5SE,London,no
100715,209,Lewisham,Perrymount Primary School,https://www.perrymount.lewisham.sch.uk/,London,SE23 2PX,London,no
150318,209,Lewisham,Prendergast Ladywell School,http://www.prendergast-ladywell.com,Lewisham,SE4 1SA,London,no
150319,209,Lewisham,Prendergast School,http://www.prendergast-school.com/,London,SE4 1LE,London,no
150351,209,Lewisham,Prendergast Vale School,www.prendergast-vale.com,London,SE13 7BN,London,no
100699,209,Lewisham,Rangefield Primary School,http://www.rangefield.co.uk/,Bromley,BR1 4RP,London,no
100700,209,Lewisham,Rathfern Primary School,http://www.rathfern.lewisham.sch.uk,London,SE6 4NL,London,no
100701,209,Lewisham,Rushey Green Primary School,https://www.rusheygreen.lewisham.sch.uk/,London,SE6 2LA,London,no
100703,209,Lewisham,Sandhurst Primary School,https://www.sandhurstprimary.lewisham.sch.uk/,London,SE6 1NW,London,no
148003,209,Lewisham,Sedgehill Academy,www.sedgehillschool.co.uk,London,SE6 3QW,London,no
100725,209,Lewisham,St Augustine's Catholic Primary School and Nursery,http://www.staugustines.lewisham.sch.uk,London,SE6 3RD,London,no
145621,209,Lewisham,St George's CofE Primary School,www.stgeorges.lewisham.sch.uk/,London,SE23 2NE,London,no
151009,209,Lewisham,St James's Hatcham Church of England Primary School,www.st-jameshatcham.lewisham.sch.uk,London,SE14 6AD,London,no
135264,209,Lewisham,St Matthew Academy,,London,SE3 0XX,London,no
