urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
100774,210,Southwark,Albion Primary School,https://www.albionprimaryschool.co.uk/,London,SE16 7JD,London,no
141666,210,Southwark,Angel Oak Academy,https://angeloakacademy.org/,London,SE15 6FL,London,no
139718,210,Southwark,Ark All Saints Academy,http://arkallsaintsacademy.org/,London,SE5 0UB,London,no
135584,210,Southwark,Ark Globe Academy,https://arkglobe.org/,London,SE1 6AG,London,no
145313,210,Southwark,Bacon's College,www.baconscollege.co.uk,London,SE16 6AT,London,no
100775,210,Southwark,Bellenden Primary School,www.bellenden.southwark.sch.uk/,London,SE15 4JP,London,no
100822,210,Southwark,Boutcher Church of England Primary School,https://www.boutcher.southwark.sch.uk/,London,SE1 3BW,London,no
148012,210,Southwark,Charles Dickens Primary School,www.charlesdickens.southwark.sch.uk/,London,SE1 1AF,London,no
100816,210,Southwark,Charlotte Sharman Primary School,http://www.charlottesharman.co.uk,London,SE11 4SN,London,no
134222,210,Southwark,City of London Academy (Southwark),http://www.cityacademy.co.uk/,London,SE1 5LA,London,no
100785,210,Southwark,Crawford Primary School,https://www.crawfordprimary.co.uk,London,SE5 9NF,London,no
149604,210,Southwark,Dog Kennel Hill School,www.dkh.org.uk/,London,SE22 8AB,London,no
136665,210,Southwark,Dulwich Hamlet Junior School,www.dulwichhamletjuniorschool.org.uk/,London,SE21 7AL,London,no
100769,210,Southwark,Dulwich Wood Nursery School,https://www.dulwichwood.com,London,SE21 8QS,London,no
100801,210,Southwark,Dulwich Wood Primary School,https://www.dulwichwood.com/,London,SE21 8NS,London,no
100855,210,Southwark,Friars Primary Foundation School,https://friarsprimaryschool.com/,London,SE1 0RF,London,no
142875,210,Southwark,"Galleywall Primary, City of London Academy",www.galleywall.co.uk,London,SE16 3PB,London,no
145130,210,Southwark,Goose Green Primary and Nursery School,goosegreenprimaryschool.org,London,SE22 8HG,London,no
147073,210,Southwark,Haberdashers' Borough Academy,www.habsborough.org.uk,London,SE1 0EX,London,no
131747,210,Southwark,Harris Academy Bermondsey,http://www.harrisbermondsey.org.uk/,London,SE16 3TZ,London,no
134225,210,Southwark,Harris Academy Peckham,http://www.harrispeckham.org.uk/,London,SE15 5DZ,London,no
132711,210,Southwark,Harris Girls' Academy East Dulwich,http://www.harrisdulwichgirls.org.uk/,London,SE22 0NR,London,no
140937,210,Southwark,Harris Primary Academy East Dulwich,www.harrisprimaryeastdulwich.org.uk,London,SE22 8HA,London,no
137413,210,Southwark,Harris Primary Academy Peckham Park,www.harrisprimarypeckhampark.org.uk,London,SE15 5TD,London,no
100872,210,Southwark,Highshore School,www.highshore.southwark.sch.uk,London,SE5 0TW,London,no
100794,210,Southwark,Hollydale Primary School,www.hollydale.southwark.sch.uk/,London,SE15 2AR,London,no
140507,210,Southwark,John Donne Primary School,www.jdacademy.org.uk,London,SE15 2SW,London,no
145888,210,Southwark,John Keats Primary School,www.jkacademy.org.uk,London,SE16 3FN,London,no
139907,210,Southwark,Judith Kerr Primary School,www.judithkerr.anthemtrust.uk,London,SE24 9JE,London,no
136309,210,Southwark,Kingsdale Foundation School,http://www.kingsdalefoundationschool.org.uk/,London,SE21 8SQ,London,no
100767,210,Southwark,Kintore Way Nursery School and Children's Centre,http://www.kintoreway.com/,London,SE1 3BW,London,no
148574,210,Southwark,Lyndhurst Primary School,https://lyndhurstprimaryschool.com/,London,SE5 8SN,London,no
100770,210,Southwark,Nell Gwynn Nursery School,http://nellgwynn.southwark.sch.uk/,London,SE15 2TT,London,no
140138,210,Southwark,Newlands Academy,www.newlandsacademy.org,London,SE15 3AZ,London,no
149369,210,Southwark,Notre Dame Catholic Girls' School,http://www.notredame.southwark.sch.uk/,London,SE1 6EX,London,no
