urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
100887,211,Tower Hamlets,Alice Model Nursery School,,London,E1 4NQ,London,no
130352,211,Tower Hamlets,Arnhem Wharf Primary School,www.arnhemwharfprimaryschool.com/,London,E14 3RP,London,no
100989,211,Tower Hamlets,Beatrice Tate School,www.beatricetate.towerhamlets.sch.uk,London,E3 4PX,London,no
100939,211,Tower Hamlets,Bigland Green Primary School,https://www.biglandgreen.towerhamlets.sch.uk/,London,E1 2ND,London,no
150606,211,Tower Hamlets,Bishop Challoner Catholic School,www.bishopchallonerfederation.towerhamlets.sch.uk,London,E1 0LB,London,no
100895,211,Tower Hamlets,Blue Gate Fields Junior School,https://www.bluegatefields-jun.towerhamlets.sch.uk/,London,E1 0EH,London,no
100986,211,Tower Hamlets,Bowden House School,https://bowdenhouse.school,Seaford,BN25 2JB,London,no
144236,211,Tower Hamlets,Bygrove Primary School,www.bygrove.towerhamlets.sch.uk/,London,E14 6DN,London,no
142879,211,Tower Hamlets,Canary Wharf College Crossharbour,www.canarywharfcollege.co.uk,London,E14 9GL,London,no
137016,211,Tower Hamlets,"Canary Wharf College, East Ferry",www.canarywharfcollege.co.uk/,London,E14 3BA,London,no
141039,211,Tower Hamlets,"Canary Wharf College, Glenworth",www.canarywharfcollege.co.uk/,London,E14 3EB,London,no
100975,211,Tower Hamlets,Central Foundation Girls' School,http://www.central.towerhamlets.sch.uk/,London,E3 2AE,London,no
100884,211,Tower Hamlets,Columbia Market Nursery School,https://www.columbiamarket.towerhamlets.sch.uk,London,E2 7PG,London,no
150662,211,Tower Hamlets,Columbia Primary School,www.columbiaprimaryschool.org,London,E2 7RG,London,no
140064,211,Tower Hamlets,Culloden Primary - A Paradigm Academy,http://cullodenacademy.paradigmtrust.org/,London,E14 0PT,London,no
148681,211,Tower Hamlets,Cyril Jackson Primary School,www.cyriljackson.towerhamlets.sch.uk/,London,E14 8AQ,London,no
141095,211,Tower Hamlets,East London Arts & Music,http://elam.co.uk/,London,E3 3TA,London,no
