urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
146214,212,Wandsworth,ARK John Archer Primary Academy,www.arkjohnarcher.org,London,SW11 2AA,London,no
101032,212,Wandsworth,Albemarle Primary School,https://www.albemarle.wandsworth.sch.uk,London,SW19 6JP,London,no
143739,212,Wandsworth,Anglo Portuguese School of London,https://angloportugueseschool.org/en/,London,SW18 4QG,London,no
138267,212,Wandsworth,Ark Bolingbroke Academy,http://arkbolingbrokeacademy.org/,London,SW11 6BF,London,no
138681,212,Wandsworth,Ark Putney Academy,http://arkputney.org/,London,SW15 3DG,London,no
100990,212,Wandsworth,Balham Nursery School,https://www.balham-nursery.wandsworth.sch.uk,London,SW12 8JL,London,no
137563,212,Wandsworth,Belleville Primary School,www.belleville-school.org.uk/,London,SW11 6PR,London,no
144621,212,Wandsworth,Belleville Wix Academy,www.bellevillewix.org.uk,London,SW4 0AJ,London,no
139842,212,Wandsworth,Burntwood School,http://www.burntwoodschool.com/,London,SW17 0AQ,London,no
145280,212,Wandsworth,Chesterton Primary School,www.chesterton.wandsworth.sch.uk/,London,SW11 5DT,London,no
136883,212,Wandsworth,Chestnut Grove Academy,https://www.chestnutgrove.org.uk/,London,SW12 8JZ,London,no
100991,212,Wandsworth,Eastwood Nursery School,https://www.eastwood.wandsworth.sch.uk,London,SW15 4EU,London,no
149543,212,Wandsworth,Ernest Bevin Academy,http://www.ernestbevinacademy.org.uk,London,SW17 7DF,London,no
140423,212,Wandsworth,Floreat Wandsworth Primary School,www.floreatwandsworth.org.uk,London,SW18 4EQ,London,no
100994,212,Wandsworth,Francis Barber Pupil Referral Unit,,London,SW17 0EA,London,no
146191,212,Wandsworth,Franciscan Primary School,www.franciscan.wandsworth.sch.uk,London,SW17 8HQ,London,no
101009,212,Wandsworth,Furzedown Primary School,https://www.furzedownschool.co.uk,London,SW17 9TJ,London,no
146549,212,Wandsworth,Goldfinch Primary School,https://www.goldfinchprimary.org.uk/,London,SW16 6DS,London,no
137005,212,Wandsworth,Graveney School,http://www.graveney.org/,London,SW17 9BU,London,no
101099,212,Wandsworth,Greenmead School,https://www.greenmead.wandsworth.sch.uk,London,SW19 6RY,London,no
145060,212,Wandsworth,Griffin Primary School,www.griffinprimary.co.uk,London,SW8 4JB,London,no
140985,212,Wandsworth,Harris Academy Battersea,http://www.harrisbattersea.org.uk/,London,SW11 5AP,London,no
145709,212,Wandsworth,Linden Lodge School,www.lindenlodge.wandsworth.sch.uk,London,SW19 6JB,London,no
139687,212,Wandsworth,Mosaic Jewish Primary School,www.mjps.org.uk/,London,SW15 4EU,London,no
143175,212,Wandsworth,Nightingale Community Academy,www.nightingaleca.org,London,SW17 7DF,London,no
140222,212,Wandsworth,Oasis Academy Putney,www.oasisacademyputney.org,London,SW15 1LY,London,no
101102,212,Wandsworth,Paddock School,paddock.wandsworth.sch.uk,London,SW15 5RT,London,no
147327,212,Wandsworth,Ravenstone Primary School,www.ravenstoneschool.co.uk/,London,SW12 9SS,London,no
101018,212,Wandsworth,Riversdale Primary School,https://www.riversdaleprimaryschool.org.uk,London,SW18 5JP,London,no
139775,212,Wandsworth,Rutherford House School,www.rutherfordhouseschool.co.uk/,London,SW17 7BS,London,no
131520,212,Wandsworth,"Sacred Heart Catholic Primary School, Battersea",www.sacredheartschoolbattersea.co.uk/,London,SW11 2TD,London,no
141808,212,Wandsworth,Saint Cecilia's Church of England School,www.saintcecilias.london,London,SW18 5JR,London,no
101026,212,Wandsworth,Sheringdale Primary School,http://www.sheringdale.org/,London,SW18 5TR,London,no
100992,212,Wandsworth,Somerset Nursery School and Children's Centre,www.somerset.wandsworth.sch.uk,London,SW11 3ND,London,no
138682,212,Wandsworth,Southfields Academy,http://www.southfieldsacademy.com/,London,SW18 5JU,London,no
101041,212,Wandsworth,St Anne's CofE Primary School,www.st-annes.wandsworth.sch.uk,London,SW18 2RU,London,no
101042,212,Wandsworth,St Boniface RC Primary School,https://www.stboniface.wandsworth.sch.uk/,London,SW17 8PP,London,no
101043,212,Wandsworth,St Faith's CofE Primary School,https://www.stfaiths.wandsworth.sch.uk,London,SW18 1AE,London,no
101044,212,Wandsworth,St George's CofE Primary School,https://www.st-georges.wandsworth.sch.uk,London,SW8 4JS,London,no
101045,212,Wandsworth,St Joseph's Catholic Primary and Nursery School,https://www.stjosephs.wandsworth.sch.uk,London,SW15 2QD,London,no
101046,212,Wandsworth,St Mary's CofE Primary School,https://www.stmarysschoolputney.co.uk/,London,SW15 1BA,London,no
101048,212,Wandsworth,St Mary's RC Voluntary Aided Primary School,https://www.stmarysschoolbattersea.co.uk,London,SW8 4EN,London,no
145030,212,Wandsworth,The Alton School,www.thealton-q1e.org.uk,London,SW15 4PD,London,no
139592,212,Wandsworth,Tooting Primary School,www.tootingprimary.org.uk,London,SW17 8HE,London,no
101047,212,Wandsworth,Trinity St Mary's CofE Primary School,https://www.tsm.wandsworth.sch.uk,London,SW12 8DR,London,no
132077,212,Wandsworth,Victoria Drive Primary Pupil Referral Unit,https://www.victoriapru.wandsworth.sch.uk/,London,SW19 6HR,London,no
108892,212,Wandsworth,Wandsworth Hospital and Home Tuition Service,www.hhts.wandsworth.sch.uk,London,SW17 0YG,London,no
