urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
101121,213,Westminster,All Souls CofE Primary School,https://www.allsoulsprimary.co.uk,London,W1W 7JJ,London,no
137323,213,Westminster,Ark Atwood Primary Academy,www.arkatwoodprimary.org/,London,W9 2JY,London,no
135242,213,Westminster,Ark King Solomon Academy,www.kingsolomonacademy.org,London,NW1 6RX,London,no
101105,213,Westminster,Dorothy Gardner Nursery School,http://www.qpeyfed.org,London,W9 3JY,London,no
101111,213,Westminster,Essendine Primary School,www.essendineprimary.co.uk,London,W9 2LR,London,no
140050,213,Westminster,Gateway Academy,www.gateway-academy.co.uk/,London,NW8 8LN,London,no
101115,213,Westminster,George Eliot Primary School,www.georgeeliotschool.co.uk,London,NW8 0NH,London,no
145126,213,Westminster,Harris Academy St John's Wood,https://www.harrisstjohnswood.org.uk/,London,NW8 0NL,London,no
140939,213,Westminster,Harris Westminster Sixth Form,http://www.harriswestminstersixthform.org.uk/,London,SW1H 9LH,London,no
101106,213,Westminster,Mary Paterson Nursery School,https://www.qpeyfed.org,London,W9 3DS,London,no
140884,213,Westminster,Marylebone Boys' School,http://www.maryleboneschool.org/,London,W2 1QZ,London,no
151310,213,Westminster,Millbank Gardens Primary Academy,https://www.millbankgardens.futureacademies.org,London,SW1P 4HR,London,no
140806,213,Westminster,Ormiston Beachcroft Academy,http://www.oatlondonacademies.co.uk/academies/beachcroft/,London,NW8 0NW,London,no
135676,213,Westminster,Pimlico Academy,http://www.pimlico.futureacademies.org,London,SW1V 3AT,London,no
139898,213,Westminster,Pimlico Primary,http://www.pimlicoprimary.org/,London,SW1V 3AT,London,no
132151,213,Westminster,Portman Early Childhood Centre,www.portmancentre.co.uk,London,NW8 8DE,London,no
101120,213,Westminster,Queen's Park Primary School,https://www.queensparkprimaryschool.co.uk/,London,W10 4DQ,London,no
101131,213,Westminster,Soho Parish CofE Primary School,https://www.sohoparish.co.uk,London,W1D 7LF,London,no
101125,213,Westminster,St Augustines Federated Schools: CofE Primary School,www.st-augustines-primary.co.uk/,London,NW6 5XA,London,no
101126,213,Westminster,St Barnabas' CofE Primary School,https://www.stbarnabasprimary.org.uk,London,SW1W 8PF,London,no
101127,213,Westminster,St Clement Danes CofE Primary School,https://www.st-clementdanes.westminster.sch.uk/,LONDON,WC2B 5SU,London,no
101128,213,Westminster,St Edward's Catholic Primary School,https://www.stedwardsprimary.org,London,NW1 6LH,London,no
101129,213,Westminster,St Gabriel's CofE Primary School,https://www.stgabrielsprimary.co.uk/,London,SW1V 3AG,London,no
139369,213,Westminster,St George's Catholic School,www.stgeorgesrc.org,London,W9 1RB,London,no
101130,213,Westminster,St George's Hanover Square CofE Primary School,https://www.sghsprimary.co.uk/,London,W1K 2XH,London,no
101132,213,Westminster,St James & St John Church of England Primary School,https://www.stjamesandstjohnschool.co.uk,London,W2 3QD,London,no
149488,213,Westminster,St Joseph's RC Primary School,www.stjosephsschool.org.uk,London,W9 1DF,London,no
101134,213,Westminster,St Luke's CofE Primary School,https://www.stlukesprimary.org.uk,London,W9 3EJ,London,no
101135,213,Westminster,St Mary Magdalene & St Stephen's CofE Primary School,http://www.st-marymagdalene.westminster.sch.uk/,London,W2 5TF,London,no
101136,213,Westminster,St Mary's Bryanston Square CofE School,https://www.stmbs.org.uk,London,W1H 1DL,London,no
101141,213,Westminster,St Saviour's CofE Primary School,http://www.stsavioursprimary.co.uk,London,W9 2JD,London,no
101137,213,Westminster,St. Mary of the Angels Catholic Primary School,http://www.stmaryangels.co.uk/,London,W2 5PR,London,no
101104,213,Westminster,Tachbrook Nursery School,https://www.tachbrooknursery.co.uk,London,SW1V 3RT,London,no
138313,213,Westminster,The Grey Coat Hospital,http://www.gch.org.uk/,London,SW1P 2DY,London,no
139600,213,Westminster,The St Marylebone Church of England Bridge School,http://www.stmarylebonebridgeschool.com/,London,W10 4LE,London,no
137353,213,Westminster,The St Marylebone CofE School,http://www.stmaryleboneschool.com/,London,W1U 5BA,London,no
131262,213,Westminster,Westminster Academy,http://www.westminsteracademy.org.uk,London,W2 5EZ,London,no
138312,213,Westminster,Westminster City School,http://www.wcsch.com/,London,SW1E 5HJ,London,no
139824,213,Westminster,Wilberforce Primary,wilberforceprimary.org,London,W10 4LB,London,no
101107,213,Westminster,Barrow Hill Junior School,https://www.bhjs.co.uk/,London,NW8 7AL,London,yes
101122,213,Westminster,Burdett-Coutts and Townshend Foundation CofE Primary School,http://www.burdettcoutts.co.uk,London,SW1P 2QQ,London,yes
101147,213,Westminster,Christ Church Bentinck CofE Primary School,https://www.ccbprimary.co.uk/,London,NW1 5NS,London,yes
