urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
101241,301,Barking and Dagenham,"Barking Abbey School, A Specialist Sports and Humanities College",http://www.barkingabbeyschool.co.uk/,Barking,IG11 9AG,London,no
101231,301,Barking and Dagenham,Becontree Primary School,https://www.becontreeprimaryschool.com,Dagenham,RM8 2QR,London,no
148932,301,Barking and Dagenham,Brook Sixth Form and Academy,,Dagenham,RM10 7FN,London,no
136028,301,Barking and Dagenham,Dagenham Park CofE School,http://www.dagenhampark.org.uk/,Dagenham,RM10 9QH,London,no
101188,301,Barking and Dagenham,Dorothy Barley Infants' School,http://www.dorothybarleyinfant.co.uk,Dagenham,RM8 2LL,London,no
140687,301,Barking and Dagenham,Dorothy Barley Junior Academy,dorothybarleyjunioracademy.co.uk,Dagenham,RM8 2NB,London,no
142699,301,Barking and Dagenham,Eastbury Primary School,www.eps.barking-dagenham.sch.uk/,Barking,IG11 9QQ,London,no
101228,301,Barking and Dagenham,Five Elms Primary School,www.five-elms.bardag.dbprimary.com/,Dagenham,RM9 5TB,London,no
101203,301,Barking and Dagenham,Furze Infant School,http://furzeinfants.schooljotter2.com,Romford,RM6 6ES,London,no
131775,301,Barking and Dagenham,Gascoigne Primary School,www.gascoigneprimaryschool.co.uk,Barking,IG11 7DR,London,no
136431,301,Barking and Dagenham,George Carey Church of England Primary School,https://www.georgecareyprimaryschool.com/,Barking,IG11 0FJ,London,no
130919,301,Barking and Dagenham,Godwin Primary School,http://www.godwinprimary.co.uk,Dagenham,RM9 6JH,London,no
140962,301,Barking and Dagenham,Goresbrook School,www.goresbrookschool.org.uk,Dagenham,RM9 6XW,London,no
101206,301,Barking and Dagenham,Grafton Primary School,https://www.graftonprimary.co.uk/,Dagenham,RM8 3EX,London,no
143720,301,Barking and Dagenham,Greatfields Primary School,,Barking,IG11 7BL,London,no
142908,301,Barking and Dagenham,Greatfields School,http://greatfieldsschool.com/,Barking,IG11 7QG,London,no
101229,301,Barking and Dagenham,Henry Green Primary School,https://www.henrygreen.org.uk/,Dagenham,RM8 1UR,London,no
101232,301,Barking and Dagenham,John Perry Primary School,https://www.johnperryprimary.co.uk/,Dagenham,RM10 8UR,London,no
101193,301,Barking and Dagenham,Manor Primary School,https://www.manorinfants.com/,Dagenham,RM8 2FL,London,no
132816,301,Barking and Dagenham,Mayesbrook Park School,http://www.mayesbrookparkschool.org.uk/,Dagenham,RM9 6TJ,London,no
130340,301,Barking and Dagenham,Monteagle Primary School,www.monteagle.bardaglea.org.uk/,Dagenham,RM9 4RB,London,no
147189,301,Barking and Dagenham,Pathways School,https://pathways.ekotrust.org.uk/pathways,Dagenham,RM10 9NH,London,no
130357,301,Barking and Dagenham,Richard Alibon Primary School with ARP for Cognitive and Learning Difficulties : SEN Base,www.r-alibon.bardaglea.org.uk,Dagenham,RM10 8DF,London,no
142134,301,Barking and Dagenham,Riverside Bridge School,http://www.riversidecampus.com/bridge/,Barking,IG11 0FU,London,no
142133,301,Barking and Dagenham,Riverside Primary School,http://www.riversidecampus.com/primary/,Barking,IG11 0FU,London,no
139791,301,Barking and Dagenham,Riverside School,http://secondary.riversidecampus.com/,Barking,IG11 0FU,London,no
101245,301,Barking and Dagenham,Robert Clack School,http://www.robertclack.co.uk/,Dagenham,RM8 1JU,London,no
101230,301,Barking and Dagenham,Roding Primary School,https://www.rodingprimaryschool.co.uk/,Dagenham,RM8 2XS,London,no
131845,301,Barking and Dagenham,Southwood Primary School,www.southwoodprimary.co.uk/,Dagenham,RM9 5LT,London,no
147328,301,Barking and Dagenham,St Joseph's Catholic Primary School,https://st-josephs-catholic-primary.secure-primarysite.net/,Barking,IG11 7AR,London,no
147329,301,Barking and Dagenham,St Joseph's Catholic Primary School,http://stjosephsdagenham.co.uk,Dagenham,RM9 5UL,London,no
144035,301,Barking and Dagenham,St Margarets CofE Primary School,www.st-margarets-barking.org.uk,Barking,IG11 8AS,London,no
101237,301,Barking and Dagenham,St Peter's Catholic Primary School,https://www.st-peter.bardaglea.org.uk/,Dagenham,RM9 6UU,London,no
148289,301,Barking and Dagenham,St Vincent's Catholic Primary School,www.st-vincent.barking-dagenham.sch.uk/,Dagenham,RM8 2JN,London,no
138684,301,Barking and Dagenham,Thames View Infants,http://thamesviewinfants.org/,Barking,IG11 0LG,London,no
141651,301,Barking and Dagenham,Thames View Junior School,www.thamesviewjunior.com,Barking,IG11 0LG,London,no
144280,301,Barking and Dagenham,The James Cambell Primary School,www.jamescambell.co.uk/,Dagenham,RM9 6TD,London,no
147330,301,Barking and Dagenham,The St Teresa Catholic Primary School,www.st-teresa.co.uk,Dagenham,RM8 2XJ,London,no
141683,301,Barking and Dagenham,The Sydney Russell School,http://sydneyrussellschool.com/,Dagenham,RM9 5QT,London,no
141178,301,Barking and Dagenham,The Warren School,http://www.thewarrenschool.net,Romford,RM6 6SB,London,no
101220,301,Barking and Dagenham,"Thomas Arnold Primary School, Rowdowns Road",http://www.thomasarnoldprimary.co.uk,Dagenham,RM9 6NH,London,no
131102,301,Barking and Dagenham,Trinity School,,Dagenham,RM10 7SJ,London,no
101219,301,Barking and Dagenham,Warren Junior School,https://www.warrenjunior.co.uk,Romford,RM6 6DA,London,no
101234,301,Barking and Dagenham,William Ford CofE Junior School,https://www.williamfordschool.co.uk/,Dagenham,RM10 9JS,London,no
101247,301,Barking and Dagenham,All Saints Catholic School and Technology College,http://www.allsaintsschool.co.uk/,Dagenham,RM8 1JT,London,yes
101202,301,Barking and Dagenham,Beam Primary School,https://www.beamcountyprimaryschool.co.uk,Dagenham,RM10 9ED,London,yes
101243,301,Barking and Dagenham,Eastbrook School,https://www.eastbrookschool.org,Dagenham,RM10 7UR,London,yes
101244,301,Barking and Dagenham,Eastbury Community School,https://www.eastbury.bardaglea.org.uk,Barking,IG11 9UW,London,yes
131844,301,Barking and Dagenham,Hunters Hall Primary School,www.huntershallprimary.org.uk,Dagenham,RM10 8DE,London,yes
133561,301,Barking and Dagenham,Jo Richardson Community School,http://jorichardson.org.uk/,Dagenham,RM9 4UN,London,yes
101192,301,Barking and Dagenham,Manor Junior School,http://www.manorjunior.co.uk,Barking,IG11 9AG,London,yes
101211,301,Barking and Dagenham,Marsh Green Primary School,http://www.marshgreenprimary.com,Dagenham,RM10 9NJ,London,yes
101196,301,Barking and Dagenham,Northbury Primary School,https://www.northburyprimary.co.uk,Barking,IG11 8JA,London,yes
101227,301,Barking and Dagenham,Parsloes Primary School,https://www.parsloesprimary.co.uk,Dagenham,RM9 5RH,London,yes
101198,301,Barking and Dagenham,Ripple Primary School,https://www.rippleprimary.co.uk,Barking,IG11 7QS,London,yes
101224,301,Barking and Dagenham,Rose Lane Primary School,https://www.roselaneprimary.org.uk,Romford,RM6 5NJ,London,yes
101212,301,Barking and Dagenham,Rush Green Primary School,https://www.rushgreenprimary.org.uk,Romford,RM7 0RL,London,yes
101216,301,Barking and Dagenham,The Leys Primary School,http://www.leysprimaryschool.com,Dagenham,RM10 9YR,London,yes
101222,301,Barking and Dagenham,Valence Primary School,https://www.valenceprimaryschool.com,Dagenham,RM8 3AR,London,yes
101223,301,Barking and Dagenham,Village Infants' School,https://www.villageinfants.com/,Dagenham,RM10 9JS,London,yes
101226,301,Barking and Dagenham,William Bellamy Primary School,https://www.williambellamy.co.uk,Dagenham,RM10 7HX,London,yes
