urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
135086,302,Barnet,Akiva School,www.akivaschool.org,London,N3 2SY,London,no
139562,302,Barnet,Alma Primary,almaprimary.org,London,N20 0LP,London,no
147061,302,Barnet,Ark Pioneer Academy,https://arkpioneer.org/,Barnet,EN5 2BE,London,no
136308,302,Barnet,Ashmole Academy,http://www.ashmoleacademy.org,London,N14 5RJ,London,no
142772,302,Barnet,Ashmole Primary School,www.ashmoleprimary.org,London,N14 7NP,London,no
133365,302,Barnet,Beis Yaakov Primary School,www.byps.org.uk,London,NW9 6NQ,London,no
136402,302,Barnet,Beit Shvidler Primary School,www.beitshvidler.org.uk,Edgware,HA8 8NX,London,no
143082,302,Barnet,Bishop Douglass School Finchley,http://www.bishopdouglass.barnet.sch.uk/,London,N2 0SQ,London,no
101339,302,Barnet,Blessed Dominic Catholic Primary School,www.blesseddominic.barnet.sch.uk/,London,NW9 5PE,London,no
140236,302,Barnet,Broadfields Primary School,www.broadfields.barnet.sch.uk/,Edgware,HA8 8JP,London,no
101251,302,Barnet,Brookhill Nursery School,,Barnet,EN4 8SD,London,no
101264,302,Barnet,Brunswick Park Primary and Nursery School,www.brunswickpark.barnet.sch.uk/,London,N14 5DU,London,no
147706,302,Barnet,Childs Hill Primary School,www.childshill.barnet.sch.uk/,London,NW2 1SL,London,no
137388,302,Barnet,Christ's College Finchley,http://www.christscollegefinchley.org.uk/,London,N2 0SE,London,no
101266,302,Barnet,Church Hill School,www.churchhill.barnet.sch.uk/,Barnet,EN4 8NN,London,no
142636,302,Barnet,Claremont Primary School,https://www.claremontprimary.barnet.sch.uk/,London,NW2 1AB,London,no
138685,302,Barnet,Copthall School,http://www.copthallschool.org.uk/,London,NW7 2EP,London,no
101314,302,Barnet,Danegrove Primary School,https://www.danegroveschool.co.uk/,Barnet,EN4 8UD,London,no
101274,302,Barnet,Deansbrook Infant School,https://www.deansbrookinfants.co.uk,London,NW7 3ED,London,no
139489,302,Barnet,Deansbrook Junior School,www.deansbrookjuniorschool.co.uk,London,NW7 3ED,London,no
150999,302,Barnet,Dollis Primary School,www.dollisprimary.com,London,NW7 2BU,London,no
136658,302,Barnet,East Barnet School,www.eastbarnetschool.com,Barnet,EN4 8PU,London,no
136938,302,Barnet,Etz Chaim Jewish Primary School,http://www.etzchaim-primaryschool.org.uk/,London,NW7 4SL,London,no
101278,302,Barnet,Fairway Primary School and Children's Centre,https://www.fairway.barnet.sch.uk,London,NW7 3HS,London,no
101282,302,Barnet,Garden Suburb Infant School,https://www.gardensuburbschools.co.uk,London,NW11 6XU,London,no
101252,302,Barnet,Hampden Way Nursery School,https://hampdenway.barnet.sch.uk/,London,N14 5DJ,London,no
137539,302,Barnet,Hasmonean High School for Boys,https://hasmoneanboys.org.uk,London,NW4 1NA,London,no
147238,302,Barnet,Hasmonean High School for Girls,https://hasmoneangirls.org.uk/,London,NW7 2EU,London,no
130998,302,Barnet,Hasmonean Primary School,www.hasmoneanprimaryschool.co.uk,London,NW4 2PD,London,no
137645,302,Barnet,Hendon School,http://www.hendonschool.co.uk/,London,NW4 2HP,London,no
101285,302,Barnet,Hollickwood Primary School,https://www.hollickwood.barnet.sch.uk/,London,N10 2NL,London,no
149733,302,Barnet,Imperial College London Mathematics School,https://www.imperialmathsschool.ac.uk/,London,N12 9EY,London,no
137303,302,Barnet,Independent Jewish Day School,www.ijds.co.uk,LONDON,NW4 2AH,London,no
144752,302,Barnet,Kisharon School,www.kisharonschool.org.uk,London,NW4 1TP,London,no
131359,302,Barnet,Menorah Foundation School,www.menorahfoundation.co.uk/,EDGWARE,HA8 0QS,London,no
142627,302,Barnet,Menorah High School for Girls,www.menorahhigh.com,London,NW2 7BZ,London,no
150274,302,Barnet,Menorah Primary School for Boys,www.menorahprimaryschool.org.uk,London,NW11 9SP,London,no
101341,302,Barnet,Menorah Primary School for Girls,https://www.menorahprimaryschool.org.uk,London,NW11 9SP,London,no
137386,302,Barnet,Mill Hill County High School,www.mhchs.org.uk,London,NW7 4LL,London,no
140601,302,Barnet,Millbrook Park Primary School,https://millbrookparkschool.ldbsact.org/,London,NW7 1JF,London,no
101293,302,Barnet,Monkfrith Primary School,www.monkfrithschool.co.uk,London,N14 5NG,London,no
101295,302,Barnet,Moss Hall Infant School,https://www.mosshall.school,London,N12 8PE,London,no
101294,302,Barnet,Moss Hall Junior School,https://www.mosshall.school,London,N3 1NR,London,no
133749,302,Barnet,Northgate School,www.northgateschool.net,Edgware,HA8 0AD,London,no
144784,302,Barnet,Oak Hill School,www.apoakhill.org.uk,London,EN4 8XE,London,no
143865,302,Barnet,Oak Lodge School,http://www.oaklodgeschool.org,London,N2 0QY,London,no
151014,302,Barnet,Osidge Primary School,www.osidgeschool.org,London,N14 5HD,London,no
101331,302,Barnet,Our Lady of Lourdes RC School,www.olol.barnetschool.org.uk,London,N12 0JP,London,no
