urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
144406,303,Bexley,Aspire Academy,http://aspirebexley.org.uk/aspire,Welling,DA16 1JB,London,no
140320,303,Bexley,Barnehurst Infant School,www.barnehurstfederation.co.uk,Erith,DA8 3NL,London,no
140321,303,Bexley,Barnehurst Junior School,www.barnehurstfederation.co.uk,Erith,DA8 3NL,London,no
143868,303,Bexley,Barrington Primary School,www.barrington.bexley.sch.uk,Bexleyheath,DA7 4UN,London,no
143866,303,Bexley,Bedonwell Infant and Nursery School,www.bedonwell-inf.bexley.sch.uk/,Belvedere,DA17 5PF,London,no
143867,303,Bexley,Bedonwell Junior School,https://www.bedonwell-jun.bexley.sch.uk,Belvedere,DA17 5PF,London,no
146870,303,Bexley,Belmont Academy,www.belmont.bexley.sch.uk/,Erith,DA8 1LE,London,no
147332,303,Bexley,Belvedere Infant School,https://belvedere-inf.bexley.sch.uk/bexley/primary/belvedere-inf,Belvedere,DA17 6AA,London,no
139115,303,Bexley,Belvedere Junior School,www.belvederejuniorschool.co.uk/,Belvedere,DA17 6AA,London,no
136334,303,Bexley,Beths Grammar School,http://www.beths.bexley.sch.uk,Bexley,DA5 1NE,London,no
136369,303,Bexley,Bexley Grammar School,http://www.bexleygs.co.uk/,Welling,DA16 2BL,London,no
137138,303,Bexley,Bexleyheath Academy,http://www.bexleyheathacademy.org/,Bexleyheath,DA6 7DA,London,no
134780,303,Bexley,Bishop Ridley Church of England VA Primary School,www.bishopridleyschool.org.uk/,Welling,DA16 2QE,London,no
137965,303,Bexley,Blackfen School for Girls,www.blackfenschoolforgirls.co.uk,Sidcup,DA15 9NU,London,no
141047,303,Bexley,Brampton Primary Academy,www.bramptonacademy.org,Bexleyheath,DA7 4SL,London,no
141976,303,Bexley,Burnt Oak Junior School,www.burntoak-bexley.secure-dbprimary.com,Sidcup,DA15 9DA,London,no
140443,303,Bexley,Bursted Wood Primary School,www.burstedwoodprimary.org.uk/,Bexleyheath,DA7 5BS,London,no
146892,303,Bexley,Castilion Primary School,www.castilion.bexley.sch.uk,London,SE28 8QA,London,no
143085,303,Bexley,Chatsworth Infant School,https://chatsworth.bexley.sch.uk/,Sidcup,DA15 9DD,London,no
137423,303,Bexley,Chislehurst and Sidcup Grammar School,http://www.csgrammar.com/,Sidcup,DA15 9AG,London,no
139212,303,Bexley,Christ Church (Erith) CofE Primary School,www.christchurch.bexley.sch.uk,Erith,DA8 3DG,London,no
147071,303,Bexley,Cleeve Meadow School,www.cleevemeadow-tkat.org,Sidcup,DA14 4JN,London,no
138686,303,Bexley,Cleeve Park School,www.cleevepark-tkat.org,Sidcup,DA14 4JN,London,no
148582,303,Bexley,Cornerstone School,https://www.cornerstone.bexley.sch.uk/,Belvedere,DA17 6DW,London,no
140710,303,Bexley,Days Lane Primary School,www.dayslaneprimary.co.uk,Sidcup,DA15 8JU,London,no
136599,303,Bexley,East Wickham Primary Academy,https://www.eastwickham-tkat.org,Welling,DA16 3BP,London,no
144405,303,Bexley,Endeavour Academy Bexley,http://endeavour.lseat.org.uk,Bexleyheath,DA7 6LB,London,no
141889,303,Bexley,Fairford Academy Barnehurst,https://www.fairfordacademy.org/,Bexleyheath,DA7 6QP,London,no
145208,303,Bexley,Gravel Hill Primary School,http://www.gravelhillschool.co.uk,Bexleyheath,DA6 7QJ,London,no
147358,303,Bexley,Haberdashers' Crayford Primary,https://www.habscrayfordprimary.org.uk/,Dartford,DA1 4RS,London,no
147356,303,Bexley,Haberdashers' Slade Green Primary,www.habssladegreenprimary.org.uk,Erith,DA8 2EL,London,no
135677,303,Bexley,Harris Academy Falconwood,http://www.harrisfalconwood.org.uk/,Welling,DA16 2PE,London,no
145140,303,Bexley,Harris Garrard Academy,www.Harrisgarrard.org.uk,Erith,DA18 4DW,London,no
142295,303,Bexley,Hillsgrove Primary School,,Welling,DA16 1DR,London,no
142229,303,Bexley,Holy Trinity Lamorbey Church of England School,www.htl.bexley.sch.uk,Sidcup,DA15 9DB,London,no
147240,303,Bexley,Hook Lane Primary School,www.hooklaneprimary.co.uk/,Welling,DA16 2ET,London,no
139561,303,Bexley,Hope Community School,www.hopecommunityschool.org/,Sidcup,DA14 5BU,London,no
144407,303,Bexley,Horizons Academy Bexley,http://horizonsbexley.org.uk/horizons,Abbey Wood,SE2 9TA,London,no
140243,303,Bexley,Hurst Primary School,www.hurst.bexley.sch.uk,Bexley,DA5 3AJ,London,no
151382,303,Bexley,Hurstmere School,,Sidcup,DA15 9AW,London,no
145071,303,Bexley,Jubilee Primary School,www.jubilee.bexley.sch.uk,London,SE28 8JB,London,no
149898,303,Bexley,Leigh Academy Bexley,,Erith,DA8 3BN,London,no
142586,303,Bexley,Leigh Stationers' Primary Academy,www.leighstationersprimaryacademy.org.uk,Welling,DA16 2ST,London,no
141866,303,Bexley,Lessness Heath Primary School,www.lessnessheath-bexley.co.uk/,Belvedere,DA17 6HB,London,no
143922,303,Bexley,Lime Wood Primary School,https://www.limewoodprimaryschool.co.uk/,Erith,DA8 1FJ,London,no
141114,303,Bexley,Mayplace Primary School,www.mayplace.bexley.sch.uk/,Barnehurst,DA7 6EQ,London,no
137380,303,Bexley,Northumberland Heath Primary School,www.northumberlandheathprimaryschool.co.uk,Erith,DA8 1JE,London,no
144540,303,Bexley,Northwood Primary School,www.northwood.bexley.sch.uk,Erith,DA18 4HN,London,no
142228,303,Bexley,Old Bexley Church of England School,www.oldbexley.apat.org.uk,Bexley,DA5 3JR,London,no
137417,303,Bexley,Peareswood Primary School,www.peareswoodprimaryschool.co.uk,Erith,DA8 3PR,London,no
139494,303,Bexley,Pelham Primary School,www.pelhamprimary.co.uk,Bexleyheath,DA7 4HL,London,no
142723,303,Bexley,Royal Park Primary Academy,http://www.royalpark-tkat.org,Sidcup,DA14 4PX,London,no
144041,303,Bexley,Shenstone School,www.shenstone-tkat.org,Crayford,DA1 4DZ,London,no
140532,303,Bexley,Sherwood Park Primary School,www.sherwoodparkprimary.co.uk/,Sidcup,DA15 9JQ,London,no
139213,303,Bexley,St Augustine of Canterbury CofE Primary School,www.st-augustine.bexley.sch.uk,Belvedere,DA17 5HP,London,no
137681,303,Bexley,St Catherine's Catholic School,www.stccg.co.uk,Bexleyheath,DA6 7QJ,London,no
138650,303,Bexley,St Columba's Catholic Boys' School,http://st-columbas.bexley.sch.uk/,Bexleyheath,DA6 7QB,London,no
