urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
138610,304,Brent,Alperton Community School,www.alperton.brent.sch.uk,Wembley,HA0 4JE,London,no
135600,304,Brent,Ark Academy,www.arkacademy.org,Wembley,HA9 9JR,London,no
141019,304,Brent,Ark Elvin Academy,http://arkelvinacademy.org/,London,HA9 7DU,London,no
139830,304,Brent,Ark Franklin Primary Academy,www.arkfranklinprimary.org,London,NW6 6HJ,London,no
134846,304,Brent,Ashley College,ashleycollege.brent.sch.uk,Wembley,HA9 8NP,London,no
131916,304,Brent,Avigdor Hirsch Torah Temimah Primary School,www.torahtemimah.wordpress.com/,London,NW2 6RJ,London,no
145718,304,Brent,Braintcroft E-ACT Primary Academy,https://braintcroftacademy.e-act.org.uk/,London,NW2 7LL,London,no
133660,304,Brent,Brent River College,www.brentrivercollege.london,London,NW9 9AE,London,no
101533,304,Brent,Christ Church CofE Primary School,https://www.cchurch.brent.sch.uk/,Brondesbury,NW6 7TE,London,no
136656,304,Brent,Claremont High School,www.claremont-high.org.uk,Harrow,HA3 0UH,London,no
101544,304,Brent,Convent of Jesus and Mary RC Infant School,https://www.cjminfantschool.co.uk,London,NW2 5AN,London,no
144794,304,Brent,East Lane Primary School,http://elps.co.uk,Wembley,HA0 3NT,London,no
101490,304,Brent,Fawood Nursery School & Family Wellbeing Centre,https://www.fawood.co.uk,London,NW10 8DX,London,no
101531,304,Brent,Fryent Primary School,http://www.fryent.brent.sch.uk,London,NW9 8JD,London,no
142703,304,Brent,Furness Primary School,www.furness.brent.sch.uk,London,NW10 5YT,London,no
140833,304,Brent,Gladstone Park Primary School,www.gladpark.brent.sch.uk,London,NW10 1LB,London,no
101499,304,Brent,Harlesden Primary School,,London,NW10 8UT,London,no
134226,304,Brent,Harris Lowe Academy Willesden,https://www.harrislowewillesden.org.uk/,London,NW10 3ST,London,no
151162,304,Brent,Harris Primary Academy South Kenton,,Wembley,HA0 3SF,London,no
133724,304,Brent,JFS,www.jfs.brent.sch.uk,Harrow,HA3 9TE,London,no
101534,304,Brent,John Keble CofE Primary School,https://www.johnkeble.com/,London,NW10 4DR,London,no
141751,304,Brent,Kilburn Grange School,,London,NW6 7UJ,London,no
137685,304,Brent,Kingsbury High School,http://www.kingsburyhigh.org.uk/,London,NW9 9JR,London,no
101507,304,Brent,Malorees Infant School,https://www.maloreesinfants.com/,London,NW6 7PB,London,no
144053,304,Brent,Manor School,https://manor.brent.sch.uk/,London,NW10 3NT,London,no
140862,304,Brent,Michaela Community School,https://michaela.education/,London,HA9 0UU,London,no
101530,304,Brent,Mora Primary School,http://www.mora.brent.sch.uk,London,NW2 6TD,London,no
101522,304,Brent,Newfield Primary School,https://www.newfield.brent.sch.uk,London,NW10 3UD,London,no
143718,304,Brent,North Brent School,https://www.northbrentschool.co.uk/,London,NW10 2UF,London,no
141154,304,Brent,North West London Jewish Day School,www.nwljds.org.uk,London,NW6 7PP,London,no
142718,304,Brent,Oakington Manor Primary School,www.oakmanor.brent.sch.uk,Wembley,HA9 6NF,London,no
101528,304,Brent,Oliver Goldsmith Primary School,www.olivergoldsmith.brent.sch.uk,London,NW9 0BD,London,no
146116,304,Brent,Our Lady of Grace Catholic Junior School,www.ourladyofgracejuniors.co.uk/,London,NW2 6HS,London,no
146721,304,Brent,Our Lady of Grace RC Infant and Nursery School,www.ologinfants.brent.sch.uk/,London,NW2 6EU,London,no
139319,304,Brent,Preston Manor School,http://www.preston-manor.com,Wembley,HA9 8NA,London,no
138609,304,Brent,Queens Park Community School,www.qpcs.brent.sch.uk,London,NW6 7BQ,London,no
148250,304,Brent,Roundwood School and Community Centre,www.beckmeadtrust.org/roundwood,London,NW10 3UN,London,no
137994,304,Brent,Saint Claudine's Catholic School for Girls,http://stclaudines.co.uk,London,NW10 4EP,London,no
141672,304,Brent,St Andrew and St Francis CofE Primary School,www.standrewandstfrancis.org,London,NW2 5PE,London,no
142560,304,Brent,St Gregory's Catholic Science College,www.stgregorys.harrow.sch.uk,Harrow,HA3 0NB,London,no
101546,304,Brent,St Joseph's Catholic Infant School,https://www.sjinf.brent.sch.uk,Wembley,HA9 6TA,London,no
146179,304,Brent,St Margaret Clitherow RC Primary School,www.clitherow.brent.sch.uk,London,NW10 0BG,London,no
151110,304,Brent,St Mary's RC Primary School,www.marycps.brent.sch.uk,London,NW6 5ST,London,no
138608,304,Brent,Sudbury Primary School,http://www.sudburyprimary.co.uk,Wembley,HA0 3EY,London,no
143731,304,Brent,The Avenue School,www.theavenueschool.london,London,NW6 7BH,London,no
101521,304,Brent,The Stonebridge School,https://www.stonebridge.brent.sch.uk,London,NW10 8NG,London,no
146212,304,Brent,The Village School,www.thevillage.compasslp.co.uk,London,NW9 0JY,London,no
138457,304,Brent,Wembley High Technology College,http://www.whtc.co.uk,North Wembley,HA0 3NT,London,no
150848,304,Brent,Wembley Manor,https://www.wembleymanor.co.uk/,London,NW10 3RN,London,no
130095,304,Brent,Wembley Primary School,www.wembleyprimary.co.uk/,Wembley,HA9 7NW,London,no
140796,304,Brent,Woodfield School,www.woodfield.compasslp.co.uk,London,NW9 7LY,London,no
101495,304,Brent,Anson Primary School,http://www.ansonprimaryschool.com,London,NW2 4AB,London,yes
101515,304,Brent,Barham Primary School,https://www.barhamprimary.co.uk/,Wembley,HA0 4RQ,London,yes
101496,304,Brent,Brentfield Primary School,https://www.brentfield.brent.sch.uk/,London,NW10 0SL,London,yes
101498,304,Brent,Carlton Vale Infant School,https://www.carlton.brent.sch.uk/,London,NW6 5PX,London,yes
101526,304,Brent,Chalkhill Primary School,https://www.chalkhillprimaryschool.uk/,Wembley,HA9 9YP,London,yes
101491,304,Brent,College Green School and Services,https://www.cgss.brent.sch.uk,London,NW10 3PH,London,yes
101489,304,Brent,Curzon Nursery School & Family Wellbeing Centre,https://www.curzoncrescent.co.uk,London,NW10 9SD,London,yes
101520,304,Brent,Donnington Primary School,https://www.donnington.brent.sch.uk,London,NW10 3TL,London,yes
135973,304,Brent,E-ACT Crest Academy,https://crestacademy.e-act.org.uk/,London,NW2 7SN,London,yes
101519,304,Brent,Elsley Primary School,https://www.elsley.brent.sch.uk,Wembley,HA9 6HT,London,yes
101492,304,Brent,Granville Plus Nursery School,https://granvilleplus.org.uk,London,NW6 5RA,London,yes
101574,304,Brent,Islamia Primary School,https://islamia.brent.sch.uk/,London,NW6 6PE,London,yes
101503,304,Brent,Kingsbury Green Primary School,http://www.kgreen.brent.sch.uk,London,NW9 9ND,London,yes
101504,304,Brent,Leopold Primary School,https://www.leopoldprimary.co.uk/,,NW10 9UR,London,yes
101506,304,Brent,Lyon Park Primary School,https://www.lyonparkprimaryschool.co.uk,Wembley,HA0 4HH,London,yes
101554,304,Brent,Malorees Junior School,https://www.maloreesschools.com/,London,NW6 7PB,London,yes
101524,304,Brent,Mitchell Brook Primary School,http://www.mbrook.brent.sch.uk,London,NW10 9BX,London,yes
101501,304,Brent,Mount Stewart Infant School,http://www.tmss.org.uk,Harrow,HA3 0JX,London,yes
101500,304,Brent,Mount Stewart Junior School,https://www.tmss.org.uk,Harrow,HA3 0JX,London,yes
101564,304,Brent,Newman Catholic College,https://www.ncc.brent.sch.uk,London,NW10 3RN,London,yes
101508,304,Brent,Northview Junior and Infant School,https://www.northview.brent.sch.uk/,London,NW10 1RD,London,yes
101545,304,Brent,Our Lady of Lourdes Catholic Primary School,http://www.lourdes.brent.sch.uk/,London,NW10 8PP,London,yes
101509,304,Brent,Park Lane Primary School,https://www.parklane.brent.sch.uk,Wembley,HA9 7RY,London,yes
101581,304,Brent,Phoenix Arch School,https://www.phoenixarchschool.co.uk,London,NW10 0NQ,London,yes
101510,304,Brent,Preston Park Primary School,https://www.prestonparkschool.co.uk/,Wembley,HA9 8RJ,London,yes
101535,304,Brent,Princess Frederica CofE Primary School,https://www.princessfrederica.brent.sch.uk/,London,NW10 5TP,London,yes
101512,304,Brent,Roe Green Infant School,https://www.rgreeninf.brent.sch.uk/,London,NW9 9JL,London,yes
101511,304,Brent,Roe Green Junior School,https://www.rgjs.brent.sch.uk/,London,NW9 9JL,London,yes
101527,304,Brent,Salusbury Primary School,http://www.salusbury.brent.sch.uk,London,NW6 6RG,London,yes
101549,304,Brent,Sinai Jewish Primary School,https://www.sinaischool.com/,Harrow,HA3 9UD,London,yes
101539,304,Brent,St Joseph's Catholic Junior School,https://www.sjjnr.brent.sch.uk/,Wembley,HA9 6BE,London,yes
101555,304,Brent,St Joseph's Roman Catholic Primary School,https://www.stjosephsrc.co.uk/,London,NW10 9LS,London,yes
101542,304,Brent,St Mary Magdalen's Catholic Junior School,http://www.marymag.brent.sch.uk,London,NW2 5BB,London,yes
101537,304,Brent,St Mary's CofE Primary School,https://www.stmarysce.brent.sch.uk/,London,NW10 9JA,London,yes
101543,304,Brent,St Robert Southwell Catholic Primary School,https://www.robsouth.org,London,NW9 8YD,London,yes
101556,304,Brent,The Kilburn Park School Foundation,http://www.kilburnpark.brent.sch.uk,London,NW6 5RG,London,yes
101502,304,Brent,Uxendon Manor Primary School,http://www.uxendonmanor.com,Harrow,HA3 0UX,London,yes
101518,304,Brent,Wykeham Primary School,https://www.wykeham.brent.sch.uk,London,NW10 0EX,London,yes
