urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
140451,305,Bromley,Alexandra Infant School,www.alexandra-infants.org.uk/,Beckenham,BR3 1JG,London,no
140080,305,Bromley,Alexandra Junior School,www.alexandra-jun.bromley.sch.uk,London,SE26 5DS,London,no
137216,305,Bromley,Balgowan Primary School,http://www.balgowan.bromley.sch.uk/,Beckenham,BR3 4HJ,London,no
145585,305,Bromley,Bickley Primary School,www.bickley.bromley.sch.uk,Bromley,BR1 2SQ,London,no
137244,305,Bromley,Biggin Hill Primary School,www.bigginhillprimary.com,Westerham,TN16 3LY,London,no
136466,305,Bromley,Bishop Justus CofE School,www.bishopjustus.bromley.sch.uk,Bromley,BR2 8HZ,London,no
145073,305,Bromley,Blenheim Primary School,www.blenheimprimary.com/,Orpington,BR6 9BH,London,no
141989,305,Bromley,Bromley Beacon Academy,http://bromleybeaconacademy-bromley.org.uk/,Orpington,BR6 9BD,London,no
141116,305,Bromley,Bromley Trust Alternative Provision Academy,www.bromleytrustacademy.org.uk,Bromley,BR2 9EA,London,no
136709,305,Bromley,Bullers Wood School,www.bwsgirls.org,Chislehurst,BR7 5LJ,London,no
145868,305,Bromley,Bullers Wood School for Boys,www.bwsboys.org,Bromley,BR1 2NW,London,no
142584,305,Bromley,Burnt Ash Primary School,www.burntash.bromley.sch.uk,Bromley,BR1 4QX,London,no
136545,305,Bromley,Charles Darwin School,http://www.cdarwin.com,Westerham,TN16 3AU,London,no
142694,305,Bromley,Chelsfield Primary School,www.chelsfield.bromley.sch.uk/,Orpington,BR6 6EP,London,no
136467,305,Bromley,Chislehurst School for Girls,http://www.chislehurstschoolforgirls.co.uk/,Chislehurst,BR7 6HE,London,no
145204,305,Bromley,Churchfields Primary School,www.churchfields-q1e.org.uk,Beckenham,BR3 4QY,London,no
143033,305,Bromley,Clare House Primary School,http://www.clarehouseprimaryschool.co.uk/,Beckenham,BR3 6PY,London,no
136464,305,Bromley,Coopers School,http://www.coopersschool.com/,Chislehurst,BR7 5PS,London,no
