urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
147874,306,Croydon,Addington Valley Academy,www.addingtonvalley.org,Croydon,CR0 9AZ,London,no
139094,306,Croydon,Aerodrome Primary Academy,https://www.aerodromeprimary.co.uk,Croydon,CR0 4EJ,London,no
101787,306,Croydon,All Saints CofE Primary School,www.allsaintsschoolcroydon.org/,London,SE19 3LG,London,no
139393,306,Croydon,Applegarth Academy,https://applegarthacademy.org/,Croydon,CR0 9DL,London,no
147832,306,Croydon,Ark Blake Academy,www.arkblake.org,Croydon,CR0 6NA,London,no
137114,306,Croydon,Ark Oval Primary Academy,www.arkovalprimary.org,Croydon,CR0 6BA,London,no
140517,306,Croydon,Atwood Primary School,https://www.pegasusacademytrust.org/atwood-primary-school,South Croydon,CR2 9EE,London,no
148772,306,Croydon,Beckmead College,www.beckmeadtrust.org/college,London,SE25 5RR,London,no
145591,306,Croydon,Beckmead Park Academy,www.beckmeadtrust.org/park,Beckenham,BR3 3BZ,London,no
141120,306,Croydon,Beulah Infants' School,www.pegasusacademytrust.org,London,CR7 8NJ,London,no
101712,306,Croydon,Beulah Junior School,https://www.beulahjuniors.co.uk,Thornton Heath,CR7 8JF,London,no
140840,306,Croydon,Broadmead Primary School,www.broadmead.croydon.sch.uk,Croydon,CR0 2EA,London,no
145131,306,Croydon,Castle Hill Academy,http://www.castlehillacademy.co.uk/,Croydon,CR0 0RJ,London,no
148768,306,Croydon,Chaffinch Brook School,www.beckmeadtrust.org/Chaffinch,Croydon,CR0 6NA,London,no
140434,306,Croydon,Chestnut Park Primary School,https://www.chestnutparkschool.org/,Croydon,CR0 2UR,London,no
140704,306,Croydon,Chipstead Valley Primary School,http://www.chipsteadvalley.com,Coulsdon,CR5 3BW,London,no
101793,306,Croydon,Christ Church CofE Primary School (Purley),https://www.christchurch.croydon.sch.uk,Purley,CR8 2QE,London,no
149347,306,Croydon,Coloma Convent Girls' School,http://www.coloma.croydon.sch.uk/,Croydon,CR9 5AS,London,no
145875,306,Croydon,Coombe Wood School,www.cws-croydon.co.uk,South Croydon,CR2 7HY,London,no
146134,306,Croydon,Courtwood Primary School,http://www.courtwood.croydon.sch.uk,Croydon,CR0 9HX,London,no
144626,306,Croydon,Cypress Primary School,http://www.pegasusacademytrust.org/cypress-primary-school,London,SE25 4AU,London,no
137195,306,Croydon,David Livingstone Academy,www.davidlivingstone-academy.org/,Thornton Heath,CR7 8HX,London,no
136566,306,Croydon,Ecclesbourne Primary School,www.pegasusacademytrust.org,Thornton Heath,CR7 7FA,London,no
101721,306,Croydon,Elmwood Infant School,http://www.elmwood-inf.croydon.sch.uk,Croydon,CR0 2PL,London,no
101720,306,Croydon,Elmwood Junior School,https://www.elmwood-jun.croydon.sch.uk/,Croydon,CR0 2PL,London,no
140717,306,Croydon,Fairchildes Primary School,www.factrust.org,Croydon,CR0 0AH,London,no
140113,306,Croydon,Forest Academy,www.forestacademy.org.uk,Croydon,CR0 8HQ,London,no
136714,306,Croydon,Gonville Academy,https://gonvilleacademy.org/,Thornton Heath,CR7 6DL,London,no
142587,306,Croydon,Good Shepherd Catholic Primary and Nursery School,www.goodshepherdprimaryschool.co.uk/,Croydon,CR0 0RG,London,no
101758,306,Croydon,Gresham Primary School,,South Croydon,CR2 9EA,London,no
150055,306,Croydon,Harris Academy Beulah Hill,harrisbeulahhill.org.uk,London,SE19 3UG,London,no
135955,306,Croydon,Harris Academy Purley,http://www.harrispurley.org.uk,South Croydon,CR2 6DT,London,no
135249,306,Croydon,Harris Academy South Norwood,http://www.harrissouthnorwood.org.uk/,London,SE25 6AE,London,no
139829,306,Croydon,Harris Aspire Academy,www.harrisaspire.co.uk,London,SE25 6EJ,London,no
135311,306,Croydon,Harris City Academy Crystal Palace,http://www.harriscrystalpalace.org.uk/,London,SE19 2JH,London,no
140952,306,Croydon,Harris Invictus Academy Croydon,http://www.harrisinvictus.org.uk/,Croydon,CR0 2TB,London,no
139905,306,Croydon,Harris Primary Academy Benson,www.harrisprimarybenson.org.uk,Croydon,CR0 8RQ,London,no
148352,306,Croydon,Harris Primary Academy Croydon,www.harrisprimarycroydon.org.uk,Croydon,CR0 3JT,London,no
140208,306,Croydon,Harris Primary Academy Haling Park,http://www.harrisprimaryhalingpark.org.uk/,Croydon,CR2 6HS,London,no
139640,306,Croydon,Harris Primary Academy Kenley,www.harrisprimarykenley.org.uk,Kenley,CR8 5NF,London,no
140395,306,Croydon,Harris Primary Academy Purley Way,www.harrisprimarypurleyway.org.uk,Croydon,CR0 4FE,London,no
145197,306,Croydon,Harris Professional Skills Sixth Form,www.harrisps6f.org.uk,London,SE25 6EJ,London,no
140435,306,Croydon,Heathfield Academy,https://www.heathfieldacademy.org/,Croydon,CR0 1EQ,London,no
142610,306,Croydon,John Wood School & Nursery,www.johnwoodschool.com,Croydon,CR0 6JA,London,no
148682,306,Croydon,Kenley Primary School,www.kenleyprimary.org.uk,Whyteleafe,CR3 0EX,London,no
146724,306,Croydon,Kensington Avenue Primary School,www.kensingtonavenueprimary.co.uk/,Thornton Heath,CR7 8BT,London,no
146390,306,Croydon,Keston Primary School,www.kestonprimary.org.uk/,Coulsdon,CR5 1HP,London,no
142861,306,Croydon,Krishna Avanti Primary School,https://avanti.org.uk/kapscroydon/,Croydon,CR0 4HA,London,no
143846,306,Croydon,Meridian High School,www.meridianhigh.london,Croydon,CR0 0AH,London,no
146225,306,Croydon,Monks Orchard Primary School,www.monksorchard.co.uk,Croydon,CR0 7UF,London,no
141118,306,Croydon,New Valley Primary School,www.newvalleyprimary.com/,,CR8 4AZ,London,no
137754,306,Croydon,Norbury High School for Girls,www.nhsg.org.uk,Thornton Heath,CR7 8BT,London,no
140209,306,Croydon,Oasis Academy Arena,www.oasisacademyarena.org,London,SE25 4QL,London,no
138687,306,Croydon,Oasis Academy Byron,www.oasisacademybyron.org/,Coulsdon,CR5 2XE,London,no
135654,306,Croydon,Oasis Academy Coulsdon,http://www.oasisacademycoulsdon.org,Croydon,CR5 1ES,London,no
140674,306,Croydon,Oasis Academy Ryelands,www.oasisacademyryelands.org,London,SE25 4XG,London,no
142040,306,Croydon,Orchard Park High School,www.orchardparkhigh.co.uk,Croydon,CR0 7NJ,London,no
148971,306,Croydon,Orchard Way Primary School,www.orchardway.croydon.sch.uk,Croydon,CR0 7NJ,London,no
144382,306,Croydon,Park Hill Junior School,www.parkhilljunior.co.uk,Croydon,CR0 5NS,London,no
140967,306,Croydon,Paxton Academy Sports And Science,www.paxtonacademy.org.uk,Thornton Heath,CR7 6AW,London,no
101704,306,Croydon,Purley Nursery School,www.purley.croydon.sch.uk,Purley,CR8 2NE,London,no
146137,306,Croydon,Quest Primary School,https://questprimary.org.uk/,South Croydon,CR2 8HD,London,no
151348,306,Croydon,Regina Coeli Catholic Primary School,www.reginacoelischool.co.uk,South Croydon,CR2 6DF,London,no
138178,306,Croydon,Riddlesdown Collegiate,https://www.riddlesdown.org,Purley,CR8 1EX,London,no
138502,306,Croydon,Robert Fitzroy Academy,www.robertfitzroyacademy.com,Croydon,CR0 6JN,London,no
101783,306,Croydon,Rockmount Primary School,https://www.rockmountprimaryschool.co.uk,London,SE19 3ST,London,no
140841,306,Croydon,Rowdown Primary School,www.rowdown.croydon.sch.uk/,Croydon,CR0 0EG,London,no
149606,306,Croydon,Saffron Valley Collegiate,http://www.saffronvalleycollegiate.co.uk/,Croydon,CR0 1QH,London,no
137772,306,Croydon,Shirley High School Performing Arts College,http://www.shirley.croydon.sch.uk,Croydon,CR0 5EF,London,no
146543,306,Croydon,South Norwood Primary,www.southnorwood.croydon.sch.uk/croydon/primary/south-norwood,London,SE25 5QP,London,no
142729,306,Croydon,St Aidan's Catholic Primary School,www.staidansschool.co.uk/,Coulsdon,CR5 3DE,London,no
142731,306,Croydon,St Chad's Catholic Primary School,www.stchadsprimaryschool.com,London,SE25 6LR,London,no
138335,306,Croydon,St Cyprian's Greek Orthodox Primary Academy,www.stcypriansprimaryacademy.co.uk/,Thornton Heath,CR7 8DZ,London,no
137959,306,Croydon,St James the Great RC Primary and Nursery School,http://www.stjamesthegreat.org/,Thornton Heath,CR7 8HJ,London,no
138221,306,Croydon,St Joseph's College,http://www.stjosephscollege.org.uk/,London,SE19 3HL,London,no
141119,306,Croydon,St Mark's Church of England Primary Academy,www.stmarkscofeprimaryacademy.net,London,SE25 4JD,London,no
142246,306,Croydon,St Mary's Catholic Infant School,http://www.stmaryscatholicprimaryschoolstrust.co.uk,Croydon,CR0 2AQ,London,no
144065,306,Croydon,St Peter's Primary School,https://www.st-petersprimary.co.uk/,South Croydon,CR2 7AR,London,no
138612,306,Croydon,St Thomas Becket Catholic Primary School,www.thomasbecket.croydon.sch.uk,London,SE25 5BN,London,no
142226,306,Croydon,St. Mary's Catholic Junior School,www.stmaryscatholicprimaryschoolstrust.co.uk,Croydon,CR0 2EW,London,no
141210,306,Croydon,The Archbishop Lanfranc Academy,http://www.lanfranc.org.uk,Croydon,CR9 3AS,London,no
142379,306,Croydon,The Crescent Primary School,http://www.thecrescentprimaryschool.co.uk,Croydon,CR0 2HN,London,no
149113,306,Croydon,The Minster Junior School,https://minsterjunior.co.uk/,Croydon,CR0 4BH,London,no
149114,306,Croydon,The Minster Nursery and Infants Church of England Academy,www.minsterinfants.co.uk,Croydon,CR0 4BH,London,no
136203,306,Croydon,The Quest Academy,http://thequestacademy.org.uk/,South Croydon,CR2 8HD,London,no
131723,306,Croydon,Thornton Heath Nursery School,www.thns.org,Thornton Heath,CR7 8RS,London,no
140045,306,Croydon,Tudor Academy,https://www.tudoracademy.org/,Croydon,CR0 0PH,London,no
147971,306,Croydon,West Thornton Primary School,https://www.westthornton.croydon.sch.uk/,Croydon,CR0 3BS,London,no
136564,306,Croydon,Whitehorse Manor Infant School,https://www.pegasusacademytrust.org/whitehorse-manor-infant-school,Thornton Heath,CR7 8SB,London,no
136565,306,Croydon,Whitehorse Manor Junior School,http://www.pegasusacademytrust.org,Thornton Heath,CR7 8SB,London,no
140683,306,Croydon,Winterbourne Boys' Academy,http://www.winterbourneboysacademy.com/,Thornton Heath,CR7 7QT,London,no
138187,306,Croydon,Woodcote High School,https://woodcotehigh.org.uk/,Coulsdon,CR5 2EH,London,no
148223,306,Croydon,Woodcote Primary School,www.woodcoteprimary.croydon.sch.uk,Coulsdon,CR5 2ED,London,no
143178,306,Croydon,Woodside Primary School,www.woodside.croydon.sch.uk/,Croydon,CR0 6NF,London,no
