urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
101867,307,Ealing,Acton Gardens Primary School,https://www.agprimary.org.uk,London,W3 8SJ,London,no
145724,307,Ealing,Ada Lovelace Church of England High School,www.adalovelace.org.uk,London,W5 2JX,London,no
134369,307,Ealing,Alec Reed Academy,http://www.alecreedacademy.co.uk,Northolt,UB5 5LQ,London,no
101891,307,Ealing,Allenby Primary School,https://www.allenbyprimaryschool.com/,Southall,UB1 2HX,London,no
146318,307,Ealing,Ark Acton Academy,arkacton.org,London,W3 8EY,London,no
142110,307,Ealing,Ark Byron Primary Academy,https://arkbyron.org,London,W3 7JT,London,no
139699,307,Ealing,Ark Priory Primary Academy,http://arkprioryprimary.org/,London,W3 8NR,London,no
147863,307,Ealing,Ark Soane Academy,https://arksoane.org/,London,W3 8EA,London,no
139488,307,Ealing,Brentside Primary School,www.brentsideprimaryacademy.co.uk/,London,W7 1JL,London,no
101966,307,Ealing,Castlebar School,https://www.castlebar.ealing.sch.uk,London,W13 0DH,London,no
136445,307,Ealing,Christ the Saviour Church of England Primary School,www.ctsprimary.org.uk,London,W5 2AA,London,no
145348,307,Ealing,Dormers Wells High School,http://dwhs.co.uk/,Southall,UB1 3HZ,London,no
145406,307,Ealing,Dormers Wells Primary School,http://www.dwps.co.uk,Southall,UB1 3HX,London,no
137221,307,Ealing,Drayton Manor High School,http://www.draytonmanorhighschool.co.uk/,London,W7 1EU,London,no
101896,307,Ealing,Durdans Park Primary School,https://www.durdans-park.co.uk,Southall,UB1 2PQ,London,no
131753,307,Ealing,Ealing Alternative Provision,www.ealingalternativeprovision.org.uk,London,W13 0LR,London,no
142654,307,Ealing,Ealing Fields High School,www.ealingfields.org.uk,London,W5 4EJ,London,no
131310,307,Ealing,Elthorne Park High School,www.ephs.ealing.sch.uk,London,W7 2AH,London,no
137729,307,Ealing,Featherstone High School,www.featherstonehigh.ealing.sch.uk,Southall,UB2 5HF,London,no
101910,307,Ealing,Featherstone Primary and Nursery School,https://www.featherstoneprimary.co.uk/,Southall,UB2 5JT,London,no
101897,307,Ealing,Fielding Primary School,https://www.fieldingprimary.com/,London,W13 9TE,London,no
101899,307,Ealing,Greenwood Primary School,https://www.greenwoodprimaryschool.co.uk,Northolt,UB5 4QG,London,no
101887,307,Ealing,Hambrough Primary School,www.hambrough.ealing.dbprimary.com/,Middlesex,UB1 1SF,London,no
101900,307,Ealing,"Havelock Primary School, Nursery & Arp",https://www.havelock.ealing.sch.uk/,Southall,UB2 4PA,London,no
101888,307,Ealing,Hobbayne Primary School,https://www.hobbayneprimary.co.uk,London,W7 1HA,London,no
137569,307,Ealing,Holy Family Catholic Primary School,www.holyfamilyealing.co.uk/,London,W3 0DY,London,no
101969,307,Ealing,John Chilton School,https://www.john-chilton.ealing.sch.uk,Northolt,UB5 5LD,London,no
101889,307,Ealing,John Perryn Primary School,https://www.johnperryn.ealing.sch.uk/,London,W3 7PD,London,no
135482,307,Ealing,Khalsa Primary School,www.khalsaschool.co.uk,Southall,UB2 4LA,London,no
101903,307,Ealing,Lady Margaret Primary School,https://www.ladymargaret.ealing.sch.uk,Southall,UB1 2NH,London,no
101904,307,Ealing,Little Ealing Primary School,http://www.littleealing.com/,London,W5 4EA,London,no
101968,307,Ealing,Mandeville School,https://www.mandeville.ealing.sch.uk,Middlesex,UB6 0PA,London,no
101912,307,Ealing,Montpelier Primary School,http://www.montpelierschool.net/,London,W5 2QT,London,no
101870,307,Ealing,North Ealing Primary School,https://www.northealingprimary.org,London,W5 1RP,London,no
101943,307,Ealing,Northolt High School,www.northolthigh.org.uk,Northolt,UB5 4HP,London,no
101920,307,Ealing,Our Lady of the Visitation Catholic Primary School,https://www.visitation.ealing.sch.uk,Greenford,UB6 9AN,London,no
101906,307,Ealing,Perivale Primary School,https://www.perivale.ealing.sch.uk,Greenford,UB6 7AP,London,no
134217,307,Ealing,Petts Hill Primary School,www.pettshill.org/,Northolt,UB5 4HB,London,no
101885,307,Ealing,Ravenor Primary School,https://www.ravenor.ealing.sch.uk/,Greenford,UB6 9TT,London,no
101890,307,Ealing,Southfield Primary School,https://www.southfieldschool.org.uk,London,W4 1BD,London,no
101922,307,Ealing,St Anselm's Catholic Primary School,http://www.stanselmscatholicprimaryschool.co.uk,Southall,UB2 4DH,London,no
101923,307,Ealing,St Gregory's Catholic Primary School,https://www.st-gregorys.ealing.sch.uk/,London,W5 1SL,London,no
101921,307,Ealing,St John Fisher Catholic Primary School,https://www.st-johnfisher.ealing.sch.uk,Greenford,UB6 7AF,London,no
101924,307,Ealing,St Joseph's Catholic Primary School,https://www.stjosephshanwell.org.uk,London,W7 3HU,London,no
140963,307,Ealing,St Mary's Church of England Primary Norwood Green,www.stmarysschoolng.org/,Southall,UB2 4LE,London,no
101925,307,Ealing,St Raphael's Catholic Primary School,https://www.st-raphaels.org/,Northolt,UB5 6NL,London,no
101926,307,Ealing,St Vincent's Catholic Primary School,https://www.st-vincents.ealing.sch.uk,London,W3 9JR,London,no
101927,307,Ealing,The Edward Betham Church of England Primary School,https://www.edwardbetham.ealing.sch.uk/,Greenford,UB6 9JU,London,no
137546,307,Ealing,Twyford Church of England High School,www.twyford.ealing.sch.uk,London,W3 9PP,London,no
101875,307,Ealing,West Twyford Primary School,https://www.west-twyford.ealing.sch.uk,London,NW10 7DN,London,no
139725,307,Ealing,William Perkin Church of England High School,http://www.williamperkin.org.uk/,Greenford,UB6 8PR,London,no
101902,307,Ealing,Willow Tree Primary School,https://www.willow-treeprimary.co.uk,Northolt,UB5 5FE,London,no
136737,307,Ealing,Wood End Primary School,www.woodendprimaryschool.com,Northolt,UB5 4LB,London,no
143118,307,Ealing,Woodlands Academy,www.woodlands.ealing.sch.uk,London,W13 0DH,London,no
101878,307,Ealing,Beaconsfield Primary and Nursery School,https://www.beaconsfieldprimary.org.uk/,Southall,UB1 1DR,London,yes
101965,307,Ealing,Belvue School,http://www.belvueschool.com,Northolt,UB5 6AG,London,yes
101892,307,Ealing,Blair Peach Primary School,https://www.blair-peach.ealing.sch.uk/,Southall,UB1 1DD,London,yes
101939,307,Ealing,Brentside High School,http://www.brentsidehigh.ealing.sch.uk/,London,W7 1JJ,London,yes
101893,307,Ealing,Clifton Primary School,http://www.cliftonprimaryschool.com,Southall,UB2 5QP,London,yes
101879,307,Ealing,Coston Primary School,https://www.coston.ealing.sch.uk/,Greenford,UB6 9JU,London,yes
101894,307,Ealing,Dairy Meadow Primary School,https://www.dairymeadowprimary.co.uk/,Southall,UB2 4RP,London,yes
101895,307,Ealing,Derwentwater Primary School,https://www.derwentwaterschool.com,London,W3 6SA,London,yes
101880,307,Ealing,Downe Manor Primary School,https://www.downemanor.ealing.sch.uk,Northolt,UB5 6NW,London,yes
101881,307,Ealing,Drayton Green Primary School,https://www.draytongreen.ealing.sch.uk/,London,W13 0LA,London,yes
134597,307,Ealing,Ealing Primary Centre,www.ealingprimarycentre.co.uk,London,UB6 8QJ,London,yes
101868,307,Ealing,East Acton Primary School,https://www.eastactonprimary.org.uk/,London,W3 7HA,London,yes
101898,307,Ealing,Gifford Primary School,https://www.giffordprimaryschool.co.uk/,Northolt,UB5 6BU,London,yes
131144,307,Ealing,Grange Primary School,www.grange.ealing.sch.uk,London,W5 4HN,London,yes
101862,307,Ealing,Greenfields Nursery School and Children's Centre,https://www.greenfieldschildren.com,Southall,UB2 5PF,London,yes
101940,307,Ealing,Greenford High School,https://www.greenford.ealing.sch.uk,Southall,UB1 2GU,London,yes
101860,307,Ealing,Grove House Nursery School & Children's Centre,https://www.grovehousecc.com,Southall,UB1 2JG,London,yes
101901,307,Ealing,Horsenden Primary School,https://www.horsenden.ealing.sch.uk,Greenford,UB6 0PB,London,yes
101858,307,Ealing,Maples Nursery School and Children's Centre,https://mapleschildrenscentre.com,London,W3 7LL,London,yes
101877,307,Ealing,Mayfield Primary School,http://www.mayfield.ealing.sch.uk/,London,W7 3RT,London,yes
101919,307,Ealing,Mount Carmel Catholic Primary School,https://www.mountcarmel.ealing.sch.uk,London,W5 4EA,London,yes
101884,307,Ealing,North Primary School,https://www.northprimary.co.uk/,Southall,UB1 2JE,London,yes
101905,307,Ealing,Oaklands Primary School,https://www.oaklands-primary.co.uk,London,W7 2DP,London,yes
101869,307,Ealing,Oldfield Primary School,https://www.oldfield.ealing.sch.uk,Greenford,UB6 8PR,London,yes
101886,307,Ealing,Selborne Primary School,https://www.selborne.ealing.sch.uk,Greenford,UB6 8JD,London,yes
101861,307,Ealing,South Acton Childrens Centre,https://www.southactoncc.com,London,W3 8RX,London,yes
101970,307,Ealing,Springhallow School,http://www.springhallow.ealing.sch.uk,London,W13 0JG,London,yes
101971,307,Ealing,St Ann's School,https://www.stannsschool.co.uk,London,W7 3JP,London,yes
101873,307,Ealing,St John's Primary School,https://www.st-johns.ealing.sch.uk,London,W13 0SE,London,yes
101874,307,Ealing,St Mark's Primary School,https://www.st-marks.ealing.sch.uk,London,W7 2NR,London,yes
101907,307,Ealing,Stanhope Primary School,https://www.stanhopeprimaryschool.co.uk/,Greenford,UB6 9EG,London,yes
101934,307,Ealing,The Cardinal Wiseman Catholic School,https://www.wiseman.ealing.sch.uk,Greenford,UB6 9AW,London,yes
101941,307,Ealing,The Ellen Wilkinson School for Girls,http://www.ellenwilkinson.ealing.sch.uk,London,W3 0HW,London,yes
101911,307,Ealing,Three Bridges Primary School,https://www.threebridgesprimary.co.uk,Southall,UB2 4HT,London,yes
101913,307,Ealing,Tudor Primary School,http://www.tudorprimary.co.uk/,Southall,UB1 1NX,London,yes
101916,307,Ealing,Vicar's Green Primary School,https://www.vicarsgreenprimaryschool.co.uk,Wembley,HA0 1DP,London,yes
101908,307,Ealing,Viking Primary School,https://www.vikingprimary.net/,Northolt,UB5 6HW,London,yes
101928,307,Ealing,Villiers High School,http://www.villiers.ealing.sch.uk/,Southall,UB1 3BT,London,yes
101876,307,Ealing,West Acton Primary School,http://www.westactonprimaryschool.org/,London,W3 0JL,London,yes
101909,307,Ealing,Wolf Fields Primary School,https://www.wolffieldsprimary.co.uk/,Southall,UB2 4JS,London,yes
