urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
147536,308,Enfield,AIM Academy North London,www.aimnorthlondon.org.uk,London,N9 8DQ,London,no
145984,308,Enfield,Alma Primary School,www.almaprimary.co.uk,Enfield,EN3 4UQ,London,no
139815,308,Enfield,Ark John Keats Academy,www.arkjohnkeats.org,London,EN3 5PA,London,no
136147,308,Enfield,Aylward Academy,www.aylwardacademy.org,London,N18 1NB,London,no
143201,308,Enfield,Bowes Primary School,www.bowesprimaryschool.org,London,N11 2HL,London,no
146946,308,Enfield,Brettenham Primary School,http://www.brettenhamprimaryschool.co.uk/,London,N18 2ET,London,no
143202,308,Enfield,Brimsdown Primary School,www.brimsdown.enfield.sch.uk/,Enfield,EN3 7NA,London,no
101981,308,Enfield,Capel Manor Primary School,http://www.capelmanor.enfield.sch.uk,Enfield,EN1 4RL,London,no
145201,308,Enfield,Carterhatch Junior School,www.carterhatchjun.org,Enfield,EN1 4JY,London,no
101984,308,Enfield,Chase Side Primary School,https://www.chaseside.enfield.sch.uk,Enfield,EN2 6NS,London,no
143200,308,Enfield,Chesterfield Primary School,www.chesterfieldprimaryschool.co.uk,Enfield,EN3 6BG,London,no
145522,308,Enfield,Churchfield Primary School,www.churchfield.school,London,N9 9PL,London,no
151401,308,Enfield,De Bohun Primary School,www.debohun.enfield.sch.uk,London,N14 4AD,London,no
145955,308,Enfield,Delta Primary School,www.deltaprimary.org,Enfield,N9 8PT,London,no
145968,308,Enfield,Eastfield Primary School,www.eastfieldprimary.com,Enfield,EN3 5UX,London,no
143197,308,Enfield,Edmonton County School,http://www.edmonton.enfield.sch.uk,London,N9 9JZ,London,no
150663,308,Enfield,Eldon Primary School,www.eldonprimary.co.uk,London,N9 8LG,London,no
137094,308,Enfield,Enfield Grammar School,http://www.enfieldgrammar.org/,Enfield,EN2 6LN,London,no
138381,308,Enfield,Enfield Heights Academy,https://www.northstartrust.org.uk/,Enfield,EN3 5BY,London,no
102025,308,Enfield,Eversley Primary School,http://www.eversley.enfield.sch.uk/,London,N21 1PD,London,no
145232,308,Enfield,Fern House School,https://www.fernhouseschool.org,Enfield,EN3 6NY,London,no
146935,308,Enfield,Fleecefield Primary School,www.fleecefield.enfield.sch.uk/,London,N18 2ES,London,no
102031,308,Enfield,Freezywater St George's CofE VA Primary School,https://www.freezywaterstgeorges.org.uk,Enfield,EN3 6NR,London,no
146862,308,Enfield,Galliard Primary School,http://www.galliardprimaryschool.co.uk/,London,N9 7PE,London,no
101992,308,Enfield,Garfield Primary School,https://www.garfield.enfield.sch.uk/,London,N11 1BH,London,no
145207,308,Enfield,Grange Park Primary School,http://www.grangeparkprimary.org,London,N21 1PP,London,no
143198,308,Enfield,Hazelbury Primary School,www.hazelbury-primary-school.co.uk,London,N9 9TT,London,no
