urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
137531,309,Haringey,Alexandra Park School,www.alexandrapark.school,London,N11 2AZ,London,no
130358,309,Haringey,Alexandra Primary School,https://www.alexandraprimaryschool.co.uk/,London,N22 6UH,London,no
102079,309,Haringey,Belmont Infant School,https://belmontinfants.org,London,N22 6RA,London,no
102175,309,Haringey,Blanche Nevile School,https://www.blanchenevile.org.uk,London,N10 1NJ,London,no
102081,309,Haringey,Bounds Green Infant School,https://www.boundsgreenschool.co.uk,London,N11 2QG,London,no
102080,309,Haringey,Bounds Green Junior School,https://www.boundsgreenschool.co.uk,London,N11 2QG,London,no
141209,309,Haringey,Brook House Primary School,www.brookhouseprimary.net,London,N17 8EY,London,no
131731,309,Haringey,Bruce Grove Primary School,www.brucegroveprimary.com,London,N17 6UH,London,no
102121,309,Haringey,Coleridge Primary School,https://www.coleridgeprimary.net/,London,N8 8DN,London,no
144900,309,Haringey,Duke's Aldridge,www.dukesacademy.org.uk,London,N17 0PG,London,no
131478,309,Haringey,Earlham Primary School,www.earlhamprimary.com,London,N22 5HJ,London,no
136808,309,Haringey,Eden Primary,www.edenprimary.org.uk/,London,N10 1NR,London,no
102156,309,Haringey,Fortismere School,https://www.fortismere.haringey.sch.uk,London,N10 1NE,London,no
102157,309,Haringey,Gladesmore Community School,http://www.gladesmore.com/,London,N15 6EB,London,no
133386,309,Haringey,Greig City Academy,www.greigcityacademy.co.uk,London,N8 7NU,London,no
131584,309,Haringey,Haringey Learning Partnership,https://www.haringeylearningpartnership.org,London,N22 8DZ,London,no
139363,309,Haringey,Haringey Sixth Form College,https://www.haringey6.ac.uk,London,N17 8HR,London,no
140935,309,Haringey,Harris Academy Tottenham,www.harristottenham.org.uk,London,N17 9LN,London,no
138446,309,Haringey,Harris Primary Academy Coleraine Park,www.harrisprimarycolerainepark.org.uk,London,N17 9XT,London,no
138447,309,Haringey,Harris Primary Academy Philip Lane,www.harrisprimaryphiliplane.org.uk,London,N15 4AB,London,no
139616,309,Haringey,Heartlands High School,http://heartlands.haringey.sch.uk/,London,N22 7ST,London,no
102154,309,Haringey,Highgate Wood Secondary School,http://www.hws.haringey.sch.uk/,London,N8 8RN,London,no
139240,309,Haringey,Holy Trinity CofE Primary School,www.holytrinityn17.ldbsact.org,London,N17 9EJ,London,no
102153,309,Haringey,Hornsey School for Girls,http://www.hsg.haringey.sch.uk/,London,N8 9JF,London,no
144753,309,Haringey,London Academy of Excellence Tottenham,www.laetottenham.ac.uk,London,N17 0BX,London,no
137745,309,Haringey,Mulberry Academy Woodside,www.mulberrywoodside.org,London,N22 5QJ,London,no
131871,309,Haringey,Muswell Hill Primary School,www.muswellhillprimary.co.uk/,London,N10 3ST,London,no
138588,309,Haringey,Noel Park Primary School,https://sites.google.com/aetinet.org/noel-park-primary-school,London,N22 6LH,London,no
131757,309,Haringey,Park View School,www.parkview.haringey.sch.uk,London,N15 3QR,London,no
102071,309,Haringey,Pembury House Nursery School,https://www.pemburyhouse.haringey.sch.uk/,London,N17 9XE,London,no
102128,309,Haringey,Rhodes Avenue Primary School,www.rhodes.haringey.sch.uk,London,N22 7UT,London,no
