urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
136663,311,Havering,Abbs Cross Academy and Arts College,http://www.abbscross.net,Hornchurch,RM12 4YB,London,no
149452,311,Havering,Ardleigh Green Infant School,http://www.agi.havering.sch.uk,Hornchurch,RM11 2SP,London,no
149451,311,Havering,Ardleigh Green Junior School,http://www.ardleighgreenjun.org.uk/,Hornchurch,RM11 2SP,London,no
143216,311,Havering,Benhurst Primary School,http://www.benhurst.havering.sch.uk/,Hornchurch,RM12 4QS,London,no
139307,311,Havering,Bower Park Academy,http://www.bowerpark.co.uk,Romford,RM1 4YY,London,no
135588,311,Havering,Branfil Primary School,http://branfil.havering.sch.uk/,Upminster,RM14 2LW,London,no
102317,311,Havering,Broadford Primary School,http://www.broadford.havering.sch.uk/,Romford,RM3 8JS,London,no
102291,311,Havering,Clockhouse Primary School,http://www.clockhouseprimaryschool.co.uk/,Romford,RM5 3QR,London,no
142885,311,Havering,Concordia Academy,http://concordiaacademy.co.uk/,Romford,RM7 0HG,London,no
102362,311,Havering,Corbets Tey School,http://www.corbetsteyschool.org.uk/,Upminster,RM14 2YQ,London,no
102295,311,Havering,Crownfield Infant School,https://www.crownfieldinfantschool.org,Romford,RM7 8JB,London,no
102294,311,Havering,Crownfield Junior School,http://www.crownfieldjunior.co.uk/,Romford,RM7 8JB,London,no
146185,311,Havering,Dame Tipping Church of England Primary School,www.dametipping.com/,Romford,RM4 1PS,London,no
136090,311,Havering,Drapers' Academy,http://www.drapersacademy.com,Romford,RM3 9XR,London,no
142966,311,Havering,Drapers' Brookside Infant School,www.drapersbrookside.com,Romford,RM3 9DJ,London,no
140818,311,Havering,Drapers' Brookside Junior School,http://www.drapersbrookside.com/,Romford,RM3 9DJ,London,no
141549,311,Havering,Drapers' Maylands Primary School,www.drapersmaylands.com,Romford,RM3 9XR,London,no
141577,311,Havering,Drapers' Pyrgo Priory School,http://draperspyrgo.com/,Romford,RM3 9RT,London,no
102272,311,Havering,Elm Park Primary School,http://www.elmparkprimary.co.uk/,Hornchurch,RM12 5UA,London,no
137414,311,Havering,Emerson Park Academy,http://www.emersonparkacademy.org/,Hornchurch,RM11 3AD,London,no
132766,311,Havering,Engayne Primary School,http://www.engayne.co.uk/,Upminster,RM14 1SW,London,no
144095,311,Havering,Gaynes School,http://www.gaynes.havering.sch.uk/,Upminster,RM14 3UX,London,no
102308,311,Havering,Gidea Park Primary School,https://www.gideapkprimary.org.uk,Romford,RM2 5AJ,London,no
146136,311,Havering,Hacton Primary School,http://www.hacton.havering.sch.uk/,Hornchurch,RM12 6AU,London,no
137197,311,Havering,Hall Mead School,http://www.hallmeadschool.com/,Upminster,RM14 1SF,London,no
102278,311,Havering,Harold Court Primary School,http://www.haroldcourt.org.uk/,Romford,RM3 0SH,London,no
102269,311,Havering,Harold Wood Primary School,https://haroldwoodprimary.com,Romford,RM3 0TH,London,no
143428,311,Havering,Harris Academy Rainham,,Rainham,RM13 9XD,London,no
143759,311,Havering,Harris Rainham Sixth Form,https://www.harrisrainhamsixthform.org.uk/,Rainham,RM13 9XA,London,no
145111,311,Havering,Harrow Lodge Primary School,www.harrowlodgeprimary.com,Hornchurch,RM12 4BP,London,no
102325,311,Havering,Hilldene Primary School,https://hilldene.havering.sch.uk/,Romford,RM3 7DU,London,no
143946,311,Havering,Hornchurch High School,www.hornchurchhigh.com,Hornchurch,RM12 4AJ,London,no
102276,311,Havering,Hylands Primary School,https://sites.google.com/hylands.havering.sch.uk/hps/home,Romford,RM1 2RU,London,no
102280,311,Havering,Langtons Infant School & Nursery,http://www.langtonsinfant.com/,Hornchurch,RM11 3SD,London,no
139406,311,Havering,Langtons Junior Academy,www.langtonsjunioracademy.co.uk,Hornchurch,RM11 3SD,London,no
142050,311,Havering,Lime Academy Forest Approach,http://limeacademyforestapproach.org/,Romford,RM3 9YA,London,no
142722,311,Havering,Lime Academy Ravensbourne,http://limeacademyravensbourne.org,Romford,RM3 8HN,London,no
144094,311,Havering,Marshalls Park Academy,http://marshallspark.org.uk/,Romford,RM1 4EH,London,no
102322,311,Havering,Mead Primary School,http://www.mead.havering.sch.uk/,Romford,RM3 9JD,London,no
140022,311,Havering,Oasis Academy Pinewood,http://www.oasisacademypinewood.org/,Romford,RM5 2TX,London,no
143130,311,Havering,Olive AP Academy - Havering,https://aphavering.oliveacademies.org.uk/,Hornchurch,RM11 3UR,London,no
102299,311,Havering,Parklands Primary School,http://www.parklands.havering.sch.uk/,Romford,RM1 4QX,London,no
102312,311,Havering,Parsonage Farm Primary School,http://www.pfps.havering.sch.uk/,Rainham,RM13 9JU,London,no
137396,311,Havering,Redden Court School,http://www.reddencourtcloud.co.uk,Romford,RM3 0TS,London,no
141299,311,Havering,Rise Park Infant School,https://www.riseparkacademies.co.uk,Romford,RM1 4UD,London,no
141173,311,Havering,Rise Park Junior School,https://www.riseparkacademies.co.uk,Romford,RM1 4UD,London,no
137233,311,Havering,Sacred Heart of Mary Girls' School,http://www.sacredheartofmary.net/,Upminster,RM14 2QR,London,no
146309,311,Havering,Sanders Draper,http://www.sandersschool.org.uk/,Hornchurch,RM12 6RT,London,no
144589,311,Havering,Scargill Infant School,http://www.scargillinf.org.uk/,Rainham. Essex,RM13 7PL,London,no
144590,311,Havering,Scargill Junior School,https://www.scargill-jun.havering.sch.uk/,Rainham,RM13 7PL,London,no
102304,311,Havering,Squirrels Heath Infant School,https://www.squirrelsheath.com/,Romford,RM2 5TP,London,no
102303,311,Havering,Squirrels Heath Junior School,http://www.shj.havering.sch.uk/,Romford,RM2 5TP,London,no
145944,311,Havering,St Edward's Church of England Academy,www.steds.org.uk,Romford,RM7 9NX,London,no
102283,311,Havering,Suttons Primary School,https://www.suttonsprimary.co.uk/,Hornchurch,RM12 6RP,London,no
136576,311,Havering,The Brittons Academy,http://www.brittons.havering.sch.uk/,Rainham,RM13 7BB,London,no
137040,311,Havering,The Campion School,http://www.thecampionschool.org.uk,Hornchurch,RM11 3BX,London,no
149720,311,Havering,The Compass School,https://www.thecompassschool.org/,Romford,RM7 9NU,London,no
136600,311,Havering,The Coopers' Company and Coborn School,http://www.cooperscoborn.org.uk/,Upminster,RM14 3HS,London,no
138326,311,Havering,The Frances Bardsley Academy for Girls,http://www.fbaok.co.uk,Romford,RM1 2RR,London,no
102268,311,Havering,The James Oglethorpe Primary School,http://www.jamesoglethorpe.havering.sch.uk/,Upminster,RM14 3NB,London,no
131426,311,Havering,The Mawney Foundation School,http://www.learningandachievingfederation.co.uk,Romford,RM7 7HR,London,no
143877,311,Havering,The Royal Liberty School,http://www.royalliberty.co.uk,Romford,RM2 6HJ,London,no
102309,311,Havering,Towers Infant School,https://www.towersinfant.co.uk/,Hornchurch,RM11 1HP,London,no
102313,311,Havering,Towers Junior School,https://www.towersjs.havering.sch.uk,Hornchurch,RM11 1PD,London,no
138943,311,Havering,Upminster Infant School,http://www.uis.havering.sch.uk,Upminster,RM14 3BS,London,no
138944,311,Havering,Upminster Junior School,http://www.ujs.havering.sch.uk,UPMINSTER,RM14 3BS,London,no
102285,311,Havering,Whybridge Infant School,http://www.whybridge.co.uk/,Rainham,RM13 7AR,London,no
144596,311,Havering,Whybridge Junior School,http://www.whybridge-jun.havering.sch.uk/,Rainham,RM13 7AH,London,no
102314,311,Havering,Brady Primary School,http://www.bradyprimaryschool.co.uk/,Rainham,RM13 9XA,London,yes
135812,311,Havering,Crowlands Primary School,http://www.crowlandsprimary.com/,Romford,RM7 9EJ,London,yes
102330,311,Havering,La Salette Catholic Primary School,http://www.lasalette.havering.sch.uk/,Rainham,RM13 8SP,London,yes
102321,311,Havering,Nelmes Primary School,http://www.nelmes-havering.org.uk/,Hornchurch,RM11 3BX,London,yes
102319,311,Havering,Newtons Primary School,http://www.newtons.havering.sch.uk/,Rainham,RM13 8QR,London,yes
131590,311,Havering,R J Mitchell Primary School,http://www.rjmitchellprimaryschool.com/,Hornchurch,RM12 5PP,London,yes
102324,311,Havering,Rainham Village Primary School,https://www.rainhamvillage.havering.sch.uk/,Rainham,RM13 9AA,London,yes
102316,311,Havering,Scotts Primary School,http://www.scotts.havering.sch.uk/,Hornchurch,RM12 6TH,London,yes
102336,311,Havering,St Alban's Catholic Primary School,http://www.stalbansschool.net,Hornchurch,RM12 5LN,London,yes
102328,311,Havering,St Edward's Church of England Voluntary Aided Primary School,http://www.stedwardsva.net/,Romford,RM1 4BT,London,yes
102334,311,Havering,St Joseph's Catholic Primary School,http://www.st-josephs-upminster.net/,Upminster,RM14 2QB,London,yes
102329,311,Havering,St Mary's Catholic Primary School,https://www.stmaryscatholicprimaryschool.co.uk,Hornchurch,RM12 4TL,London,yes
102331,311,Havering,St Patrick's Catholic Primary School,https://www.saint-patricks.org.uk,Romford,RM5 2AP,London,yes
102335,311,Havering,St Peter's Catholic Primary School,https://www.st-peters.havering.sch.uk/,Romford,RM1 4JA,London,yes
102332,311,Havering,St Ursula's Catholic Primary School,http://www.stursulascatholicprimary.co.uk,Romford,RM3 7JS,London,yes
