urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
142687,314,Kingston upon Thames,Bedelsford School,www.bedelsfordschool.org,Kingston upon Thames,KT1 2QZ,London,no
102564,314,Kingston upon Thames,Burlington Junior School,http://www.burlingtonj.kingston.sch.uk/,New Malden,KT3 4LT,London,no
141764,314,Kingston upon Thames,Castle Hill Primary School,https://castlehill-kingston.co.uk/,Chessington,KT9 1JE,London,no
148407,314,Kingston upon Thames,Chessington School,http://chessington.kingston.sch.uk/,Chessington,KT9 2JS,London,no
137859,314,Kingston upon Thames,Coombe Boys' School,http://www.coombeboysschool.org,New Malden,KT3 6NU,London,no
137848,314,Kingston upon Thames,Coombe Girls' School,http://www.coombegirlsschool.org/,New Malden,KT3 3TU,London,no
102594,314,Kingston upon Thames,Corpus Christi Catholic Primary School,https://www.corpuschristikingston.co.uk,New Malden,KT3 3JU,London,no
142698,314,Kingston upon Thames,Dysart School,www.dysartschool.org,Surbiton,KT6 6HL,London,no
148798,314,Kingston upon Thames,Fern Hill Primary School,www.fernhillprimary.org,Kingston upon Thames,KT2 5PE,London,no
146127,314,Kingston upon Thames,Green Lane Primary and Nursery School,https://www.greenlane.org.uk/,Worcester Park,KT4 8AS,London,no
140667,314,Kingston upon Thames,Knollmead Primary School,www.knollmeadprimary.co.uk,Surbiton,KT5 9QP,London,no
138689,314,Kingston upon Thames,Latchmere School,www.latchmereschool.org,Kingston upon Thames,KT2 5TT,London,no
137575,314,Kingston upon Thames,Lime Tree Primary School,www.limetree.info,Kingston upon Thames,KT6 6DG,London,no
102562,314,Kingston upon Thames,Malden Oaks School and Tuition Service,https://www.maldenoaks.org,Kingston upon Thames,KT2 5QY,London,no
149923,314,Kingston upon Thames,Our Lady Immaculate Catholic Primary School,http://www.oli.kingston.sch.uk/,Surbiton,KT6 7DG,London,no
137299,314,Kingston upon Thames,Richard Challoner School,www.richardchalloner.com,New Malden,KT3 5PE,London,no
147334,314,Kingston upon Thames,Robin Hood Primary and Nursery School,https://www.robinhoodprimary.org.uk/,London,SW15 3QL,London,no
137917,314,Kingston upon Thames,Southborough High School,http://www.southborough.kingston.sch.uk/,Surbiton,KT6 5AS,London,no
149754,314,Kingston upon Thames,Spring School,https://www.springschool.org.uk/,Kingston upon Thames,KT2 7AB,London,no
137856,314,Kingston upon Thames,St Agatha's Catholic Primary School,http://www.stagathas.school,Kingston upon Thames,KT2 5TY,London,no
149924,314,Kingston upon Thames,St Joseph's Catholic Primary School,www.stjosephs.kingston.sch.uk,Kingston upon Thames,KT1 2UP,London,no
142740,314,Kingston upon Thames,St Philip's School,http://www.stphilips-chessington.org,Chessington,KT9 2HR,London,no
