urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
102663,315,Merton,All Saints' CofE Primary School,http://www.allsaints.merton.sch.uk,London,SW19 1EB,London,no
144838,315,Merton,Aragon Primary School,www.aragon.merton.sch.uk,Morden,SM4 4QU,London,no
143133,315,Merton,Beecholme Primary School,www.beecholme.com,Mitcham,CR4 2HZ,London,no
147970,315,Merton,Benedict Academy,https://benedictacademy.org/,Mitcham,CR4 3BE,London,no
102626,315,Merton,Bond Primary School,http://www.bondprimary.com,Mitcham,CR4 3HG,London,no
133754,315,Merton,Canterbury Campus and Lavender Campus,https://www.melbury.merton.sch.uk/,Morden,SM4 6PT,London,no
102654,315,Merton,Gorringe Park Primary School,https://www.gorringepark.co.uk,Mitcham,CR4 2YA,London,no
131897,315,Merton,Harris Academy Merton,http://www.harrismerton.org.uk,Mitcham,CR4 1BP,London,no
138495,315,Merton,Harris Academy Morden,http://www.harrismorden.org.uk/,Morden,SM4 6DU,London,no
145860,315,Merton,Harris Academy Wimbledon,www.harriswimbledon.org.uk,London,SW19 2JY,London,no
141143,315,Merton,Harris Primary Academy Merton,,Mitcham,CR4 1JW,London,no
102643,315,Merton,Haslemere Primary School,https://www.haslemereprimary.co.uk,Mitcham,CR4 3PQ,London,no
102632,315,Merton,Hatfeild Primary School,https://www.hatfeild.merton.sch.uk/,Morden,SM4 4SJ,London,no
102634,315,Merton,Joseph Hood Primary School,https://www.josephhood.merton.sch.uk,London,SW20 9NS,London,no
102636,315,Merton,Lonesome Primary School,https://www.bedifferent-federation.org.uk/index.html,Mitcham,CR4 1SD,London,no
132169,315,Merton,Malmesbury Primary School,www.malmesbury.merton.sch.uk/,Morden,SM4 6HG,London,no
102638,315,Merton,Merton Abbey Primary School,https://www.mertonabbey.merton.sch.uk/,London,SW19 2JY,London,no
102639,315,Merton,Merton Park Primary School,,London,SW19 3HQ,London,no
102640,315,Merton,Morden Primary School,https://www.morden.merton.sch.uk/,Morden,SM4 5PX,London,no
141027,315,Merton,Park Academy,https://park-academy.org/,London,SW19 3EF,London,no
102698,315,Merton,Perseid School,https://www.perseid.merton.sch.uk,Morden,SM4 5LT,London,no
102644,315,Merton,Poplar Primary School,www.poplar.merton.sch.uk,London,SW19 3JZ,London,no
102679,315,Merton,Rutlish School,https://www.rutlish.merton.sch.uk,London,SW20 9AD,London,no
102647,315,Merton,Singlegate Primary School,https://www.bedifferent-federation.org.uk,London,SW19 2NT,London,no
151349,315,Merton,St John Fisher RC Primary School,www.st-johnfisher.merton.sch.uk,London,SW20 9NA,London,no
102670,315,Merton,St Mary's Catholic Primary School,https://www.st-marys.merton.sch.uk,London,SW19 1QL,London,no
102669,315,Merton,St Teresa's Catholic Primary School,https://www.st-teresas.merton.sch.uk,Morden,SM4 6RL,London,no
133774,315,Merton,St Thomas of Canterbury Catholic Primary School,www.st-thomascanterbury.merton.sch.uk/,Mitcham,CR4 1YG,London,no
151350,315,Merton,Ursuline High School Wimbledon,www.ursulinehigh.merton.sch.uk,London,SW20 8HA,London,no
102661,315,Merton,William Morris Primary School,https://www.bedifferent-federation.org.uk/,Mitcham,CR4 1PJ,London,no
102649,315,Merton,Abbotsbury Primary School,https://www.abbotsbury.merton.sch.uk/,Morden,SM4 5JS,London,yes
102666,315,Merton,Bishop Gilpin CofE Primary School,https://www.bishopgilpin.org,Wimbledon,SW19 7EP,London,yes
102653,315,Merton,Cranmer Primary School,https://www.cranmer.merton.sch.uk/,Mitcham,CR4 4XU,London,yes
102699,315,Merton,Cricket Green School,https://www.cricketgreen.merton.sch.uk,Mitcham,CR4 3AF,London,yes
102628,315,Merton,Dundonald Primary School,https://www.dundonald.merton.sch.uk,London,SW19 3QH,London,yes
102629,315,Merton,Garfield Primary School,https://www.garfield.merton.sch.uk,Wimbledon,SW19 8SB,London,yes
102655,315,Merton,Hillcross Primary School,https://www.hillcross.merton.sch.uk,Morden,SM4 4EE,London,yes
102633,315,Merton,Hollymount School,https://www.hollymount.org/,London,SW20 0SQ,London,yes
102665,315,Merton,Holy Trinity CofE Primary School,http://www.holytrinity.merton.sch.uk,London,SW19 8PW,London,yes
102656,315,Merton,Liberty Primary,https://www.liberty.merton.sch.uk,Mitcham,CR4 3EB,London,yes
102635,315,Merton,Links Primary School,https://www.links.merton.sch.uk,London,SW17 9EH,London,yes
102697,315,Merton,Melrose School,https://www.melbury.merton.sch.uk,Mitcham/ Raynes Park,CR4 3BE,London,yes
102642,315,Merton,Pelham Primary School,http://www.pelham.merton.sch.uk,London,SW19 1NU,London,yes
102674,315,Merton,Raynes Park High School,http://www.rphs.org.uk,London,SW20 0JL,London,yes
102673,315,Merton,Ricards Lodge High School,http://ricardslodge.merton.sch.uk/,London,SW19 7HB,London,yes
102668,315,Merton,Sacred Heart Catholic Primary School,https://www.sacredheart.merton.sch.uk,New Malden,KT3 4ND,London,yes
134003,315,Merton,St Mark's Church of England Academy,http://www.stmarks.anthemtrust.uk/,Mitcham,CR4 1SF,London,yes
102645,315,Merton,St Mark's Primary School,https://www.stmarks.merton.sch.uk/,Mitcham,CR4 2LF,London,yes
102664,315,Merton,St Matthew's CofE Primary School,https://www.st-matthews.merton.sch.uk,London,SW20 0SX,London,yes
102667,315,Merton,St Peter and Paul Catholic Primary School,https://www.sspp.merton.sch.uk,MITCHAM,CR4 4LA,London,yes
102672,315,Merton,The Priory CofE School,https://www.thepriory.merton.sch.uk,London,SW19 8LX,London,yes
102646,315,Merton,The Sherwood School,https://www.thesherwoodschool.co.uk/,Mitcham,CR4 1JP,London,yes
102652,315,Merton,West Wimbledon Primary School,http://www.westwimbledonprimary.co.uk/,London,SW20 0BZ,London,yes
102662,315,Merton,Wimbledon Chase Primary School,https://www.wimbledonchaseschool.co.uk/,London,SW19 3QB,London,yes
102681,315,Merton,Wimbledon College,http://www.wimbledoncollege.org.uk/,London,SW19 4NS,London,yes
102648,315,Merton,Wimbledon Park Primary School,https://www.wimbledonpark.merton.sch.uk/,London,SW19 8EJ,London,yes
