urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
102709,316,Newham,Altmore Infant School,https://www.altmore.newham.sch.uk,London,E6 2BX,London,no
102710,316,Newham,Avenue Primary School,http://www.avenue.newham.sch.uk/,London,E12 6AR,London,no
144739,316,Newham,Bobby Moore Academy,www.bobbymooreacademy.co.uk,London,E20 2AE,London,no
136669,316,Newham,Brampton Manor Academy,http://www.bramptonmanor.org/,London,E6 3SQ,London,no
102711,316,Newham,Brampton Primary School,https://www.brampton.newham.sch.uk/,London,E6 3LB,London,no
144527,316,Newham,Britannia Village Primary School,www.britannia-village.newham.sch.uk/,London,E16 2AW,London,no
130995,316,Newham,Central Park Primary School,http://www.centralpark.newham.sch.uk,London,E6 3DW,London,no
143882,316,Newham,Cleves Primary School,http://www.cleves.boleyntrust.org,London,E6 1QP,London,no
149777,316,Newham,Connaught Special School,http://www.connaught.lihtrust.uk/,London,E13 9BT,London,no
145113,316,Newham,Cumberland Community School,https://www.cumberlandcst.org,London,E13 8SJ,London,no
144142,316,Newham,Curwen Primary School,www.curwen.newham.sch.uk,London,E13 0AG,London,no
143883,316,Newham,Drew Primary School,www.drew.newham.sch.uk/,London,E16 2DP,London,no
145088,316,Newham,Earlham Primary School,earlham.ekotrust.org.uk,London,E7 9AW,London,no
148224,316,Newham,Eastlea Community School,https://eastlea.ncltrust.net/,London,E16 4NP,London,no
102700,316,Newham,Edith Kerrison Nursery School,http://www.edithkerrison.newham.sch.uk/,London,E16 3PB,London,no
141139,316,Newham,Education Links,www.education-links.org,London,E15 1TT,London,no
143275,316,Newham,Eko Pathways,https://ekopathways.ekotrust.org.uk,London,E6 6FE,London,no
145362,316,Newham,Elmhurst Primary School,www.elmhurstprimary.co.uk,London,E7 8JY,London,no
102763,316,Newham,Essex Primary School,https://www.essex.newham.sch.uk/,London,E12 6QX,London,no
143274,316,Newham,Forest Gate Community School,http://www.forestgatecst.org/,London,E7 9BB,London,no
143276,316,Newham,Gainsborough Primary School,www.gainsborough.newham.sch.uk,London,E15 3AF,London,no
145368,316,Newham,Gallions Primary School,www.gallions.newham.sch.uk,London,E6 6WG,London,no
102723,316,Newham,Grange Primary School,https://www.grange.newham.sch.uk/,London,E13 0HE,London,no
145363,316,Newham,Hallsville Primary School,www.hallsville.newham.sch.uk/,London,E16 1LN,London,no
139703,316,Newham,Harris Academy Chobham,https://www.harrischobham.org.uk/,London,E20 1BD,London,no
149431,316,Newham,Harris Science Academy East London,https://www.harrisscienceeastlondon.org.uk/,London,E3 3DU,London,no
142708,316,Newham,Hartley Primary School,http://www.hartley.newham.sch.uk,London,E6 1NT,London,no
141255,316,Newham,John F Kennedy Special School,https://www.jfkspecialschool.lihtrust.uk/,London,E15 4RZ,London,no
143277,316,Newham,Kaizen Primary School,www.kaizen.newham.sch.uk,London,E13 8LF,London,no
102701,316,Newham,Kay Rowe Nursery School,https://www.kayrowe.newham.sch.uk,London,E7 0PH,London,no
102725,316,Newham,Keir Hardie Primary School,https://www.keirhardie.newham.sch.uk/,London,E16 1FZ,London,no
144141,316,Newham,Kensington Primary School,http://www.kensington.newham.sch.uk,London,E12 6NN,London,no
132058,316,Newham,Kingsford Community School,http://www.kingsfordschool.org.uk/,London,E6 5JG,London,no
140373,316,Newham,Langdon Academy,www.langdonacademy.org,London,E6 2PS,London,no
102728,316,Newham,Lathom Junior School,https://www.lathom.newham.sch.uk,London,E6 2DU,London,no
148902,316,Newham,Lister Community School,http://lister.ncltrust.net/,London,E13 9AE,London,no
138403,316,Newham,London Academy of Excellence,www.lae.ac.uk,London,E15 1AJ,London,no
142903,316,Newham,London Design and Engineering UTC,www.ldeutc.co.uk,London,E16 2RD,London,no
102730,316,Newham,Maryland Primary School,https://www.maryland.newham.sch.uk/,London,E15 1SL,London,no
145235,316,Newham,Monega Primary School,www.monega.boleyntrust.org,London,E12 6TT,London,no
145364,316,Newham,Nelson Primary School,www.nelson.newham.sch.uk/,London,E6 2SE,London,no
145367,316,Newham,New City Primary School,www.newcity.boleyntrust.org,London,E13 9NE,London,no
144511,316,Newham,"Newham Collegiate Sixth Form Centre, City of London Academy",https://sixthform.london,London,E6 2BB,London,no
146915,316,Newham,North Beckton Primary School,www.northbeckton.newham.sch.uk,London,E6 5XG,London,no
141082,316,Newham,Oasis Academy Silvertown,http://www.oasisacademysilvertown.org/,London,E16 2BB,London,no
102735,316,Newham,Odessa Infant School,https://www.odessa.newham.sch.uk/,London,E7 9BY,London,no
102706,316,Newham,Oliver Thomas Nursery School,,London,E6 6BU,London,no
102736,316,Newham,Park Primary School,https://www.park.newham.sch.uk/,London,E15 4AE,London,no
132812,316,Newham,Plaistow Primary School,www.plaistow.newham.sch.uk/,London,E13 9DQ,London,no
142632,316,Newham,Portway Primary School,https://portway.ncltrust.net,London,E13 0JW,London,no
144139,316,Newham,Ranelagh Primary School,www.ranelagh.newham.sch.uk,London,E15 3DN,London,no
144140,316,Newham,Ravenscroft Primary School,www.ravenscroft.boleyntrust.org,London,E16 4BD,London,no
102702,316,Newham,Rebecca Cheetham Nursery and Children's Centre,http://www.rebeccacheetham.newham.sch.uk/,London,E15 3JT,London,no
148901,316,Newham,Rokeby School,http://www.rokeby.ncltrust.net/,London,E16 4DD,London,no
102740,316,Newham,Roman Road Primary School,https://www.romanroad.newham.sch.uk/,London,E6 3SQ,London,no
102703,316,Newham,Ronald Openshaw Nursery School,https://www.ronaldopenshaw.newham.sch.uk,London,E15 1JP,London,no
145087,316,Newham,Rosetta Primary School,www.rosetta.boleyntrust.org,London,E16 3PB,London,no
