urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
142455,317,Redbridge,Al-Noor Voluntary Aided Muslim Primary School,www.al-noorprimary.org.uk,Ilford,IG3 9RP,London,no
136934,317,Redbridge,Aldborough Primary School,www.aldborough.net/,Ilford,IG3 8HZ,London,no
102823,317,Redbridge,Aldersbrook Primary School,https://www.aldersbrook.redbridge.sch.uk,London,E12 5HL,London,no
138518,317,Redbridge,Ark Isaac Newton Academy,https://isaacnewtonacademy.org/,Ilford,IG1 1FY,London,no
142896,317,Redbridge,Atam Academy,http://www.khalsaacademiestrust.com/293/welcome-to-atam-academy,Romford,RM6 4XX,London,no
142489,317,Redbridge,Avanti Court Primary School,HTTPS://avanti.org.uk/avanticourt,Barkingside,IG6 1LZ,London,no
102840,317,Redbridge,Barley Lane Primary School,http://www.barleylane.redbridge.sch.uk/,Romford,RM6 4RJ,London,no
141006,317,Redbridge,Beacon Business Innovation Hub,http://bbih.org/,Ilford,IG4 5LP,London,no
140575,317,Redbridge,Beal High School,www.bealhighschool.co.uk,Ilford,IG4 5LP,London,no
102849,317,Redbridge,Caterham High School,http://www.ecaterham.net/,Ilford,IG5 0QW,London,no
136267,317,Redbridge,Chadwell Heath Academy,http://chadwellacademy.org.uk/,Romford,RM6 4RS,London,no
133936,317,Redbridge,Churchfields Infants' School,www.churchfieldsinfant.com,London,E18 2RB,London,no
133935,317,Redbridge,Churchfields Junior School,www.churchfieldsjunior.com/,London,E18 2RB,London,no
102798,317,Redbridge,Cleveland Road Primary School,http://www.clevelandroadpri.uk/,Ilford,IG1 1EW,London,no
131682,317,Redbridge,Clore Tikva School,www.cloretikva.redbridge.sch.uk/,Ilford,IG6 2JN,London,no
102837,317,Redbridge,Coppice Primary School,https://www.coppice.redbridge.sch.uk,Chigwell,IG7 4AL,London,no
131625,317,Redbridge,Cranbrook Primary School,www.cranbrookprimary.redbridge.sch.uk/,Ilford,IG1 3PS,London,no
149520,317,Redbridge,Downshall Primary School,www.downshallprimary.co.uk/,Ilford,IG3 8UG,London,no
102802,317,Redbridge,Fairlop Primary School,https://www.fairlop.redbridge.sch.uk,Ilford,IG6 2LH,London,no
145044,317,Redbridge,Farnham Green Primary School,www.farnhamgreen.org.uk,Ilford,IG3 8UY,London,no
137692,317,Redbridge,Forest Academy,http://www.theforestacademy.co.uk,Ilford,IG6 3TN,London,no
102833,317,Redbridge,Fullwood Primary School,https://www.fullwoodprimary.co.uk,Ilford,IG6 1ER,London,no
133934,317,Redbridge,Gearies Primary School,http://www.geariesprimaryschool.co.uk,Ilford,IG2 6TF,London,no
102805,317,Redbridge,Gilbert Colvin Primary School,https://www.gilbertcolvin.co.uk,Ilford,IG5 0TL,London,no
102806,317,Redbridge,Glade Primary School,https://www.glade.redbridge.sch.uk/,Ilford,IG5 0PF,London,no
102808,317,Redbridge,Gordon Primary School,http://www.gordonpri.uk,Ilford,IG1 1SU,London,no
102835,317,Redbridge,Grove Primary School,https://www.grove.redbridge.sch.uk/,Romford,RM6 4XS,London,no
148240,317,Redbridge,Hatchside School,,Ilford,IG2 7SR,London,no
102881,317,Redbridge,Hatton Special School,https://www.hattonspecialschool.co.uk,Woodford Green,IG8 8EU,London,no
131013,317,Redbridge,Highlands Primary School,www.highlandsprimary.co.uk,Ilford,IG1 3LE,London,no
102850,317,Redbridge,Ilford County High School,http://www.ichs.org.uk/,Ilford,IG6 2JB,London,no
102838,317,Redbridge,John Bramston Primary School,http://www.johnbramston.redbridge.sch.uk/,Hainault,IG6 3EE,London,no
102861,317,Redbridge,King Solomon High School,http://www.kshsonline.uk,Ilford,IG6 3HB,London,no
102878,317,Redbridge,Little Heath School,https://www.lheath.net,Romford,RM6 5RX,London,no
140475,317,Redbridge,Loxford School,www.loxford.net,Ilford,IG1 2UT,London,no
102795,317,Redbridge,Manford Primary School,https://www.manfordprimary.co.uk/,Chigwell,IG7 4BX,London,no
131304,317,Redbridge,Mayespark Primary School,www.mayesparkprimaryschool.org.uk/,Ilford,IG3 9PX,London,no
102858,317,Redbridge,Mayfield School,http://www.mayfieldschool.net/,Dagenham,RM8 1XE,London,no
102811,317,Redbridge,Mossford Green Primary School,https://www.mossfordgreen.redbridge.sch.uk,Ilford,IG6 2EW,London,no
102879,317,Redbridge,New Rush Hall School,https://www.newrushhallschool.co.uk,Ilford,IG6 2LB,London,no
144875,317,Redbridge,Newbridge School,www.newbridgeschool.astrum-mat.org,Romford,RM6 4TR,London,no
102812,317,Redbridge,Newbury Park Primary School,http://www.newburyparkschool.net,Ilford,IG2 7LB,London,no
133932,317,Redbridge,Oakdale Infants' School,www.oakdaleinfants.co.uk,London,E18 1JU,London,no
133931,317,Redbridge,Oakdale Junior School,www.oakdalejuniors.co.uk,London,E18 1JX,London,no
133405,317,Redbridge,Oaks Park High School,http://oakspark.co.uk/,Ilford,IG2 7PQ,London,no
147337,317,Redbridge,Our Lady of Lourdes RC Primary School,www.ourladyoflourdesrcprimary.org,London,E11 2TA,London,no
133938,317,Redbridge,Parkhill Infants' School,www.parkhillinfants.org.uk/,Ilford,IG5 0DB,London,no
133939,317,Redbridge,Parkhill Junior School,www.parkhilljunior.com,Ilford,IG5 0DB,London,no
145045,317,Redbridge,Ray Lodge Primary School,www.raylodgeprimary.co.uk/,Woodford Green,IG8 7JQ,London,no
134366,317,Redbridge,Redbridge Alternative Provision,http://www.redbridgeap.co.uk,Ilford,IG6 1PU,London,no
127046,317,Redbridge,Redbridge Primary School,http://redbridgeprimary.redbridge.sch.uk/redbridge/primary/redbridge,Ilford,IG4 5HW,London,no
