urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
102920,318,Richmond upon Thames,Archdeacon Cambridge's Church of England Primary School,https://www.archdeaconcambridges.richmond.sch.uk/,Twickenham,TW2 5TU,London,no
102918,318,Richmond upon Thames,Bishop Perrin Church of England Primary School,https://www.bishopperrin.richmond.sch.uk/,Twickenham,TW2 6LF,London,no
102904,318,Richmond upon Thames,Buckingham Primary School,https://www.buckingham.richmond.sch.uk,Hampton,TW12 3LT,London,no
147188,318,Richmond upon Thames,Capella House School,www.capellahouse.org.uk,Twickenham,TW2 7SL,London,no
102883,318,Richmond upon Thames,Carlisle Infant School,https://www.carlisleandhamptonhillfed.richmond.sch.uk,Hampton,TW12 3AJ,London,no
102929,318,Richmond upon Thames,Christ's Church of England Comprehensive Secondary School,https://www.christs.richmond.sch.uk,Richmond,TW10 6HW,London,no
143317,318,Richmond upon Thames,Clarendon School,www.clarendon.richmond.sch.uk,Twickenham,TW2 7SL,London,no
102884,318,Richmond upon Thames,Darell Primary and Nursery School,https://www.darell.richmond.sch.uk,Richmond,TW9 4LH,London,no
142012,318,Richmond upon Thames,Deer Park School,http://www.deerparkschool.org.uk,Twickenham,TW1 2EF,London,no
102885,318,Richmond upon Thames,East Sheen Primary School,https://www.eastsheen.richmond.sch.uk/,London,SW14 8ED,London,no
138825,318,Richmond upon Thames,Grey Court School,http://www.greycourt.richmond.sch.uk/,Richmond,TW10 7HN,London,no
143419,318,Richmond upon Thames,Hampton High,www.hamptonhigh.org.uk,Hampton,TW12 3HB,London,no
102886,318,Richmond upon Thames,Hampton Hill Junior School,www.hamptonhill.richmond.sch.uk/,Hampton,TW12 1HW,London,no
102888,318,Richmond upon Thames,Hampton Infant School and Nursery,https://www.hpp.school,Hampton,TW12 2JH,London,no
102887,318,Richmond upon Thames,Hampton Junior School,https://www.hpp.school,Hampton,TW12 2LA,London,no
102889,318,Richmond upon Thames,Hampton Wick Infant and Nursery School,www.hamptonwick.richmond.sch.uk/,Teddington,TW11 9RP,London,no
102891,318,Richmond upon Thames,Heathfield Infant School,https://www.heathfieldschoolspartnership.org,Twickenham,TW2 6EN,London,no
102890,318,Richmond upon Thames,Heathfield Junior School,https://www.heathfieldschoolspartnership.org/,Twickenham,TW2 6EN,London,no
102908,318,Richmond upon Thames,Holy Trinity Church of England Primary School,www.holytrinityschool.org.uk/,Richmond,TW10 5AA,London,no
133343,318,Richmond upon Thames,Kew Riverside Primary School,www.kewriverside.richmond.sch.uk/,Richmond,TW9 4ES,London,no
102892,318,Richmond upon Thames,Lowther Primary School,https://www.lowther.richmond.sch.uk,London,SW13 9AE,London,no
133728,318,Richmond upon Thames,Marshgate Primary School,www.marshgate.richmond.sch.uk,Richmond,TW10 6HY,London,no
145122,318,Richmond upon Thames,Nelson Primary School,,Twickenham,TW2 7BU,London,no
138651,318,Richmond upon Thames,Orleans Park School,http://www.orleanspark.school,Twickenham,TW1 3BB,London,no
136208,318,Richmond upon Thames,Richmond Park Academy,http://www.richmondparkacademy.org,London,SW14 8RG,London,no
102916,318,Richmond upon Thames,Sacred Heart Catholic Primary School,https://www.sacredheartteddington.co.uk,Teddington,TW11 9DD,London,no
102912,318,Richmond upon Thames,St Edmund's Catholic Primary School,https://www.st-edmunds.richmond.sch.uk,Twickenham,TW2 7BB,London,no
149925,318,Richmond upon Thames,St Elizabeth's Catholic Primary School,www.st-elizabeths.richmond.sch.uk,Richmond,TW10 6HN,London,no
102913,318,Richmond upon Thames,St James's Roman Catholic Primary School,https://www.st-james.richmond.sch.uk/,Twickenham,TW2 5NP,London,no
102911,318,Richmond upon Thames,St John the Baptist Church of England Junior School,https://www.stjohnshamptonwick.school,Kingston upon Thames,KT1 4HQ,London,no
102909,318,Richmond upon Thames,St Mary Magdalen's Catholic Primary School,https://www.st-marymagdalens.richmond.sch.uk/,London,SW14 8HE,London,no
102914,318,Richmond upon Thames,St Mary's Church of England Primary School,https://www.st-marys.richmond.sch.uk/,Twickenham,TW1 3HE,London,no
139421,318,Richmond upon Thames,St Mary's Hampton Church of England Primary,https://www.st-marys-hampton-primary.org/,Hampton,TW12 2HP,London,no
102917,318,Richmond upon Thames,St Mary's and St Peter's Church of England Primary School,,Teddington,TW11 8RX,London,no
149926,318,Richmond upon Thames,St Osmund's Catholic Primary School,www.st-osmunds.richmond.sch.uk/,London,SW13 9HQ,London,no
149297,318,Richmond upon Thames,St Richard Reynolds Catholic High School,http://www.strichardreynolds.org.uk,London,TW1 4LT,London,no
149298,318,Richmond upon Thames,St Richard Reynolds Catholic Primary School,http://www.strichardreynolds.org.uk/,London,TW1 4LT,London,no
102907,318,Richmond upon Thames,St Richard's Church of England Primary School,https://www.srsa.richmond.sch.uk,Richmond,TW10 7NL,London,no
102915,318,Richmond upon Thames,St Stephen's C E Primary School,https://www.st-stephens.richmond.sch.uk/,Twickenham,TW1 1LF,London,no
102898,318,Richmond upon Thames,Stanley Primary School,https://www.stanley.richmond.sch.uk,Teddington,TW11 8UH,London,no
143318,318,Richmond upon Thames,Strathmore School,www.strathmore.richmond.sch.uk,Twickenham,TW1 4DQ,London,no
138460,318,Richmond upon Thames,Teddington School,http://www.teddingtonschool.org/,Teddington,TW11 9PJ,London,no
102921,318,Richmond upon Thames,The King's Church of England Primary School,https://www.kings.richmond.sch.uk,Richmond,TW9 3HJ,London,no
143022,318,Richmond upon Thames,The Richmond upon Thames School,http://www.richmonduponthamesschool.org.uk,Twickenham,TW2 7SL,London,no
139549,318,Richmond upon Thames,Thomson House School,www.thomsonhouseschool.org,London,SW14 8HY,London,no
141963,318,Richmond upon Thames,Turing House School,https://www.turinghouseschool.org.uk/,Twickenham,TW2 6LH,London,no
142122,318,Richmond upon Thames,Twickenham Primary Academy,https://www.twickenhamprimaryacademy.org.uk,Twickenham,TW2 6QF,London,no
143420,318,Richmond upon Thames,Twickenham School,www.twickenhamschool.org.uk,Twickenham,TW2 6JW,London,no
138461,318,Richmond upon Thames,Waldegrave School,www.waldegrave.richmond.sch.uk,Twickenham,TW2 5LH,London,no
102882,318,Richmond upon Thames,Windham Nursery School,,Richmond,TW9 2HP,London,no
102902,318,Richmond upon Thames,Barnes Primary School,https://www.barnesprimaryschool.co.uk,London,SW13 0QQ,London,yes
102905,318,Richmond upon Thames,Chase Bridge Primary School,https://www.chasebridge.richmond.sch.uk/,Twickenham,TW2 7DE,London,yes
102903,318,Richmond upon Thames,Collis Primary School,https://www.collis.richmond.sch.uk/,Teddington,TW11 9BS,London,yes
102893,318,Richmond upon Thames,Meadlands Primary School,https://www.meadlands.richmond.sch.uk,Richmond,TW10 7TS,London,yes
102895,318,Richmond upon Thames,Orleans Primary School,https://www.orleans.richmond.sch.uk/,Twickenham,TW1 3EN,London,yes
102897,318,Richmond upon Thames,Sheen Mount Primary School,https://www.sheenmount.richmond.sch.uk,London,SW14 7RT,London,yes
102896,318,Richmond upon Thames,The Russell Primary School,https://www.russell.richmond.sch.uk/,Richmond,TW10 7AH,London,yes
102906,318,Richmond upon Thames,The Vineyard School,https://www.vineyard.richmond.sch.uk/,Richmond,TW10 6NE,London,yes
102901,318,Richmond upon Thames,Trafalgar Infant School,https://www.trafalgar-inf.richmond.sch.uk/,Twickenham,TW2 5EH,London,yes
102900,318,Richmond upon Thames,Trafalgar Junior School,http://www.trafalgar-jun.richmond.sch.uk,Twickenham,TW2 5EG,London,yes
