urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
146160,319,Sutton,Abbey Primary School,www.abbey.sutton.sch.uk,Morden,SM4 6NY,London,no
144941,319,Sutton,All Saints Carshalton Church of England Primary School,www.allsaintscarshalton.sutton.sch.uk/,Carshalton,SM5 3DW,London,no
142177,319,Sutton,Avenue Primary Academy,https://www.avenueprimary.com/,Sutton,SM2 6JE,London,no
148776,319,Sutton,Bandon Hill Primary School,www.bandonhillprimary.co.uk,Wallington,SM6 9QU,London,no
145977,319,Sutton,Barrow Hedges Primary School,www.barrowhedgesprimary.co.uk,CARSHALTON,SM5 4LA,London,no
102983,319,Sutton,Beddington Infants' School,https://www.beddingtoninfants.org.uk/,Wallington,SM6 7LF,London,no
148350,319,Sutton,Beddington Park Academy,https://beddingtonparkacademy.org,Croydon,CR0 4UL,London,no
143628,319,Sutton,Brookfield Primary Academy,http://www.brookfieldprimary.com/,Sutton,SM3 9LY,London,no
139722,319,Sutton,Carew Academy,www.carewacademy.org,Wallington,SM6 7NH,London,no
136799,319,Sutton,Carshalton Boys Sports College,http://www.carshaltonboys.org/,Carshalton,SM5 1RW,London,no
136797,319,Sutton,Carshalton High School for Girls,http://www.chsg.org.uk/,Carshalton,SM5 2QX,London,no
145481,319,Sutton,Cheam Common Infants' Academy,www.cheamcommoninfants.com,Worcester Park,KT4 8SS,London,no
142398,319,Sutton,Cheam Common Junior Academy,www.cheamcommon.org.uk,Worcester Park,KT4 8UT,London,no
143375,319,Sutton,Cheam Fields Primary Academy,www.cheamfieldsprimary.co.uk,Sutton,SM3 8PQ,London,no
136785,319,Sutton,Cheam High School,http://www.cheam.sutton.sch.uk/,Sutton,SM3 8PW,London,no
140260,319,Sutton,Cheam Park Farm Primary Academy,www.cheamparkfarmprimary.co.uk,Sutton,SM3 9UU,London,no
131103,319,Sutton,Culvers House Primary School,www.culvershouse.sutton.sch.uk,Mitcham,CR4 4JH,London,no
136914,319,Sutton,Glenthorne High School,http://www.glenthorne.sutton.sch.uk/,Sutton,SM3 9PS,London,no
141876,319,Sutton,Green Wrythe Primary School,www.greenwrythe.org.uk/,Carshalton,SM5 1JP,London,no
136800,319,Sutton,Greenshaw High School,http://www.greenshaw.co.uk,Sutton,SM1 3DY,London,no
143706,319,Sutton,Harris Academy Sutton,https://www.harrissutton.org.uk/,Sutton,SM2 5RD,London,no
139965,319,Sutton,Harris Junior Academy Carshalton,www.harrisjuniorcarshalton.org.uk/,Carshalton,SM5 2NS,London,no
102991,319,Sutton,Holy Trinity CofE Junior School,https://www.holytrinityjuniorwallington.com,Wallington,SM6 8BZ,London,no
145484,319,Sutton,Manor Park Primary Academy,www.manorpark.sutton.sch.uk,Sutton,SM1 4AW,London,no
136795,319,Sutton,Nonsuch High School for Girls,http://www.nonsuchschool.org,Sutton,SM3 8AB,London,no
147538,319,Sutton,Oaks Park High School,www.oaksparkhigh.org.uk,Carshalton,SM5 4NS,London,no
136756,319,Sutton,Overton Grange School,http://www.overtongrange.sutton.sch.uk/,Sutton,SM2 6TQ,London,no
144544,319,Sutton,Rushy Meadow Primary Academy,https://www.rushymeadowprimary.uk/,Carshalton,SM5 2SG,London,no
