urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
103030,320,Waltham Forest,Acacia Nursery,http://www.acacianursery.co.uk/,London,E11 3HF,London,no
130343,320,Waltham Forest,Ainslie Wood Primary School,http://www.ainsliewood.co.uk/,London,E4 9DD,London,no
138690,320,Waltham Forest,Barclay Primary School,www.barclayprimary.net,London,E10 6EJ,London,no
141030,320,Waltham Forest,Big Creative Academy,http://www.bigcreative.education/,London,E17 6HL,London,no
137328,320,Waltham Forest,Burnside Secondary PRU,www.hawkswoodgroup.org.uk,London,E4 8YJ,London,no
103052,320,Waltham Forest,Chapel End Infant School and Early Years Centre,https://www.chapelendinfants.com,London,E17 4LN,London,no
139259,320,Waltham Forest,Chapel End Junior Academy,www.chapelendacademy.org/,London,E17 4LS,London,no
103032,320,Waltham Forest,Chase Lane Primary School,https://www.chaselaneprimary.waltham.sch.uk,London,E4 8LA,London,no
138691,320,Waltham Forest,Chingford Foundation School,http://www.chingfordfoundation.org,London,E4 7LT,London,no
103028,320,Waltham Forest,Church Hill Nursery School,https://www.fans.waltham.sch.uk/,London,E17 9SB,London,no
139293,320,Waltham Forest,Connaught School for Girls,http://www.connaught-school.co.uk/,London,E11 4AE,London,no
103078,320,Waltham Forest,Coppermill Primary School,https://www.coppermillprimary.school,London,E17 6PB,London,no
143384,320,Waltham Forest,Davies Lane Primary School,http://www.davieslane.co.uk,London,E11 3DR,London,no
103073,320,Waltham Forest,Dawlish Primary School,http://www.dawlishprimary.co.uk/,London,E10 6NN,London,no
103044,320,Waltham Forest,Downsell Primary School,https://www.downsellprimary.org/,London,E15 2BS,London,no
140957,320,Waltham Forest,"Eden Girls' School, Waltham Forest",www.edengirlswalthamforest.com,Walthamstow,E17 5SD,London,no
103053,320,Waltham Forest,Edinburgh Primary School,https://www.edinburgh.waltham.sch.uk/,London,E17 8QR,London,no
138258,320,Waltham Forest,Emmanuel Community School,www.emmanuelcommunityschool.co.uk,London,E17 3BN,London,no
103094,320,Waltham Forest,Frederick Bremer School,http://www.bremer.org.uk/,London,E17 4EY,London,no
145106,320,Waltham Forest,George Mitchell School,https://www.georgemitchellschool.co.uk,London,E10 5DN,London,no
103075,320,Waltham Forest,George Tomlinson Primary School,http://www.georgetomlinsonprimary.com,London,E11 4QN,London,no
103054,320,Waltham Forest,Greenleaf Primary School,https://www.greenleafschool.org.uk,London,E17 6QW,London,no
103059,320,Waltham Forest,Handsworth Primary School,https://www.handsworthprimary.org.uk/,London,E4 9PJ,London,no
137677,320,Waltham Forest,Hawkswood (Therapeutic),www.hawkswoodgroup.org.uk,Chingford,E4 7RT,London,no
135558,320,Waltham Forest,Hawkswood Primary PRU,www.hawkswoodgroup.org.uk,London,E4 7RT,London,no
103070,320,Waltham Forest,Henry Maynard Primary School,https://www.henrymaynardprimary.co.uk/,London,E17 9JE,London,no
137558,320,Waltham Forest,Highams Park School,http://www.highamsparkschool.co.uk,London,E4 9PJ,London,no
136413,320,Waltham Forest,Hillyfield Primary Academy,www.hillyfieldacademy.com/,London,E17 6ED,London,no
140197,320,Waltham Forest,Joseph Clarke School,www.josephclarkeschool.org.uk,London,E4 9PP,London,no
145708,320,Waltham Forest,Lammas School,https://lammas-gst.org/,London,E10 7LX,London,no
138454,320,Waltham Forest,Lime Academy Hornbeam,http://limeacademyhornbeam.org,London,E17 5NT,London,no
141734,320,Waltham Forest,Lime Academy Larkswood,www.limeacademylarkswood.org,London,E4 8ET,London,no
147179,320,Waltham Forest,Longshaw Primary Academy,www.longshawprimaryacademy.org.uk,London,E4 6LH,London,no
103027,320,Waltham Forest,Low Hall Nursery School,,London,E17 8BE,London,no
142713,320,Waltham Forest,Mayville Primary School,www.mayville.waltham.sch.uk,London,E11 4PZ,London,no
103048,320,Waltham Forest,Newport School,https://www.newport.waltham.sch.uk,London,E10 6PJ,London,no
143385,320,Waltham Forest,Norlington School and 6th Form,https://norlington.info/,London,E10 6JZ,London,no
103069,320,Waltham Forest,Oakhill Primary School,https://www.oakhillschool.org.uk/,Woodford Green,IG8 9PY,London,no
135193,320,Waltham Forest,Our Lady and St George's Catholic Primary School,www.olsg.waltham.sch.uk,London,E17 3EA,London,no
103081,320,Waltham Forest,Parkside Primary School,https://www.parksideprimaryschool.org,Chingford,E4 6RE,London,no
139723,320,Waltham Forest,Riverley Primary School,www.riverley-gst.org/,London,E10 7BZ,London,no
136362,320,Waltham Forest,Roger Ascham Primary School,www.rapsch.co.uk/,London,E17 5HU,London,no
