urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
147669,330,Birmingham,Abbey Catholic Primary School,www.abbeyrc.bham.sch.uk,Birmingham,B23 6QL,West Midlands,no
139443,330,Birmingham,Acocks Green Primary School,http://www.acocksgreen.bham.sch.uk/,Birmingham,B27 7UQ,West Midlands,no
103140,330,Birmingham,Adderley Nursery School,,Birmingham,B8 1HN,West Midlands,no
103159,330,Birmingham,Adderley Primary School,https://www.adderleyprimary.co.uk/,Birmingham,B8 1DZ,West Midlands,no
131465,330,Birmingham,Al-Furqan Primary School,www.al-furqan-pri.bham.sch.uk,Birmingham,B11 3EY,West Midlands,no
140889,330,Birmingham,Albert Bradbeer Primary Academy,www.abp.greenheartlearning.org,Birmingham,B31 4RD,West Midlands,no
103130,330,Birmingham,Allens Croft Nursery School,www.allenscn.bham.sch.uk,Birmingham,B14 6RP,West Midlands,no
103243,330,Birmingham,Allens Croft Primary School,https://www.allcroft.bham.sch.uk,Birmingham,B14 6RP,West Midlands,no
140656,330,Birmingham,Alston Primary School,www.alston.bham.sch.uk,Birmingham,B9 5UN,West Midlands,no
103192,330,Birmingham,Anderton Park Primary School,https://www.andertonparkschool.org/,Birmingham,B12 8BL,West Midlands,no
132074,330,Birmingham,Anglesey Primary School,www.angleseysch-bham.co.uk/,Birmingham,B19 1RA,West Midlands,no
146124,330,Birmingham,Archbishop Ilsley Catholic School,http://www.ilsley.bham.sch.uk/,Birmingham,B27 7XY,West Midlands,no
103324,330,Birmingham,Arden Primary School,https://www.arden.bham.sch.uk,Birmingham,B11 4SF,West Midlands,no
145580,330,Birmingham,Arena Academy,https://corearena.academy,Birmingham,B42 2PY,West Midlands,no
140014,330,Birmingham,Ark Boulton Academy,http://arkboulton.org/,Birmingham,B11 2QG,West Midlands,no
137578,330,Birmingham,Ark Kings Academy,http://arkkingsacademy.org,Birmingham,B38 9DE,West Midlands,no
138397,330,Birmingham,Ark Tindal Primary Academy,www.arktindalprimary.org/,Birmingham,B12 9QS,West Midlands,no
141752,330,Birmingham,Ark Victoria Academy,www.arkvictoria.org,Birmingham,B10 0HJ,West Midlands,no
136882,330,Birmingham,Aston Manor Academy,http://www.astonmanor.bham.sch.uk/,Birmingham,B6 4PZ,West Midlands,no
142686,330,Birmingham,Aston Tower Community Primary School,www.astontowerprimary.co.uk/,Birmingham,B6 5BE,West Midlands,no
138222,330,Birmingham,Aston University Engineering Academy,www.auea.co.uk,Birmingham,B7 4AG,West Midlands,no
143437,330,Birmingham,Audley Primary School,www.audley.drbignitemat.org,Birmingham,B33 9HY,West Midlands,no
149042,330,Birmingham,BOA Digital Technologies Academy,https://www.boa-digital.co.uk,Birmingham,B7 4EU,West Midlands,no
148635,330,Birmingham,BOA Stage and Screen Production Academy,www.boa-stageandscreen.co.uk,Birmingham,B18 7AJ,West Midlands,no
103162,330,Birmingham,Barford Primary School,https://www.barfordprimary.co.uk,Birmingham,B16 0EF,West Midlands,no
138694,330,Birmingham,Barr View Primary & Nursery Academy,www.barrview.bham.sch.uk,Birmingham,B44 8NT,West Midlands,no
136589,330,Birmingham,Bartley Green School,https://www.bartleygreenschool.co.uk/,Birmingham,B32 3QJ,West Midlands,no
103606,330,Birmingham,Baskerville School,https://www.baskerville.school,Birmingham,B17 9TS,West Midlands,no
