urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
148603,331,Coventry,Alderman's Green Primary School,www.aldermansgreen.com,Coventry,CV2 1PP,West Midlands,no
103681,331,Coventry,Aldermoor Farm Primary School,https://afprimary.org.uk,Coventry,CV3 1DP,West Midlands,no
103702,331,Coventry,All Saints Church of England Primary School,https://www.allsaintscofe.co.uk,Coventry,CV1 2AF,West Midlands,no
103724,331,Coventry,All Souls' Catholic Primary School,https://www.allsoulsschool.co.uk/,Coventry,CV5 8ED,West Midlands,no
103656,331,Coventry,Allesley Hall Primary School,https://www.allesleyhall.co.uk/,Coventry,CV5 9NG,West Midlands,no
103662,331,Coventry,Allesley Primary School,https://www.allesleyprimary.co.uk,Coventry,CV5 9FY,West Midlands,no
150498,331,Coventry,Baginton Fields Academy,http://www.bagintonfields.coventry.sch.uk/,Coventry,CV3 4EA,West Midlands,no
142339,331,Coventry,Barr's Hill School,http://www.barrshill.coventry.sch.uk/,Coventry,CV1 4BU,West Midlands,no
147345,331,Coventry,Bishop Ullathorne Catholic School,http://www.bishopullathorne.co.uk/,Coventry,CV3 6BH,West Midlands,no
137272,331,Coventry,Blue Coat Church of England School and Music College,www.bluecoatschool.com,Coventry,CV1 2BA,West Midlands,no
103672,331,Coventry,Broad Heath Community Primary School,https://www.broadheath.coventry.sch.uk/,Coventry,CV6 5DP,West Midlands,no
139292,331,Coventry,Caludon Castle School,http://www.caludoncastle.co.uk,Coventry,CV2 5BD,West Midlands,no
103667,331,Coventry,Cannon Park Primary School,www.cannonpark.coventry.sch.uk/,Coventry,CV4 7PS,West Midlands,no
147346,331,Coventry,Cardinal Newman Catholic School,www.cncs.school,Coventry,CV6 2FR,West Midlands,no
141992,331,Coventry,Cardinal Wiseman Catholic School,www.cardinalwiseman.coventry.sch.uk,Coventry,CV2 2AJ,West Midlands,no
135569,331,Coventry,Castle Wood Special School,www.castlewood.coventry.sch.uk,Coventry,CV2 1FN,West Midlands,no
148533,331,Coventry,Charter Academy,www.charterprimary.co.uk,Coventry,CV4 8DW,West Midlands,no
147437,331,Coventry,Christ The King Catholic Primary School,www.ctk.hccmac.co.uk,Coventry,CV6 2DJ,West Midlands,no
142245,331,Coventry,Clifford Bridge Academy,www.cliffordbridgeacademy.org,Coventry,CV3 2PD,West Midlands,no
149424,331,Coventry,Corley Academy,www.corley.thrive.ac,Coventry,CV7 8AZ,West Midlands,no
142195,331,Coventry,Corpus Christi Catholic School,https://corpuschristi.coventry.sch.uk/,Coventry,CV3 2QP,West Midlands,no
138023,331,Coventry,Coundon Court,http://www.coundoncourt.org,Coventry,CV6 2AJ,West Midlands,no
103680,331,Coventry,Coundon Primary School,www.coundon.coventry.sch.uk/,Coventry,CV6 1FQ,West Midlands,no
144064,331,Coventry,Courthouse Green Primary School,www.courthousegreen.org/,Coventry,CV6 7JJ,West Midlands,no
150652,331,Coventry,Coventry Alternative Provision Academy,www.coventryacademy.org.uk,Coventry,CV2 5BD,West Midlands,no
103665,331,Coventry,Eastern Green Junior School,https://www.easterngreenjuniorschool.co.uk,Coventry,CV5 7EG,West Midlands,no
140958,331,Coventry,"Eden Girls' School, Coventry",www.edengirlscoventry.com,Coventry,CV1 4FS,West Midlands,no
140366,331,Coventry,Ernesford Grange Community Academy,www.egacademy.org.uk,Coventry,CV3 2QD,West Midlands,no
103658,331,Coventry,Ernesford Grange Primary School,https://ernesfordgrangeprimary.com/,Coventry,CV3 2HN,West Midlands,no
141939,331,Coventry,Finham Park 2,www.finhampark2.co.uk,Coventry,CV4 9WT,West Midlands,no
136963,331,Coventry,Finham Park School,http://finhampark.co.uk/,Coventry,CV3 6EA,West Midlands,no
142700,331,Coventry,Finham Primary School,www.finhamprimary.co.uk/,Coventry,CV3 6EJ,West Midlands,no
146436,331,Coventry,Foxford Community School,https://www.foxfordschool.co.uk/,Coventry,CV6 6BB,West Midlands,no
150321,331,Coventry,Frederick Bird Academy,www.frederickbird.coventry.sch.uk/,Coventry,CV2 4QQ,West Midlands,no
142197,331,Coventry,Good Shepherd Catholic School,www.shepherd.coventry.sch.uk,Coventry,CV6 7FN,West Midlands,no
135335,331,Coventry,Grace Academy Coventry,https://www.coventry.graceacademy.org.uk/,Coventry,CV2 2RH,West Midlands,no
103664,331,Coventry,Grange Farm Primary School,https://www.grangefarmschool.co.uk/,Coventry,CV3 6NF,West Midlands,no
103663,331,Coventry,Grangehurst Primary School,https://www.grangehurst.coventry.sch.uk,Coventry,CV6 6JN,West Midlands,no
143535,331,Coventry,Hearsall Community Academy,http://hearsallacademy.org/,Coventry,CV5 6LR,West Midlands,no
133476,331,Coventry,Henley Green Primary,www.henleygreen.co.uk/,Coventry,CV2 1HQ,West Midlands,no
139681,331,Coventry,Hill Farm Academy,www.hillfarmprimary.org.uk,Coventry,CV6 3BL,West Midlands,no
103633,331,Coventry,Hillfields Nursery School,https://www.hillfieldscoventry.co.uk,Coventry,CV1 5GR,West Midlands,no
103676,331,Coventry,Holbrook Primary School,http://www.holbrookprimary.com,Coventry,CV6 6FR,West Midlands,no
103726,331,Coventry,Holy Family Catholic Primary School,https://www.holyfamily.coventry.sch.uk/,Coventry,CV6 2GU,West Midlands,no
134426,331,Coventry,Howes Community Primary School,https://howescommunityprimaryschool.co.uk/,Coventry,CV3 5EH,West Midlands,no
134970,331,Coventry,Inspired Pathways,,Coventry,CV6 2HD,West Midlands,no
103690,331,Coventry,John Gulson Primary School,https://www.johngulson.coventry.sch.uk,Coventry,CV1 4HB,West Midlands,no
103698,331,Coventry,John Shelton Community Primary School,https://www.johnshelton.org.uk,Coventry,CV6 4JP,West Midlands,no
103673,331,Coventry,Joseph Cash Primary School,https://www.josephcashprimary.co.uk,Coventry,CV6 3FS,West Midlands,no
143780,331,Coventry,Keresley Grange Primary School,https://www.keresleygrange.co.uk/,Coventry,CV6 2EH,West Midlands,no
139911,331,Coventry,Kingsbury Academy,https://www.kingsbury.thrive.ac,Coventry,CV6 1PJ,West Midlands,no
145214,331,Coventry,Leigh Church of England Academy,http://www.leigh.covmat.org,Coventry,CV4 9RQ,West Midlands,no
150405,331,Coventry,Limbrick Wood Primary School,www.limbrickwood.co.uk,Coventry,CV4 9QT,West Midlands,no
103648,331,Coventry,Longford Park Primary School,www.longfordpark.coventry.sch.uk/,Coventry,CV6 7AT,West Midlands,no
142960,331,Coventry,Lyng Hall School,www.lynghallschool.co.uk,Coventry,CV2 3JS,West Midlands,no
103691,331,Coventry,Manor Park Primary School,https://www.manorpark.coventry.sch.uk/,Coventry,CV3 5EZ,West Midlands,no
148429,331,Coventry,Meadow Park School,https://meadowparkschool.com,Coventry,CV3 4BD,West Midlands,no
133474,331,Coventry,Moat House Primary School,www.moathouse.coventry.sch.uk/,Coventry,CV2 1EQ,West Midlands,no
103697,331,Coventry,Moseley Primary School,https://www.moseleyprimaryschool.co.uk/,Coventry,CV6 1AB,West Midlands,no
131239,331,Coventry,Mount Nod Primary School,www.mountnod.coventry.sch.uk/,Coventry,CV5 7BG,West Midlands,no
103712,331,Coventry,Our Lady of the Assumption Catholic Primary School,http://www.ourlady.coventry.sch.uk,Coventry,CV4 9LB,West Midlands,no
103666,331,Coventry,Park Hill Primary School,https://www.parkhillprimaryschool.co.uk,Coventry,CV5 7LR,West Midlands,no
143779,331,Coventry,Parkgate Primary School,www.parkgate-coventry.org.uk/,Coventry,CV6 4GF,West Midlands,no
147121,331,Coventry,Pearl Hyde Community Primary School,www.pearlhyde.co.uk,Coventry,CV2 2NB,West Midlands,no
103659,331,Coventry,Potters Green Primary School,https://www.pottersgreen.coventry.sch.uk,Coventry,CV2 2GF,West Midlands,no
140248,331,Coventry,President Kennedy School Academy,http://www.pks.coventry.sch.uk/,Coventry,CV6 4GL,West Midlands,no
140389,331,Coventry,Radford Primary Academy,www.radfordprimaryacademy.org.uk/,Coventry,CV6 1HD,West Midlands,no
