urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
103806,332,Dudley,Amblecote Primary School,https://www.amblecote.dudley.sch.uk/,Stourbridge,DY8 4DQ,West Midlands,no
137705,332,Dudley,Beacon Hill Academy,http://www.beaconhillacademy.org.uk,Dudley,DY3 1BP,West Midlands,no
142047,332,Dudley,Beechwood Church of England Primary School,www.beechwood.drbignitemat.org,Dudley,DY2 7QA,West Midlands,no
140126,332,Dudley,Bishop Milner Catholic College,http://www.bmilner.dudley.sch.uk,Dudley,DY1 3BY,West Midlands,no
103792,332,Dudley,Blanford Mere Primary School,www.blanford.dudley.sch.uk/,Kingswinford,DY6 7EA,West Midlands,no
147708,332,Dudley,Blowers Green Primary School,www.blowers.dudley.sch.uk/,Dudley,DY2 8UZ,West Midlands,no
139437,332,Dudley,Bramford Primary School,www.bramfordprimaryschool.co.uk/,Bilston,WV14 9TU,West Midlands,no
103776,332,Dudley,Brierley Hill Primary School,http://www.brierley.dudley.sch.uk/,Brierley Hill,DY5 2TD,West Midlands,no
103777,332,Dudley,Brockmoor Primary School,http://www.brockmoor.dudley.sch.uk,Brierley Hill,DY5 3UZ,West Midlands,no
103778,332,Dudley,Brook Primary School,http://www.brook.dudley.sch.uk/,Stourbridge,DY8 5YN,West Midlands,no
103801,332,Dudley,Caslon Primary Community School,www.caslon.dudley.sch.uk,Halesowen,B63 2ES,West Midlands,no
147479,332,Dudley,Cherry Tree Learning Centre,,Dudley,DY1 2NX,West Midlands,no
148865,332,Dudley,Christ Church CofE Primary School,www.christchurchprimary.org,Bilston,WV14 8YB,West Midlands,no
148864,332,Dudley,Church of the Ascension CofE Primary School,www.chur-ascen.dudley.sch.uk,Kingswinford,DY6 9AH,West Midlands,no
142964,332,Dudley,Colley Lane Primary Academy,https://www.colleylaneprimary.org.uk,Halesowen,B63 2TN,West Midlands,no
103846,332,Dudley,Cradley CofE Primary School,http://www.cradleycofe.com,Halesowen,B63 2UL,West Midlands,no
103790,332,Dudley,Crestwood Park Primary School,http://www.crestwood-p.dudley.sch.uk/,Kingswinford,DY6 8RP,West Midlands,no
103829,332,Dudley,Dingle Community Primary School,http://www.dingle.dudley.sch.uk,Kingswinford,DY6 8PF,West Midlands,no
144078,332,Dudley,Dudley Wood Primary School,http://www.dudley-wood.dudley.sch.uk,Dudley,DY2 0DB,West Midlands,no
141570,332,Dudley,Ellowes Hall Sports College,http://www.elloweshall.co.uk/,Dudley,DY3 2JH,West Midlands,no
149822,332,Dudley,Fairhaven Primary School,http://www.fairhaven.dudley.sch.uk/,Stourbridge,DY8 5PY,West Midlands,no
148182,332,Dudley,Foxyards Primary School,www.foxyardsacademy.com,Tipton,DY4 8BH,West Midlands,no
150457,332,Dudley,Gig Mill Primary School,http://www.gig-mill.dudley.sch.uk/,Stourbridge,DY8 3HL,West Midlands,no
103799,332,Dudley,Greenfield Primary School,https://www.greenfield.dudley.sch.uk/,Stourbridge,DY8 1AL,West Midlands,no
103881,332,Dudley,Halesbury School,http://www.halesbury.dudley.sch.uk/,Halesowen,B62 9DR,West Midlands,no
143822,332,Dudley,Ham Dingle Primary Academy,www.hamdingleprimary.co.uk,Stourbridge,DY9 0UN,West Midlands,no
150729,332,Dudley,Hawbush Primary School,hawbush.drbignitemat.org,Brierley Hill,DY5 3NH,West Midlands,no
143196,332,Dudley,Hob Green Primary School,https://hobgreen.drbignitemat.org/,Stourbridge,DY9 9EX,West Midlands,no
151157,332,Dudley,Huntingtree Primary School,www.huntingtree.dudley.sch.uk,Halesowen,B63 4HY,West Midlands,no
143537,332,Dudley,Hurst Hill Primary School,http://www.hursthillprimaryschool.com/,Bilston,WV14 9AJ,West Midlands,no
150955,332,Dudley,Jesson's Church of England Primary School,,Dudley,DY1 2AQ,West Midlands,no
144080,332,Dudley,Kates Hill Primary School,http://www.kates-hill.dudley.sch.uk,Dudley,DY2 7HP,West Midlands,no
148142,332,Dudley,King Edward VI College Stourbridge,www.kedst.ac.uk,Stourbridge,DY8 1TD,West Midlands,no
137773,332,Dudley,Kingswinford Academy,http://www.kingswinford.windsoracademytrust.org.uk,Kingswinford,DY6 7AD,West Midlands,no
143782,332,Dudley,Lapal Primary School,www.lapal.dudley.sch.uk,Halesowen,B62 0BZ,West Midlands,no
143582,332,Dudley,Leasowes High School,http://www.leasoweshighschool.co.uk/,Halesowen,B62 8PJ,West Midlands,no
143783,332,Dudley,Lutley Primary School,http://www.lutley.dudley.sch.uk,Halesowen,B63 1BU,West Midlands,no
103779,332,Dudley,Maidensbridge Primary School,https://maidensbridge.sch.life,Kingswinford,DY6 0HX,West Midlands,no
142355,332,Dudley,Manor Way Primary Academy,https://www.manorwayprimary.org.uk/,Halesowen,B63 3HA,West Midlands,no
103834,332,Dudley,Milking Bank Primary School,https://www.milking.dudley.sch.uk/,DUDLEY,DY1 2SL,West Midlands,no
144079,332,Dudley,Netherbrook Primary School,http://www.netherbrook.dudley.sch.uk/,Dudley,DY2 9RZ,West Midlands,no
144418,332,Dudley,Netherton CofE Primary School,http://www.netherton.dudley.sch.uk/,Dudley,DY2 0HU,West Midlands,no
103766,332,Dudley,Netherton Park Nursery School,https://www.nethertonparknursery.co.uk,Dudley,DY2 9QF,West Midlands,no
150555,332,Dudley,Newfield Park Primary Academy,http://www.newfieldpark.co.uk,Halesowen,B63 3TP,West Midlands,no
