urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
103930,333,Sandwell,Abbey Infant School,http://www.abbeyfederation.co.uk,Smethwick,B67 5LR,West Midlands,no
103929,333,Sandwell,Abbey Junior School,https://www.abbeyfederation.co.uk,Smethwick,B67 5LT,West Midlands,no
103906,333,Sandwell,Albert Pritchard Infant School,https://www.albertpritchard-woodgreen.co.uk/,Wednesbury,WS10 9QG,West Midlands,no
103887,333,Sandwell,Albright Education Centre,https://www.albrighteducationcentre.co.uk,Tipton,DY4 7NR,West Midlands,no
103990,333,Sandwell,All Saints CofE Primary School,https://www.allsaints-sch.co.uk/,West Bromwich,B71 1QN,West Midlands,no
103932,333,Sandwell,Annie Lennard Primary School,https://www.annielennardprimary.co.uk,Smethwick,B67 6LE,West Midlands,no
103981,333,Sandwell,Blackheath Primary School,https://www.blackheathprimary.org.uk,Rowley Regis,B65 9NF,West Midlands,no
103976,333,Sandwell,Brandhall Primary School,https://www.brandhall.sandwell.sch.uk/,Oldbury,B68 0SH,West Midlands,no
103936,333,Sandwell,Brickhouse Primary School,http://www.brickhouse.sandwell.sch.uk,Rowley Regis,B65 8HS,West Midlands,no
139043,333,Sandwell,Bristnall Hall Academy,http://www.bristnallhallacademy.attrust.org.uk/,Oldbury,B68 9PA,West Midlands,no
103914,333,Sandwell,Burnt Tree Primary School,https://burnttree.sandwell.sch.uk/,Oldbury,B69 2LN,West Midlands,no
103983,333,Sandwell,Causeway Green Primary School,https://www.causewaygreenprimaryschool.co.uk/,Oldbury,B68 8LX,West Midlands,no
103997,333,Sandwell,Christ Church CofE Primary School,https://www.christchurchsandwell.co.uk/,Oldbury,B69 4DE,West Midlands,no
139742,333,Sandwell,Corngreaves Academy,www.corngreavesacademy.org.uk/,Cradley Heath,B64 6EZ,West Midlands,no
103941,333,Sandwell,Crocketts Community Primary School,https://www.crockettscommunityprimary.co.uk/,Smethwick,B67 7DW,West Midlands,no
141293,333,Sandwell,Devonshire Infant Academy,www.devonshireacademies.org.uk,Smethwick,B67 7AT,West Midlands,no
141292,333,Sandwell,Devonshire Junior Academy,www.devonshireacademies.org.uk,Smethwick,B67 7AT,West Midlands,no
103923,333,Sandwell,Eaton Valley Primary School,http://www.eatonvalley.sandwell.sch.uk,West Bromwich,B71 4BU,West Midlands,no
149156,333,Sandwell,Elm Tree Primary Academy,https://elmtree.victrust.org/,Wednesbury,WS10 0TB,West Midlands,no
103982,333,Sandwell,Ferndale Primary School,https://www.ferndaleprimary.co.uk/,Birmingham,B43 5QF,West Midlands,no
135288,333,Sandwell,Galton Valley Primary School,www.gvps.sandwell.sch.uk/,Smethwick,B66 1BA,West Midlands,no
139565,333,Sandwell,George Betts Primary Academy,http://www.georgebettsprimaryacademy.com,Smethwick,B66 1RE,West Midlands,no
135234,333,Sandwell,George Salter Academy,http://www.georgesalter.com/,West Bromwich,B70 9UW,West Midlands,no
103925,333,Sandwell,Glebefields Primary School,https://www.glebefields.net/,Tipton,DY4 0SX,West Midlands,no
135599,333,Sandwell,Gospel Oak School,https://gospeloakschool.co.uk/,Tipton,DY4 0BZ,West Midlands,no
103915,333,Sandwell,Great Bridge Primary School,https://www.greatbridgeprimary.co.uk,Tipton,DY4 7DE,West Midlands,no
103972,333,Sandwell,Grove Vale Primary School,https://www.grovevale.co.uk/,Birmingham,B43 6AL,West Midlands,no
103977,333,Sandwell,Hall Green Primary School,https://hallgreenprimary.co.uk,West Bromwich,B71 2JQ,West Midlands,no
131178,333,Sandwell,Hanbury Primary School,www.hanburyprimary.school,West Bromwich,B70 9NT,West Midlands,no
131591,333,Sandwell,Harvills Hawthorn Primary School,www.harvillshawthorn.co.uk/,West Bromwich,B70 0NG,West Midlands,no
148340,333,Sandwell,Hateley Heath Academy,https://www.hateleyheath.com/,West Bromwich,B71 2RP,West Midlands,no
148400,333,Sandwell,High Point Academy,https://highpoint.fet.ac/,Wednesbury,WS10 0JS,West Midlands,no
104018,333,Sandwell,Holly Lodge High School College of Science,https://www.holly-lodge.org,Smethwick,B67 7JG,West Midlands,no
103996,333,Sandwell,Holy Name Catholic Primary School,https://www.holynameprimary.co.uk,Birmingham,B43 6LN,West Midlands,no
103986,333,Sandwell,Holy Trinity CofE Primary School,http://www.schools.sandwell.net/holytrinitypri/,West Bromwich,B70 6NF,West Midlands,no
144630,333,Sandwell,Holyhead Primary Academy,www.holyheadprimary.academy,Wednesbury,WS10 7PZ,West Midlands,no
103970,333,Sandwell,Joseph Turner Primary School,https://www.josephturnerprimary.co.uk,Tipton,DY4 0RN,West Midlands,no
140136,333,Sandwell,Jubilee Park Academy,www.jubileeparkacademy.co.uk,Tipton,DY4 0QS,West Midlands,no
131223,333,Sandwell,King George V Primary School,www.kinggeorgev.sandwell.sch.uk/,West Bromwich,B70 6JA,West Midlands,no
103978,333,Sandwell,Langley Primary School,https://www.langleyprimary.com,Oldbury,B69 4QB,West Midlands,no
148333,333,Sandwell,Lightwoods Primary Academy,https://lightwoodsprimary.academy/,"Oldbury, Sandwell",B68 9BG,West Midlands,no
103969,333,Sandwell,Lodge Primary School,www.lodgeprimaryschool.co.uk/,West Bromwich,B70 8PN,West Midlands,no
103968,333,Sandwell,Lyng Primary School,http://www.lyng.sandwell.sch.uk,West Bromwich,B70 7SQ,West Midlands,no
137972,333,Sandwell,Mesty Croft Primary,http://www.mestycroftacademy.co.uk,Wednesbury,WS10 0QY,West Midlands,no
149847,333,Sandwell,Moat Farm Infant School,www.moatfarm-inf.sandwell.sch.uk/,Oldbury,B68 9QR,West Midlands,no
149407,333,Sandwell,Moat Farm Junior School,www.moatfarm-jun.sandwell.sch.uk/,Oldbury,B68 9QR,West Midlands,no
103908,333,Sandwell,Moorlands Primary School,http://www.moorlandsprimarysch.co.uk,West Bromwich,B71 2NZ,West Midlands,no
146434,333,Sandwell,Newtown Primary School,www.newtown.sandwell.sch.uk,West Bromwich,B70 0ES,West Midlands,no
103950,333,Sandwell,Oakham Primary School,https://www.oakhamprimary.org.uk/,Oldbury,B69 1SG,West Midlands,no
140140,333,Sandwell,Ocker Hill Academy,http://www.ockerhillacademy.co.uk,Tipton,DY4 0DS,West Midlands,no
103919,333,Sandwell,Ocker Hill Infant School,https://www.ockerhill-inf.sandwell.sch.uk/,Tipton,DY4 0DS,West Midlands,no
137701,333,Sandwell,Oldbury Academy,http://oldburyacademy.co.uk/,Oldbury,B68 8NE,West Midlands,no
137673,333,Sandwell,Ormiston Forge Academy,http://www.ormistonforgeacademy.co.uk/,Cradley Heath,B64 6QU,West Midlands,no
135979,333,Sandwell,Ormiston Sandwell Community Academy,http://www.ormistonsandwell.org.uk/,Oldbury,B69 2HE,West Midlands,no
141926,333,Sandwell,Our Lady and St Hubert's Catholic Primary School,www.st-huberts.sandwell.sch.uk,Oldbury,B68 8ED,West Midlands,no
135215,333,Sandwell,Pennyhill Primary School,www.pennyhill.sandwell.sch.uk/,West Bromwich,B71 3BU,West Midlands,no
148267,333,Sandwell,Perryfields Academy,https://perryfieldsacademy.co.uk,Oldbury,B68 0RG,West Midlands,no
141698,333,Sandwell,Q3 Academy Langley,www.q3langley.org.uk,Oldbury,B68 8ED,West Midlands,no
146383,333,Sandwell,Q3 Academy Tipton,http://www.q3tipton.org.uk/,Tipton,DY4 7NR,West Midlands,no
103954,333,Sandwell,Reddal Hill Primary School,https://www.reddalhillprimary.com,Cradley Heath,B64 6HT,West Midlands,no
103984,333,Sandwell,Rood End Primary School,https://www.roodend.sandwell.sch.uk/,Oldbury,B68 8SQ,West Midlands,no
144635,333,Sandwell,Rounds Green Primary School,,Oldbury,B69 2DP,West Midlands,no
150632,333,Sandwell,Rowley Hall Primary School,,Rowley Regis,B65 9HU,West Midlands,no
103979,333,Sandwell,Ryders Green Primary School,www.rydersgreenprimary.co.uk/,West Bromwich,B70 9UJ,West Midlands,no
134993,333,Sandwell,Sandwell Academy,http://www.sandwellacademy.com/,West Bromwich,B71 4LG,West Midlands,no
135254,333,Sandwell,Sandwell Community School,https://sandwellcs.org.uk/,West Bromwich,B71 2JN,West Midlands,no
147347,333,Sandwell,Shenstone Lodge School,www.shenstonelodge.co.uk,Lichfield,WS14 0LB,West Midlands,no
141813,333,Sandwell,Shireland Biomedical Utc,sbmutc.org.uk,West Bromwich,B70 8DJ,West Midlands,no
149827,333,Sandwell,Shireland CBSO Academy,https://shirelandcbso.org.uk/,West Bromwich,B70 8SZ,West Midlands,no
135170,333,Sandwell,Shireland Collegiate Academy,http://www.collegiateacademy.org.uk,Smethwick,B66 4ND,West Midlands,no
139875,333,Sandwell,Shireland Hall Primary Academy,www.shirelandhallprimaryacademy.com/,Smethwick,B66 4PW,West Midlands,no
147191,333,Sandwell,Shireland Technology Primary,www.shirelandtechnologyprimary.net,Smethwick,B66 4ND,West Midlands,no
140792,333,Sandwell,Silvertrees Academy,www.silvertreesacademy.co.uk,Tipton,DY4 8NH,West Midlands,no
132140,333,Sandwell,Springfield Primary School,www.springfield.sandwell.sch.uk/,Rowley Regis,B65 8JY,West Midlands,no
141922,333,Sandwell,St Francis Xavier Catholic Primary School,www.st-francisxavier.sandwell.sch.uk/,Oldbury,B69 4BA,West Midlands,no
141924,333,Sandwell,St Gregory's Catholic Primary School,www.st-gregorys.sandwell.sch.uk,Smethwick,B67 5HX,West Midlands,no
148535,333,Sandwell,St John Bosco Catholic Primary School,www.st-johnbosco.sandwell.sch.uk/,West Bromwich,B71 2ST,West Midlands,no
140856,333,Sandwell,St John's Church of England Primary Academy,www.stjohnsacademy.co.uk,Wednesbury,WS10 9AR,West Midlands,no
103995,333,Sandwell,St Margaret's CofE Primary School,www.stmargaretscofeprimaryschool.co.uk/,Birmingham,B43 7AP,West Midlands,no
