urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
136994,334,Solihull,Alderbrook School,http://www.alderbrook.solihull.sch.uk/,Solihull,B91 1SN,West Midlands,no
136333,334,Solihull,Arden,http://www.arden.solihull.sch.uk/,Solihull,B93 0PT,West Midlands,no
138536,334,Solihull,Balsall Common Primary School,www.balsallcommonprimary.co.uk/,Coventry,CV7 7FS,West Midlands,no
140462,334,Solihull,Bentley Heath Church of England Primary School,http://www.bentley-heath.solihull.sch.uk,Solihull,B93 9AS,West Midlands,no
104105,334,Solihull,Bishop Wilson Church of England Primary School,https://www.bishop-wilson.solihull.sch.uk,Birmingham,B37 7TR,West Midlands,no
104039,334,Solihull,Blossomfield Infant and Nursery School,https://www.blossomfield.solihull.sch.uk,Solihull,B90 3QX,West Midlands,no
104040,334,Solihull,Burman Infant School,https://www.burman.solihull.sch.uk,Solihull,B90 2JW,West Midlands,no
149490,334,Solihull,Castle Bromwich Infant and Nursery School,www.cbins.solihull.sch.uk,Birmingham,B36 0BX,West Midlands,no
149489,334,Solihull,Castle Bromwich Junior School,www.cbjs.co.uk/,Birmingham,B36 0HD,West Midlands,no
141171,334,Solihull,Castlewood School,http://castlewoodschool.co.uk/,Birmingham,B36 9LF,West Midlands,no
104074,334,Solihull,Cheswick Green Primary School,https://www.cheswick-green.solihull.sch.uk,Solihull,B90 4HG,West Midlands,no
104070,334,Solihull,Coleshill Heath School,http://www.chs.solihull.sch.uk/,Birmingham,B37 7PY,West Midlands,no
149927,334,Solihull,Coppice Academy,www.coppicejuniorschool.co.uk/,Solihull,B92 9JY,West Midlands,no
104042,334,Solihull,Cranmore Infant School,https://www.cranmore.solihull.sch.uk/,Solihull,B90 4SA,West Midlands,no
143051,334,Solihull,Damson Wood Nursery and Infant School,www.damson-wood.co.uk,Solihull,B92 9LX,West Midlands,no
149062,334,Solihull,Daylesford Academy,www.daylesford.org.uk,Solihull,B92 7QW,West Midlands,no
133720,334,Solihull,Dickens Heath Community Primary School,www.dickens-heath.solihull.sch.uk,Solihull,B90 1NA,West Midlands,no
149928,334,Solihull,Dorridge Primary School,www.dorridge.solihull.sch.uk,Solihull,B93 8EU,West Midlands,no
149492,334,Solihull,Fordbridge Community Primary School,http://www.fordbridge.solihull.sch.uk/,Birmingham,B37 5BU,West Midlands,no
104132,334,Solihull,Forest Oak School,https://www.forest-oak.solihull.sch.uk,Birmingham,B36 0UE,West Midlands,no
104094,334,Solihull,George Fentham Endowed School,www.georgefenthamschool.co.uk/,Solihull,B92 0AY,West Midlands,no
129342,334,Solihull,Grace Academy Solihull,https://solihull.graceacademy.org.uk/,Birmingham,B37 5JS,West Midlands,no
104079,334,Solihull,Greswold Primary School,http://www.greswold.solihull.sch.uk,Solihull,B91 2AZ,West Midlands,no
104046,334,Solihull,Haslucks Green School,https://www.haslucks-green.solihull.sch.uk,Solihull,B90 2EJ,West Midlands,no
104130,334,Solihull,Hazel Oak School,,Solihull,B90 2AZ,West Midlands,no
136909,334,Solihull,Heart of England School,http://www.heart-england.co.uk/,Coventry,CV7 7FW,West Midlands,no
136347,334,Solihull,John Henry Newman Catholic College,http://johnhenrynewmancatholiccollege.org.uk/,Birmingham,B37 5GA,West Midlands,no
150383,334,Solihull,Kineton Green Primary School,www.kineton-green.solihull.sch.uk,Solihull,B92 7EB,West Midlands,no
151168,334,Solihull,Kingshurst Primary School,,Birmingham,B37 6BN,West Midlands,no
139457,334,Solihull,Knowle Church of England Primary Academy,http://www.knowle.solihull.sch.uk,Solihull,B93 0JE,West Midlands,no
148084,334,Solihull,Lady Katherine Leveson Church of England Primary School,https://ladyk.bdmat.org.uk/,Solihull,B93 0AN,West Midlands,no
137007,334,Solihull,Langley School,http://www.langley.solihull.sch.uk/,Solihull,B92 7ER,West Midlands,no
137231,334,Solihull,Light Hall School,http://www.lighthall.co.uk/,Solihull,B90 2PZ,West Midlands,no
137008,334,Solihull,Lode Heath School,http://www.lodeheathschool.co.uk/,Solihull,B91 2HW,West Midlands,no
142075,334,Solihull,Lyndon School,www.lyndon.org.uk,Solihull,B92 8EJ,West Midlands,no
140733,334,Solihull,Marston Green Infant Academy,www.marstongreeninfantschool.com,Birmingham,B37 7AA,West Midlands,no
104060,334,Solihull,Marston Green Junior School,,Birmingham,B37 7BA,West Midlands,no
104087,334,Solihull,Meriden Church of England Primary School,https://www.meridenceprimaryschool.com,Coventry,CV7 7LW,West Midlands,no
104133,334,Solihull,Merstone School,https://www.merstone.solihull.sch.uk,Birmingham,B36 0UE,West Midlands,no
104057,334,Solihull,Mill Lodge Primary School,https://www.mill-lodge.solihull.sch.uk,Solihull,B90 1BT,West Midlands,no
104084,334,Solihull,Monkspath Junior and Infant School,,Solihull,B90 4EH,West Midlands,no
104056,334,Solihull,Oak Cottage Primary School,https://www.oak-cottage.solihull.sch.uk/,Solihull,B91 1DY,West Midlands,no
104076,334,Solihull,Olton Primary School,www.olton.solihull.co.uk,Solihull,B92 7QF,West Midlands,no
148089,334,Solihull,Our Lady of Compassion Catholic Primary School,http://www.olc.solihull.sch.uk,Solihull,B92 7EG,West Midlands,no
148085,334,Solihull,Our Lady of the Wayside Catholic Primary School,http://www.ol-wayside.solihull.sch.uk/,Solihull,B90 4AY,West Midlands,no
150832,334,Solihull,Peterbrook Primary School,,Solihull,B90 1HR,West Midlands,no
104131,334,Solihull,Reynalds Cross School,https://www.reynalds-cross.solihull.sch.uk,Solihull,B92 7ER,West Midlands,no
104049,334,Solihull,Sharmans Cross Junior School,https://www.sharmans-cross.solihull.sch.uk,Solihull,B91 1PH,West Midlands,no
104050,334,Solihull,Shirley Heath Junior School,https://www.shirley-heath.solihull.sch.uk,Solihull,B90 3DS,West Midlands,no
143895,334,Solihull,Smith's Wood Academy,http://smithswood.co.uk/,Birmingham,B36 0UE,West Midlands,no
140923,334,Solihull,Smith's Wood Primary Academy,www.smithswoodpri.solihull.sch.uk,Birmingham,B36 0SZ,West Midlands,no
143918,334,Solihull,Solihull Alternative Provision Academy,www.sa.sapmat.org.uk,Solihull,B90 4LE,West Midlands,no
