urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
137974,335,Walsall,Aldridge School - A Science College,http://www.aldridgeschool.org,Walsall,WS9 0BG,West Midlands,no
141410,335,Walsall,All Saints National Academy,asna.walsall.sch.uk,Walsall,WS3 3LP,West Midlands,no
104143,335,Walsall,Alumwell Infant School,http://www.alumwell-i.walsall.sch.uk,Walsall,WS2 9UP,West Midlands,no
104142,335,Walsall,Alumwell Junior School,https://www.alumwelljuniorschool.co.uk,Walsall,WS2 9UP,West Midlands,no
104140,335,Walsall,Alumwell Nursery School,https://www.alumwell-n.walsall.sch.uk,Walsall,WS2 9UP,West Midlands,no
135081,335,Walsall,Barcroft Primary School,www.barcroftprimary.co.uk,Willenhall,WV13 1NA,West Midlands,no
136885,335,Walsall,Barr Beacon School,http://www.barrbeaconschool.co.uk/,Walsall,WS9 0RF,West Midlands,no
131580,335,Walsall,Beacon Primary School,www.beaconprimaryschool.co.uk/,Walsall,WV12 5HA,West Midlands,no
150291,335,Walsall,Bentley West Primary School,https://www.bentley-west.org.uk/,Walsall,WS2 0EQ,West Midlands,no
139435,335,Walsall,Birchills Church of England Community Academy,www.birchills.walsall.sch.uk,Walsall,WS2 8NF,West Midlands,no
148364,335,Walsall,Blackwood School,http://www.blackwood-school.co.uk/,Sutton Coldfield,B74 3PH,West Midlands,no
104144,335,Walsall,Blakenall Heath Junior School,https://www.blakenallheathjunior.co.uk/,Walsall,WS3 3JF,West Midlands,no
137274,335,Walsall,Bloxwich Academy,www.bloxwichacademy.co.uk,Walsall,WS2 7NR,West Midlands,no
138606,335,Walsall,Blue Coat Church of England Academy,http://www.bluecoatacademy.org/,Walsall,WS1 2ND,West Midlands,no
104231,335,Walsall,Blue Coat Church of England Aided Infant School,https://www.bluecoatfederation.co.uk,Walsall,WS1 3AF,West Midlands,no
104230,335,Walsall,Blue Coat Church of England Aided Junior School,https://www.bluecoatfederation.co.uk,Walsall,WS1 2LP,West Midlands,no
