urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
139138,336,Wolverhampton,Aldersley High School,aldersley.aatrust.co.uk,Wolverhampton,WV8 1RT,West Midlands,no
104279,336,Wolverhampton,Ashmore Park Nursery School,https://www.ashmoreparknurseryschool.co.uk,Wolverhampton,WV11 2LH,West Midlands,no
132197,336,Wolverhampton,Bantock Primary School,www.bantockprimaryschool.co.uk,Wolverhampton,WV3 0HY,West Midlands,no
140658,336,Wolverhampton,Berrybrook Primary School,www.berrybrookprimary.org.uk/,Wolverhampton,WV10 8NZ,West Midlands,no
130305,336,Wolverhampton,Bilston Church of England Primary School,,Bilston,WV14 0HU,West Midlands,no
132018,336,Wolverhampton,Bilston Nursery School,www.bilstonnurseryschool.co.uk,Bilston,WV14 0LT,West Midlands,no
143506,336,Wolverhampton,Broadmeadow Special School,www.broadmeadowspecial.co.uk,Wolverhampton,WV1 4AL,West Midlands,no
104290,336,Wolverhampton,Bushbury Hill Primary School,https://www.bushburyhillprimary.co.uk/,Wolverhampton,WV10 8BY,West Midlands,no
142823,336,Wolverhampton,Bushbury Lane Academy,www.bushburylaneacademy.co.uk,Wolverhampton,WV10 9TR,West Midlands,no
104285,336,Wolverhampton,Bushbury Nursery School,https://www.bushburynursery.co.uk,Wolverhampton,WV10 8JP,West Midlands,no
104311,336,Wolverhampton,Castlecroft Primary School,www.castlecroftprimaryschool.com/,Wolverhampton,WV3 8HS,West Midlands,no
104362,336,Wolverhampton,Christ Church (Church of England) Infant and Nursery School,https://www.christchurchfederation.co.uk/,Wolverhampton,WV6 8EL,West Midlands,no
104366,336,Wolverhampton,Christ Church (Church of England) Junior School,https://www.christchurchfederation.co.uk/,Wolverhampton,WV6 8LG,West Midlands,no
104310,336,Wolverhampton,Claregate Primary School,https://www.claregateprimaryschool.co.uk,Wolverhampton,WV6 9JU,West Midlands,no
104395,336,Wolverhampton,Colton Hills Community School,http://coltonhills.co.uk/,Wolverhampton,WV4 5DG,West Midlands,no
145114,336,Wolverhampton,Coppice Performing Arts School,https://www.coppiceschool.net/,Wolverhampton,WV11 2QE,West Midlands,no
141769,336,Wolverhampton,Corpus Christi Catholic Primary Academy,http://www.corpuschristiacademy.co.uk/,Wolverhampton,WV11 2LT,West Midlands,no
145395,336,Wolverhampton,D'Eyncourt Primary School,https://www.deyncourtprimary.org/,Wolverhampton,WV11 1DD,West Midlands,no
104350,336,Wolverhampton,Dovecotes Primary School,www.dovecotesprimaryschool.co.uk,Wolverhampton,WV8 1TX,West Midlands,no
142679,336,Wolverhampton,Dunstall Hill Primary School,https://dunstallhillprimary.com/,Wolverhampton,WV6 0NH,West Midlands,no
143152,336,Wolverhampton,East Park Academy,www.eastparkacademy.com,Wolverhampton,WV1 2DS,West Midlands,no
104280,336,Wolverhampton,Eastfield Nursery School,https://www.eastfieldnurseryschool.co.uk,Wolverhampton,WV1 2HH,West Midlands,no
143813,336,Wolverhampton,Edward the Elder Primary School,www.edwardtheelder.org.uk,Wolverhampton,WV11 3DB,West Midlands,no
142349,336,Wolverhampton,Elston Hall Primary School,www.elstonhall.org.uk,Wolverhampton,WV10 6NN,West Midlands,no
143150,336,Wolverhampton,Evergreen Academy,https://evergreen.greenhousecms.co.uk/,Wolverhampton,WV6 0UA,West Midlands,no
104294,336,Wolverhampton,Fallings Park Primary School,https://www.fallingspark.org.uk,Wolverhampton,WV10 8BN,West Midlands,no
144252,336,Wolverhampton,Goldthorn Park Primary School,http://www.goldthornpark.org.uk,Wolverhampton,WV4 5ET,West Midlands,no
104302,336,Wolverhampton,Graiseley Primary School,https://www.graiseleyprimaryschool.co.uk/,Wolverhampton,WV2 4NE,West Midlands,no
