urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
135479,340,Knowsley,All Saints Catholic High School,http://allsaintschs.org.uk,Knowsley,L33 8XF,North West,no
104498,340,Knowsley,Alt Bridge School,https://www.altbridgeschool.com,Liverpool,L36 7TA,North West,no
144355,340,Knowsley,Blacklow Brow School,blacklowbrowschool.co.uk,Liverpool,L36 5XW,North West,no
104495,340,Knowsley,Bluebell Park School,https://www.bluebellparkknowsley.co.uk,Liverpool,L32 3XP,North West,no
143456,340,Knowsley,Cronton Church of England Primary Academy,www.crontonce.co.uk,Widnes,WA8 5DF,North West,no
104447,340,Knowsley,Eastcroft Park School,https://www.eastcroftpark.co.uk/,Liverpool,L33 1EB,North West,no
104446,340,Knowsley,Evelyn Community Primary School,https://www.evelyncpschool.co.uk/,Prescot,L34 2SP,North West,no
141033,340,Knowsley,Finch Woods Academy,http://www.finchwoodsacademy.co.uk/,Liverpool,L26 0TY,North West,no
139614,340,Knowsley,Halewood Academy,www.halewoodacademy.co.uk,Knowsley,L26 1UU,North West,no
143457,340,Knowsley,Halewood Church of England Primary Academy,www.halewoodcofe.co.uk/,Liverpool,L26 6LB,North West,no
144105,340,Knowsley,Halsnead Primary School,www.halsnead.co.uk,Prescot,L35 3TX,North West,no
104468,340,Knowsley,Holy Family Catholic Primary School,https://www.holyfamilyhalewood.org.uk/,Liverpool,L25 9PA,North West,no
104454,340,Knowsley,Holy Family Catholic Primary School & Nursery,https://www.holyfamilycronton.co.uk,Widnes,WA8 5DW,North West,no
135796,340,Knowsley,Hope Primary School - A Joint Catholic and Church of England Primary School,www.hopeprimary.com,Knowsley,L14 8UD,North West,no
145435,340,Knowsley,Huyton With Roby Church of England Primary School,http://www.huytonwithrobyce.co.uk/,Liverpool,L36 9TF,North West,no
104448,340,Knowsley,Kirkby CofE Primary School,http://www.kirkbycofe.co.uk,Liverpool,L32 1TZ,North West,no
140001,340,Knowsley,Kirkby High School,http://kirkbyhighschool.net/,Liverpool,L32 9PP,North West,no
104500,340,Knowsley,Knowsley Central School,https://www.knowsleycentral.co.uk,Liverpool,L36 7SY,North West,no
141205,340,Knowsley,Knowsley Lane Primary School,www.knowsleylane.knowsley.sch.uk,Liverpool,L36 8DB,North West,no
104423,340,Knowsley,Knowsley Village School,https://www.knowsleyvillageschool.co.uk/,Prescot,L34 0ER,North West,no
140412,340,Knowsley,Lord Derby Academy,http://lordderbyacademy.co.uk/,Liverpool,L36 6DG,North West,no
104427,340,Knowsley,Malvern Primary School,https://www.malvernprimaryschool.co.uk/,Liverpool,L14 6XA,North West,no
104418,340,Knowsley,Meadow Park School,https://www.meadowparkknowsley.co.uk,Knowsley,L28 1RX,North West,no
104432,340,Knowsley,Millbrook Community Primary School,https://www.millbrookprimaryknowsley.co.uk,Liverpool,L32 0TG,North West,no
135807,340,Knowsley,Northwood Community Primary School (With Designated Special Provision),www.northwoodcommunityprimaryschool.co.uk,Kirkby,L33 8XD,North West,no
104459,340,Knowsley,Our Lady's Catholic Primary School,https://www.ourladysprescot.com,Prescot,L34 6JJ,North West,no
104429,340,Knowsley,Park Brow Community Primary School,https://www.parkbrowprimary.co.uk/,Liverpool,L32 6QH,North West,no
142552,340,Knowsley,Park View Academy,http://deantrustparkview.co.uk,Liverpool,L36 2LL,North West,no
149817,340,Knowsley,Plantation Primary School,www.plantationprimary.com,Liverpool,L26 0TH,North West,no
151259,340,Knowsley,Prescot Primary School,http://www.prescotprimary.org.uk,Prescot,L34 2TA,North West,no
104444,340,Knowsley,Ravenscroft Community Primary School,https://www.ravenscroftcp.co.uk/,Liverpool,L33 1XT,North West,no
104420,340,Knowsley,Roby Park Primary School,https://www.robyparkprimary.co.uk,Knowsley,L36 4NY,North West,no
148534,340,Knowsley,Saint Edmund Arrowsmith Catholic Academy,https://www.stedmundarrowsmithcatholicacademy.org,Prescot,L35 2XG,North West,no
104479,340,Knowsley,Saints Peter and Paul Catholic Primary School,https://www.saintspeterandpaulcps.org.uk,Liverpool,L33 1DZ,North West,no
104463,340,Knowsley,St Aidan's Catholic Primary School,https://www.staidanscatholicprimary.com/,Liverpool,L36 7XR,North West,no
104467,340,Knowsley,St Albert's Catholic Primary School,https://www.stalbertsprimary.co.uk/,Liverpool,L28 8AJ,North West,no
131332,340,Knowsley,St Aloysius Catholic Primary School,http://www.staloysius.co.uk/,Liverpool,L36 2LF,North West,no
104470,340,Knowsley,St Andrew the Apostle Catholic Primary School,https://www.standrewapostle.co.uk,Liverpool,L26 1TD,North West,no
104477,340,Knowsley,St Anne's Catholic Primary School,https://www.stannesprimaryknowsley.co.uk/,Liverpool,L36 5XL,North West,no
104474,340,Knowsley,St Brigid's Catholic Primary School,http://stbrigid.knowsley.sch.uk/,Liverpool,L28 7RE,North West,no
104480,340,Knowsley,St Columba's Catholic Primary School,https://stcolumbasknowsley.co.uk,Liverpool,L36 8BL,North West,no
147253,340,Knowsley,St Gabriel's CofE Primary School,stgabrielshuyton.net,Liverpool,L36 6BH,North West,no
104476,340,Knowsley,St John Fisher Catholic Primary School,https://www.stjohnfisherprimary.co.uk/,Prescot,L34 0HA,North West,no
131836,340,Knowsley,St Joseph the Worker Catholic Primary School,www.stjosephtheworkercps.co.uk/,Liverpool,L32 9PF,North West,no
104472,340,Knowsley,St Joseph's Catholic Primary School,https://www.stjosephshuyton.co.uk,Liverpool,L36 6DS,North West,no
104461,340,Knowsley,St Laurence's Catholic Primary School,https://www.stlaurences.co.uk/,Liverpool,L32 9QX,North West,no
104475,340,Knowsley,St Leo's and Southmead Catholic Primary School Serving the Community,https://stleossouthmead.co.uk,Prescot,L35 3SR,North West,no
104460,340,Knowsley,St Luke's Catholic Primary School,https://www.stluke.knowsley.sch.uk,Prescot,L35 5AT,North West,no
104481,340,Knowsley,St Margaret Mary's Catholic Infant School,https://www.stmargaretmarysinfant.com/,Liverpool,L14 0JG,North West,no
104482,340,Knowsley,St Margaret Mary's Catholic Junior School,https://www.smmj.co.uk/,Liverpool,L14 0JG,North West,no
104466,340,Knowsley,St Marie's Catholic Primary School,http://www.stmariescps.co.uk/,Liverpool,L33 6XL,North West,no
104469,340,Knowsley,St Mark's Catholic Primary School,https://www.stmarkshalewood.org.uk,Liverpool,L26 0XR,North West,no
104453,340,Knowsley,St Mary and St Paul's CofE Primary School,https://www.stmaryandstpauls.org.uk/,Prescot,L35 5DN,North West,no
104464,340,Knowsley,St Michael and All Angels Catholic Primary School,https://www.smaaaprimary.co.uk,Liverpool,L32 0TP,North West,no
136222,340,Knowsley,Stockbridge Village Primary School,www.stockbridgevillageprimary.co.uk,Stockbridge Village,L28 1AB,North West,no
143878,340,Knowsley,Sylvester Primary Academy,www.sylvesterprimaryschool.co.uk,Liverpool,L36 0UX,North West,no
142798,340,Knowsley,The Prescot School,http://www.prescotschool.org.uk/,Liverpool,L34 3NB,North West,no
