urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
104507,341,Liverpool,Abercromby Nursery School,https://www.abercrombynurseryschool.co.uk,Liverpool,L8 7QA,North West,no
134250,341,Liverpool,All Saints' Catholic Voluntary Aided Primary School,www.allsaintsanfield.co.uk,Liverpool,L4 2QG,North West,no
148226,341,Liverpool,Alsop High School,www.alsophigh.org.uk,Liverpool,L4 6SH,North West,no
140975,341,Liverpool,Anfield Road Primary School,http://anfieldroadprimary.co.uk,Liverpool,L4 0TN,North West,no
135267,341,Liverpool,Arnot St Mary CofE Primary School,www.arnotstmary.co.uk/,Liverpool,L4 4ED,North West,no
104516,341,Liverpool,Banks Road Primary School,https://www.banksroadprimaryschoolliverpool.co.uk,Liverpool,L19 8JZ,North West,no
104517,341,Liverpool,Barlows Primary School,https://www.barlowsprimary.co.uk/,Liverpool,L9 9EH,North West,no
104519,341,Liverpool,Belle Vale Community Primary School,https://www.bellevaleprimary.co.uk,Liverpool,L25 2QF,North West,no
138183,341,Liverpool,Bellerive FCJ Catholic College,http://www.bellerivefcj.org/,Liverpool,L17 3AA,North West,no
145438,341,Liverpool,"Bishop Martin Church of England Primary School, Woolton",https://bishopmartince.co.uk,Liverpool,L25 5JF,North West,no
150202,341,Liverpool,Blackmoor Park Infants' School,,Liverpool,L12 9EY,North West,no
104521,341,Liverpool,Blackmoor Park Junior School,https://www.blackmoorpark.com,Liverpool,L12 9HB,North West,no
141076,341,Liverpool,Blessed Sacrament Catholic Primary School,www.bsprimary.com,Liverpool,L9 9AF,North West,no
133691,341,Liverpool,Blueberry Park,www.blueberryparkprimary.co.uk/,Liverpool,L14 2DY,North West,no
104593,341,Liverpool,Booker Avenue Infant School,http://www.bookeravenue-inf.co.uk,Liverpool,L18 9SB,North West,no
104522,341,Liverpool,Booker Avenue Junior School,https://www.booker-junior.com,Liverpool,L18 9SB,North West,no
133335,341,Liverpool,Broad Square Community Primary School,www.broadsquareprimary.co.uk/,Liverpool,L11 1BS,North West,no
104503,341,Liverpool,Chatham Place Nursery School,,Liverpool,L7 6HD,North West,no
134658,341,Liverpool,Childwall Abbey School,childwallabbeyschool.net,Liverpool,L16 5EY,North West,no
138787,341,Liverpool,Childwall Sports & Science Academy,www.childwallssa.org,Liverpool,L15 6XZ,North West,no
134210,341,Liverpool,Childwall Valley Primary School,www.childwallvalley.org,Liverpool,L25 1NW,North West,no
104629,341,Liverpool,Christ The King Catholic Primary School,http://www.christthekingcatholicprimary.co.uk/,Liverpool,L15 7LZ,North West,no
104530,341,Liverpool,Corinthian Community Primary School,https://sites.google.com/corinthianschool.co.uk/corinthianschool/home,Liverpool,L13 6SH,North West,no
146768,341,Liverpool,Croxteth Community Primary School,,Liverpool,L11 0BP,North West,no
148792,341,Liverpool,Dixons Broadgreen Academy,www.dixonsba.com,Liverpool,L13 5UQ,North West,no
149530,341,Liverpool,Dixons Croxteth Academy,www.dixonscr.com,Liverpool,L11 4SG,North West,no
148655,341,Liverpool,Dixons Fazakerley Academy,www.dixonsfa.com,Liverpool,L10 1LB,North West,no
130296,341,Liverpool,Dovecot Primary School,www.dovecotprimary.co.uk/,Liverpool,L14 0LH,North West,no
141960,341,Liverpool,Dovedale Community Primary School,www.dovedaleprimary.co.uk,Liverpool,L18 1JX,North West,no
104504,341,Liverpool,East Prescot Road Nursery School,http://www.eastprescotroad.co.uk/,Liverpool,L14 1PW,North West,no
