urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
104758,342,St. Helens,Allanson Street Primary School,http://www.allansonstreetprimary.co.uk,Merseyside,WA9 1PL,North West,no
104771,342,St. Helens,Ashurst Primary School,https://www.ashurst.st-helens.sch.uk,St Helens,WA11 9QJ,North West,no
150556,342,St. Helens,Billinge Chapel End Primary School,www.chapelend.st-helens.sch.uk/,Wigan,WN5 7TX,North West,no
104773,342,St. Helens,Bleak Hill Primary School,https://www.bleakhill.st-helens.sch.uk,St Helens,WA10 6HG,North West,no
130259,342,St. Helens,Broad Oak Community Primary School,www.broadoak.st-helens.sch.uk/,St Helens,WA9 2JE,North West,no
104814,342,St. Helens,Corpus Christi Catholic Primary School,https://www.corpuschristirainford.co.uk,St Helens,WA11 8JF,North West,no
104829,342,St. Helens,Cowley International College,http://www.cowley.st-helens.sch.uk/,St Helens,WA10 6PN,North West,no
150833,342,St. Helens,De La Salle School,www.delasalle.st-helens.sch.uk,St. Helens,WA10 4QH,North West,no
104770,342,St. Helens,Eaves Primary School,https://www.eaves.st-helens.sch.uk,St Helens,WA9 3UB,North West,no
104788,342,St. Helens,Eccleston Lane Ends Primary School,https://www.ecclestonlaneends.st-helens.sch.uk/,Prescot,L34 2QN,North West,no
104783,342,St. Helens,Eccleston Mere Primary School,http://www.ecclestonmere.st-helens.sch.uk/,St Helens,WA10 5NX,North West,no
104778,342,St. Helens,Garswood Primary and Nursery School,https://www.garswoodprimary.co.uk,Wigan,WN4 0SF,North West,no
104774,342,St. Helens,Grange Valley Primary School,http://www.grangevalley.st-helens.sch.uk,St Helens,WA11 0XQ,North West,no
104818,342,St. Helens,Haydock English Martyrs' Primary School,http://www.hemcps.co.uk,St. Helens,WA11 0JY,North West,no
104804,342,St. Helens,Holy Cross Catholic Primary School,https://www.holycrossprimarysthelens.co.uk/,St Helens,WA10 1LN,North West,no
136421,342,St. Helens,Hope Academy,http://www.hopeacademy.org.uk/,Newton-le-Willows,WA12 0AQ,North West,no
134865,342,St. Helens,Lansbury Bridge School,lansburybridge.org.uk,St Helens,WA9 1TB,North West,no
104782,342,St. Helens,Legh Vale Primary School,http:www.leghvale.st-helens.sch.uk/,St Helens,WA11 0ER,North West,no
104777,342,St. Helens,Longton Lane Community Primary School,https://www.longtonlane.st-helens.sch.uk,St Helens,L35 8PB,North West,no
104776,342,St. Helens,Lyme Community Primary School,https://www.lyme.st-helens.sch.uk,Newton-le-Willows,WA12 9HD,North West,no
104784,342,St. Helens,Merton Bank Primary School,https://www.mertonbank.st-helens.sch.uk/,St Helens,WA9 1EJ,North West,no
104775,342,St. Helens,Newton-le-Willows Primary School,http://www.newton.st-helens.sch.uk/,Newton-le-Willows,WA12 9UF,North West,no
146120,342,St. Helens,Nutgrove Methodist Primary School,www.nutgroveprimary.co.uk,St Helens,WA9 5NH,North West,no
104781,342,St. Helens,Oakdene Primary School,https://www.oakdeneprimaryschool.co.uk/,Prescot,L35 0QQ,North West,no
148522,342,St. Helens,Outwood Academy Haydock,https://www.haydock.outwood.com/,St. Helens,WA11 0JG,North West,no
104757,342,St. Helens,Pace,https://www.alternativeprovision.st-helens.sch.uk,St Helens,WA9 2LH,North West,no
145458,342,St. Helens,"Parish Church of England Primary School, St Helens",http://www.parish.st-helens.sch.uk/,St Helens,WA10 1LW,North West,no
130382,342,St. Helens,Queen's Park CofE/Urc Primary School,www.queenspark.st-helens.sch.uk/,St Helens,WA10 4NQ,North West,no
149929,342,St. Helens,Rainford Brook Lodge Community Primary School,http://www.rainfordbrooklodge.st-helens.sch.uk,St Helens,WA11 8JX,North West,no
148365,342,St. Helens,Rainford CofE Primary School,http://www.rainfordcofe-pri.st-helens.sch.uk,St Helens,WA11 8AJ,North West,no
144327,342,St. Helens,Rainford High School,http://www.rainford.org.uk,St Helens,WA11 8NY,North West,no
131447,342,St. Helens,Rainhill Community Nursery,rainhillnursery.co.uk,Prescot,L35 4NW,North West,no
144326,342,St. Helens,Rainhill High School,http://www.rainhillhighschool.org.uk/,Prescot,L35 6NY,North West,no
104797,342,St. Helens,Rectory CofE Primary School,https://rectorycoeprimaryschool.co.uk/,Wigan,WN4 0QF,North West,no
104761,342,St. Helens,Rivington Primary School,https://www.rivingtonprimary.co.uk/,St Helens,WA10 6LF,North West,no
104762,342,St. Helens,Robins Lane Community Primary School,https://www.robinslane.co.uk,St Helens,WA9 3NF,North West,no
104769,342,St. Helens,Sherdley Primary School,https://www.sherdleyprimary.co.uk,St Helens,WA9 4HA,North West,no
104798,342,St. Helens,St Aidan's CofE Primary School Billinge,https://www.billingestaidans.co.uk/,Wigan,WN5 7LS,North West,no
142154,342,St. Helens,St Ann's Church of England Primary School,https://www.rainhillstanns.co.uk/,Prescot,L35 0LQ,North West,no
104805,342,St. Helens,St Anne's Catholic Primary School,https://www.stannessutton.co.uk,St Helens,WA9 3SP,North West,no
149031,342,St. Helens,St Augustine of Canterbury Catholic Academy,https://www.staugs.org.uk/,St. Helens,WA11 9BB,North West,no
104806,342,St. Helens,St Austin's Catholic Primary School,https://www.st-austins.st-helens.sch.uk/,St Helens,WA9 5NJ,North West,no
104815,342,St. Helens,St Bartholomew's Catholic Primary School,https://www.stbartholomewrainhill.co.uk/,Prescot,L35 6NN,North West,no
104835,342,St. Helens,St Cuthbert's Catholic High School,http://www.stcuthberts.com,St Helens,WA9 3HE,North West,no
146429,342,St. Helens,St James' Church of England Primary School,http://www.stjamesceprimary.co.uk,St Helens,WA11 0NL,North West,no
104812,342,St. Helens,St John Vianney Catholic Primary School,http://www.stjohnvianneyprimary.com,St Helens,WA9 5BT,North West,no
104819,342,St. Helens,St Julie's Catholic Primary School,http://www.st-julie.st-helens.sch.uk,St Helens,WA10 5HG,North West,no
142161,342,St. Helens,St Mary & St Thomas CofE Primary School,www.sm-st.co.uk,St Helens,WA10 2HS,North West,no
150505,342,St. Helens,St Mary's Catholic Infant Academy,https://www.federationofstmarys.co.uk/,St Helens,WA12 9RX,North West,no
150302,342,St. Helens,St Mary's Catholic Junior Academy,https://www.federationofstmarys.co.uk/,Newton-le-Willows,WA12 9QQ,North West,no
104813,342,St. Helens,St Mary's Catholic Primary School,http://www.bstm.co.uk,Nr Wigan,WN5 7QJ,North West,no
104810,342,St. Helens,St Peter and St Paul Catholic Primary School,https://www.sspeterandpaulprimary.org,St Helens,WA11 9AT,North West,no
104801,342,St. Helens,St Peter's CofE Primary School,https://www.st-peters.st-helens.sch.uk/,Newton-le-Willows,WA12 9UR,North West,no
104807,342,St. Helens,"St Teresa's Catholic Primary School, Devon Street",www.st-teresa.st-helens.sch.uk,St Helens,WA10 4HX,North West,no
104823,342,St. Helens,St Theresa's Catholic Primary School,www.sttheresascatholicprimary.com,St Helens,WA9 4XU,North West,no
104809,342,St. Helens,St Thomas of Canterbury Catholic Primary School,http://www.st-thomasofcanterbury.st-helens.sch.uk,St Helens,WA10 6BX,North West,no
104802,342,St. Helens,St. Mary's Catholic Primary Blackbrook,https://www.stmarysblackbrook.co.uk,St Helens,WA11 9QY,North West,no
104764,342,St. Helens,Sutton Manor Community Primary School,https://www.suttonmanor.st-helens.sch.uk/,st Helens,WA9 4AT,North West,no
104791,342,St. Helens,Sutton Oak CofE Primary School,https://www.suttonoak.co.uk/,St Helens,WA9 3QD,North West,no
