urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
150557,343,Sefton,Ainsdale St John's Church of England Primary School,http://www.ainsdalestjohns.com,Southport,PR8 3JE,North West,no
104868,343,Sefton,Aintree Davenhill Primary School,https://www.aintreedavenhill.net/,Liverpool,L10 8LE,North West,no
132208,343,Sefton,All Saints Catholic Primary School,http://www.allsaintsprimaryschool.co.uk/,Bootle,L20 4LX,North West,no
149829,343,Sefton,Bedford Primary School,www.bedfordprimary.co.uk,Liverpool,L20 9LJ,North West,no
137297,343,Sefton,Birkdale High School,http://www.birkdalehigh.co.uk/,Southport,PR8 3DT,North West,no
104860,343,Sefton,Birkdale Primary School,http://www.birkdaleprimary.com,Southport,PR8 4EL,North West,no
104942,343,Sefton,Bishop David Sheppard Church of England Primary School,https://www.bishopdavidsheppard.com/,Southport,PR9 7BZ,North West,no
104847,343,Sefton,Cambridge Nursery School,https://www.cambridgenurseryschool.com,Liverpool,L20 9LQ,North West,no
137514,343,Sefton,Chesterfield High School,http://www.chesterfieldhigh.org.uk,Liverpool,L23 9YB,North West,no
104893,343,Sefton,Christ Church Church of England Controlled Primary School,https://www.christchurchce.co.uk/,Bootle,L20 3JL,North West,no
104964,343,Sefton,Christ The King Catholic High School and Sixth Form Centre,http://www.christtheking-school.com,Southport,PR8 4EX,North West,no
146688,343,Sefton,Churchtown Primary School,www.churchtown.org.uk,Southport,PR9 7NN,North West,no
104980,343,Sefton,Crosby High School,https://www.crosbyhigh.org,Liverpool,L23 2TH,North West,no
104845,343,Sefton,Crossens Nursery School,https://www.crossensnursery.co.uk,Southport,PR9 8PA,North West,no
137533,343,Sefton,Deyes High School,http://www.deyeshigh.co.uk/,Liverpool,L31 6DE,North West,no
104931,343,Sefton,English Martyrs' Catholic Primary School,https://www.englishmartyrs.co.uk,Liverpool,L21 7LX,North West,no
104863,343,Sefton,Farnborough Road Infant School,https://www.farnboroughroadinfants.co.uk,Southport,PR8 3DF,North West,no
104862,343,Sefton,Farnborough Road Junior School,http://www.farnboroughroadjuniors.co.uk,Southport,PR8 3DF,North West,no
150813,343,Sefton,Forefield Community Infant and Nursery School,www.forefieldinfantschool.co.uk,Liverpool,L23 9SL,North West,no
150658,343,Sefton,Forefield Junior School,www.forefieldjuniors.co.uk/,Liverpool,L23 9TJ,North West,no
137436,343,Sefton,Formby High School,http://www.formbyhighschool.com/,Liverpool,L37 3HW,North West,no
104883,343,Sefton,Freshfield Primary School,https://www.freshfieldprimaryschool.com,Liverpool,L37 3JT,North West,no
104926,343,Sefton,Great Crosby Catholic Primary School,https://www.greatcrosbycatholicprimary.com,Liverpool,L23 2RQ,North West,no
104884,343,Sefton,Green Park Primary School,https://www.greenparkschool.org.uk/,Liverpool,L31 8BW,North West,no
104848,343,Sefton,Greenacre Community Nursery School,www.greenacrenurseryschool.co.uk,Bootle,L20 6PJ,North West,no
137604,343,Sefton,Greenbank High School,http://www.greenbankhigh.co.uk,Southport,PR8 2LT,North West,no
104878,343,Sefton,Hatton Hill Primary School,https://www.hattonhill.co.uk/,Liverpool,L21 9NZ,North West,no
141693,343,Sefton,Hillside High School,http://www.hillsidehigh.co.uk,Bootle,L20 9NU,North West,no
104962,343,Sefton,Holy Family Catholic High School,http://www.holyfamilyhighschool.co.uk/,Liverpool,L23 4UL,North West,no
104915,343,Sefton,Holy Family Catholic Primary School,http://www.holyfamilyprimary.com,Southport,PR9 7DU,North West,no
104940,343,Sefton,Holy Rosary Catholic Primary School,http://www.holyrosaryschool.co.uk,Liverpool,L10 6NJ,North West,no
149029,343,Sefton,Holy Spirit Catholic Academy,www.holyspiritcatholicprimary.co.uk,Bootle,L30 2NR,North West,no
145454,343,Sefton,"Holy Trinity Church of England Primary School, Southport",www.holytrinityprimary.co.uk,Southport,PR9 9AZ,North West,no
104869,343,Sefton,Hudson Primary School,https://www.hudsonprimary.co.uk,Liverpool,L31 5LE,North West,no
104850,343,Sefton,Jigsaw Primary Pupil Referral Unit,http://www.jigsawpru.co.uk/,Liverpool,L23 1TY,North West,no
146895,343,Sefton,Kew Woods Primary School,www.kewwoods.co.uk,Southport,PR8 6JW,North West,no
150852,343,Sefton,King's Lander Primary Academy,www.kingslanderprimary.com,Liverpool,L21 8HY,North West,no
138260,343,Sefton,King's Leadership Academy Hawthornes,http://www.kingshawthornes.com/,Bootle,L20 6AQ,North West,no
