urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
105030,344,Wirral,Barnston Primary School,http://www.barnston.wirral.sch.uk/,Wirral,CH60 1XW,North West,no
104988,344,Wirral,Bedford Drive Primary School,https://www.bedforddriveprimary.co.uk,Birkenhead,CH42 6RT,North West,no
105060,344,Wirral,Bidston Avenue Primary School,http://www.bidstonavenue.wirral.sch.uk/,Birkenhead,CH41 0DQ,North West,no
131281,344,Wirral,Bidston Village CofE (Controlled) Primary School,http://www.bidstonvillage.wirral.sch.uk,Prenton,CH43 7XG,North West,no
105064,344,Wirral,Birkenhead Christ Church CofE Primary School,https://www.christchurchbirkenhead.com,Birkenhead,CH41 2UJ,North West,no
135877,344,Wirral,Birkenhead High School Academy,http://www.birkenheadhigh.gdst.net/Pages/default.aspx,Prenton,CH43 1TY,North West,no
136411,344,Wirral,Birkenhead Park School,http://www.birkenheadparkschool.com/,Birkenhead,CH43 4UY,North West,no
144829,344,Wirral,Birkenhead Sixth Form College,www.bsfc.ac.uk,Wirral,CH43 8SQ,North West,no
105027,344,Wirral,Black Horse Hill Infant School,https://www.blackhorsehillinfant.co.uk,Wirral,CH48 6DR,North West,no
150633,344,Wirral,Black Horse Hill Junior School,http://blackhorsehill.andrewgreenhalgh.co.uk/,Wirral,CH48 6DR,North West,no
105021,344,Wirral,Brackenwood Infant School,https://www.brackenwood-infant.wirral.sch.uk/,Wirral,CH63 2HN,North West,no
148292,344,Wirral,Brackenwood Junior School,https://www.brackenwood-junior.wirral.sch.uk/web,Wirral,CH63 2HH,North West,no
150672,344,Wirral,Brookdale Primary School,www.brookdaleprimaryschool.co.uk,WIRRAL,CH49 1SE,North West,no
105018,344,Wirral,Brookhurst Primary School,https://www.brookhurst.wirral.sch.uk,Wirral,CH63 0EH,North West,no
139144,344,Wirral,Calday Grange Grammar School,http://www.calday.co.uk,Wirral,CH48 8GG,North West,no
104985,344,Wirral,Castleway Nursery School,https://www.castleway.wirral.sch.uk,Wirral,CH46 1RN,North West,no
105002,344,Wirral,Castleway Primary School,https://www.castleway.wirral.sch.uk,Wirral,CH46 1RN,North West,no
105048,344,Wirral,Cathcart Street Primary School,https://www.cathcartstreet.wirral.sch.uk,Wirral,CH41 3JY,North West,no
105081,344,Wirral,Christ The King Catholic Primary School,,Wirral,CH62 6AE,North West,no
143505,344,Wirral,Church Drive Primary School,https://www.churchdriveprimary.co.uk,Wirral,CH62 5EF,North West,no
105129,344,Wirral,Clare Mount Specialist Sports College,https://www.claremountssc.co.uk,Leasowe,CH46 1RA,North West,no
146315,344,Wirral,Co-op Academy Bebington,bebington.coopacademies.co.uk,Wirral,CH63 2PS,North West,no
149838,344,Wirral,Co-op Academy Hillside,https://hillside.coopacademies.co.uk/,Prenton,CH43 9HG,North West,no
144632,344,Wirral,Co-op Academy Portland,https://portland.coopacademies.co.uk,Birkenhead,CH41 0AB,North West,no
146740,344,Wirral,Co-op Academy Woodslee,https://woodslee.coopacademies.co.uk/,Wirral,CH62 2BP,North West,no
104991,344,Wirral,Devonshire Park Primary School,https://www.devonshireparkprimaryschool.co.uk/,Birkenhead,CH42 9JX,North West,no
105001,344,Wirral,Eastway Primary School,https://www.eastway.eschools.co.uk/,Wirral,CH46 8TA,North West,no
143502,344,Wirral,Egremont Primary School,http://www.egremont.wirral.sch.uk/,Wallasey,CH44 8AF,North West,no
105132,344,Wirral,Elleray Park School,http://www.elleraypark.com/,Wallasey,CH45 0LH,North West,no
105039,344,Wirral,Fender Primary School,http://fender-wirral.frogos.net/app/os#!website/home,Wirral,CH49 8HB,North West,no
105131,344,Wirral,Foxfield School,https://www.foxfieldschool.co.uk/,Woodchurch,CH49 5LF,North West,no
104986,344,Wirral,Ganneys Meadow Nursery School and Family Centre,https://www.ganneysmeadow.co.uk,Wirral,CH49 8HB,North West,no
149493,344,Wirral,Gayton Primary School,www.gayton.wirral.sch.uk/,Wirral,CH60 8PZ,North West,no
105134,344,Wirral,Gilbrook School,https://www.gilbrookschool.co.uk,,CH49 8HE,North West,no
105022,344,Wirral,Greasby Infant School,https://www.greasby-infant.eschools.co.uk,Wirral,CH49 3NX,North West,no
149538,344,Wirral,Greasby Junior School,www.greasby-junior.wirral.sch.uk/,Wirral,CH49 3AR,North West,no
143501,344,Wirral,Great Meols Primary School,www.greatmeols.wirral.sch.uk/,Wirral,CH47 7AP,North West,no
105004,344,Wirral,Greenleas Primary School,https://www.greenleasprimaryschool.co.uk/,Wallasey,CH45 8LZ,North West,no
105011,344,Wirral,Grove Street Primary School,https://grovestreetprimaryschool.co.uk,Wirral,CH62 5BA,North West,no
105128,344,Wirral,Hayfield School,http://www.hayfield.wirral.sch.uk/,Wirral,CH49 4LN,North West,no
