urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
105238,350,Bolton,All Saints CofE Primary School,https://www.all-saints.bolton.sch.uk,Bolton,BL4 7PY,North West,no
146535,350,Bolton,Beacon Primary School,www.beacon.bolton.sch.uk,Bolton,BL6 7AL,North West,no
105173,350,Bolton,Beaumont Primary School,https://beaumontprimaryschool.co.uk/,BOLTON,BL3 4RX,North West,no
142923,350,Bolton,Bishop Bridgeman CofE Primary School,www.bishopbridgeman.co.uk/,Bolton,BL3 6PY,North West,no
105211,350,Bolton,Blackrod Anglican/Methodist Primary School,https://www.blackrodchurchschool.com,Bolton,BL6 5DE,North West,no
105191,350,Bolton,Blackrod Primary School,https://www.blackrodprimary.co.uk,BOLTON,BL6 5SY,North West,no
105175,350,Bolton,Blackshaw Primary School,https://www.blackshaw.bolton.sch.uk,Bolton,BL2 6TE,North West,no
142340,350,Bolton,Bolton Muslim Girls School,https://www.bmgs.prospermat.co.uk/,Bolton,BL3 6TQ,North West,no
151025,350,Bolton,"Bolton Parish Church, Church of England Primary School",www.bolton-parish.bolton.sch.uk,Bolton,BL2 1JN,North West,no
145314,350,Bolton,Bolton St Catherine's Academy,https://www.boltonstcatherinesacademy.org.uk/,Bolton,BL2 4HU,North West,no
142030,350,Bolton,Bowness Primary School,http://www.bowness.bolton.sch.uk/,Bolton,BL3 1BT,North West,no
105148,350,Bolton,Brandwood Primary School,https://www.brandwoodprimaryschool.com/,Bolton,BL3 4BG,North West,no
105149,350,Bolton,Brownlow Fold Primary School,http://www.brownlow-fold.bolton.sch.uk/,Bolton,BL1 3DX,North West,no
144044,350,Bolton,Canon Slade School,http://www.canon-slade.bolton.sch.uk,Bolton,BL2 3BP,North West,no
105150,350,Bolton,Castle Hill Primary School,https://www.castle-hill.bolton.sch.uk/,Bolton,BL2 2JT,North West,no
105187,350,Bolton,Cherry Tree Primary School,www.theorchardsfederation.org.uk,Bolton,BL4 0NS,North West,no
148095,350,Bolton,Chorley New Road Primary Academy,http://www.cnr.bolton.sch.uk,Bolton,BL6 6EW,North West,no
105195,350,Bolton,Claypool Primary School,http://www.claypool.bolton.sch.uk,Bolton,BL6 6LN,North West,no
105154,350,Bolton,Devonshire Road Primary School,http://www.devonshire.bolton.sch.uk,Bolton,BL1 4ND,North West,no
138011,350,Bolton,Eagley Infant School,http://www.eagley-infant.bolton.sch.uk/,Bolton,BL7 9LN,North West,no
138152,350,Bolton,Eagley Junior School,https://eagleyjunior.org,Bolton,BL7 9AT,North West,no
105202,350,Bolton,Eatock Primary School,http://www.eatock.bolton.sch.uk/,Bolton,BL5 2ER,North West,no
140959,350,Bolton,"Eden Boys' School, Bolton",http://www.edenboysbolton.com/,Bolton,BL1 3QE,North West,no
105192,350,Bolton,Egerton Primary School,https://www.egerton.bolton.sch.uk,Bolton,BL7 9RE,North West,no
135770,350,Bolton,Essa Academy,https://esa.northerneducationtrust.org/,Bolton,BL3 3HH,North West,no
140973,350,Bolton,Essa Primary Academy,https://esp.northerneducationtrust.org/,BOLTON,BL3 3HH,North West,no
146410,350,Bolton,Firwood High School,www.firwood.bolton.sch.uk,Bolton,BL2 4HU,North West,no
142702,350,Bolton,Forwards Centre,https://www.boltonimpacttrust.org.uk/our-academies/forwards-centre,Bolton,BL2 5DX,North West,no
105155,350,Bolton,Gaskell Community Primary School,www.gaskell.bolton.sch.uk,Bolton,BL1 2QG,North West,no
105198,350,Bolton,Gilnow Primary School,https://www.gilnow.bolton.sch.uk/,Bolton,BL1 4LG,North West,no
105281,350,Bolton,Green Fold School,http://theorchardsfederation.org.uk,Bolton,BL4 0NS,North West,no
105189,350,Bolton,Hardy Mill Primary School,https://www.hardymill.bolton.sch.uk,Bolton,BL2 4EF,North West,no
143772,350,Bolton,Harper Green School,http://www.harper-green.bolton.sch.uk,Bolton,BL4 0DH,North West,no
137991,350,Bolton,Harwood Meadows Primary School,www.harwood-meadows.bolton.sch.uk,Bolton,BL2 3PS,North West,no
105168,350,Bolton,Haslam Park Primary School,https://www.haslam-park.bolton.sch.uk,Bolton,BL3 5QL,North West,no
105172,350,Bolton,Heathfield Primary School,https://heathfield.eschools.co.uk/website,Bolton,BL3 3TP,North West,no
105156,350,Bolton,High Lawn Primary School,https://www.high-lawn.bolton.sch.uk,Bolton,BL1 7EX,North West,no
105182,350,Bolton,Highfield Primary School,https://www.highfield.bolton.sch.uk,Bolton,BL4 0AP,North West,no
105219,350,Bolton,Holy Infant and St Anthony RC Primary School,https://www.holy-infants.bolton.sch.uk,Bolton,BL1 6QJ,North West,no
105233,350,Bolton,Horwich Parish CofE Primary School,http://www.horwichparish.net,Bolton,BL6 6AA,North West,no
105157,350,Bolton,Johnson Fold Community Primary School,http://www.johnsonfold.bolton.sch.uk,Bolton,BL1 5UG,North West,no
136135,350,Bolton,Kearsley Academy,http://www.ka.northerneducationtrust.org/,Bolton,BL4 8HY,North West,no
105186,350,Bolton,Kearsley West Primary School,https://www.kearsleywest.bolton.sch.uk,Bolton,BL4 9BZ,North West,no
147077,350,Bolton,King's Leadership Academy Bolton,www.kingsbolton.com,Bolton,BL3 3HL,North West,no
105169,350,Bolton,Ladybridge Community Primary School,https://www.ladybridgeprimaryschool.co.uk/,Bolton,BL3 4NB,North West,no
146406,350,Bolton,Ladywood School,www.ladywood.bolton.sch.uk,Bolton,BL3 1NG,North West,no
136395,350,Bolton,Lever Edge Primary Academy,www.leveredgeprimaryacademy.co.uk,Bolton,BL3 3HP,North West,no
142766,350,Bolton,Lever Park School,www.boltonimpacttrust.org.uk,Bolton,BL6 6DE,North West,no
131271,350,Bolton,Leverhulme Community Primary School,www.leverhulme.bolton.sch.uk,Bolton,BL2 6EE,North West,no
142296,350,Bolton,Little Lever School,http://www.little-lever.bolton.sch.uk/,Bolton,BL3 1BT,North West,no
151514,350,Bolton,Lostock Primary School,http://www.lostock.bolton.sch.uk/,Bolton,BL6 4PS,North West,no
105159,350,Bolton,Markland Hill Primary School,https://www.markland-hill.bolton.sch.uk,Bolton,BL1 5EJ,North West,no
143031,350,Bolton,Masefield Primary School,www.masefield.bolton.sch.uk,Bolton,BL3 1NG,North West,no
105171,350,Bolton,Moorgate Primary School,https://www.moorgate.bolton.sch.uk,Bolton,BL2 2RH,North West,no
