urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
105325,351,Bury,"All Saints Church of England Primary School, Stand",https://www.allsaintscoepswhitefield.co.uk,Manchester,M45 8PL,North West,no
151541,351,Bury,Ash Grove School,,Bury,BL9 7PZ,North West,no
150236,351,Bury,Brookhaven School,https://brookhavenschool.org.uk/,Bury,BL9 8LP,North West,no
148866,351,Bury,Bury Church of England High School,http://burychurch.bury.sch.uk/,Bury,BL9 0TS,North West,no
105352,351,Bury,Bury and Whitefield Jewish Primary School,https://www.bwjps.org.uk,Bury,BL9 8JT,North West,no
150485,351,Bury,Butterstile Primary School,http://www.butterstile.org/,Manchester,M25 9RJ,North West,no
150486,351,Bury,Cams Lane Primary School,www.camslane.bury.sch.uk,Manchester,M26 3SW,North West,no
105291,351,Bury,Chantlers Primary School,https://www.chantlersprimary.co.uk,Bury,BL8 2SF,North West,no
105313,351,Bury,Chapelfield Primary School,https://www.chapelfield.bury.sch.uk/,Manchester,M26 1LH,North West,no
150754,351,Bury,Chesham Primary Academy,https://cha.northerneducationtrust.org/,Bury,BL9 6PH,North West,no
105324,351,Bury,Christ Church Ainsworth Church of England Primary School,https://www.christchurchainsworthcofe.co.uk,Bolton,BL2 5SQ,North West,no
144408,351,Bury,Christ Church CofE Primary School,http://www.christchurch.bury.sch.uk,Bury,BL8 3AX,North West,no
105376,351,Bury,Cloughside College,http://www.cloughside.co.uk,Manchester,M25 3BL,North West,no
144572,351,Bury,East Ward Community Primary School,www.eastwardprimary.com,Bury,BL9 7QZ,North West,no
146891,351,Bury,Elms Bank,www.elmsbank.co.uk,Bury,M45 8PJ,North West,no
141167,351,Bury,Elton Community Primary School,www.eltonprimary.bc-et.co.uk,Bury,BL8 1SB,North West,no
105287,351,Bury,Fairfield Community Primary School,https://www.fairfieldprimarybury.org.uk/,Bury,BL9 7SD,North West,no
141673,351,Bury,Gorsefield Primary School,www.gorsefieldprimary.school,Manchester,M26 4DW,North West,no
148096,351,Bury,Greenhill Primary School,www.greenhillprimary.co.uk/,Bury,BL8 2JH,North West,no
151358,351,Bury,Greenmount Primary School,www.greenmountprimarybury.co.uk,Bury,BL8 4HD,North West,no
105334,351,Bury,"Guardian Angels Roman Catholic Primary School, Bury",https://www.guardianangelsbury.co.uk,Bury,BL8 2RH,North West,no
146970,351,Bury,Hazel Wood High School,www.hazelwoodhigh.co.uk,Bury,BL9 7QT,North West,no
150782,351,Bury,Hazlehurst Primary Academy,https://hha.northerneducationtrust.org/,Bury,BL0 9PQ,North West,no
150484,351,Bury,Heaton Park Primary School,www.heatonparkprimary.co.uk/,Manchester,M45 6TE,North West,no
144575,351,Bury,Higher Lane Primary School,www.higherlaneprimary.co.uk,Manchester,M45 7EX,North West,no
105311,351,Bury,Holcombe Brook Primary School,https://www.holcombebrookprimary.org.uk/,Bury,BL0 9TA,North West,no
105314,351,Bury,Hollins Grundy Primary School,https://www.hollinsgrundy.com,Bury,BL9 8AY,North West,no
105344,351,Bury,"Holly Mount Roman Catholic Primary School, Bury",https://www.hollymount.org.uk/,Bury,BL8 4HS,North West,no
146308,351,Bury,Holy Trinity Primary School,https://www.holytrinitycofe.org.uk/,Bury,BL9 0SB,North West,no
105283,351,Bury,Hoyle Nursery School,https://www.hoylenurseryschool.co.uk,Bury,BL9 6HR,North West,no
105295,351,Bury,Lowercroft Primary School,https://www.lowercroft.co.uk,Bury,BL8 2TS,North West,no
134195,351,Bury,Manchester Mesivta School,http://mesivta.org.uk/,Prestwich,M25 0PH,North West,no
105299,351,Bury,Mersey Drive Community Primary School,https://www.merseydriveprimary.org.uk,Manchester,M45 8LN,North West,no
105377,351,Bury,Millwood Primary Special School,http://www.millwoodprimaryschool.co.uk,Bury,M26 3BW,North West,no
151357,351,Bury,Old Hall Primary School,www.oldhallps.com,Bury,BL8 4LU,North West,no
105345,351,Bury,Our Lady of Grace RC Primary School,http://www.ourladyofgracercprimaryschool.co.uk,Manchester,M25 3AS,North West,no
105337,351,Bury,"Our Lady of Lourdes Roman Catholic Primary School, Bury",https://www.ololbury.com/,Bury,BL8 1YA,North West,no
149934,351,Bury,Park View Primary School,www.parkviewprimary.com/,Manchester,M25 1FA,North West,no
105358,351,Bury,Parrenthorn High School,https://www.parrenthorn.co.uk,Manchester,M25 2BW,North West,no
148867,351,Bury,Peel Brow School,http://www.peelbrowschool.co.uk,Bury,BL0 0BJ,North West,no
151027,351,Bury,Philips High School,http://philipshigh.co.uk/,Manchester,M45 7PH,North West,no
147159,351,Bury,Radcliffe Hall Church of England Methodist Primary School,www.radcliffehallschool.co.uk,Manchester,M26 2GB,North West,no
139999,351,Bury,Radcliffe Primary School,www.radcliffeprimary.bc-et.co.uk,Manchester,M26 3RD,North West,no
150488,351,Bury,Ribble Drive Community Primary School,www.ribbledriveschoolprimary.net,Manchester,M45 8TD,North West,no
151518,351,Bury,Sedgley Park Community Primary School,www.sedgleyparkprimary.org.uk/,Manchester,M25 0HT,North West,no
149050,351,Bury,Springside Primary School,https://sites.google.com/springsideprimary.co.uk/springsideprimary,Bury,BL9 5JB,North West,no
105350,351,Bury,"St Andrew's Church of England Primary School, Radcliffe",https://www.standrewsradcliffe.co.uk,Manchester,M26 4GE,North West,no
150560,351,Bury,"St Bernadette's Roman Catholic Primary School, a Voluntary Academy",www.stbernadetteswhitefield.stoccat.org.uk,Manchester,M45 8PT,North West,no
148049,351,Bury,"St Gabriel's RC High School, a Voluntary Academy",https://www.stgabrielshigh.stoccat.org.uk,Bury,BL9 0TZ,North West,no
105351,351,Bury,St Hilda's Church of England Primary School,https://www.hildas-ce.co.uk,Manchester,M25 1HA,North West,no
133929,351,Bury,St John with St Mark CofE Primary School,www.stjohnwithstmark.org.uk/,Bury,BL9 5EE,North West,no
145560,351,Bury,"St John's Church of England Primary School, Radcliffe",https://www.stjohnsradcliffe.co.uk/,Bury,M26 1AW,North West,no
