urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
139404,352,Manchester,Abbey Hey Primary Academy,www.abbeyheyprimary.org.uk/,Manchester,M18 8PF,North West,no
150009,352,Manchester,Abraham Moss Community School,www.abrahammoss.co.uk,Manchester,M8 5UF,North West,no
105505,352,Manchester,All Saints C of E Primary School,https://www.allsaintsnh-pri.manchester.sch.uk,Manchester,M40 1LS,North West,no
105480,352,Manchester,All Saints Primary School,https://www.allsaints-pri.manchester.sch.uk/,Manchester,M12 5PW,North West,no
105502,352,Manchester,Armitage CofE Primary School,https://www.armitage.manchester.sch.uk/,Manchester,M12 5NP,North West,no
133770,352,Manchester,Ashbury Meadow Primary School,www.ashburymeadow.co.uk,Manchester,M11 3NA,North West,no
127802,352,Manchester,Ashgate Specialist Support Primary School,http://www.ashgateprimaryschool.co.uk/,Manchester,M22 5DR,North West,no
144128,352,Manchester,Barlow Hall Primary School,http://barlowhallprimary.co.uk/,Manchester,M21 7JG,North West,no
140314,352,Manchester,Beaver Road Primary School,www.beaverroad.org.uk,Manchester,M20 6SX,North West,no
132241,352,Manchester,Benchill Primary School,www.benchill.manchester.sch.uk/,Manchester,M22 8EJ,North West,no
130380,352,Manchester,Birchfields Primary School,www.birchfieldsprimary.com,Manchester,M14 6PL,North West,no
133945,352,Manchester,Bridgelea Pupil Referral Unit,www.bridgelea.manchester.sch.uk,Manchester,M20 3FB,North West,no
138653,352,Manchester,Briscoe Lane Academy,www.briscoe.manchester.sch.uk,Manchester,M40 2TB,North West,no
105467,352,Manchester,Broad Oak Primary School,https://www.broadoak.manchester.sch.uk,Manchester,M20 5QB,North West,no
144131,352,Manchester,Brookburn Community School,https://brookburn.manchester.sch.uk/,Manchester,M21 8EH,North West,no
140703,352,Manchester,Burnage Academy for Boys,http://www.burnage.manchester.sch.uk/,Manchester,M19 1ER,North West,no
145873,352,Manchester,CHS South,www.chssouth.org.uk,Manchester,M21 7SX,North West,no
