urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
150694,353,Oldham,Alexandra Park Junior School,,Oldham,OL8 2BE,North West,no
141333,353,Oldham,Alt Academy,www.alt.theharmonytrust.org,Oldham,OL8 2EL,North West,no
135258,353,Oldham,Bare Trees Primary School,www.baretreesprimary.com,Oldham,OL9 0DX,North West,no
147368,353,Oldham,Beal Vale Primary School,www.bealvaleprimary.com,Oldham,OL2 7SY,North West,no
150121,353,Oldham,Blackshaw Lane Primary & Nursery School,https://www.blackshawlaneprimary.co.uk/index.html,Oldham,OL2 6NT,North West,no
149609,353,Oldham,Broadfield Primary School,www.broadfield.oldham.sch.uk,Oldham,OL8 1LH,North West,no
105671,353,Oldham,Buckstones Primary School,https://www.buckstones.oldham.sch.uk/,Oldham,OL2 8HN,North West,no
105680,353,Oldham,Burnley Brow Community School,www.burnleybrow.co.uk,Oldham,OL9 0BY,North West,no
105693,353,Oldham,Christ Church CofE Primary School,http://www.christchurch-pri.oldham.sch.uk,Oldham,OL3 5RY,North West,no
105707,353,Oldham,Christ Church CofE Primary School,https://www.christchurchchad.co.uk,Oldham,OL9 9ED,North West,no
144627,353,Oldham,Co-op Academy Failsworth,failsworth.coopacademies.co.uk,Manchester,M35 9HA,North West,no
139704,353,Oldham,Coppice Primary Academy,http://www.coppiceprimaryacademy.co.uk/,Oldham,OL8 1AP,North West,no
105718,353,Oldham,Corpus Christi RC Primary School,https://www.corpuschristi.oldham.sch.uk/,Oldham,OL9 7HA,North West,no
133286,353,Oldham,Crompton Primary School,http://www.crompton.oldham.sch.uk,Oldham,OL2 7HD,North West,no
105669,353,Oldham,Delph Primary School,http://www.delphprimary.co.uk,Oldham,OL3 5HN,North West,no
105665,353,Oldham,Diggle School,https://www.diggleschool.co.uk,Oldham,OL3 5PU,North West,no
146316,353,Oldham,E-ACT Royton and Crompton Academy,https://roytoncrompton.e-act.org.uk,Oldham,OL2 6NT,North West,no
136115,353,Oldham,E-ACT the Oldham Academy North,http://theoldhamacademynorth.e-act.org.uk,Oldham,OL2 5BF,North West,no
