urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
144982,354,Rochdale,"Alice Ingham Catholic Primary School, A Voluntary Academy",www.aliceingham.stoccat.org.uk,Rochdale,OL16 2NU,North West,no
105786,354,Rochdale,Alkrington Primary School,http://www.alkrington.rochdale.sch.uk,Manchester,M24 1JZ,North West,no
105829,354,Rochdale,All Saints Church of England Primary School,http://www.allsaintsce.rochdale.sch.uk,Rochdale,OL12 0EL,North West,no
105811,354,Rochdale,All Souls Church of England Primary School,http://www.allsoulsce.rochdale.sch.uk,Heywood,OL10 4DF,North West,no
105783,354,Rochdale,Ashfield Valley Primary School,http://www.ashfieldvalley.rochdale.sch.uk,Rochdale,OL11 1TA,North West,no
137471,354,Rochdale,Bamford Academy,www.bamfordacademy.co.uk,Manchester,OL11 5PS,North West,no
105780,354,Rochdale,Belfield Community School,http://www.belfield.rochdale.sch.uk,Rochdale,OL16 2XW,North West,no
105787,354,Rochdale,Boarshaw Community Primary School,http://www.boarshawprimary.co.uk,MANCHESTER,M24 2PB,North West,no
133446,354,Rochdale,Bowlee Park Community Primary School,www.bowleepark.rochdale.sch.uk,Manchester,M24 4LA,North West,no
134220,354,Rochdale,Broadfield Community Primary School,www.broadfield.rochdale.sch.uk/,Rochdale,OL16 1QT,North West,no
105861,354,Rochdale,Brownhill School,https://www.theblc.org.uk,Rochdale,OL12 0PZ,North West,no
105779,354,Rochdale,Caldershaw Primary School,https://www.caldershaw.rochdale.sch.uk/,Rochdale,OL12 7QL,North West,no
105844,354,Rochdale,Cardinal Langley Roman Catholic High School,https://www.clrchs.co.uk,Manchester,M24 2GL,North West,no
105765,354,Rochdale,Castleton Primary School,http://www.castleton-rochdale.frogos.net,Rochdale,OL11 2QD,North West,no
141365,354,Rochdale,Deeplish Primary Academy,www.deeplishprimaryacademy.co.uk,Rochdale,OL11 1LT,North West,no
148596,354,Rochdale,Edgar Wood Academy,www.edgarwood.org,Heywood,OL10 2QN,North West,no
105791,354,Rochdale,Elm Wood Primary School,https://www.elmwoodps.co.uk,Manchester,M24 2EG,North West,no
150227,354,Rochdale,Falinge Park High School,http://www.falingepark.com,Rochdale,OL12 6LD,North West,no
105768,354,Rochdale,Greenbank Primary School,http://www.greenbank.rochdale.sch.uk,Rochdale,OL12 0HZ,North West,no
105800,354,Rochdale,Hamer Community Primary School,http://www.hamerprimary.co.uk,Rochdale,OL16 2SU,North West,no
105796,354,Rochdale,Harwood Park Primary School,http://www.harwoodpark.rochdale.sch.uk/,Heywood,OL10 1DG,North West,no
105850,354,Rochdale,Healey Foundation Primary School,http://www.healey.rochdale.sch.uk,Rochdale,OL12 0ST,North West,no
151156,354,Rochdale,Heap Bridge Village Primary School,www.heapbridge.co.uk/,Bury,BL9 7JP,North West,no
105792,354,Rochdale,Hollin Primary School,https://www.hollin.rochdale.sch.uk,Manchester,M24 6JG,North West,no
140091,354,Rochdale,Hollingworth Academy,http://hollingworthacademy.co.uk/,Rochdale,OL16 3DR,North West,no
