urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
150193,355,Salford,Alder Brook Primary Partnership Centre,http://alderbrook.salfordpru.org.uk/,Salford,M30 8LE,North West,no
146303,355,Salford,AldridgeUTC@MediaCityUK,www.utcmediacityuk.org.uk,Salford,M50 2UW,North West,no
131512,355,Salford,All Hallows RC High School,http://www.allhallowssalford.com/,Salford,M6 8AA,North West,no
149590,355,Salford,Arbour Academy,https://www.arbouracademy.uk/,"Salford, Greater Manchester",M5 5AG,North West,no
144459,355,Salford,Barton Moss Community Primary School,Bartonmoss.co.uk,Manchester,M30 7PT,North West,no
138698,355,Salford,Beis Yaakov High School,www.byjhs.org,Salford,M7 4FF,North West,no
105942,355,Salford,Boothstown Methodist Primary School,https://www.boothstownmethodistschool.co.uk/,Manchester,M28 1DG,North West,no
149819,355,Salford,Brentnall Academy,https://www.brentnallacademy.org.uk/,Salford,M7 4RP,North West,no
105912,355,Salford,Bridgewater Primary School,https://www.bridgewaterprimaryschool.co.uk,Manchester,M38 9WD,North West,no
137556,355,Salford,Broadoak Primary School,www.broadoak.salford.sch.uk,Manchester,M27 0EP,North West,no
138543,355,Salford,Broughton Jewish Cassel Fox Primary School,www.bjcfps.co.uk/,Salford,M7 4RT,North West,no
150868,355,Salford,Buile Hill Academy,https://bua.northerneducationtrust.org/,Salford,M6 8RD,North West,no
143062,355,Salford,Chatsworth High School and Community College,www.chatsworth.salford.sch.uk/,Salford,M30 9DY,North West,no
105935,355,Salford,Christ Church CofE Primary School,https://www.christchurchceprimary.co.uk/,Manchester,M30 0GZ,North West,no
105950,355,Salford,Christ The King RC Primary School,https://www.christthekingschool.co.uk,Manchester,M28 3DW,North West,no
105902,355,Salford,Clarendon Road Community Primary School,https://www.clarendonroadschool.org/,Manchester,M30 9BJ,North West,no
105907,355,Salford,Clifton Primary School,https://www.cliftonprimary.com/,Manchester,M27 6PF,North West,no
136987,355,Salford,Co-op Academy Swinton,swinton.coopacademies.co.uk,Manchester,M27 6JU,North West,no
146404,355,Salford,Co-op Academy Walkden,https://walkden.coopacademies.co.uk/,Manchester,M28 7JB,North West,no
138416,355,Salford,Dukesgate Academy,www.dukesgateacademy.co.uk,Salford,M38 9HF,North West,no
130396,355,Salford,Ellenbrook Community Primary School,www.ellenbrookschool.com/,Manchester,M28 7PS,North West,no
144200,355,Salford,Ellesmere Park High School,http://www.ephs.org.uk/,Manchester,M30 9BP,North West,no
149848,355,Salford,Fiddlers Lane Community Primary School,www.fiddlerslaneprimaryschool.com,Salford,M44 6QE,North West,no
105946,355,Salford,Godfrey Ermen Memorial CofE Primary School,https://www.gems-salford.co.uk/,Manchester,M30 7BJ,North West,no
150180,355,Salford,Grosvenor Road Primary School,www.grosvenorroadprimary.org/,Manchester,M27 5LN,North West,no
105952,355,Salford,Holy Cross and All Saints RC Primary School,https://www.holycrossandallsaints.co.uk/,Manchester,M30 0JA,North West,no
136080,355,Salford,Holy Family VA RC Primary School,www.holyfamilysalford.co.uk/,Salford,M6 5WX,North West,no
105939,355,Salford,Irlam Endowed Primary School,https://www.irlamendowed.salford.sch.uk/,Manchester,M44 6EE,North West,no
150186,355,Salford,Irlam Primary School,www.irlamprimaryschool.co.uk/,Manchester,M44 6NA,North West,no
142073,355,Salford,Irlam and Cadishead Academy,www.irlamandcadishead.org.uk,Manchester,M44 5ZR,North West,no
150187,355,Salford,James Brindley Community Primary School,www.jamesbrindleyprimary.com,Manchester,M28 7HE,North West,no
132147,355,Salford,Lark Hill Community Primary School,http://www.larkhillprimary.co.uk,Salford,M5 4BJ,North West,no
105903,355,Salford,Lewis Street Primary School,https://www.lewisstreetprimary.co.uk/,Manchester,M30 0PU,North West,no
105894,355,Salford,Light Oaks Infant School,https://www.lightoaksinfantsalford.com/,Salford,M6 8LU,North West,no
105884,355,Salford,Light Oaks Junior School,https://www.lightoaksjuniorschool.co.uk,Salford,M6 8LU,North West,no
146792,355,Salford,Marlborough Road Academy,www.marlboroughroad.org,Salford,M7 4XD,North West,no
149387,355,Salford,Mesne Lea Primary School,www.mesnelea.salford.sch.uk/,Manchester,M28 7FG,North West,no
105904,355,Salford,Monton Green Primary School,montongreen.salford.sch.uk,Salford,M30 9JP,North West,no
144199,355,Salford,Moorside High School,http://www.moorsidehigh.co.uk/,Manchester,M27 0AP,North West,no
150415,355,Salford,Moss Valley Primary Academy,https://www.mossvalleyacademy.uk/,Salford,M44 6GX,North West,no
105925,355,Salford,Mossfield Primary School,https://www.mossfieldps.salford.sch.uk/,Manchester,M27 6EH,North West,no
145850,355,Salford,New Park Academy,www.newparkacademy.org,Eccles,M30 0RW,North West,no
138130,355,Salford,Oakwood Academy,www.oakwoodacademy.co.uk,Eccles,M30 9DY,North West,no
135661,355,Salford,Oasis Academy MediaCityUK,http://www.oasisacademymediacityuk.org/,Manchester,M50 3UQ,North West,no
105913,355,Salford,Peel Hall Primary School,https://www.peelhall.co.uk/,Manchester,M38 0BZ,North West,no
129466,355,Salford,Primrose Hill Primary School and Children's Centre,www.primrosehillprimary.co.uk/,Salford,M5 3PJ,North West,no
136076,355,Salford,River View Community Primary School,www.riverviewprimary.co.uk,Salford,M7 1QZ,North West,no
135071,355,Salford,Salford City Academy,http://www.salfordcity-academy.org/,Manchester,M30 7PQ,North West,no
150199,355,Salford,Springwood Primary School,www.springwoodschool.org.uk,Salford,M27 5LP,North West,no
105933,355,Salford,St Andrew's CofE Primary School,https://www.st-andrews-worsley.salford.sch.uk,Manchester,M28 1HS,North West,no
105934,355,Salford,St Andrew's CofE Primary School,https://www.standrewsprimaryeccles.co.uk/,Manchester,M30 0FL,North West,no
105938,355,Salford,St Andrew's Methodist Primary School,https://www.standrewsmethodistschool.co.uk/,Manchester,M28 0ZA,North West,no
144372,355,Salford,St Augustine's CofE Primary School,,Manchester,M27 8UX,North West,no
105962,355,Salford,St Boniface RC Primary School,https://www.stbonifacesalford.com/,Salford,M7 2HL,North West,no
105955,355,Salford,St Charles' RC Primary School,https://stcharlesprimary.co.uk,Manchester,M27 9PD,North West,no
105932,355,Salford,St George's CofE Primary School,,Salford,M6 6SJ,North West,no
105954,355,Salford,St Gilbert's RC Primary School,https://www.stgilbertsrc.co.uk,Manchester,M30 8LZ,North West,no
105929,355,Salford,St John's CofE Primary School,https://www.stjohnsce.co.uk,Manchester,M27 5FU,North West,no
105961,355,Salford,St Joseph the Worker RC Primary School,https://www.stjosephtheworkerrcp.co.uk,Salford,M44 6GX,North West,no
105965,355,Salford,St Joseph's RC Primary School,www.stjosephsordsall.co.uk,Salford,M5 3JP,North West,no
105930,355,Salford,St Luke's CofE Primary School,http://www.stlukescesalford.co.uk/,Salford,M5 5JH,North West,no
105966,355,Salford,St Luke's RC Primary School,www.stlukesrc.co.uk/,Salford,M6 7WR,North West,no
105949,355,Salford,St Mark's CofE Primary School,https://stmarksce.co.uk,Manchester,M28 2WF,North West,no
105956,355,Salford,St Mark's RC Primary School,https://www.st-marks-clifton.salford.sch.uk/,Manchester,M27 8QE,North West,no
105936,355,Salford,St Mary's CofE Primary School,https://www.st-marys-cadishead.salford.sch.uk,Manchester,M44 5HG,North West,no
105953,355,Salford,St Mary's RC Primary School,https://www.st-marys-eccles.salford.sch.uk,Manchester,M30 0FJ,North West,no
105957,355,Salford,St Mary's RC Primary School,http://www.stmarys-swinton.co.uk,Manchester,M27 4AS,North West,no
105986,355,Salford,St Patrick's RC High School,https://www.stpatricksrchigh.co.uk,Manchester,M30 7JJ,North West,no
105928,355,Salford,St Paul's CofE Primary School,,Salford,M7 3PT,North West,no
105937,355,Salford,St Paul's CofE Primary School,https://stpaulsce.co.uk,Manchester,M28 3NZ,North West,no
105945,355,Salford,St Paul's CofE Primary School,https://www.stpaulscrompton.org.uk,Manchester,M28 3HP,North West,no
147730,355,Salford,St Paul's CofE Primary School,stpaulsceprimaryschool.co.uk,Salford,M5 4AL,North West,no
105941,355,Salford,St Paul's Peel CofE Primary School,https://www.stpaulspeellh.co.uk/,Manchester,M38 9RB,North West,no
105948,355,Salford,St Peter's CofE Primary School,https://www.stpetersswinton.co.uk/,Manchester,M27 0WA,North West,no
105944,355,Salford,St Philip's CofE Primary School,https://www.stphilipssalford.co.uk,Salford,M3 5LF,North West,no
105968,355,Salford,St Philip's RC Primary School,,Salford,M7 4WP,North West,no
