urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
106074,356,Stockport,Abingdon Primary School,https://www.abingdon.stockport.sch.uk/,Stockport,SK5 7ET,North West,no
106024,356,Stockport,Adswood Primary School,https://www.adswood-pri.stockport.sch.uk/,Stockport,SK3 8PQ,North West,no
135746,356,Stockport,Alexandra Park Primary School,www.alexandrapark-pri.stockport.sch.uk,Stockport,SK3 9RF,North West,no
106102,356,Stockport,All Saints Church of England Primary School Marple,www.allsaints-pri.stockport.sch.uk/,Stockport,SK6 7BQ,North West,no
106103,356,Stockport,All Saints Church of England Primary School Stockport,https://www.allsaints.stockport.sch.uk,Stockport,SK4 1ND,North West,no
106100,356,Stockport,Arden Primary School,https://www.arden.stockport.sch.uk,Stockport,SK6 2EX,North West,no
106027,356,Stockport,Banks Lane Infant School,https://www.bankslaneinfants.org.uk/,Stockport,SK1 4PR,North West,no
151152,356,Stockport,Bolshaw Primary School,www.bolshaw.stockport.sch.uk/,Cheadle,SK8 3LW,North West,no
131554,356,Stockport,Bradshaw Hall Primary School,www.bradshawhall.stockport.sch.uk,Cheadle,SK8 6AN,North West,no
106139,356,Stockport,Bramhall High School,http://bhsweb.co.uk/,Stockport,SK7 2JT,North West,no
145054,356,Stockport,Bredbury Green Primary School,www.bredburygreenprimary.com,Stockport,SK6 3DG,North West,no
147723,356,Stockport,Bredbury St. Marks CofE Primary School,https://www.st-marks.stockport.sch.uk/,Stockport,SK6 1BX,North West,no
106032,356,Stockport,Bridge Hall Primary School,https://www.bridgehall.stockport.sch.uk,Stockport,SK3 8LX,North West,no
106091,356,Stockport,Cale Green Primary School,https://www.calegreen.stockport.sch.uk,Stockport,SK3 8JG,North West,no
106172,356,Stockport,Castle Hill High School,https://www.castlehill.stockport.sch.uk,Stockport,SK2 5DS,North West,no
106111,356,Stockport,Cheadle Catholic Infant School,https://www.cheadle-inf.stockport.sch.uk/,Cheadle,SK8 6DB,North West,no
106112,356,Stockport,Cheadle Catholic Junior School,https://www.cheadle-jun.stockport.sch.uk,Cheadle,SK8 6DB,North West,no
133326,356,Stockport,Cheadle Heath Primary School,www.cheadleheathprimary.co.uk/,Stockport,SK3 0RJ,North West,no
137843,356,Stockport,Cheadle Hulme High School,www.chhs.stockport.org.uk,Cheadle,SK8 7JY,North West,no
145870,356,Stockport,Cheadle Hulme Primary School,www.cheadlehulmeprimary.org.uk,Stockport,SK8 5GB,North West,no
106038,356,Stockport,Cheadle Village Primary School,www.cheadleprimaryschool.co.uk/,Cheadle,SK8 1BB,North West,no
150460,356,Stockport,Dial Park Primary School,www.dialparkprimaryschool.co.uk/,Stockport,SK2 5LB,North West,no
106098,356,Stockport,Didsbury Road Primary School,https://www.didsburyroad.stockport.sch.uk/,Stockport,SK4 3HB,North West,no
106045,356,Stockport,Etchells Primary School,https://www.etchells.stockport.sch.uk,Cheadle,SK8 3DL,North West,no
106046,356,Stockport,Fairway Primary School,https://www.fairway.stockport.sch.uk/,Stockport,SK2 5DR,North West,no
141275,356,Stockport,Gatley Primary School,www.gatleyprimary.com,Stockport,SK8 4NB,North West,no
106048,356,Stockport,Great Moor Infant School,https://www.greatmoor-inf.stockport.sch.uk/,Stockport,SK2 7DG,North West,no
106049,356,Stockport,Great Moor Junior School,https://www.greatmoor-jun.stockport.sch.uk/,Stockport,SK2 7DG,North West,no
106050,356,Stockport,Greave Primary School,https://www.greaveprimary.co.uk/,Stockport,SK6 1HR,North West,no
106143,356,Stockport,Harrytown Catholic High School,https://www.harrytownschool.org,Stockport,SK6 3BU,North West,no
137923,356,Stockport,Hazel Grove High School,www.hazelgrovehigh.co.uk,Stockport,SK7 5JX,North West,no
151030,356,Stockport,Hazel Grove Primary School,www.hazelgrove-pri.stockport.sch.uk/,Stockport,SK7 4JH,North West,no
106173,356,Stockport,Heaton School,https://www.heaton.stockport.sch.uk,Stockport,SK4 4RE,North West,no
106051,356,Stockport,High Lane Primary School,https://www.highlane.stockport.sch.uk/,Stockport,SK6 8JQ,North West,no
134623,356,Stockport,Highfields College,www.HighfieldsCollege.org.uk,Stockport,SK5 8DR,North West,no
106052,356,Stockport,Hursthead Infant School,https://www.hursthead-inf.stockport.sch.uk,Cheadle,SK8 7PZ,North West,no
140925,356,Stockport,Hursthead Junior School,www.hursthead-jun.stockport.sch.uk/,Cheadle,SK8 7PZ,North West,no
106054,356,Stockport,Ladybridge Primary School,https://www.ladybridge.stockport.sch.uk/,Cheadle,SK8 2JF,North West,no
106055,356,Stockport,Ladybrook Primary School,https://www.ladybrook.stockport.sch.uk/,Stockport,SK7 2LT,North West,no
106097,356,Stockport,Lane End Primary School,https://www.laneend.stockport.sch.uk,Stockport,SK8 7AL,North West,no
106056,356,Stockport,Lark Hill Primary School,https://www.larkhill-pri.stockport.sch.uk/,Stockport,SK3 9PH,North West,no
145893,356,Stockport,Laurus Cheadle Hulme,www.lauruscheadlehulme.org.uk,Cheadle,SK8 5GB,North West,no
151136,356,Stockport,Laurus Grace,,Stockport,SK7 5JX,North West,no
150462,356,Stockport,Lisburne School,www.lisburneschool.stockport.sch.uk,Stockport,SK2 5GP,North West,no
106057,356,Stockport,Ludworth Primary School,https://www.ludworth.org.uk,Stockport,SK6 5DU,North West,no
