urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
134283,357,Tameside,Alder Community High School,http://www.aldercommunityhighschool.org.uk/,Hyde,SK14 5NJ,North West,no
149874,357,Tameside,Aldwyn Primary School,https://www.aldwynprimary.co.uk/,Manchester,M34 5SF,North West,no
139735,357,Tameside,All Saints Catholic College,http://www.allsaintscatholiccollege.com/,Dukinfield,SK16 5AP,North West,no
106190,357,Tameside,Arlies Primary School,https://www.arlies.tameside.sch.uk/,Stalybridge,SK15 1HQ,North West,no
148687,357,Tameside,Arundale Primary School,http://www.arundaleprimary.co.uk,Hyde,SK14 6PW,North West,no
146816,357,Tameside,Ashton Sixth Form College,www.asfc.ac.uk,Ashton-Under-Lyne,OL6 9RL,North West,no
141759,357,Tameside,Ashton West End Primary Academy,www.ashtonwestendprimary.co.uk/,Ashton-under-Lyne,OL7 0BJ,North West,no
106203,357,Tameside,Audenshaw Primary School,https://www.audenshawprimary.co.uk,Manchester,M34 5NG,North West,no
136273,357,Tameside,Audenshaw School,www.audenshawschool.org.uk,Manchester,M34 5NB,North West,no
143376,357,Tameside,Bradley Green Primary Academy,http://www.bradleygreen.org.uk,Hyde,SK14 4NA,North West,no
106193,357,Tameside,Broadbent Fold Primary School and Nursery,https://www.broadbentfold.tameside.sch.uk/,Dukinfield,SK16 5DP,North West,no
106227,357,Tameside,Broadbottom Church of England Primary School,https://www.broadbottom.tameside.sch.uk/,Hyde,SK14 6BB,North West,no
149349,357,Tameside,Buckton Vale Primary School,www.bucktonvale.org.uk/,Stalybridge,SK15 3NU,North West,no
106249,357,Tameside,Canon Burrows CofE Primary School,https://www.canonburrows.co.uk/,Ashton-under-Lyne,OL7 9ND,North West,no
146716,357,Tameside,Canon Johnson CofE Primary School,www.canonjohnson.co.uk/,Ashton-under-Lyne,OL7 9DD,North West,no
139294,357,Tameside,Copley Academy,www.copleyacademy.org.uk,Stalybridge,SK15 3RR,North West,no
151034,357,Tameside,Corrie Primary School,http://www.corrie.tameside.sch.uk/,Manchester,M34 6FG,North West,no
150010,357,Tameside,Cromwell High School,http://www.cromwell.tameside.sch.uk/,Dukinfield,SK16 5BJ,North West,no
147371,357,Tameside,Dane Bank Primary School,www.danebank.tameside.sch.uk/,Stockport,SK5 6QG,North West,no
151485,357,Tameside,Denton Community Academy,https://dca.northerneducationtrust.org/,Manchester,M34 3NG,North West,no
138207,357,Tameside,Denton West End Primary School,www.dweschool.org,Manchester,M34 2JX,North West,no
140428,357,Tameside,Discovery Academy,,Hyde,SK14 3LE,North West,no
143377,357,Tameside,Dowson Primary Academy,www.dowsonprimary.com,Hyde,SK14 5HU,North West,no
143495,357,Tameside,Endeavour Primary Academy,www.endeavouracademy.org.uk,Hyde,SK14 5PL,North West,no
136593,357,Tameside,Fairfield High School for Girls,http://www.fairfieldhighschool.co.uk,Manchester,M43 6AB,North West,no
106207,357,Tameside,Fairfield Road Primary School,http://www.fairfieldroad.tameside.sch.uk/,Manchester,M43 6AF,North West,no
142701,357,Tameside,Flowery Field Primary School,www.floweryfieldschool.org.uk/,Hyde,SK14 4SQ,North West,no
106226,357,Tameside,Gee Cross Holy Trinity CofE (VC) Primary School,https://www.geecross.tameside.sch.uk,Hyde,SK14 5LX,North West,no
142704,357,Tameside,Godley Community Primary Academy,www.godleyprimary.co.uk,Hyde,SK14 2QB,North West,no
106188,357,Tameside,Gorse Hall Primary and Nursery School,https://www.gorsehall.tameside.sch.uk,Stalybridge,SK15 2DP,North West,no
135508,357,Tameside,Great Academy Ashton,www.gaa.org.uk,Ashton-under-Lyne,OL6 8RF,North West,no
148132,357,Tameside,Greenfield Primary Academy,,Cheshire,SK14 1QD,North West,no
146480,357,Tameside,Greenside Primary School,www.greenside.tameside.sch.uk/,Manchester,M43 7RA,North West,no
151035,357,Tameside,Greswell Primary School and Nursery,https://greswellprimary.net/,Manchester,M34 2DH,North West,no
140133,357,Tameside,Hawthorns School,www.hawthornsschool.org,Hyde,SK14 6PJ,North West,no
149664,357,Tameside,Holden Clough Primary School,www.holdenclough.tameside.sch.uk/,Ashton-under-Lyne,OL6 8XN,North West,no
106179,357,Tameside,Hollingworth Primary School,https://www.hollingworthprimary.co.uk,Hyde,SK14 8LP,North West,no
106244,357,Tameside,Holy Trinity CofE Primary School,http://www.holytrinity.tameside.sch.uk/,Ashton-under-Lyne,OL6 7DU,North West,no
106229,357,Tameside,Hurst Knoll St James' Church of England Primary School,https://www.hurstknollschool.org.uk,Ashton-under-Lyne,OL6 8JS,North West,no
140427,357,Tameside,Inspire Academy,www.inspireacademyashton.org.uk,Tameside,OL6 9RU,North West,no
145894,357,Tameside,Laurus Ryecroft,www.laurusryecroft.org.uk,Manchester,M43 7LJ,North West,no
141408,357,Tameside,Linden Road Academy and Hearing Impaired Base,http://www.lindenroadacademy.co.uk,Tameside,M34 6EF,North West,no
106210,357,Tameside,Livingstone Primary School,https://www.livingstone.tameside.sch.uk/,Ashton-under-Lyne,OL5 0AP,North West,no
148431,357,Tameside,Longdendale High School,https://www.longdendalehighschool.org.uk/,Hyde,SK14 8LW,North West,no
150085,357,Tameside,Lyndhurst Primary School,www.lyndhurstprimary.co.uk,Dukinfield,SK16 4JS,North West,no
141445,357,Tameside,Manchester Road Primary Academy,www.mrpablogs.net/,Manchester,M43 6GD,North West,no
142286,357,Tameside,Manor Green Primary Academy,manorgreenprimaryacademy.co.uk,Manchester,M34 7NS,North West,no
106235,357,Tameside,Micklehurst All Saints CofE Primary School,https://www.micklehurstallsaints.tameside.sch.uk/,Ashton-under-Lyne,OL5 9DR,North West,no
151032,357,Tameside,Millbrook Primary School,www.millbrook.tameside.sch.uk/,Stalybridge,SK15 3JX,North West,no
106234,357,Tameside,Milton St John's CofE Primary School,https://www.milton-st-johns.tameside.sch.uk,Ashton-under-Lyne,OL5 0BN,North West,no
142499,357,Tameside,Moorside Primary School,http://moorside-primary.net,Manchester,M43 7DA,North West,no
106237,357,Tameside,Mottram CofE Primary School,https://www.mottram.tameside.sch.uk/,Hyde,SK14 6JL,North West,no
142717,357,Tameside,Oakfield Primary and Moderate Learning Difficulties Resource Provision,www.oakfieldhyde.co.uk,Hyde,SK14 4EZ,North West,no
144569,357,Tameside,Oasis Academy Broadoak,https://www.oasisacademybroadoak.org/,Ashton-under-Lyne,OL6 8QG,North West,no
131285,357,Tameside,"Our Lady of Mount Carmel RC Primary School, Ashton-under-Lyne",www.ourladys.tameside.sch.uk/,Ashton-under-Lyne,OL6 9JJ,North West,no
146703,357,Tameside,"Parochial CofE Primary and Nursery School, Ashton-under-Lyne",www.pceps.co.uk/,Ashton-under-Lyne,OL6 6NN,North West,no
148686,357,Tameside,Pinfold Primary School,www.pinfold.tameside.sch.uk/,Hyde,SK14 3NL,North West,no
145706,357,Tameside,Poplar Street Primary School,www.poplarstreet.org.uk,Manchester,M34 5EF,North West,no
151257,357,Tameside,Ravensfield Primary School,www.ravensfield.tameside.sch.uk/,Dukinfield,SK16 4JG,North West,no
148430,357,Tameside,Rayner Stephens High School,https://www.raynerstephens.org.uk/,Dukinfield,SK16 5BL,North West,no
146177,357,Tameside,Rosehill Methodist Primary Academy,www.rosehillmethodistprimary.co.uk,Ashton-under-Lyne,OL6 8YG,North West,no
106206,357,Tameside,Russell Scott Primary School,https://www.russellscottblogs.net/,Manchester,M34 3LQ,North West,no
148936,357,Tameside,Samuel Laycock School,www.samuellaycockschool.org,Ashton-Under-Lyne,OL6 8RF,North West,no
137951,357,Tameside,Silver Springs Primary Academy,www.silverspringsacademy.org.uk/,Stalybridge,SK15 1EA,North West,no
106213,357,Tameside,St Anne's Primary School,https://www.st-annes-denton.tameside.sch.uk/,Manchester,M34 3DY,North West,no
151517,357,Tameside,"St Anne's RC Primary School, a Voluntary Academy",www.st-annes-audenshaw.tameside.sch.uk/,Manchester,M34 5QA,North West,no
151363,357,Tameside,"St Christopher's RC Primary School, a Voluntary Academy",www.st-christophers.tameside.sch.uk,Ashton-under-Lyne,OL6 9DP,North West,no
148098,357,Tameside,St George's CofE Primary School,www.st-georges-hyde.tameside.sch.uk/,Hyde,SK14 1JL,North West,no
150015,357,Tameside,St George's CofE Primary School,www.st-georges-mossley.tameside.sch.uk,Ashton-Under-Lyne,OL5 0HT,North West,no
106239,357,Tameside,St James Catholic Primary School,https://www.st-james-hyde.tameside.sch.uk/,Hyde,SK14 3DQ,North West,no
147916,357,Tameside,St James' Church of England Primary School,www.st-james-ash.tameside.sch.uk/,Ashton-under-Lyne,OL6 9HU,North West,no
106228,357,Tameside,"St John's CofE Primary School, Dukinfield",https://www.st-johns-primary.co.uk,Dukinfield,SK16 5JA,North West,no
106254,357,Tameside,St Joseph's RC Primary School,https://www.st-josephs.tameside.sch.uk,Ashton-under-Lyne,OL5 0ES,North West,no
106247,357,Tameside,St Mary's CofE Primary School,https://www.stmarydroylsden.org.uk/,Manchester,M43 7BR,North West,no
106252,357,Tameside,St Mary's RC Primary School,https://www.stmarysdenton.com,Manchester,M34 2AR,North West,no
143551,357,Tameside,"St Paul's CofE Primary School, Stalybridge",http://www.st-paulsstalybridge.co.uk/,Stalybridge,SK15 2PT,North West,no
106245,357,Tameside,St Peter's CofE Primary School,https://www.stpetersashton.co.uk/,Ashton-under-Lyne,OL7 0NB,North West,no
106242,357,Tameside,St Raphael's Catholic Primary School,https://www.st-raphaels.tameside.sch.uk/,Stalybridge,SK15 3JL,North West,no
106246,357,Tameside,St Stephen's CofE Primary School,https://www.ststephensprimary.co.uk,Manchester,M34 5HD,North West,no
150188,357,Tameside,"St Stephen's RC Primary School, a Voluntary Academy",www.stsrcp.school,Manchester,M43 7NA,North West,no
151037,357,Tameside,"St. Mary's Catholic Primary School, a Voluntary Academy",https://www.stmarysprimarydukinfield.co.uk/,Dukinfield,SK16 5LB,North West,no
151036,357,Tameside,"St. Paul's Catholic Primary School, a Voluntary Academy",http://www.st-pauls-hyde.tameside.sch.uk,Hyde,SK14 4AG,North West,no
151038,357,Tameside,"St. Peter's Catholic Primary School, a Voluntary Academy",www.stpetersstalybridge.co.uk/,Stalybridge,SK15 2HB,North West,no
106222,357,Tameside,Stalyhill Infant School,https://www.stalyhill-inf.tameside.sch.uk/,Stalybridge,SK15 2TR,North West,no
106189,357,Tameside,Stalyhill Junior School,https://www.stalyhill-jun.tameside.sch.uk/,Stalybridge,SK15 2TD,North West,no
151117,357,Tameside,Tameside Alternative Provision Academy,www.tprs.tameside.sch.uk,Dukinfield,SK16 4UJ,North West,no
