urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
138977,358,Trafford,Acre Hall Primary School,http://www.acrehall.trafford.sch.uk,Manchester,M41 6NA,North West,no
106341,358,Trafford,Altrincham CofE (Aided) Primary School,https://www.altrinchamceprimaryschool.co.uk,Altrincham,WA14 4DS,North West,no
138614,358,Trafford,Altrincham College,http://www.altrinchamcollege.com/,Altrincham,WA15 8QW,North West,no
136458,358,Trafford,Altrincham Grammar School for Boys,www.agsb.co.uk,Altrincham,WA14 2RS,North West,no
137289,358,Trafford,Altrincham Grammar School for Girls,http://www.aggs.trafford.sch.uk/,Altrincham,WA14 2NL,North West,no
138123,358,Trafford,Ashton-on-Mersey School,aomschool.co.uk,Sale,M33 5BP,North West,no
144649,358,Trafford,Barton Clough Primary School,https://bartonclough.bright-futures.co.uk,Manchester,M32 9TG,North West,no
106376,358,Trafford,Blessed Thomas Holford Catholic College,https://www.bthcc.org.uk/,Altrincham,WA15 8HT,North West,no
145746,358,Trafford,Bollin Primary School,,Altrincham,WA14 3AH,North West,no
106289,358,Trafford,Broadheath Primary School,broadheathprimaryschool.com,Altrincham,WA14 5JQ,North West,no
138124,358,Trafford,Broadoak School,http://broadoakschool.co.uk/,Manchester,M31 4BU,North West,no
106290,358,Trafford,Broomwood Primary School,http://www.broomwoodprimary.co.uk/,Altrincham,WA15 7JU,North West,no
106295,358,Trafford,Cloverlea Primary School,https://www.cloverlea.org.uk/,Altrincham,WA15 7NQ,North West,no
106316,358,Trafford,Davyhulme Primary School,https://www.davyhulmeprimary.com/,Manchester,M41 0RX,North West,no
106394,358,Trafford,Delamere School,http://delamere.trafford.sch.uk,Manchester,M41 6AP,North West,no
131885,358,Trafford,Egerton High School,www.egertonschool.co.uk,Manchester,M41 7FZ,North West,no
138654,358,Trafford,Elmridge Primary School,www.elmridge.bright-futures.co.uk,Altrincham,WA15 0JF,North West,no
106352,358,Trafford,English Martyrs' RC Primary School,https://englishmartyrs.trafford.sch.uk,Manchester,M41 5AH,North West,no
106303,358,Trafford,Firs Primary School,https://www.firsprimary.co.uk,Sale,M33 5EL,North West,no
136965,358,Trafford,Flixton Girls School,http://www.flixtongirls.com/,Manchester,M41 5DR,North West,no
138788,358,Trafford,Forest Gate Academy,http://forestgateacademy.co.uk/,Manchester,M31 4PN,North West,no
106288,358,Trafford,Heyes Lane Primary School,https://www.heyeslane.co.uk,Altrincham,WA15 6BZ,North West,no
106345,358,Trafford,Holy Family Catholic Primary School,https://www.holyfamilysalemoor.co.uk,Sale,M33 2JA,North West,no
106322,358,Trafford,Kings Road Primary School,https://www.kingsroadschool.com,Manchester,M16 0GR,North West,no
140877,358,Trafford,Lime Tree Primary Academy,https://limetree.bright-futures.co.uk/,Sale,M33 2RP,North West,no
147372,358,Trafford,Longford Park School,http://www.longford.trafford.sch.uk,Manchester,M32 8QJ,North West,no
138464,358,Trafford,Loreto Grammar School,www.loretogrammar.co.uk,Altrincham,WA14 4AH,North West,no
106365,358,Trafford,Lostock High School,https://www.lostock.trafford.sch.uk,Manchester,M32 9PL,North West,no
142288,358,Trafford,Manor Academy Sale,manoracademysale.org,Sale,M33 5JX,North West,no
143104,358,Trafford,North Cestrian School,www.northcestrian.co.uk/start.html,Altrincham,WA14 4AJ,North West,no
140738,358,Trafford,Old Trafford Community Academy,www.oldtraffordcommunityacademy.co.uk,Manchester,M15 4FL,North West,no
151040,358,Trafford,"Our Lady of Lourdes Catholic School, a Voluntary Academy",www.ourladyoflourdes-primary.trafford.sch.uk,Manchester,M31 4PJ,North West,no
151364,358,Trafford,"Our Lady of the Rosary RC Primary School, a Voluntary Academy",www.ourladyrosary.co.uk/,Manchester,M41 7DS,North West,no
136376,358,Trafford,Park Road Academy Primary School,www.parkroadacademy.co.uk/,Altrincham,WA14 5AP,North West,no
140142,358,Trafford,Park Road Sale Primary School,www.parkroadsale.trafford.sch.uk,Sale,M33 6HR,North West,no
143380,358,Trafford,Partington Central Academy,http://partingtoncentralacademy.co.uk/,Manchester,M31 4FL,North West,no
142289,358,Trafford,Pictor Academy,,Timperley,WA15 6PH,North West,no
138134,358,Trafford,Saint Ambrose College,www.st-ambrosecollege.org.uk,Altrincham,WA15 0HE,North West,no
