urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
106505,359,Wigan,"All Saints Catholic Primary School, Golborne, Wigan",https://www.golborneallsaints.co.uk,Warrington,WA3 3LU,North West,no
106518,359,Wigan,Aspull Church Primary School,https://www.aspullchurch.wigan.sch.uk,Wigan,WN2 1QT,North West,no
138233,359,Wigan,Atherton High School,http://www.athertonhigh.com/,Atherton,M46 0AY,North West,no
144371,359,Wigan,Atherton St George's CofE Primary School,www.saintgeorges.wigan.sch.uk/,Manchester,M46 0HJ,North West,no
140053,359,Wigan,Bedford Hall Methodist Primary School,https://www.bedfordhall.wigan.sch.uk/,Leigh,WN7 3DJ,North West,no
106523,359,Wigan,Bedford High School,http://www.bedfordhighschool.co.uk/,Leigh,WN7 2LU,North West,no
106399,359,Wigan,Beech Hill Community Primary School,www.beechill.wigan.sch.uk/,Wigan,WN6 7PT,North West,no
106470,359,Wigan,Bickershaw CofE Primary School,https://www.bickershaw.wigan.sch.uk,Wigan,WN2 4AE,North West,no
106438,359,Wigan,Bryn St Peter's CofE Primary School,https://www.brynsaintpeters.co.uk,Wigan,WN4 0DL,North West,no
142028,359,Wigan,Canon Sharples Church of England Primary School and Nursery,,Wigan,WN2 1BP,North West,no
106521,359,Wigan,Cansfield High School,http://www.cansfield.wigan.sch.uk,Wigan,WN4 9TP,North West,no
106472,359,Wigan,Castle Hill St Philip's CofE Primary School,https://www.castlehill.wigan.sch.uk/,Wigan,WN2 4DH,North West,no
106443,359,Wigan,Chowbent Primary School,http://www.chowbent.wigan.sch.uk,Manchester,M46 9FP,North West,no
106512,359,Wigan,"Christ Church CofE Primary School, Pennington",https://www.christchurchprimaryschool.co.uk/,Leigh,WN7 4HB,North West,no
146797,359,Wigan,Dean Trust Rose Bridge,https://www.deantrustrosebridge.co.uk/,Wigan,WN1 3HD,North West,no
144519,359,Wigan,Dean Trust Wigan,http://www.deantrustwigan.co.uk/,Wigan,WN5 0DQ,North West,no
106398,359,Wigan,Douglas Valley Nursery School,,Wigan,WN1 3SU,North West,no
137448,359,Wigan,Fred Longworth High School,https://flhs.org.uk/,Manchester,M29 8JN,North West,no
106433,359,Wigan,Garrett Hall Primary School,https://www.garretthall.wigan.sch.uk,Manchester,M29 7EY,North West,no
106431,359,Wigan,Gilded Hollins Community School,https://www.gildedhollins.wigan.sch.uk/,Leigh,WN7 3PQ,North West,no
147101,359,Wigan,Golborne Community Primary School,www.golborneprimary.co.uk/,Warrington,WA3 3NN,North West,no
106525,359,Wigan,Golborne High School,http://www.golbornehigh.wigan.sch.uk/,Warrington,WA3 3EL,North West,no
138110,359,Wigan,Hawkley Hall High School,http://hhhs.net/,Wigan,WN3 5NY,North West,no
145713,359,Wigan,Highfield St Matthew's Church of England Primary School,www.highfieldsaintmatthews.wigan.sch.uk/,Wigan,WN3 6BL,North West,no
106471,359,Wigan,Hindley All Saints CofE Primary School,https://www.hindleyallsaints.co.uk,Wigan,WN2 3QS,North West,no
141642,359,Wigan,Hindley Green Community Primary School,www.hindleygreen.wigan.sch.uk/,Wigan,WN2 4SS,North West,no
106441,359,Wigan,Hindsford CofE Primary School,http://www.hindsfordprimary.net,Manchester,M46 9BL,North West,no
149190,359,Wigan,Holy Family Catholic Academy,www.holyfamilywigan.co.uk,Wigan,WN2 5JF,North West,no
106504,359,Wigan,Holy Family Catholic Primary School,https://www.boothstownholyfamily.wigan.sch.uk/,Manchester,M28 1AG,North West,no
106491,359,Wigan,"Holy Family Catholic Primary School, New Springs, Wigan",https://www.aspullholyfamily.co.uk/,Wigan,WN2 1EL,North West,no
106543,359,Wigan,Hope School,https://www.hope.wigan.sch.uk,Wigan,WN3 6SP,North West,no
106476,359,Wigan,Ince CofE Primary School,https://www.ince.wigan.sch.uk,Wigan,WN2 2AL,North West,no
134297,359,Wigan,"Landgate School, Bryn",https://landgateschool.co.uk/,Wigan,WN4 0EP,North West,no
144609,359,Wigan,Leigh CofE Primary School,https://www.leighceprimary.co.uk/,Leigh,WN7 1LP,North West,no
106517,359,Wigan,Leigh St John's CofE Primary,https://www.leighstjohnsprimary.wigan.sch.uk,Leigh,WN7 1RY,North West,no
106516,359,Wigan,Leigh St Mary's CofE Primary School,https://www.leighstmarys.co.uk,Leigh,WN7 1YE,North West,no
140087,359,Wigan,Leigh Westleigh Methodist Primary School,https://www.westleighmethodist.wigan.sch.uk/,Leigh,WN7 5NJ,North West,no
137783,359,Wigan,Lowton Church of England High School,http://www.lowtonhs.wigan.sch.uk/,Warrington,WA3 1DU,North West,no
106486,359,Wigan,Lowton St Mary's CofE (Voluntary Aided) Primary School,https://lowtonstmarysceprimary.net,WARRINGTON,WA3 1EW,North West,no
106405,359,Wigan,Mab's Cross Primary School,https://www.mabscross.co.uk,Wigan,WN1 1XL,North West,no
143498,359,Wigan,Marus Bridge Primary School,www.marusbridge.co.uk,Wigan,WN3 6SP,North West,no
106425,359,Wigan,Meadowbank Primary School & Children's Centre,www.athertonmeadowbankblogs.net,Manchester,M46 0HX,North West,no
106436,359,Wigan,Millbrook Primary School,http://millbrook.wigan.sch.uk,Wigan,WN6 8DL,North West,no
106430,359,Wigan,Nicol Mere School,http://www.nicolmere.wigan.sch.uk,Wigan,WN4 8DF,North West,no
131530,359,Wigan,Oakfield High School and College,http://www.oakfield.wigan.sch.uk,Wigan,WN2 4XA,North West,no
143389,359,Wigan,Orrell Holgate Academy,http://www.holgate.wigan.sch.uk,Wigan,WN5 8SJ,North West,no
143388,359,Wigan,Orrell Lamberhead Green Academy,www.lamberheadgreen.wigan.sch.uk/,Wigan,WN5 0AW,North West,no
106490,359,Wigan,Our Lady's RC Primary School Wigan,https://www.aspullourladys.wigan.sch.uk,Wigan,WN2 1RU,North West,no
148526,359,Wigan,Outwood Academy Hindley,,Wigan,WN2 4LG,North West,no
106426,359,Wigan,Parklee Community School,www.parklee.wigan.sch.uk/,Wigan,M46 0AR,North West,no
139300,359,Wigan,Platt Bridge Community School,www.plattbridge.wigan.sch.uk/,Wigan,WN2 5NG,North West,no
