urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
138234,370,Barnsley,All Saints Academy Darfield,https://allsaintsacademy.org.uk/,Barnsley,S73 9EU,Yorkshire and the Humber,no
146501,370,Barnsley,Astrea Academy Dearne,https://www.astreadearne.org/,Rotherham,S63 9EW,Yorkshire and the Humber,no
147717,370,Barnsley,Athersley South Primary School,www.athersleysouth-primary.co.uk,Barnsley,S71 3TP,Yorkshire and the Humber,no
144036,370,Barnsley,Bank End Primary Academy,www.bankend.org.uk/,Barnsley,S70 4AZ,Yorkshire and the Humber,no
131749,370,Barnsley,Barnsley Academy,http://www.barnsley-academy.org,Barnsley,S70 3DL,Yorkshire and the Humber,no
150517,370,Barnsley,Barugh Green Primary School,www.barughgreenprimary.co.uk,Barnsley,S75 1LD,Yorkshire and the Humber,no
149455,370,Barnsley,Birdwell Primary School,https://www.birdwellprimary.co.uk,Barnsley,S70 5XB,Yorkshire and the Humber,no
106620,370,Barnsley,Birkwood Primary School,https://www.birkwood.org.uk/,Barnsley,S72 8HG,Yorkshire and the Humber,no
106557,370,Barnsley,Burton Road Primary School,https://www.burtonroadprimary.org.uk/,Barnsley,S71 2AA,Yorkshire and the Humber,no
139083,370,Barnsley,Carlton Primary Academy,www.carltonprimary.co.uk,Barnsley,S71 3HF,Yorkshire and the Humber,no
138702,370,Barnsley,Carrfield Primary Academy,www.astreacarrfield.org,Rotherham,S63 8AL,Yorkshire and the Humber,no
106627,370,Barnsley,Cawthorne Church of England Voluntary Controlled Primary School,https://www.cawthorneprimary.co.uk,Barnsley,S75 4HB,Yorkshire and the Humber,no
106621,370,Barnsley,Cherry Dale Primary School,https://www.cherrydaleprimary.com/,Barnsley,S72 8AA,Yorkshire and the Humber,no
147619,370,Barnsley,Churchfield Primary School,www.churchfieldprimary.org,Barnsley,S72 8JR,Yorkshire and the Humber,no
146320,370,Barnsley,Darton Academy,https://www.dartonacademy.org.uk,Barnsley,S75 5EF,Yorkshire and the Humber,no
140602,370,Barnsley,Darton Primary School,www.dartonprimary.com/,Barnsley South,S75 5AD,Yorkshire and the Humber,no
140539,370,Barnsley,Dodworth St John the Baptist CofE Primary Academy,https://dodworthstjohns.org.uk/,Barnsley,S75 3JS,Yorkshire and the Humber,no
141972,370,Barnsley,Elsecar Holy Trinity CofE Primary Academy,www.elsecarprimary.org,Barnsley,S74 8HS,Yorkshire and the Humber,no
106603,370,Barnsley,Gawber Primary School,www.gawberprimaryschool.co.uk/,Barnsley,S75 2RJ,Yorkshire and the Humber,no
148361,370,Barnsley,Goldthorpe Primary Academy,www.goldthorpepa.org.uk,Rotherham,S63 9HY,Yorkshire and the Humber,no
138415,370,Barnsley,Gooseacre Primary Academy,www.astreagooseacre.org,Rotherham,S63 0NU,Yorkshire and the Humber,no
141704,370,Barnsley,Greenacre School,,Barnsley,S70 6RG,Yorkshire and the Humber,no
106599,370,Barnsley,Greenfield Primary School,https://www.greenfieldprimaryschool.co.uk,Barnsley,S74 9RG,Yorkshire and the Humber,no
139748,370,Barnsley,Heather Garth Primary School Academy,www.heathergarth.org,Rotherham,S63 8ES,Yorkshire and the Humber,no
142351,370,Barnsley,High View Primary Learning Centre,www.highviewprimary.co.uk,Barnsley,S73 8QS,Yorkshire and the Humber,no
138701,370,Barnsley,Highgate Primary Academy,www.astreahighgate.org,Rotherham,S63 9AS,Yorkshire and the Humber,no
106632,370,Barnsley,Holy Rood Catholic Primary School,http://www.holyroodschool.co.uk,Barnsley,S70 6JL,Yorkshire and the Humber,no
144606,370,Barnsley,Holy Trinity Catholic and Church of England School,,Barnsley,S71 2LF,Yorkshire and the Humber,no
146455,370,Barnsley,Horizon Community College,http://www.horizoncc.co.uk/,Barnsley,S70 6PD,Yorkshire and the Humber,no
140242,370,Barnsley,Hoyland Common Primary School,www.hoylandcommonprimary.co.uk,Barnsley,S74 0DJ,Yorkshire and the Humber,no
141973,370,Barnsley,Hoyland Springwood Primary School,www.hoylandspringwood.org,Barnsley,S74 0ER,Yorkshire and the Humber,no
150020,370,Barnsley,Hoylandswaine Primary School,,Sheffield,S36 7JJ,Yorkshire and the Humber,no
144037,370,Barnsley,Hunningley Primary Academy,www.hunningley.org.uk,Barnsley,S70 3DT,Yorkshire and the Humber,no
106591,370,Barnsley,Jump Primary School,https://www.jumpprimary.org.uk,Barnsley,S74 0JW,Yorkshire and the Humber,no
106582,370,Barnsley,Keresforth Primary School,http://www.keresforthprimary.org.uk,Barnsley,S75 3NU,Yorkshire and the Humber,no
143556,370,Barnsley,Kexborough Primary School,www.kexborough-primary.co.uk,Barnsley,S75 5EF,Yorkshire and the Humber,no
140979,370,Barnsley,Kirk Balk Academy,https://kba.northerneducationtrust.org/,Barnsley,S74 9HX,Yorkshire and the Humber,no
106579,370,Barnsley,Lacewood Primary School,https://www.lacewood.org.uk,Rotherham,S63 8DA,Yorkshire and the Humber,no
149846,370,Barnsley,Ladywood Primary School,www.ladywoodprimary.co.uk/,Barnsley,S72 7JX,Yorkshire and the Humber,no
141974,370,Barnsley,Laithes Primary School,www.laithesprimary.com,Barnsley,S71 3AF,Yorkshire and the Humber,no
147718,370,Barnsley,Mapplewell Primary School,http://www.mapplewellprimary.org.uk,Barnsley,S75 6BB,Yorkshire and the Humber,no
139132,370,Barnsley,Meadstead Primary Academy,www.meadsteadprimaryacademy.org,Barnsley,S71 4JS,Yorkshire and the Humber,no
148442,370,Barnsley,Milefield Primary School,www.milefieldprimary.org.uk,Barnsley,S72 7BH,Yorkshire and the Humber,no
106586,370,Barnsley,Millhouse Primary School,https://www.millhouseprimary.co.uk/,Sheffield,S36 9LN,Yorkshire and the Humber,no
143907,370,Barnsley,Netherwood Academy,https://astreanetherwood.org/,Barnsley,S73 8FE,Yorkshire and the Humber,no
144484,370,Barnsley,Oakhill Primary Academy,www.oakhillacademy.org.uk,Barnsley,S71 5AG,Yorkshire and the Humber,no
143107,370,Barnsley,Oakwell Rise Primary Academy,www.oakwellriseacademy.co.uk,Barnsley,S70 1TS,Yorkshire and the Humber,no
139210,370,Barnsley,Outwood Academy Carlton,https://www.carlton.outwood.com/,Barnsley,S71 3EW,Yorkshire and the Humber,no
139211,370,Barnsley,Outwood Academy Shafton,http://www.shafton.outwood.com/,Barnsley,S72 8RE,Yorkshire and the Humber,no
143940,370,Barnsley,Outwood Primary Academy Darfield,,Barnsley,S73 9LT,Yorkshire and the Humber,no
143939,370,Barnsley,Outwood Primary Academy Littleworth Grange,www.littleworth.outwood.com,Barnsley,S71 5RG,Yorkshire and the Humber,no
106584,370,Barnsley,Oxspring Primary School,https://www.oxspringprimary.co.uk,Sheffield,S36 8YW,Yorkshire and the Humber,no
139084,370,Barnsley,Parkside Primary Academy,www.parksideacademy.co.uk,Barnsley,S71 4QP,Yorkshire and the Humber,no
106653,370,Barnsley,Penistone Grammar School,http://www.penistone-gs.uk/,Sheffield,S36 7BX,Yorkshire and the Humber,no
136941,370,Barnsley,Penistone St John's Voluntary Aided Primary School,www.penistonestjohns.co.uk/,Sheffield,S36 6BS,Yorkshire and the Humber,no
139230,370,Barnsley,Queens Road Academy,https://queensroad.org.uk/,Barnsley,S71 1AR,Yorkshire and the Humber,no
142556,370,Barnsley,Royston St John Baptist CE Primary,www.royston-stjohn.org.uk/,Barnsley,S71 4QY,Yorkshire and the Humber,no
106643,370,Barnsley,Sacred Heart Catholic Primary School,https://www.federationcc.org.uk,Rotherham,S63 9JY,Yorkshire and the Humber,no
141917,370,Barnsley,Sandhill Primary School,www.sandhillprimary.org.uk/,Barnsley,S72 0EQ,Yorkshire and the Humber,no
139004,370,Barnsley,Shafton Primary Academy,http://www.shaftonprimaryacademy.org,Barnsley,S72 8QA,Yorkshire and the Humber,no
106564,370,Barnsley,Shawlands Primary School,http://www.shawlandsprimaryschool.co.uk,Barnsley,S70 6JL,Yorkshire and the Humber,no
106589,370,Barnsley,Silkstone Common Junior and Infant School,https://www.silkstonecommonji.co.uk/,Barnsley,S75 4QT,Yorkshire and the Humber,no
106602,370,Barnsley,Silkstone Primary School,https://silkstoneprimary.com,Barnsley,S75 4LR,Yorkshire and the Humber,no
106587,370,Barnsley,Springvale Primary School,https://www.springvaleprimary.org,Barnsley,S36 6HJ,Yorkshire and the Humber,no
141564,370,Barnsley,Springwell Alternative Academy,www.springwelllearningcommunity.co.uk,Barnsley,S71 2AY,Yorkshire and the Humber,no
141563,370,Barnsley,Springwell Special Academy,www.springwelllearningcommunity.co.uk,Barnsley,S71 2AY,Yorkshire and the Humber,no
106640,370,Barnsley,St Helen's Catholic Primary School,https://www.federationcc.org.uk,Barnsley,S74 9DL,Yorkshire and the Humber,no
139006,370,Barnsley,St Helen's Primary Academy,,Barnsley,S71 2PS,Yorkshire and the Humber,no
137870,370,Barnsley,"St Mary's Church of England Primary School, Barnsley",http://www.stmarysacademytrust.co.uk,Barnsley,S75 2DF,Yorkshire and the Humber,no
106641,370,Barnsley,St Michael and All Angels Catholic Primary School,https://www.federationcc.org.uk,Barnsley,S73 8AF,Yorkshire and the Humber,no
131459,370,Barnsley,Summer Lane Primary,http://www.summerlaneprimary.co.uk,Barnsley,S75 2BB,Yorkshire and the Humber,no
139085,370,Barnsley,Summerfields Primary Academy,www.summerfieldsacademy.co.uk,Barnsley,S71 4SF,Yorkshire and the Humber,no
106637,370,Barnsley,Tankersley St Peter's CofE (Aided) Primary School,www.tankersleystpetersprimary.org.uk/,Barnsley,S75 3DA,Yorkshire and the Humber,no
106638,370,Barnsley,The Ellis Church of England (Voluntary Aided) Primary School,https://www.theellisschool.org.uk,Barnsley,S73 0PS,Yorkshire and the Humber,no
139136,370,Barnsley,The Forest Academy,www.theforest-academy.co.uk,Barnsley,S70 3NG,Yorkshire and the Humber,no
138700,370,Barnsley,The Hill Primary Academy,www.astreathehill.org,Rotherham,S63 0DS,Yorkshire and the Humber,no
141097,370,Barnsley,The Mill Academy,https://themill.stmarysacademytrust.co.uk/,Barnsley,S70 5EP,Yorkshire and the Humber,no
