urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
150802,371,Doncaster,Adwick Primary School,www.adwickprimaryschool.org.uk,Doncaster,DN6 7LW,Yorkshire and the Humber,no
138314,371,Doncaster,Armthorpe Academy,https://www.armthorpeacademy.org.uk/,Doncaster,DN3 2DA,Yorkshire and the Humber,no
138705,371,Doncaster,Armthorpe Shaw Wood Academy,www.shawwoodacademy.co.uk,Doncaster,DN3 2DG,Yorkshire and the Humber,no
137066,371,Doncaster,Ash Hill Academy,http://www.ashhillacademy.org.uk/,DONCASTER,DN7 6JH,Yorkshire and the Humber,no
146706,371,Doncaster,Askern Littlemoor Infant Academy,www.askernlittlemoor.com,Doncaster,DN6 0PZ,Yorkshire and the Humber,no
146672,371,Doncaster,Askern Moss Road Infant Academy,www.askernmossroad.com,Doncaster,DN6 0NE,Yorkshire and the Humber,no
146370,371,Doncaster,Astrea Academy Woodfields,https://www.astreawoodfields.org/,Doncaster,DN4 8ND,Yorkshire and the Humber,no
144950,371,Doncaster,Atlas Academy,www.astreaatlas.org,Doncaster,DN1 3QP,Yorkshire and the Humber,no
137335,371,Doncaster,Auckley School,http://www.auckley.doncaster.sch.uk,Doncaster,DN9 3JN,Yorkshire and the Humber,no
147864,371,Doncaster,Bader Academy,www.baderacademy.org,Doncaster,DN3 2EW,Yorkshire and the Humber,no
143962,371,Doncaster,Balby Central Primary Academy,www.balbycentralprimary.co.uk,Doncaster,DN4 0LL,Yorkshire and the Humber,no
150040,371,Doncaster,Barnburgh Primary Academy,www.barnburghacademy.com,Doncaster,DN5 7EZ,Yorkshire and the Humber,no
138163,371,Doncaster,Barnby Dun Primary Academy,http://www.barnbydunprimaryacademy.co.uk,Doncaster,DN3 1BG,Yorkshire and the Humber,no
106737,371,Doncaster,Bawtry Mayflower Primary School,https://www.bawtrymayflower.school/,Doncaster,DN10 6PU,Yorkshire and the Humber,no
144076,371,Doncaster,Bentley High Street Primary School,www.bentleyhighstreet.co.uk/,Doncaster,DN5 0AA,Yorkshire and the Humber,no
106751,371,Doncaster,Bentley New Village Primary School,www.bentleynewvillage.co.uk/,Doncaster,DN5 0NU,Yorkshire and the Humber,no
144412,371,Doncaster,Bessacarr Primary,http://www.bessacarr.doncaster.sch.uk/,Doncaster,DN4 7DT,Yorkshire and the Humber,no
106767,371,Doncaster,Branton St Wilfrid's Church of England Primary School,https://www.branton-st-wilfrids-primary.co.uk,Doncaster,DN3 3NB,Yorkshire and the Humber,no
146919,371,Doncaster,Brooke Primary Academy,https://brookeprimaryacademy.org.uk/,Doncaster,DN8 5PQ,Yorkshire and the Humber,no
138116,371,Doncaster,Campsmount Academy,www.campsmount.com,Doncaster,DN6 9AS,Yorkshire and the Humber,no
145771,371,Doncaster,Canon Popham CofE Primary Academy,www.canon-popham.vox-cms.com/,Doncaster,DN3 2PP,Yorkshire and the Humber,no
148408,371,Doncaster,Carcroft Primary School,www.carcroftprimary.co.uk/,Doncaster,DN6 8DR,Yorkshire and the Humber,no
140353,371,Doncaster,Carr Lodge Academy,www.carrlodgeacademy.org,Doncaster,DN4 8GA,Yorkshire and the Humber,no
