urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
142768,372,Rotherham,Abbey School,www.abbeyschool.org,Rotherham,S61 2RA,Yorkshire and the Humber,no
144325,372,Rotherham,Anston Brook Primary School,www.anstonbrook.co.uk/,Sheffield,S25 4DN,Yorkshire and the Humber,no
141537,372,Rotherham,Anston Greenlands Primary School,www.anstongreenlands.org,Sheffield,S25 4HD,Yorkshire and the Humber,no
146467,372,Rotherham,Anston Hillcrest Primary School,www.anstonhillcrestprimary.co.uk/,Sheffield,S25 5GR,Yorkshire and the Humber,no
145095,372,Rotherham,Anston Park Infant School,www.anstonparkinfant.co.uk,Sheffield,S25 2QZ,Yorkshire and the Humber,no
150959,372,Rotherham,Anston Park Junior School,,Sheffield,S25 2QZ,Yorkshire and the Humber,no
106826,372,Rotherham,Arnold Nursery School and Children's Centre,https://www.thearnoldcentre.co.uk,Rotherham,S65 2LY,Yorkshire and the Humber,no
136718,372,Rotherham,Aston Academy,http://www.astonacademy.org,Sheffield,S26 4SF,Yorkshire and the Humber,no
141590,372,Rotherham,Aston All Saints CofE (A) Primary School,www.astoncofe.co.uk/,Sheffield,S26 2BL,Yorkshire and the Humber,no
106859,372,Rotherham,Aston Fence Junior and Infant School,https://www.astonfence.co.uk,Sheffield,S13 9ZD,Yorkshire and the Humber,no
143054,372,Rotherham,Aston Hall Junior and Infant School,http://www.astonhallschool.co.uk/,Sheffield,S26 2AX,Yorkshire and the Humber,no
143055,372,Rotherham,Aston Lodge Primary School,www.astonlodgeprimary.org,Sheffield,S26 2BL,Yorkshire and the Humber,no
106828,372,Rotherham,Aughton Early Years Centre,https://www.aughtoneyc.rotherham.sch.uk,Sheffield,S26 3XH,Yorkshire and the Humber,no
143482,372,Rotherham,Aughton Junior Academy,www.aughtonacademy.org,Sheffield,S26 3XQ,Yorkshire and the Humber,no
106833,372,Rotherham,Badsley Primary School,https://www.badsleyprimary.org,Rotherham,S65 2QS,Yorkshire and the Humber,no
106834,372,Rotherham,Blackburn Primary School,https://www.blackburnprimaryschool.org.uk/,Rotherham,S61 2BU,Yorkshire and the Humber,no
141488,372,Rotherham,Bramley Grange Primary School,www.bramleygrangeprimaryschool.org.uk,Rotherham,S66 2SY,Yorkshire and the Humber,no
106895,372,Rotherham,Bramley Sunnyside Infant School,https://www.bramleysunnysideinfant.co.uk/,Rotherham,S66 3QW,Yorkshire and the Humber,no
