urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
151409,373,Sheffield,Abbey Lane Primary School,www.abbeylaneprimaryschool.com,Sheffield,S8 0BN,Yorkshire and the Humber,no
143052,373,Sheffield,Abbeyfield Primary Academy,https://abbeyfieldprimaryacademy.co.uk/,Sheffield,S3 9AN,Yorkshire and the Humber,no
143546,373,Sheffield,Acres Hill Community Primary School,https://www.acreshillschool.co.uk/,Sheffield,S9 4GQ,Yorkshire and the Humber,no
138337,373,Sheffield,All Saints' Catholic High School,http://www.allsaints.sheffield.sch.uk/,Sheffield,S2 2RJ,Yorkshire and the Humber,no
107085,373,Sheffield,Angram Bank Primary School,https://www.angrambankprimary.co.uk/,Sheffield,S35 4HN,Yorkshire and the Humber,no
150047,373,Sheffield,Anns Grove Primary School,www.annsgrove.co.uk,Sheffield,S2 3DJ,Yorkshire and the Humber,no
133994,373,Sheffield,Arbourthorne Community Primary School,www.arbourthorneprimary.co.uk/,Sheffield,S2 2GQ,Yorkshire and the Humber,no
107177,373,Sheffield,Archdale School,https://www.archdale.sheffield.sch.uk/,Sheffield,S2 1PL,Yorkshire and the Humber,no
145864,373,Sheffield,Astrea Academy Sheffield,www.astreasheffield.org,Sheffield,S3 9BE,Yorkshire and the Humber,no
149575,373,Sheffield,Bankwood Primary School,www.bankwoodprimary.co.uk,Sheffield,S14 1LW,Yorkshire and the Humber,no
142542,373,Sheffield,Beck Primary School,www.beckprimary.co.uk,Sheffield,S5 0GG,Yorkshire and the Humber,no
147136,373,Sheffield,Becton School,https://www.becton.sheffield.sch.uk,Sheffield,S20 1NZ,Yorkshire and the Humber,no
107036,373,Sheffield,Beighton Nursery Infant School,https://www.beighton.sheffield.sch.uk/,Sheffield,S20 1EG,Yorkshire and the Humber,no
143964,373,Sheffield,Birley Primary Academy,http://birleyprimaryacademy.co.uk/,Sheffield,S12 3AB,Yorkshire and the Humber,no
143965,373,Sheffield,Birley Spa Primary Academy,www.birleyspaacademy.co.uk,Sheffield,S12 4QE,Yorkshire and the Humber,no
146488,373,Sheffield,Bradfield Dungworth Primary School,www.bradfielddungworth.co.uk,Sheffield,S6 6HE,Yorkshire and the Humber,no
147788,373,Sheffield,Bradfield School,www.bradfield.sheffield.sch.uk,Sheffield,S35 0AE,Yorkshire and the Humber,no
107033,373,Sheffield,Bradway Primary School,https://www.bradwayprimary.co.uk,Sheffield,S17 4PD,Yorkshire and the Humber,no
106987,373,Sheffield,Brightside Nursery Infant School,https://www.brightsideni.org.uk,Sheffield,S9 1AS,Yorkshire and the Humber,no
148100,373,Sheffield,Brook House Junior,https://www.brookhouse.sheffield.sch.uk,Sheffield,S20 1EG,Yorkshire and the Humber,no
106973,373,Sheffield,Broomhall Nursery School,https://www.broomhallnursery.org.uk,Sheffield,S10 2DN,Yorkshire and the Humber,no
143061,373,Sheffield,Byron Wood Primary Academy,www.astreabyronwood.org,Sheffield,S4 7EJ,Yorkshire and the Humber,no
106988,373,Sheffield,Carter Knowle Junior School,https://www.carterknowle.sheffield.sch.uk/,Sheffield,S7 2DY,Yorkshire and the Humber,no
140940,373,Sheffield,Chapeltown Academy,www.chapeltownacademy.com,Sheffield,S35 9ZX,Yorkshire and the Humber,no
143970,373,Sheffield,Charnock Hall Primary Academy,http://www.charnockhallacademy.co.uk/,Sheffield,S12 3HS,Yorkshire and the Humber,no
138414,373,Sheffield,Chaucer School,http://www.chaucer.sheffield.sch.uk,Sheffield,S5 8NH,Yorkshire and the Humber,no
150370,373,Sheffield,Clifford All Saints CofE Primary School,https://www.cliffordallsaints.co.uk/,Sheffield,S11 7PQ,Yorkshire and the Humber,no
140609,373,Sheffield,Concord Junior Academy,www.concordschool.net,Sheffield,S9 1NR,Yorkshire and the Humber,no
149087,373,Sheffield,Discovery Academy,https://www.discoverysheffield.org/,Sheffield,S2 3QF,Yorkshire and the Humber,no
107035,373,Sheffield,Dobcroft Junior School,https://www.dobcroft-jun.sheffield.sch.uk,Sheffield,S7 2LN,Yorkshire and the Humber,no
151410,373,Sheffield,Dobcroft Nursery Infant School,www.dobcroft-inf.sheffield.sch.uk/,Sheffield,S7 2LN,Yorkshire and the Humber,no
139932,373,Sheffield,E-ACT Pathways Academy,https://pathwaysacademy.e-act.org.uk/,Sheffield,S5 7NA,Yorkshire and the Humber,no
107025,373,Sheffield,Ecclesall Primary School,https://www.ecclesallprimary.co.uk,Sheffield,S11 7LG,Yorkshire and the Humber,no
107001,373,Sheffield,Ecclesfield Primary School,https://www.ecclesfieldprimary.co.uk/,Sheffield,S35 9UD,Yorkshire and the Humber,no
145191,373,Sheffield,Ecclesfield School,www.ecclesfield-school.com,Sheffield,S35 9WD,Yorkshire and the Humber,no
140546,373,Sheffield,Emmanuel Anglican/Methodist Junior School,www.emmanuel.sheffield.sch.uk/,Sheffield,S20 7JU,Yorkshire and the Humber,no
140826,373,Sheffield,Emmaus Catholic and CofE Primary School,www.emmaus.sheffield.sch.uk/,Sheffield,S2 5FT,Yorkshire and the Humber,no
138925,373,Sheffield,Fir Vale School,http://firvale.com/,Sheffield,S4 8GB,Yorkshire and the Humber,no
139334,373,Sheffield,Firth Park Academy,www.firthparkacademy.org,Sheffield,S5 0SD,Yorkshire and the Humber,no
