urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
107188,380,Bradford,Abbey Green Nursery School,www.abbeygreen.org,Bradford,BD8 8HT,Yorkshire and the Humber,no
149120,380,Bradford,All Saints CofE Primary School,www.allsaints.bradford.sch.uk,Bradford,BD5 0NG,Yorkshire and the Humber,no
145173,380,Bradford,Appleton Academy,www.appletonacademy.co.uk,Bradford,BD12 8AL,Yorkshire and the Humber,no
149937,380,Bradford,Ashlands Primary School,www.ashlandsprimary.org.uk,Ilkley,LS29 8JY,Yorkshire and the Humber,no
143565,380,Bradford,Atlas Community Primary School,http://www.atlasprimary.co.uk/,Bradford,BD8 8DL,Yorkshire and the Humber,no
149161,380,Bradford,Baildon Church of England Primary School,www.baildonce.co.uk,Shipley,BD17 6TE,Yorkshire and the Humber,no
149093,380,Bradford,Baildon Glen Primary School,https://www.baildonglenacademy.co.uk/,Shipley,BD17 7LY,Yorkshire and the Humber,no
107248,380,Bradford,Bankfoot Primary School,https://www.bankfootprimary.co.uk/,Bradford,BD5 9NR,Yorkshire and the Humber,no
142836,380,Bradford,Barkerend Primary Leadership Academy,https://www.barkerendprimary.com/,Bradford,BD3 0QT,Yorkshire and the Humber,no
143092,380,Bradford,Beckfoot Allerton Primary School and Nursery,www.beckfootallerton.org,Bradford,BD15 7HB,Yorkshire and the Humber,no
143094,380,Bradford,Beckfoot Heaton Primary,www.beckfootheaton.org,Bradford,BD9 6LL,Yorkshire and the Humber,no
146281,380,Bradford,Beckfoot Nessfield,,Keighley,BD22 6NP,Yorkshire and the Humber,no
143112,380,Bradford,Beckfoot Oakbank,www.oakbank.org.uk,Keighley,BD22 7DU,Yorkshire and the Humber,no
144891,380,Bradford,Beckfoot Phoenix,https://www.beckfootphoenix.org/,Keighley,BD22 6HZ,Yorkshire and the Humber,no
144890,380,Bradford,Beckfoot Priestthorpe Primary School & Nursery,https://www.beckfootpriestthorpe.org,Bingley,BD16 4JS,Yorkshire and the Humber,no
139975,380,Bradford,Beckfoot School,www.beckfoot.org,Bingley,BD16 1EE,Yorkshire and the Humber,no
143114,380,Bradford,Beckfoot Thornton,www.beckfootthornton.org,Bradford,BD13 3BH,Yorkshire and the Humber,no
142031,380,Bradford,Beckfoot Upper Heaton,http://www.beckfootupperheaton.org/,Bradford,BD9 6AL,Yorkshire and the Humber,no
150011,380,Bradford,Beechcliffe Special School,http://www.beechcliffeschool.org/,Keighley,BD20 6ED,Yorkshire and the Humber,no
138087,380,Bradford,Belle Vue Girls' Academy,https://bvgacademy.co.uk/,Bradford,BD9 6NA,Yorkshire and the Humber,no
107224,380,Bradford,Blakehill Primary School,https://www.blakehillprimary.co.uk/,Bradford,BD10 8QN,Yorkshire and the Humber,no
149232,380,Bradford,Bowling Park Primary School,https://www.bowlingpark.school/,Bradford,BD5 8BT,Yorkshire and the Humber,no
107250,380,Bradford,Brackenhill Primary School,https://www.brackenhill.bradford.sch.uk/,Bradford,BD7 4HA,Yorkshire and the Humber,no
135367,380,Bradford,Bradford Academy,www.bradfordacademy.co.uk,Bradford,BD4 7QJ,Yorkshire and the Humber,no
146851,380,Bradford,Bradford Alternative Provision Academy,www.bradfordapacademy.co.uk,Shipley,BD18 3JE,Yorkshire and the Humber,no
140429,380,Bradford,Bradford Forster Academy,http://www.bradfordforsteracademy.co.uk/,Bradford,BD4 8RG,Yorkshire and the Humber,no
140204,380,Bradford,Bradford Girls' Grammar School,www.bggs.com,Bradford,BD9 6RB,Yorkshire and the Humber,no
147067,380,Bradford,Bronte Girls' Academy,bga.iexel.org.uk/,Bradford,BD4 7EB,Yorkshire and the Humber,no
150002,380,Bradford,Burley Oaks Primary School,http://www.burleyoaks.co.uk,Ilkley,LS29 7EJ,Yorkshire and the Humber,no
142825,380,Bradford,Buttershaw Business & Enterprise College Academy,www.buttershaw.net,Bradford,BD6 3PX,Yorkshire and the Humber,no
144050,380,Bradford,Byron Primary School,https://www.byronprimary.org.uk,Bradford,BD3 0AB,Yorkshire and the Humber,no
132815,380,Bradford,Canterbury Nursery School and Centre for Children and Families,www.canterburynurseryschool.co.uk,Bradford,BD5 9HL,Yorkshire and the Humber,no
147100,380,Bradford,Carlton Bolling,http://www.carltonbolling.co.uk,Bradford,BD3 0DU,Yorkshire and the Humber,no
136198,380,Bradford,Carlton Keighley,https://carltonkeighley.org.uk/,Keighley,BD20 6EB,Yorkshire and the Humber,no
147939,380,Bradford,Carlton Mills,https://carltonmillsprimary.org/,Bradford,BD9 5AT,Yorkshire and the Humber,no
149732,380,Bradford,Carrwood Primary School,www.carrwoodprimaryschool.co.uk,Bradford,BD4 0EQ,Yorkshire and the Humber,no
149583,380,Bradford,Cavendish Primary School,www.cavendishprimaryacademy.co.uk,Bradford,BD2 2DU,Yorkshire and the Humber,no
139201,380,Bradford,Christ Church Church of England Academy,www.christchurchacademy.org.uk,Shipley,BD18 2NT,Yorkshire and the Humber,no
145180,380,Bradford,Clayton St John CofE Primary School,www.claytonce.co.uk,Bradford,BD14 6DD,Yorkshire and the Humber,no
148869,380,Bradford,Clayton Village Primary School,www.claytonvillageprimary.org.uk/,Bradford,BD14 6AD,Yorkshire and the Humber,no
147117,380,Bradford,Co-op Academy Delius,delius.coopacademies.co.uk,Bradford,BD3 8QX,Yorkshire and the Humber,no
