urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
140172,381,Calderdale,Abbey Park Academy,https://apa.northerneducationtrust.org/,Halifax,HX2 9DG,Yorkshire and the Humber,no
137337,381,Calderdale,Beech Hill School,www.beechhillschool.co.uk,Halifax,HX1 5TN,Yorkshire and the Humber,no
137392,381,Calderdale,Bolton Brow Primary Academy,http://www.boltonbrow.com,Sowerby Bridge,HX6 2BA,Yorkshire and the Humber,no
148202,381,Calderdale,Bowling Green Academy,http://www.bowlinggreenacademy.org.uk,Halifax,HX4 9HU,Yorkshire and the Humber,no
137987,381,Calderdale,Bradshaw Primary School,www.bradshawprimaryschool.org,Halifax,HX2 9PF,Yorkshire and the Humber,no
136604,381,Calderdale,Brighouse High School,http://www.brighouse.calderdale.sch.uk,Brighouse,HD6 2NY,Yorkshire and the Humber,no
137391,381,Calderdale,Burnley Road Academy,www.burnleyroadacademy.org,Hebden Bridge,HX7 5DE,Yorkshire and the Humber,no
107533,381,Calderdale,Cross Lane Primary and Nursery School,www.crosslaneschool.co.uk,Elland,HX5 0LP,Yorkshire and the Humber,no
145400,381,Calderdale,Dean Field Community Primary School,www.deanfieldschool.co.uk,Halifax,HX2 8DQ,Yorkshire and the Humber,no
138398,381,Calderdale,Field Lane Primary School,www.fieldlane.polarismat.org.uk,Brighouse,HD6 3JT,Yorkshire and the Humber,no
150564,381,Calderdale,Hebden Royd CofE Primary School,www.hebdenroydprimary.org.uk/,Hebden Bridge,HX7 6DS,Yorkshire and the Humber,no
150174,381,Calderdale,Heptonstall Junior Infant and Nursery School,http://www.heptonstallschool.org.uk/,Hebden Bridge,HX7 7NX,Yorkshire and the Humber,no
138302,381,Calderdale,"Holy Trinity Primary School, A Church of England Academy",http://www.holytrinitycofecalderdale.org.uk/,Halifax,HX1 2ES,Yorkshire and the Humber,no
107505,381,Calderdale,Holywell Green Primary School,http://www.holywellgreenschool.co.uk,Halifax,HX4 9AE,Yorkshire and the Humber,no
149545,381,Calderdale,Lee Mount Academy,http://www.leemount.calderdale.sch.uk/,Halifax,HX3 5EB,Yorkshire and the Humber,no
