urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
107727,382,Kirklees,All Hallows' CofE (VA) Primary School,http://www.allhallowsschool.org.uk/,Huddersfield,HD5 8XW,Yorkshire and the Humber,no
107782,382,Kirklees,All Saints Catholic College,www.aschc.com,Huddersfield,HD2 2JT,Yorkshire and the Humber,no
107628,382,Kirklees,Ashbrow School,http://www.ashbrowschool.org.uk,Huddersfield,HD2 1EX,Yorkshire and the Humber,no
138111,382,Kirklees,BBG Academy,http://www.bbgacademy.com,Birkenshaw,BD19 4BE,Yorkshire and the Humber,no
137424,382,Kirklees,Batley Girls' High School,http://www.batleygirls.co.uk/,Batley,WF17 0LD,Yorkshire and the Humber,no
137487,382,Kirklees,Batley Grammar School,http://www.batleygrammar.co.uk,Batley,WF17 0AD,Yorkshire and the Humber,no
150152,382,Kirklees,Batley Parish CofE Primary Academy,https://www.batleyparishprimary.co.uk,Batley,WF17 8PA,Yorkshire and the Humber,no
107728,382,Kirklees,Battyeford CofE (VC) Primary School,http://www.battyefordprimary.com/,Mirfield,WF14 9QH,Yorkshire and the Humber,no
142774,382,Kirklees,Beaumont Primary Academy,www.beaumontprimary.org.uk,Huddersfield,HD4 5JA,Yorkshire and the Humber,no
150568,382,Kirklees,Berry Brow Infant and Nursery Academy,http://www.berrybrow.co.uk,Huddersfield,HD4 7LP,Yorkshire and the Humber,no
143790,382,Kirklees,Birdsedge First School,www.birdsedgefirst.org,Huddersfield,HD8 8XR,Yorkshire and the Humber,no
107626,382,Kirklees,Birkby Junior School,,Huddersfield,HD1 6HE,Yorkshire and the Humber,no
107730,382,Kirklees,Birkenshaw Church of England Voluntary Controlled Primary School,http://www.birkenshawprimary.org.uk,Bradford,BD11 2JE,Yorkshire and the Humber,no
139356,382,Kirklees,Birstall Primary Academy,https://www.birstallprimaryacademy.co.uk/,Batley,WF17 9EE,Yorkshire and the Humber,no
140234,382,Kirklees,Boothroyd Primary Academy,http://www.boothroydprimaryacademy.co.uk,Dewsbury,WF13 3QE,Yorkshire and the Humber,no
