urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
137083,383,Leeds,Abbey Grange Church of England Academy,http://www.abbeygrangeacademy.co.uk/,Leeds,LS16 5EA,Yorkshire and the Humber,no
107985,383,Leeds,Aberford Church of England Voluntary Controlled Primary School,www.aberfordprimaryschool.co.uk,Leeds,LS25 3BU,Yorkshire and the Humber,no
107892,383,Leeds,Adel Primary School,www.adelprimary.org.uk,Leeds,LS16 8DY,Yorkshire and the Humber,no
108041,383,Leeds,Adel St John the Baptist Church of England Primary School,http://www.adel-st-john.leeds.sch.uk/,Leeds,LS16 8EX,Yorkshire and the Humber,no
147945,383,Leeds,Alder Tree Primary Academy,,Leeds,LS7 2DR,Yorkshire and the Humber,no
108048,383,Leeds,All Saint's Richmond Hill Church of England Primary School,https://www.allsaints-pri.leeds.sch.uk/,Leeds,LS9 9AD,Yorkshire and the Humber,no
143242,383,Leeds,Allerton Bywater Primary School,www.allertonbywater.leeds.sch.uk,Castleford,WF10 2DR,Yorkshire and the Humber,no
108058,383,Leeds,Allerton Grange School,http://www.allertongrange.com,Leeds,LS17 6SF,Yorkshire and the Humber,no
108057,383,Leeds,Allerton High School,www.allertonhigh.org.uk,Leeds,LS17 7AG,Yorkshire and the Humber,no
107912,383,Leeds,Alwoodley Primary School,http://www.alwoodleyprimary.net,Leeds,LS17 5HX,Yorkshire and the Humber,no
147632,383,Leeds,Armley Park Primary School,www.armley-pri.leeds.sch.uk/,Leeds,LS12 2AY,Yorkshire and the Humber,no
149735,383,Leeds,Ashfield Primary School,www.ashfieldprimary.co.uk/,Otley,LS21 2DF,Yorkshire and the Humber,no
132795,383,Leeds,Asquith Primary School,www.asquithprimary.org,Leeds,LS27 9QY,Yorkshire and the Humber,no
146213,383,Leeds,Austhorpe Primary School,www.austhorpeprimary.org,Leeds,LS15 8TP,Yorkshire and the Humber,no
107901,383,Leeds,Bankside Primary School,www.banksideprimary.org/,Leeds,LS8 5AW,Yorkshire and the Humber,no
149546,383,Leeds,Bardsey Primary Academy,www.bardseyprimary.org.uk,Leeds,LS17 9DG,Yorkshire and the Humber,no
150228,383,Leeds,Barwick-in-Elmet CofE Primary School and Nursery,http://www.barwick-in-elmetschool.com,Leeds,LS15 4HL,Yorkshire and the Humber,no
107920,383,Leeds,Beechwood Primary School,http://www.beechwoodprimaryschool.co.uk,Leeds,LS14 6QB,Yorkshire and the Humber,no
107883,383,Leeds,Beecroft Primary School,www.beecroft.leeds.sch.uk/,Leeds,LS4 2TF,Yorkshire and the Humber,no
108052,383,Leeds,Beeston Hill St Luke's Church of England Primary School,www.bsl.leeds.sch.uk,Leeds,LS11 8ND,Yorkshire and the Humber,no
108083,383,Leeds,Benton Park School,http://www.bentonpark.org.uk/,Leeds,LS19 6LX,Yorkshire and the Humber,no
107863,383,Leeds,Birchfield Primary School,www.birchfieldprimary.org.uk,Leeds,LS27 7HU,Yorkshire and the Humber,no
144809,383,Leeds,Bishop Young Church of England Academy,www.bishopyoungacademy.co.uk,Leeds,LS14 6NU,Yorkshire and the Humber,no
146102,383,Leeds,Blackgates Primary Academy,https://www.blackgates.org.uk,Wakefield,WF3 1QQ,Yorkshire and the Humber,no
107884,383,Leeds,Blenheim Primary School,www.blenheimprimaryschool.com,Leeds,LS2 9EX,Yorkshire and the Humber,no
146217,383,Leeds,Boston Spa Academy,http://www.bostonspa.leeds.sch.uk/,Wetherby,LS23 6RW,Yorkshire and the Humber,no
107909,383,Leeds,Bracken Edge Primary School,www.brackenedge.org.uk,Leeds,LS7 4HE,Yorkshire and the Humber,no
107844,383,Leeds,Bramham Primary School,www.bramhamprimary.co.uk/,Wetherby,LS23 6JQ,Yorkshire and the Humber,no
147554,383,Leeds,Bramhope Primary School,https://www.bramhopeprimary.co.uk,Leeds,LS16 9AL,Yorkshire and the Humber,no
146542,383,Leeds,Bramley Park Academy,https://bramleyparkacademy.co.uk/,Leeds,LS13 3DP,Yorkshire and the Humber,no
108003,383,Leeds,Bramley St Peter's Church of England Primary School,www.bsp.leeds.sch.uk,Leeds,LS13 3NE,Yorkshire and the Humber,no
143238,383,Leeds,Brigshaw High School,www.brigshaw.com,Castleford,WF10 2HR,Yorkshire and the Humber,no
107874,383,Leeds,Broadgate Primary School,www.broadgateprimary.org.uk,Leeds,LS18 5AF,Yorkshire and the Humber,no
108054,383,Leeds,Brodetsky Primary School,www.brodetsky.org,Leeds,LS17 7TN,Yorkshire and the Humber,no
108123,383,Leeds,Broomfield South SILC,www.broomfieldschool.org.uk,Leeds,LS10 3JP,Yorkshire and the Humber,no
107885,383,Leeds,Brudenell Primary School,www.brudenellprimary.co.uk/,Leeds,LS6 1EN,Yorkshire and the Humber,no
