urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
144331,384,Wakefield,Ackton Pastures Primary Academy,www.acktonpastures.com,Castleford,WF10 5NS,Yorkshire and the Humber,no
130977,384,Wakefield,Ackworth Howard Church of England Voluntary Controlled Junior and Infant School,https://www.ackworthhowardschool.co.uk/,Pontefract,WF7 7HH,Yorkshire and the Humber,no
144563,384,Wakefield,Ackworth Mill Dam School,www.milldamschool.org,Pontefract,WF7 7PH,Yorkshire and the Humber,no
136613,384,Wakefield,Airedale Academy,http://www.airedaleacademy.com/,Castleford,WF10 3JU,Yorkshire and the Humber,no
141522,384,Wakefield,Airedale Infant Academy,www.airedaleinfants.com,Castleford,WF10 3QJ,Yorkshire and the Humber,no
141409,384,Wakefield,Airedale Junior Academy,www.airedalejuniorschool.co.uk,Castleford,WF10 3EP,Yorkshire and the Humber,no
146666,384,Wakefield,Ash Grove Primary Academy,www.ashgroveprimaryacademy.co.uk,PONTEFRACT,WF9 2TF,Yorkshire and the Humber,no
130964,384,Wakefield,Badsworth Church of England Voluntary Controlled Junior and Infant School,www.badsworthceschool.co.uk,Pontefract,WF9 1AJ,Yorkshire and the Humber,no
145869,384,Wakefield,CAPA College,www.capacollege.co.uk,Wakefield,WF1 2QN,Yorkshire and the Humber,no
139501,384,Wakefield,Carleton High School,https://carletonhigh.patrust.org.uk/,Pontefract,WF8 3NW,Yorkshire and the Humber,no
140337,384,Wakefield,Carleton Park Junior and Infant School,www.carletonpark.patrust.org.uk,Pontefract,WF8 3PT,Yorkshire and the Humber,no
136633,384,Wakefield,Castleford Academy,http://www.castlefordacademy.com,Castleford,WF10 4JQ,Yorkshire and the Humber,no
139359,384,Wakefield,Castleford Park Junior Academy,www.pjacademy.net/,Castleford,WF10 4BB,Yorkshire and the Humber,no
141290,384,Wakefield,Castleford Three Lane Ends Academy,http://www.tleacademy.co.uk/children/pages/default.aspx,Castleford,WF10 1PN,Yorkshire and the Humber,no
144400,384,Wakefield,Cherry Tree Academy,www.cherrytreeacademy.org,Pontefract,WF8 2HN,Yorkshire and the Humber,no
108137,384,Wakefield,Crigglestone Nursery School,www.crigglestonecastle.co.uk,Wakefield,WF4 3EB,Yorkshire and the Humber,no
138293,384,Wakefield,Crigglestone St James CofE Primary Academy,www.stjamesacademy.co.uk,Wakefield,WF4 3HY,Yorkshire and the Humber,no
137001,384,Wakefield,Crofton Academy,http://www.croftonacademy.org.uk/,Wakefield,WF4 1NF,Yorkshire and the Humber,no
142493,384,Wakefield,Crofton Infant School,https://croftoninfants.org/,Wakefield,WF4 1NG,Yorkshire and the Humber,no
108141,384,Wakefield,Crofton Junior School,www.croftonjuniorschool.org,Wakefield,WF4 1HJ,Yorkshire and the Humber,no
140110,384,Wakefield,Darrington Church of England Primary School,www.darringtonschool.co.uk,Pontefract,WF8 3SB,Yorkshire and the Humber,no
138006,384,Wakefield,De Lacy Academy,http://www.delacyacademy.org.uk,Knottingley,WF11 0BZ,Yorkshire and the Humber,no
140023,384,Wakefield,De Lacy Primary School,www.delacy.patrust.org.uk,Pontefract,WF8 2TG,Yorkshire and the Humber,no
108171,384,Wakefield,Dimple Well Infant School and Nursery,http://dimplewell.wakefield.sch.uk,Ossett,WF5 8LB,Yorkshire and the Humber,no
140333,384,Wakefield,England Lane Academy,www.elacademy.org.uk/,Knottingley,WF11 0JA,Yorkshire and the Humber,no
141595,384,Wakefield,"English Martyrs Catholic Primary School, A Voluntary Academy",https://www.ems.bkcat.co.uk/,Wakefield,WF2 9DD,Yorkshire and the Humber,no
149408,384,Wakefield,Enrich Academy,https://www.enrichacademy.uk.com/,Wakefield,WF4 1LL,Yorkshire and the Humber,no
148771,384,Wakefield,Evolve Academy,www.evolveacademy.uk.com,Wakefield,WF2 8BB,Yorkshire and the Humber,no
141961,384,Wakefield,"Fairburn View Primary School, Castleford",Fairburnview.co.uk,Castleford,WF10 3DB,Yorkshire and the Humber,no
143960,384,Wakefield,Featherstone All Saints CofE Academy,www.allsaints.wakefield.sch.uk,Pontefract,WF7 6BQ,Yorkshire and the Humber,no
144573,384,Wakefield,Featherstone Girnhill Infant School,https://girnhill.ipmat.co.uk/,Pontefract,WF7 5JB,Yorkshire and the Humber,no
108200,384,Wakefield,Featherstone Purston Infant School,www.purstoninfants.co.uk,Pontefract,WF7 5HF,Yorkshire and the Humber,no
144449,384,Wakefield,Fitzwilliam Primary School,www.fitzwilliamprimary.co.uk/,Pontefract,WF9 5BA,Yorkshire and the Humber,no
137643,384,Wakefield,Gawthorpe Community Academy,https://gawthorpe.ipmat.co.uk/,Ossett,WF5 9QP,Yorkshire and the Humber,no
140312,384,Wakefield,Glasshoughton Infant Academy,http://www.glasshoughtoninfant.com/,Castleford,WF10 4BH,Yorkshire and the Humber,no
148287,384,Wakefield,Grove Lea Primary School,http://www.groveleaprimary.com,Pontefract,WF9 4BQ,Yorkshire and the Humber,no
144332,384,Wakefield,Half Acres Primary Academy,www.halfacres.com/,Castleford,WF10 5RE,Yorkshire and the Humber,no
139502,384,Wakefield,Halfpenny Lane Junior Infant and Nursery School,http://www.halfpenny.patrust.org.uk,Pontefract,WF8 4BW,Yorkshire and the Humber,no
108134,384,Wakefield,Harewood Centre Nursery School,www.harewood.wakefield.sch.uk,Pontefract,WF8 2ER,Yorkshire and the Humber,no
131526,384,Wakefield,High Well School,www.highwellschool.org.uk,Pontefract,WF8 2DD,Yorkshire and the Humber,no
108311,384,Wakefield,Highfield School,http://www.highfield-school.co.uk,Ossett,WF5 9BS,Yorkshire and the Humber,no
141594,384,Wakefield,"Holy Family and St Michael's Catholic Primary School, A Voluntary Academy",www.hfsm.bkcat.co.uk/,Pontefract,WF8 2HN,Yorkshire and the Humber,no
138707,384,Wakefield,Horbury Academy,https://horbury.accordmat.org/,Wakefield,WF4 5HE,Yorkshire and the Humber,no
137967,384,Wakefield,Horbury Bridge Church of England Junior and Infant Academy,www.horburybridgeacademy.co.uk,Wakefield,WF4 5PS,Yorkshire and the Humber,no
143811,384,Wakefield,Horbury Primary Academy,www.horburyprimary.accordmat.org,Wakefield,WF4 5DW,Yorkshire and the Humber,no
136005,384,Wakefield,Horbury St Peter's and Clifton CofE (VC) Primary School,www.st-peters.wakefield.sch.uk,Wakefield,WF4 5BE,Yorkshire and the Humber,no
137148,384,Wakefield,Jerry Clay Academy,http://www.jerryclayacademy.wakefield.sch.uk,Wakefield,WF2 0NP,Yorkshire and the Humber,no
108271,384,Wakefield,Kettlethorpe High School,http://www.kettlethorpehigh.co.uk/,Wakefield,WF2 7EL,Yorkshire and the Humber,no
146034,384,Wakefield,King's Meadow Academy,www.kingsmeadowacademy.org,Pontefract,WF9 5BP,Yorkshire and the Humber,no
133718,384,Wakefield,Kingsland Primary School,,Wakefield,WF3 4BA,Yorkshire and the Humber,no
139499,384,Wakefield,Larks Hill Junior and Infant School,www.larkshill.patrust.org.uk/,Pontefract,WF8 4RJ,Yorkshire and the Humber,no
142359,384,Wakefield,Lee Brigg Infant and Nursery School,https://leebrigginfants.org/,Normanton,WF6 2LN,Yorkshire and the Humber,no
108148,384,Wakefield,Martin Frobisher Infant School,http://www.martinfrobisher.wakefield.sch.uk,Normanton,WF6 2NU,Yorkshire and the Humber,no
143810,384,Wakefield,Middlestown Primary Academy,middlestown.accordmat.org,Wakefield,WF4 4QE,Yorkshire and the Humber,no
137011,384,Wakefield,Minsthorpe Community College,http://minsthorpe.cc,Pontefract,WF9 2UJ,Yorkshire and the Humber,no
130863,384,Wakefield,Moorthorpe Primary School With Inclusion Resource,www.moorthorpeprimary.co.uk/,Pontefract,WF9 2BL,Yorkshire and the Humber,no
144732,384,Wakefield,New College Pontefract,,Pontefract,WF8 4QR,Yorkshire and the Humber,no
133318,384,Wakefield,Newlands Primary School,http://www.newlands.wakefield.sch.uk,Normanton,WF6 1BB,Yorkshire and the Humber,no
108164,384,Wakefield,Newton Hill Community School,https://newton-hill-community.eschools.co.uk/website,Wakefield,WF1 2HR,Yorkshire and the Humber,no
108259,384,Wakefield,Normanton All Saints CofE Infant School,www.allsaints-normanton.wakefield.sch.uk/,Normanton,WF6 1NR,Yorkshire and the Humber,no
141799,384,Wakefield,Normanton Common Primary Academy,https://normantoncommonacademy.org/,Normanton,WF6 1QU,Yorkshire and the Humber,no
141878,384,Wakefield,Normanton Junior Academy,https://www.normantonjunioracademy.org/,Normanton,WF6 1EY,Yorkshire and the Humber,no
150309,384,Wakefield,Northfield Primary School,,Pontefract,WF9 3LY,Yorkshire and the Humber,no
133719,384,Wakefield,Oakfield Park School,https://www.oakfieldpark.wakefield.sch.uk/,Pontefract,WF7 7DT,Yorkshire and the Humber,no
139503,384,Wakefield,Orchard Head Junior and Infant and Nursery School,https://orchardhead.patrust.org.uk,Pontefract,WF8 2NJ,Yorkshire and the Humber,no
136462,384,Wakefield,Ossett Academy and Sixth Form College,https://ossett.accordmat.org/,Ossett,WF5 0DG,Yorkshire and the Humber,no
108152,384,Wakefield,Ossett Flushdyke Junior and Infant School,www.flushdyke.co.uk/,Ossett,WF5 9AN,Yorkshire and the Humber,no
108260,384,Wakefield,Ossett Holy Trinity CofE VA Primary School,http://www.holytrinityossett.co.uk/,Ossett,WF5 9DG,Yorkshire and the Humber,no
134376,384,Wakefield,Ossett South Parade Primary,www.southparade.wakefield.sch.uk,Wakefield,WF5 0DZ,Yorkshire and the Humber,no
136394,384,Wakefield,Outwood Academy City Fields,www.cityfields.outwood.com,Wakefield,WF1 4SF,Yorkshire and the Humber,no
145937,384,Wakefield,Outwood Academy Freeston,https://www.freeston.outwood.com/,Normanton,WF6 1HZ,Yorkshire and the Humber,no
145938,384,Wakefield,Outwood Academy Hemsworth,www.hemsworth.outwood.com,Pontefract,WF9 4AB,Yorkshire and the Humber,no
135961,384,Wakefield,Outwood Grange Academy,http://www.grange.outwood.com/,Wakefield,WF1 2PF,Yorkshire and the Humber,no
145941,384,Wakefield,Outwood Primary Academy Bell Lane,www.belllane.outwood.com,Pontefract,WF7 7JH,Yorkshire and the Humber,no
149332,384,Wakefield,Outwood Primary Academy Greenhill,https://www.greenhill.outwood.com/,Wakefield,WF1 4LU,Yorkshire and the Humber,no
139080,384,Wakefield,Outwood Primary Academy Kirkhamgate,www.kirkhamgate.outwood.com/,Wakefield,WF2 0RS,Yorkshire and the Humber,no
139108,384,Wakefield,Outwood Primary Academy Ledger Lane,www.ledgerlane.outwood.com/,Wakefield,WF1 2PH,Yorkshire and the Humber,no
140085,384,Wakefield,Outwood Primary Academy Lofthouse Gate,www.lofthousegate.outwood.com/,Wakefield,WF3 3HU,Yorkshire and the Humber,no
145940,384,Wakefield,Outwood Primary Academy Newstead Green,www.newstead.outwood.com,Wakefield,WF4 2BE,Yorkshire and the Humber,no
145939,384,Wakefield,Outwood Primary Academy Park Hill,www.parkhill.outwood.com,Wakefield,WF1 4QY,Yorkshire and the Humber,no
141144,384,Wakefield,Oyster Park Primary Academy,www.oysterpark.co.uk,Castleford,WF10 3SN,Yorkshire and the Humber,no
139560,384,Wakefield,Pinderfields Hospital PRU,www.pinderfieldshospitalpru.co.uk,Wakefield,WF2 0LW,Yorkshire and the Humber,no
137438,384,Wakefield,Rooks Nest Academy,www.rooksnestacademy.co.uk,Wakefield,WF1 3DX,Yorkshire and the Humber,no
130972,384,Wakefield,"Ryhill Junior, Infant and Nursery School",https://ryhillschool.org.uk/,Wakefield,WF4 2AD,Yorkshire and the Humber,no
138941,384,Wakefield,Sacred Heart Catholic Primary School,http://www.sacredheart.bkcat.co.uk,Pontefract,WF9 4LJ,Yorkshire and the Humber,no
108270,384,Wakefield,Sandal Castle VA Community Primary School,www.sandalcastleprimary.co.uk,Wakefield,WF2 6AS,Yorkshire and the Humber,no
139280,384,Wakefield,Sandal Magna Community Academy,www.sandalmagna.co.uk,Wakefield,WF1 5NF,Yorkshire and the Humber,no
143003,384,Wakefield,Sharlston Community School,www.sharlstonschool.org,Wakefield,WF4 1DH,Yorkshire and the Humber,no
130375,384,Wakefield,Shay Lane Primary (J and I) School,www.shaylane.wakefield.sch.uk/,Wakefield,WF4 1NN,Yorkshire and the Humber,no
138535,384,Wakefield,Simpson's Lane Academy,www.simpsonslane.org.uk/,Knottingley,WF11 0PJ,Yorkshire and the Humber,no
108158,384,Wakefield,Sitlington Netherton Junior and Infant School,www.netherton.wakefield.sch.uk,Wakefield,WF4 4HQ,Yorkshire and the Humber,no
151374,384,Wakefield,Smawthorne Henry Moore Academy,www.smawthorneprimary.wakefield.sch.uk,Castleford,WF10 5AX,Yorkshire and the Humber,no
130866,384,Wakefield,South Elmsall Carlton Junior and Infant School,www.carltonjandischool.co.uk,Pontefract,WF9 2QQ,Yorkshire and the Humber,no
145798,384,Wakefield,South Hiendley Primary School,www.southhiendley.wakefield.sch.uk/,Barnsley,S72 9BY,Yorkshire and the Humber,no
143381,384,Wakefield,South Kirkby Academy,southkirkbyacademy.org,Pontefract,WF9 3DP,Yorkshire and the Humber,no
130864,384,Wakefield,South Kirkby Common Road Infant and Nursery School,wwwcommonroadschool.org.uk,Pontefract,WF9 3EA,Yorkshire and the Humber,no
137737,384,Wakefield,South Ossett Infant Academy,www.southossettinfantsacademy.co.uk/,Ossett,WF5 0BE,Yorkshire and the Humber,no
142155,384,Wakefield,St Austin's Catholic Primary School,www.sa.bkcat.co.uk,Wakefield,WF1 3PF,Yorkshire and the Humber,no
145576,384,Wakefield,St Botolphs CE Academy,stbotolphsacademy.co.uk,Knottingley,WF11 9BT,Yorkshire and the Humber,no
140453,384,Wakefield,St Giles C of E Academy,www.st-giles.org.uk/,Pontefract,WF8 1HG,Yorkshire and the Humber,no
139573,384,Wakefield,St Helen's CE Primary School,https://www.sthelensceprimary.org.uk/,Pontefract,WF9 4EG,Yorkshire and the Humber,no
138946,384,Wakefield,St Ignatius Catholic Primary School,www.stig.bkcat.co.uk,Wakefield,WF5 0DQ,Yorkshire and the Humber,no
138947,384,Wakefield,St Joseph's Catholic Primary School,www.stjosephspontefract.co.uk/,Pontefract,WF8 4AA,Yorkshire and the Humber,no
138949,384,Wakefield,St Joseph's Catholic Primary School Castleford,www.sjc.bkcat.co.uk,Castleford,WF10 4JB,Yorkshire and the Humber,no
140558,384,Wakefield,"St Joseph's Catholic Primary School, Moorthorpe",https://www.sjm.bkcat.co.uk/,Pontefract,WF9 2BP,Yorkshire and the Humber,no
139279,384,Wakefield,St Michael's CofE Academy,www.stmichaelsceacademy.org.uk,Wakefield,WF2 9JA,Yorkshire and the Humber,no
138950,384,Wakefield,"St Thomas à Becket Catholic Secondary School, A Voluntary Academy",https://www.st-thomasabecket.bkcat.co.uk/,Wakefield,WF2 6EQ,Yorkshire and the Humber,no
138951,384,Wakefield,St Wilfrid's Catholic High School & Sixth Form College: A Voluntary Academy,http://www.st-wilfrids.bkcat.co.uk,Pontefract,WF7 6BD,Yorkshire and the Humber,no
138958,384,Wakefield,St. John the Baptist Catholic Primary School,www.sjb.bkcat.co.uk,Normanton,WF6 2HZ,Yorkshire and the Humber,no
149869,384,Wakefield,Stanley Grove Primary and Nursery Academy,www.stanleygroveprimary.co.uk,Wakefield,WF3 4NT,Yorkshire and the Humber,no
132014,384,Wakefield,The Castle Nursery School,www.crigglestonecastle.co.uk,Wakefield,WF1 5NU,Yorkshire and the Humber,no
138593,384,Wakefield,The Featherstone Academy,www.featherstone.academy,Pontefract,WF7 5AJ,Yorkshire and the Humber,no
139500,384,Wakefield,The King's School,http://kings.patrust.org.uk,Pontefract,WF8 4JF,Yorkshire and the Humber,no
139504,384,Wakefield,The Rookeries Carleton Junior and Infant School,https://rookeries.patrust.org.uk/,Pontefract,WF8 3NP,Yorkshire and the Humber,no
138332,384,Wakefield,The Vale Primary Academy,www.thevpacademy.org.uk/,Knottingley,WF11 8JF,Yorkshire and the Humber,no
143078,384,Wakefield,Towngate Primary Academy,https://towngate.ipmat.co.uk/,Ossett,WF5 0QA,Yorkshire and the Humber,no
150627,384,Wakefield,Townville Academy,www.townvilleinfants.org.uk,Castleford,WF10 3QJ,Yorkshire and the Humber,no
145579,384,Wakefield,Trinity Academy Cathedral,cathedral.trinitymat.org,Wakefield,WF2 8QF,Yorkshire and the Humber,no
130862,384,Wakefield,Upton Primary School,http://uptonprimary.co.uk,Pontefract,WF9 1JS,Yorkshire and the Humber,no
108216,384,Wakefield,Wakefield Flanshaw Junior and Infant School,www.flanshawjin.co.uk,Wakefield,WF2 0AS,Yorkshire and the Humber,no
131734,384,Wakefield,Wakefield Lawefield Primary School,www.lawefield.wakefield.sch.uk/,Wakefield,WF2 8ST,Yorkshire and the Humber,no
133758,384,Wakefield,Wakefield Snapethorpe Primary School,www.snapethorpeprimary.co.uk/,Wakefield,WF2 8AA,Yorkshire and the Humber,no
108255,384,Wakefield,Wakefield St Johns Church of England Voluntary Aided Junior and Infant School,www.wakefieldstjohnscofeschool.co.uk,Wakefield,WF1 3JP,Yorkshire and the Humber,no
108269,384,Wakefield,Wakefield St Marys Church of England Voluntary Aided Primary School,www.stmarysceprimarywakefield.co.uk,Wakefield,WF1 4PE,Yorkshire and the Humber,no
141282,384,Wakefield,Walton Primary Academy,www.waltonprimary.org/,Wakefield,WF2 6LD,Yorkshire and the Humber,no
140003,384,Wakefield,West End Academy,www.west-endacademy.org,Pontefract,WF9 4QJ,Yorkshire and the Humber,no
138401,384,Wakefield,Willow Green Academy,www.willowgreen.org.uk/,Knottingley,WF11 8PT,Yorkshire and the Humber,no
144237,384,Wakefield,Wrenthorpe Academy,www.wrenthorpeacademy.org,Wakefield,WF2 0LW,Yorkshire and the Humber,no
108253,384,Wakefield,Alverthorpe St Paul's CofE (VA) School 3-11yrs,https://www.alverthorpestpauls.co.uk/,Wakefield,WF2 0BT,Yorkshire and the Humber,yes
108236,384,Wakefield,Castleford Wheldon Infant School and Nursery,www.wheldoninfants.co.uk/,Castleford,WF10 1HF,Yorkshire and the Humber,yes
108212,384,Wakefield,Crigglestone Dane Royd Junior and Infant School,www.daneroyd.com,Wakefield,WF4 3LZ,Yorkshire and the Humber,yes
108211,384,Wakefield,Crigglestone Mackie Hill Junior and Infant School,www.mackiehill.co.uk,Wakefield,WF4 3HW,Yorkshire and the Humber,yes
108206,384,Wakefield,Featherstone North Featherstone Junior and Infant School,www.northfeatherstone.wakefield.sch.uk/,Pontefract,WF7 6LW,Yorkshire and the Humber,yes
108249,384,Wakefield,Featherstone Purston St Thomas Church of England Voluntary Controlled Junior School,www.stthomasfeatherstone.co.uk,Pontefract,WF7 5BG,Yorkshire and the Humber,yes
108218,384,Wakefield,Hendal Primary School,www.hendalprimary.org.uk,Wakefield,WF2 7QW,Yorkshire and the Humber,yes
108252,384,Wakefield,"Methodist Voluntary Controlled Junior, Infant and Nursery School: With Communication Resource",https://www.methodist.wakefield.sch.uk/,Wakefield,WF2 7RU,Yorkshire and the Humber,yes
108208,384,Wakefield,Normanton Altofts Junior School,www.altoftsjuniorschool.co.uk,Normanton,WF6 2NF,Yorkshire and the Humber,yes
108246,384,Wakefield,Ossett Southdale Church of England Voluntary Controlled Junior School,southdalecofe.co.uk,Ossett,WF5 8BA,Yorkshire and the Humber,yes
108247,384,Wakefield,Stanley St Peters Church of England Voluntary Controlled Primary School,www.stanleystpeters.co.uk,Wakefield,WF3 4HS,Yorkshire and the Humber,yes
108195,384,Wakefield,"Streethouse, Junior, Infant and Nursery",www.streethouseprimary.co.uk,Pontefract,WF7 6DJ,Yorkshire and the Humber,yes
108215,384,Wakefield,The Mount Junior Infant & Nursery School,www.mountjischool.co.uk/,Wakefield,WF2 8QW,Yorkshire and the Humber,yes
108210,384,Wakefield,Wakefield Pinders Primary (JIN) School,http://www.pindersprimary.co.uk/,Wakefield,WF1 3SQ,Yorkshire and the Humber,yes
